# generlized Kondo-Heisenberg model
# U/W=2.0 Jh/U=0.25 n=1/2 L=48
# static structure factor S(r)
# r, S+-(r), Szz(r)
           1  -0.15345300000000001       -9.8965800000000003E-003
           2  -0.16361899999999999        2.1892700000000001E-003
           3    8.5837600000000000E-002   5.2311000000000003E-002
           4   0.11216300000000000        2.2839000000000002E-002
           5    1.9146099999999999E-002  -7.4100500000000000E-002
           6   -7.0855100000000004E-002  -8.3540199999999995E-002
           7  -0.17066000000000001       -1.0880900000000001E-002
           8  -0.11502000000000000        4.9290300000000002E-002
           9    8.2192000000000001E-002   9.2202400000000004E-002
          10   0.17269300000000001        6.4173700000000000E-002
          11   0.14947400000000000       -3.1883700000000001E-002
          12    1.9719199999999999E-002  -8.6610699999999999E-002
          13  -0.19302900000000001       -9.1280299999999995E-002
          14  -0.23596200000000001       -3.8803799999999999E-002
          15   -8.2625500000000004E-002   6.8039699999999995E-002
          16   0.11472000000000000       0.11215700000000001     
          17   0.28868199999999999        7.6762499999999997E-002
          18   0.22817000000000001        6.9097400000000002E-004
          19   -6.8151299999999998E-002 -0.11247600000000001     
          20  -0.32197300000000001      -0.16443400000000000     
          21  -0.42412200000000000      -0.11526000000000000     
          22  -0.22659000000000001       -3.4467899999999999E-003
          23   0.18780700000000000       0.11295800000000000     
          24   0.72649500000000000       0.43176199999999998     
          25   0.22052900000000000       -1.9319400000000000E-002
          26   -8.0225099999999994E-002 -0.12033400000000000     
          27  -0.34567199999999998      -0.16245299999999999     
          28  -0.37805000000000000      -0.11129600000000001     
          29  -0.13477500000000001        4.3649300000000002E-002
          30   0.10674599999999999       0.11590200000000001     
          31   0.26491700000000001        7.9900899999999997E-002
          32   0.21809200000000001        2.0248900000000001E-003
          33   -4.4290400000000004E-003  -9.2727199999999996E-002
          34  -0.16806399999999999      -0.10381000000000000     
          35  -0.22231400000000001       -2.0462700000000000E-002
          36  -0.12603500000000001        5.3539200000000002E-002
          37    8.9124400000000006E-002   9.1604800000000000E-002
          38   0.18098900000000001        5.6789500000000000E-002
          39   0.13410200000000000       -4.2691699999999999E-002
          40    2.1883199999999998E-002  -8.4358400000000000E-002
          41  -0.14373800000000000       -5.7411799999999999E-002
          42  -0.16137000000000001       -6.5192999999999997E-005
          43   -2.4091300000000000E-002   7.9389299999999996E-002
          44    6.1206799999999999E-002   7.3222999999999996E-002
          45   0.10635500000000001       -2.6157699999999999E-002
          46    6.2468799999999998E-002  -5.2830200000000001E-002
          47  -0.16944100000000001        1.3067499999999999E-002
          48  -0.15351899999999999        2.2858300000000002E-002
