# generlized Kondo-Heisenberg model
# U/W=2.8 Jh/U=0.25 n=1/2 L=48
# chirality correlation d=1 kappa(l)
# l, kappa(l)
           1   3.5399999999987091E-006
           2   1.4959999999990519E-005
           3   1.1399999999980870E-005
           4   2.4369999999994049E-005
           5   2.2869999999978238E-005
           6   4.1320000000034333E-005
           7   4.4600000000025262E-005
           8   7.5720000000015653E-005
           9   8.2070000000062943E-005
          10   1.2857999999998752E-004
          11   1.3355000000000138E-004
          12   1.9106000000001372E-004
          13   1.8877999999995527E-004
          14   2.5700999999999936E-004
          15   2.5473000000001810E-004
          16   3.4670000000004350E-004
          17   3.4958000000000038E-004
          18   4.8615000000000377E-004
          19   4.9408999999999217E-004
          20   6.9610999999998764E-004
          21   6.3765999999996527E-004
          22   7.6630000000000968E-004
          23 -0.25936053000000003     
          24  0.86691429999999980     
          25 -0.26218701500000002     
          26   5.6682000000000433E-004
          27   4.5466999999997648E-004
          28   5.1782000000000477E-004
          29   3.9185999999999388E-004
          30   4.0617999999997909E-004
          31   2.9203000000003771E-004
          32   2.8232000000001775E-004
          33   1.9863000000000216E-004
          34   1.8890999999999136E-004
          35   1.3155999999996506E-004
          36   1.2674000000003315E-004
          37   8.2303000000011209E-005
          38   6.8378999999972709E-005
          39   2.9785200000024788E-005
          40   6.6845000000017619E-006
          41  -1.4006999999986281E-005
          42  -3.9440449999974473E-005
          43  -3.5370660000005903E-005
          44  -5.5383399999987053E-005
          45  -3.1239000000013732E-005
          46  -4.8933309999999812E-005
          47  -1.2336500000024543E-005
