# generlized Kondo-Heisenberg model
# U/W=1 Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# Single particle spectral function
# site, frequency, A(k,omega)
0 -2.0000000000000000 0.001488
0 -1.9900000000000000 0.00193617
0 -1.9800000000000000 0.00164143
0 -1.9700000000000000 0.00267745
0 -1.9600000000000000 0.000776452
0 -1.9500000000000000 0.00158656
0 -1.9399999999999999 0.00143413
0 -1.9299999999999999 0.000772856
0 -1.9199999999999999 0.00077031
0 -1.9099999999999999 0.00121391
0 -1.8999999999999999 0.00121183
0 -1.8899999999999999 0.0014789
0 -1.8799999999999999 0.000796446
0 -1.8700000000000001 0.000848132
0 -1.8600000000000001 0.00162163
0 -1.8500000000000001 0.00197572
0 -1.8400000000000001 0.000832458
0 -1.8300000000000001 0.00115015
0 -1.8200000000000001 0.000618588
0 -1.8100000000000001 0.0024404
0 -1.8000000000000000 0.000909988
0 -1.7900000000000000 0.000119977
0 -1.7800000000000000 0.000331679
0 -1.7700000000000000 0.000790252
0 -1.7600000000000000 9.24475e-05
0 -1.7500000000000000 0.00146973
0 -1.7400000000000000 0.000337787
0 -1.7300000000000000 0.00116152
0 -1.7200000000000000 0.000917025
0 -1.7100000000000000 0.000925886
0 -1.7000000000000000 -0.000209448
0 -1.6899999999999999 -0.00120959
0 -1.6799999999999999 0.000371872
0 -1.6699999999999999 -0.000350795
0 -1.6599999999999999 -0.000382643
0 -1.6499999999999999 0.000185773
0 -1.6399999999999999 -0.00100436
0 -1.6299999999999999 -0.000632852
0 -1.6200000000000001 0.000270649
0 -1.6100000000000001 0.000901763
0 -1.6000000000000001 -4.02791e-05
0 -1.5900000000000001 0.000655065
0 -1.5800000000000001 -0.000355234
0 -1.5700000000000001 -5.90164e-06
0 -1.5600000000000001 0.00146132
0 -1.5500000000000000 -0.000248213
0 -1.5400000000000000 -0.00126538
0 -1.5300000000000000 0.00217875
0 -1.5200000000000000 0.000266795
0 -1.5100000000000000 -0.000553808
0 -1.5000000000000000 -0.00093005
0 -1.4900000000000000 0.00151818
0 -1.4800000000000000 -0.000919675
0 -1.4700000000000000 -0.000748045
0 -1.4600000000000000 0.000121938
0 -1.4500000000000000 7.51728e-05
0 -1.4399999999999999 -3.01104e-06
0 -1.4299999999999999 0.000462083
0 -1.4199999999999999 6.71032e-05
0 -1.4099999999999999 0.000122558
0 -1.3999999999999999 0.000367364
0 -1.3899999999999999 2.39335e-05
0 -1.3799999999999999 -4.48731e-05
0 -1.3700000000000001 0.00019207
0 -1.3600000000000001 0.000382574
0 -1.3500000000000001 0.000227118
0 -1.3400000000000001 0.000212906
0 -1.3300000000000001 0.000110497
0 -1.3200000000000001 -4.10534e-05
0 -1.3100000000000001 0.000283915
0 -1.3000000000000000 0.000755203
0 -1.2900000000000000 0.000108432
0 -1.2800000000000000 0.000119478
0 -1.2700000000000000 -4.052e-05
0 -1.2600000000000000 8.27606e-05
0 -1.2500000000000000 6.28017e-05
0 -1.2400000000000000 0.000138835
0 -1.2300000000000000 0.000560311
0 -1.2200000000000000 -0.000343551
0 -1.2100000000000000 4.89681e-05
0 -1.2000000000000000 8.79224e-06
0 -1.1899999999999999 0.000157761
0 -1.1799999999999999 -0.000130335
0 -1.1699999999999999 0.000258726
0 -1.1599999999999999 -0.000125276
0 -1.1499999999999999 -0.000185428
0 -1.1399999999999999 0.00042595
0 -1.1299999999999999 -0.000136323
0 -1.1200000000000001 0.000444051
0 -1.1100000000000001 0.00023579
0 -1.1000000000000001 0.00017039
0 -1.0900000000000001 -0.000379185
0 -1.0800000000000001 -0.00026695
0 -1.0700000000000001 -0.000298953
0 -1.0600000000000001 0.000563787
0 -1.0500000000000000 0.000389611
0 -1.0400000000000000 0.00027693
0 -1.0300000000000000 0.00013357
0 -1.0200000000000000 0.000841491
0 -1.0100000000000000 0.000208639
0 -1.0000000000000000 0.000271854
0 -0.98999999999999999 -0.000556664
0 -0.97999999999999998 0.000261651
0 -0.96999999999999997 0.000441367
0 -0.95999999999999996 -0.000453256
0 -0.94999999999999996 -0.000129802
0 -0.93999999999999995 0.000431473
0 -0.93000000000000005 0.000493897
0 -0.92000000000000004 0.000256592
0 -0.91000000000000003 -6.15284e-05
0 -0.90000000000000002 0.000519705
0 -0.89000000000000001 -0.000267707
0 -0.88000000000000000 0.000547923
0 -0.87000000000000000 -0.000747357
0 -0.85999999999999999 0.000150931
0 -0.84999999999999998 -0.000418104
0 -0.83999999999999997 -0.000112492
0 -0.82999999999999996 0.000182331
0 -0.81999999999999995 0.000304614
0 -0.81000000000000005 -0.000338578
0 -0.80000000000000004 -0.00013825
0 -0.79000000000000004 0.0004552
0 -0.78000000000000003 0.000845293
0 -0.77000000000000002 0.000888429
0 -0.76000000000000001 0.00163962
0 -0.75000000000000000 0.00101888
0 -0.73999999999999999 0.00093528
0 -0.72999999999999998 0.000460156
0 -0.71999999999999997 -0.00125431
0 -0.70999999999999996 0.000391487
0 -0.69999999999999996 0.000935126
0 -0.68999999999999995 0.00124296
0 -0.68000000000000005 0.00101309
0 -0.67000000000000004 0.00218158
0 -0.66000000000000003 6.57783e-05
0 -0.65000000000000002 0.00217488
0 -0.64000000000000001 0.000610966
0 -0.63000000000000000 0.00081871
0 -0.62000000000000000 0.00367099
0 -0.60999999999999999 0.00241361
0 -0.59999999999999998 0.00281052
0 -0.58999999999999997 0.00220979
0 -0.57999999999999996 0.00220427
0 -0.56999999999999995 0.0022221
0 -0.56000000000000005 0.00402166
0 -0.55000000000000004 0.00264719
0 -0.54000000000000004 0.00352505
0 -0.53000000000000003 0.00285589
0 -0.52000000000000002 0.00302074
0 -0.51000000000000001 0.00300528
0 -0.50000000000000000 0.00126772
0 -0.48999999999999999 0.00165272
0 -0.47999999999999998 0.00318286
0 -0.46999999999999997 0.00112315
0 -0.46000000000000002 0.00247495
0 -0.45000000000000001 0.0015372
0 -0.44000000000000000 0.00253881
0 -0.42999999999999999 -0.00063483
0 -0.41999999999999998 -0.00334284
0 -0.40999999999999998 -0.00111414
0 -0.40000000000000002 0.00244433
0 -0.39000000000000001 0.00201595
0 -0.38000000000000000 -0.00102528
0 -0.37000000000000000 -0.000514509
0 -0.35999999999999999 0.000421924
0 -0.34999999999999998 0.00209131
0 -0.34000000000000002 0.00252306
0 -0.33000000000000002 0.00277308
0 -0.32000000000000001 0.00254885
0 -0.31000000000000000 0.00147723
0 -0.29999999999999999 -0.000802657
0 -0.28999999999999998 -0.00236587
0 -0.28000000000000003 -0.00127711
0 -0.27000000000000002 0.000221045
0 -0.26000000000000001 0.000473834
0 -0.25000000000000000 0.00037872
0 -0.23999999999999999 0.000307109
0 -0.23000000000000001 0.000272129
0 -0.22000000000000000 0.000255887
0 -0.20999999999999999 0.000248058
0 -0.20000000000000001 0.000243946
0 -0.19000000000000000 0.000241933
0 -0.17999999999999999 0.000241038
0 -0.17000000000000001 0.000240918
0 -0.16000000000000000 0.000241158
0 -0.14999999999999999 0.000241898
0 -0.14000000000000001 0.000242845
0 -0.13000000000000000 0.000244049
0 -0.12000000000000000 0.000245494
0 -0.11000000000000000 0.000247249
0 -0.10000000000000001 0.000249039
0 -8.9999999999999997E-002 0.000251035
0 -8.0000000000000002E-002 0.000253289
0 -7.0000000000000007E-002 0.000255715
0 -5.9999999999999998E-002 0.000258261
0 -5.0000000000000003E-002 0.000261049
0 -4.0000000000000001E-002 0.000263922
0 -2.9999999999999999E-002 0.000267002
0 -2.0000000000000000E-002 0.000270288
0 -1.0000000000000000E-002 0.000273695
0 0.0000000000000000 0.000277205
0 1.0000000000000000E-002 0.000280939
0 2.0000000000000000E-002 0.000284896
0 2.9999999999999999E-002 0.000288871
0 4.0000000000000001E-002 0.000293224
0 5.0000000000000003E-002 0.000297577
0 5.9999999999999998E-002 0.000302205
0 7.0000000000000007E-002 0.000306885
0 8.0000000000000002E-002 0.000311909
0 8.9999999999999997E-002 0.000316985
0 0.10000000000000001 0.00032225
0 0.11000000000000000 0.000327636
0 0.12000000000000000 0.000333176
0 0.13000000000000000 0.000338716
0 0.14000000000000001 0.000344239
0 0.14999999999999999 0.00034959
0 0.16000000000000000 0.000354511
0 0.17000000000000001 0.000358744
0 0.17999999999999999 0.000361772
0 0.19000000000000000 0.000362426
0 0.20000000000000001 0.000359226
0 0.20999999999999999 0.000349022
0 0.22000000000000000 0.00032681
0 0.23000000000000001 0.000281954
0 0.23999999999999999 0.000193498
0 0.25000000000000000 1.6208e-05
0 0.26000000000000001 -0.000359243
0 0.27000000000000002 -0.00119015
0 0.28000000000000003 -0.00233065
0 0.28999999999999998 -0.00171645
0 0.29999999999999999 0.00227855
0 0.31000000000000000 0.00691481
0 0.32000000000000001 0.00987628
0 0.33000000000000002 0.00868301
0 0.34000000000000002 0.00590425
0 0.34999999999999998 0.00197636
0 0.35999999999999999 -0.000200053
0 0.37000000000000000 -0.00228798
0 0.38000000000000000 -0.00655083
0 0.39000000000000001 -0.00698002
0 0.40000000000000002 -0.0102322
0 0.40999999999999998 -0.0115241
0 0.41999999999999998 -0.00426415
0 0.42999999999999999 -0.00367059
0 0.44000000000000000 -0.0014272
0 0.45000000000000001 0.000809746
0 0.46000000000000002 0.00646071
0 0.46999999999999997 0.00033863
0 0.47999999999999998 0.000161323
0 0.48999999999999999 0.00242554
0 0.50000000000000000 0.0116704
0 0.51000000000000001 0.0109417
0 0.52000000000000002 0.0114112
0 0.53000000000000003 0.015804
0 0.54000000000000004 0.0166196
0 0.55000000000000004 0.0113862
0 0.56000000000000005 0.00196387
0 0.56999999999999995 0.00479136
0 0.57999999999999996 0.0106515
0 0.58999999999999997 0.0109196
0 0.59999999999999998 -0.00180561
0 0.60999999999999999 -0.0110122
0 0.62000000000000000 -0.00735705
0 0.63000000000000000 -1.12527e-05
0 0.64000000000000001 0.0014272
0 0.65000000000000002 0.00155836
0 0.66000000000000003 0.00347021
0 0.67000000000000004 0.0178247
0 0.68000000000000005 0.0133068
0 0.68999999999999995 0.0233336
0 0.69999999999999996 0.0154163
0 0.70999999999999996 0.0147719
0 0.71999999999999997 0.0113419
0 0.72999999999999998 0.0153387
0 0.73999999999999999 0.00437563
0 0.75000000000000000 0.0136421
0 0.76000000000000001 0.0121284
0 0.77000000000000002 0.0152854
0 0.78000000000000003 -0.00284641
0 0.79000000000000004 0.0128048
0 0.80000000000000004 -0.00925714
0 0.81000000000000005 -0.000312598
0 0.81999999999999995 0.00204413
0 0.82999999999999996 0.0149012
0 0.83999999999999997 -0.000599248
0 0.84999999999999998 0.0186955
0 0.85999999999999999 -0.00675899
0 0.87000000000000000 -0.00603624
0 0.88000000000000000 0.00449559
