# generlized Kondo-Heisenberg model
# Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# Local density of states at Fermi level
# U/W, site/L, LDOS
1 -5.0000000000000003E-002 0.030138
1 -4.8000000000000001E-002 0.030075
1 -4.5999999999999999E-002 0.030018
1 -4.3999999999999997E-002 0.029968
1 -4.2000000000000003E-002 0.029925
1 -4.0000000000000001E-002 0.029887
1 -3.7999999999999999E-002 0.029856
1 -3.5999999999999997E-002 0.029831
1 -3.4000000000000002E-002 0.029812
1 -3.2000000000000001E-002 0.029799
1 -2.9999999999999999E-002 0.029792
1 -2.8000000000000001E-002 0.029791
1 -2.5999999999999999E-002 0.029795
1 -2.4000000000000000E-002 0.029806
1 -2.1999999999999999E-002 0.029821
1 -2.0000000000000000E-002 0.029843
1 -1.7999999999999999E-002 0.02987
1 -1.6000000000000000E-002 0.029904
1 -1.4000000000000000E-002 0.029942
1 -1.2000000000000000E-002 0.029987
1 -1.0000000000000000E-002 0.030037
1 -8.0000000000000002E-003 0.030092
1 -6.0000000000000001E-003 0.030153
1 -4.0000000000000001E-003 0.030219
1 -2.0000000000000000E-003 0.030292
1 0.0000000000000000 0.03037
1 2.0000000000000000E-003 0.030453
1 4.0000000000000001E-003 0.030542
1 6.0000000000000001E-003 0.030637
1 8.0000000000000002E-003 0.030737
1 1.0000000000000000E-002 0.030843
1 1.2000000000000000E-002 0.030955
1 1.4000000000000000E-002 0.031072
1 1.6000000000000000E-002 0.031196
1 1.7999999999999999E-002 0.031326
1 2.0000000000000000E-002 0.03146
1 2.1999999999999999E-002 0.031601
1 2.4000000000000000E-002 0.031749
1 2.5999999999999999E-002 0.031902
1 2.8000000000000001E-002 0.032061
1 2.9999999999999999E-002 0.032227
1 3.2000000000000001E-002 0.032399
1 3.4000000000000002E-002 0.032578
1 3.5999999999999997E-002 0.032763
1 3.7999999999999999E-002 0.032954
1 4.0000000000000001E-002 0.033153
1 4.2000000000000003E-002 0.033358
1 4.3999999999999997E-002 0.03357
1 4.5999999999999999E-002 0.033789
1 4.8000000000000001E-002 0.034016
1 5.0000000000000003E-002 0.03425
      
1.2 -5.0000000000000003E-002 0.051959
1.2 -4.8000000000000001E-002 0.051566
1.2 -4.5999999999999999E-002 0.051199
1.2 -4.3999999999999997E-002 0.050859
1.2 -4.2000000000000003E-002 0.050544
1.2 -4.0000000000000001E-002 0.050255
1.2 -3.7999999999999999E-002 0.049988
1.2 -3.5999999999999997E-002 0.049745
1.2 -3.4000000000000002E-002 0.049524
1.2 -3.2000000000000001E-002 0.049326
1.2 -2.9999999999999999E-002 0.049149
