# generlized Kondo-Heisenberg model
# U/W=2, Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# Spatial decay of the local density-of-states at the Fermi level
# distance, LDOS
1 35.6491
2 17.922
3 14.6999
4 3.43543
5 7.95521
6 6.84826
7 2.65052
8 1.70091
9 1.04966
10 2.12045
11 0.465107
12 0.563612
13 0.210153
14 0.522274
15 0.196383
16 0.217828
17 0.154071
18 0.183625
19 0.183625
20 0.154071
21 0.217828
22 0.196383
23 0.522274
24 0.210153
25 0.563612
26 0.465107
27 2.12045
28 1.04966
29 1.70091
30 2.65052
31 6.84826
32 7.95521
33 3.43543
34 14.6999
35 17.922
36 35.6491
