# generlized Kondo-Heisenberg model
# U/W=1.2, Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# Spatial dependence of the chiral correlation function <kappa(r)kappa(L/2)>
# site, <kappa(r)kappa(L/2)>
           1  -5.1931560000000065E-004
           2  -3.3392140000001200E-004
           3  -1.0173590000000286E-003
           4  -6.7017400000000667E-004
           5  -1.5543849999999941E-003
           6  -1.1239519999999988E-003
           7  -2.3536729999999876E-003
           8  -1.8717619999999977E-003
           9  -3.6766749999999765E-003
          10  -3.2543190000000046E-003
          11  -6.2347600000000006E-003
          12  -6.3825899999999953E-003
          13  -1.1878070000000004E-002
          14  -1.6284079999999999E-002
          15  -3.2876220000000012E-002
          16 -0.10361329999999996     
          17  -3.5952250000000005E-002
          18  0.92878855000000038     
          19  -3.5952250000000005E-002
          20 -0.10361329999999996     
          21  -3.2876220000000012E-002
          22  -1.6284119999999992E-002
          23  -1.1878040000000013E-002
          24  -6.3825500000000059E-003
          25  -6.2347700000000006E-003
          26  -3.2549289999999828E-003
          27  -3.6766289999999929E-003
          28  -1.8717710000000017E-003
          29  -2.3536100000000060E-003
          30  -1.1239639999999979E-003
          31  -1.5543779999999973E-003
          32  -6.7019400000000243E-004
          33  -1.0173900000000212E-003
          34  -3.3398989999999774E-004
          35  -5.1940290000001405E-004
