# generlized Kondo-Heisenberg model
# Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# von Neumann entanglement entropy at L/2
# U/W, SvN
0.2 1.0511900000000001
0.4 1.0931000000000000
0.6 1.1384500000000000
0.8 1.1833400000000001
1 1.2384700000000000
1.1 1.2667700000000000
1.2 1.2926599999999999
1.3 1.3044100000000001
1.4 1.2499800000000001
1.41 1.2308200000000000
1.42 1.2095499999999999
1.43 1.1828200000000000
1.44 1.1471600000000000
1.45 1.1055800000000000
1.46 1.0563000000000000
1.47 1.0028900000000001
1.48 0.95367199999999996
1.49 0.93842800000000004
1.5 0.99904400000000004
1.51 1.3431200000000001
1.52 2.5421399999999998
1.53 2.6837499999999999
1.54 2.7145100000000002
1.55 3.1129699999999998
1.56 2.8213800000000000
1.57 2.9696400000000001
1.58 2.9064600000000000
1.59 3.0326100000000000
1.6 2.9763899999999999
1.65 2.7915299999999998
1.7 2.7813800000000000
1.8 2.8658000000000001
1.9 2.8744499999999999
2 2.8639199999999998
2.1 2.8856899999999999
2.2 2.8902700000000001
2.3 2.9227599999999998
2.4 2.9050699999999998
2.5 2.8348400000000000
2.6 2.8180700000000001
2.7 2.8038700000000000
2.8 2.8001100000000001
2.9 2.7185500000000000
3 2.6005700000000001
3.1 2.5079299999999998
3.2 2.4184800000000002
3.3 2.3430100000000000
3.4 2.3368900000000000
3.5 2.3933199999999999
3.6 2.3881100000000000
3.7 2.3592600000000000
3.8 2.2574000000000001
3.9 2.1838600000000000
4 2.0525699999999998
