# generlized Kondo-Heisenberg model
# Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# chirality correlation function at distance L/2
# U/W, kappa
1   7.3164000000002080E-004    
1.2 8.2988900000002504E-004    
1.4 7.9265000000000758E-004    
1.5 5.2153350000000079E-005    
1.6 6.7805899999999988E-002    
1.7 6.9186849999999994E-002    
1.8 6.7453500000000000E-002    
1.9 6.8190150000000005E-002    
2 6.6370550000000000E-002    
2.1 6.5254749999999986E-002    
2.2 6.5650390000000003E-002    
2.3 6.5905839999999993E-002    
2.4 6.7686240000000009E-002    
2.5 6.8275879999999983E-002    
2.6 6.8847764999999991E-002    
2.8 6.6518640000000004E-002    
3 6.1176219999999989E-002    
3.25 3.9307354799999999E-002    
3.5 7.8573200000000010E-003    
4 5.6682400000000084E-003    
4.5 7.1785000000000251E-003    
5 4.7950200000000274E-003    
5.5 -3.1999999999289541E-007    
6 9.9999999988997779E-008    
