# generlized Kondo-Heisenberg model
# Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# nonlocal singlet pairing amplitude
# U/W, DeltaS
0   0.13687958888888890
0.2 0.29330094444444443
0.4 0.33281303333333340
0.6 0.36729642222222225
0.8 0.39168987777777786
1 0.39867082222222222
1.2 0.38608092222222212
1.4 0.35255336111111113
1.5 0.31011594444444440
1.6 0.15062318333333327
1.7 0.11693558333333332
1.8 9.2306598333333309E-002
1.9 7.4076462777777768E-002
2   6.1847334833333344E-002
2.1 4.9066871000000005E-002
2.2 3.8732258333333339E-002
2.3 2.9003112944444444E-002
2.4 2.2610186527777777E-002
2.5 1.5549995227777781E-002
2.6 1.0845702777777775E-002
2.8 2.5446693611111109E-002
3   4.1787838166666660E-002
3.25  7.0298486222222234E-002
3.5  9.1853239444444443E-002
4  8.4700594444444471E-002
4. 7.6099794444444438E-002
5  7.3420788888888908E-002
5. 7.3273888888888875E-002
6  6.7739044444444438E-002
