# generlized Kondo-Heisenberg model
# Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# nonlocal triplet pairing amplitude
# U/W, DeltaT
0.0 0 0 0
0.2 0 0 0
0.4 0 0 0
0.6 0 0 0
0.8 0 0 0
1 5.5555555549443208E-009 1.0834062222222222E-008 1.0828987222222222E-008
1.2 4.4444444444180498E-008 1.0607998333333333E-008 1.0635633888888892E-008
1.4 2.2222222222861237E-008 7.5884011111111089E-009 7.5890133333333325E-009
1.5 1.6666666666760433E-008 1.1763895444444443E-009 1.1349402777777779E-009
1.6 3.3562222222222125E-003 2.3965189444444444E-003 2.3964560555555560E-003
1.7 2.3433944444444447E-003 1.1161593457777775E-002 1.1161437520555557E-002
1.8 1.4303383333333333E-002 7.5352847777777777E-003 7.5272474911111100E-003
1.9 2.7244944444444444E-003 5.7803123333333324E-003 5.7799826666666658E-003
2   1.5036023888888889E-002 5.9033451111111116E-003 5.8954337777777773E-003
2.1 1.9352492166666669E-002 1.6241675611111108E-003 1.6230911150000001E-003
2.2 1.6450550222222225E-002 4.9952699327777779E-003 4.9948145666666660E-003
2.3 3.0899816666666662E-003 9.7953505555555560E-003 9.7551355555555545E-003
2.4 1.1913420483333334E-002 8.2537855555555560E-003 8.2522988888888895E-003
2.5 1.2985559722222222E-002 8.0294825000000007E-003 8.0162497944444439E-003
2.6 1.8160961872222225E-002 5.6186275555555549E-003 5.5598492077777780E-003
2.7 1.7414782833333333E-002 6.5155572222222215E-003 6.5005938888888894E-003
2.8 2.3712894444444445E-002 4.3891507333333329E-003 4.4366652777777767E-003
2.9 2.1590365444444447E-002 6.3850063222222223E-003 7.6221354500000000E-003
3   1.4682366277777780E-002 1.1636319277777777E-002 1.1939298888888889E-002
3.2 2.4690474166666670E-002 1.6477714888888884E-002 1.9427948499999997E-002
3.4 2.3640572119444446E-002 1.9010754277777778E-002 1.5394144472222222E-002
3.6 2.7268112283333333E-002 1.4999424166666664E-002 1.4159976611111109E-002
3.8 2.1133493333333333E-002 9.5409027777777784E-003 9.0023498333333327E-003
4   1.8201665611111112E-002 5.3901726444444446E-003 6.1909955844444452E-003
