# Fig. 1A
# Two-orbital Haldane model
# Dynamical spin-structure factor S(q,omega)
# for Hund exchange Jh/U=0.25
# for interaction U/W=4.0 (W=1)
# in the function of wavevector q and frequency normalized by J

# 1st column: wave vector q/pi
# 2nd column: frequency omega normalized by effective exchange J
# 3rd column: S(q,omega)

 1  0  0.584667
 1  0.02  0.636215
 1  0.04  0.693933
 1  0.06  0.759354
 1  0.08  0.834312
 1  0.1  0.9209
 1  0.12  1.02144
 1  0.14  1.13849
 1  0.16  1.27486
 1  0.18  1.43349
 1  0.2  1.61727
 1  0.22  1.82853
 1  0.24  2.06827
 1  0.26  2.3347
 1  0.28  2.62135
 1  0.3  2.91494
 1  0.32  3.19374
 1  0.34  3.42843
 1  0.36  3.58684
 1  0.38  3.64301
 1  0.4  3.5861
 1  0.42  3.42518
 1  0.44  3.18616
 1  0.46  2.89761
 1  0.48  2.58886
 1  0.5  2.27891
 1  0.52  1.99276
 1  0.54  1.74239
 1  0.56  1.52818
 1  0.58  1.35019
 1  0.6  1.19605
 1  0.62  1.0612
 1  0.64  0.954897
 1  0.66  0.847014
 1  0.68  0.756574
 1  0.7  0.664649
 1  0.72  0.561153
 1  0.74  0.511575
 1  0.76  0.460262
 1  0.78  0.437657
 1  0.8  0.343412
 1  0.82  0.376465
 1  0.84  0.378442
 1  0.86  0.357944
 1  0.88  0.308177
 1  0.9  0.324152
 1  0.92  0.284489
 1  0.94  0.268488
 1  0.96  0.26277
 1  0.98  0.213683
 1  1  0.204078
 1  1.02  0.152583
 1  1.04  0.172592
 1  1.06  0.207312
 1  1.08  0.145933
 1  1.1  0.138939
 1  1.12  0.156125
 1  1.14  0.13381
 1  1.16  0.154892
 1  1.18  0.171123
 1  1.2  0.140993
 1  1.22  0.152571
 1  1.24  0.129241
 1  1.26  0.140746
 1  1.28  0.113896
 1  1.3  0.105693
 1  1.32  0.128395
 1  1.34  0.123268
 1  1.36  0.169281
 1  1.38  0.173016
 1  1.4  0.0958624
 1  1.42  0.0979603
 1  1.44  0.153104
 1  1.46  0.156618
 1  1.48  0.143374
 1  1.5  0.126165
 1  1.52  0.12632
 1  1.54  0.140834
 1  1.56  0.107107
 1  1.58  0.139875
 1  1.6  0.09956
 1  1.62  0.117788
 1  1.64  0.0790422
 1  1.66  0.123827
 1  1.68  0.127853
 1  1.7  0.0839408
 1  1.72  0.0785361
 1  1.74  0.0670388
 1  1.76  0.0786686
 1  1.78  0.128821
 1  1.8  0.151514
 1  1.82  0.136123
 1  1.84  0.0795615
 1  1.86  0.0802596
 1  1.88  0.14394
 1  1.9  0.124228
 1  1.92  0.0808512
 1  1.94  0.0990902
 1  1.96  0.113208
 1  1.98  0.100422
 1  2  0.111554
 1  2.02  0.116811
 1  2.04  0.0805736
 1  2.06  0.115917
 1  2.08  0.0929193
 1  2.1  0.0876274
 1  2.12  0.0787992
 1  2.14  0.0246225
 1  2.16  0.0728787
 1  2.18  0.063006
 1  2.2  0.0708667
 1  2.22  0.0758617
 1  2.24  0.0779531
 1  2.26  0.0454592
 1  2.28  0.0450578
 1  2.3  0.00904784
 1  2.32  0.0173442
 1  2.34  0.01041
 1  2.36 -0.0133262
 1  2.38  0.00509247
 1  2.4 -0.0112957
 1  2.42  0.0220623
 1  2.44 -0.0182621
 1  2.46  0.0136555
 1  2.48 -0.0223824
 1  2.5 -0.0710196
 1  2.52 -0.0135054
 1  2.54 -0.0176792
 1  2.56 -0.0117268
 1  2.58 -0.0294626
 1  2.6 -0.0685048
 1  2.62 -0.0476263
 1  2.64 -0.0604352
 1  2.66 -0.0355345
 1  2.68 -0.0355223
 1  2.7 -0.0665525
 1  2.72 -0.027844
 1  2.74  0.0185382
 1  2.76 -0.0233373
 1  2.78 -0.0360524
 1  2.8 -0.0131185
 1  2.82 -0.0310401
 1  2.84  0.0343512
 1  2.86 -0.00850878
 1  2.88  0.00589982
 1  2.9  0.00361004
 1  2.92  0.0179427
 1  2.94  0.0202722
 1  2.96  0.0162076
 1  2.98  0.0164784
 1  3  0.0212113
 1  3.02  0.00193242
 1  3.04  0.0122298
 1  3.06  0.00520519
 1  3.08  0.0352456
 1  3.1  0.0383896
 1  3.12  0.00600799
 1  3.14  0.0230632
 1  3.16  0.0275074
 1  3.18  0.0479303
 1  3.2  0.0152667
 1  3.22  0.0329668
 1  3.24  0.043266
 1  3.26  0.0272893
 1  3.28  0.0171784
 1  3.3  0.0270964
 1  3.32  0.0368906
 1  3.34  0.0486306
 1  3.36  0.0506571
 1  3.38  0.0313807
 1  3.4  0.0414153
 1  3.42  0.0416464
 1  3.44  0.0396386
 1  3.46  0.0371338
 1  3.48  0.0389573
 1  3.5  0.0477336
 1  3.52  0.0537266
 1  3.54  0.0504195
 1  3.56  0.0573111
 1  3.58  0.0596566
 1  3.6  0.0498233
 1  3.62  0.0530085
 1  3.64  0.0567442
 1  3.66  0.0522158
 1  3.68  0.0634749
 1  3.7  0.0573998
 1  3.72  0.0582958
 1  3.74  0.0487198
 1  3.76  0.0511099
 1  3.78  0.056796
 1  3.8  0.0518031
 1  3.82  0.0513742
 1  3.84  0.0548374
 1  3.86  0.0508826
 1  3.88  0.0475009
 1  3.9  0.0475443
 1  3.92  0.0483677
 1  3.94  0.0510451
 1  3.96  0.0480893
 1  3.98  0.0436595
 1  4  0.0426184

 0.983333  0  0.317161
 0.983333  0.02  0.351882
 0.983333  0.04  0.392868
 0.983333  0.06  0.440391
 0.983333  0.08  0.494749
 0.983333  0.1  0.556447
 0.983333  0.12  0.626301
 0.983333  0.14  0.705503
 0.983333  0.16  0.795548
 0.983333  0.18  0.898195
 0.983333  0.2  1.01533
 0.983333  0.22  1.1487
 0.983333  0.24  1.29964
 0.983333  0.26  1.46831
 0.983333  0.28  1.65292
 0.983333  0.3  1.8487
 0.983333  0.32  2.04716
 0.983333  0.34  2.23635
 0.983333  0.36  2.40275
 0.983333  0.38  2.53526
 0.983333  0.4  2.62876
 0.983333  0.42  2.68527
 0.983333  0.44  2.71227
 0.983333  0.46  2.71486
 0.983333  0.48  2.69303
 0.983333  0.5  2.64031
