# generalized Kondo-Heisenberg model
# U/W=XXXXX n=1.5 L=48
# density-of-states DOS(omega)
# Jh/U, omega-Ef, DOS(omega)

 0 -5.99499 0.000765645
 0 -5.98498 0.000769823
 0 -5.97497 0.000774046
 0 -5.96496 0.000778324
 0 -5.95495 0.000782661
 0 -5.94494 0.000787059
 0 -5.93493 0.000791517
 0 -5.92492 0.000796027
 0 -5.91491 0.000800579
 0 -5.90489 0.000805161
 0 -5.89488 0.00080977
 0 -5.88487 0.000814405
 0 -5.87486 0.000819074
 0 -5.86485 0.000823784
 0 -5.85484 0.000828548
 0 -5.84483 0.000833379
 0 -5.83482 0.000838285
 0 -5.82481 0.000843273
 0 -5.81479 0.000848344
 0 -5.80478 0.000853499
 0 -5.79477 0.000858749
 0 -5.78476 0.000864106
 0 -5.77475 0.000869585
 0 -5.76474 0.000875191
 0 -5.75473 0.000880923
 0 -5.74472 0.000886775
 0 -5.73471 0.00089274
 0 -5.72469 0.000898788
 0 -5.71468 0.000904852
 0 -5.70467 0.000910837
 0 -5.69466 0.000916672
 0 -5.68465 0.000922364
 0 -5.67464 0.000927995
 0 -5.66463 0.000933668
 0 -5.65462 0.000939457
 0 -5.64461 0.000945409
 0 -5.63459 0.000951553
 0 -5.62458 0.00095791
 0 -5.61457 0.000964504
 0 -5.60456 0.000971353
 0 -5.59455 0.000978463
 0 -5.58454 0.00098581
 0 -5.57453 0.000993326
 0 -5.56452 0.00100093
 0 -5.55451 0.00100858
 0 -5.54449 0.00101623
 0 -5.53448 0.0010239
 0 -5.52447 0.00103157
 0 -5.51446 0.00103925
 0 -5.50445 0.00104696
 0 -5.49444 0.00105475
 0 -5.48443 0.00106266
 0 -5.47442 0.00107077
 0 -5.4644 0.00107914
 0 -5.45439 0.00108788
 0 -5.44438 0.00109707
 0 -5.43437 0.00110675
 0 -5.42436 0.00111686
 0 -5.41435 0.00112722
 0 -5.40434 0.00113758
 0 -5.39433 0.00114775
 0 -5.38432 0.00115766
 0 -5.3743 0.0011674
 0 -5.36429 0.00117714
 0 -5.35428 0.00118706
 0 -5.34427 0.00119726
 0 -5.33426 0.00120778
 0 -5.32425 0.00121864
 0 -5.31424 0.00122994
 0 -5.30423 0.00124185
 0 -5.29422 0.00125454
 0 -5.2842 0.00126815
 0 -5.27419 0.00128264
 0 -5.26418 0.00129775
 0 -5.25417 0.00131316
 0 -5.24416 0.00132869
 0 -5.23415 0.00134433
 0 -5.22414 0.00135995
 0 -5.21413 0.00137522
 0 -5.20412 0.0013898
 0 -5.1941 0.00140372
 0 -5.18409 0.00141755
 0 -5.17408 0.00143218
 0 -5.16407 0.00144849
 0 -5.15406 0.00146709
 0 -5.14405 0.00148819
 0 -5.13404 0.00151137
 0 -5.12403 0.00153567
 0 -5.11402 0.00155992
 0 -5.104 0.00158361
 0 -5.09399 0.00160735
 0 -5.08398 0.00163227
 0 -5.07397 0.0016592
 0 -5.06396 0.0016885
 0 -5.05395 0.00172047
 0 -5.04394 0.00175521
 0 -5.03393 0.00179194
 0 -5.02392 0.00182903
 0 -5.0139 0.00186481
 0 -5.00389 0.00189801
 0 -4.99388 0.00192776
 0 -4.98387 0.00195421
