# two-orbital Hubbard model
# U/W=1.3 Jh/U=0.25 n=2.5 L=48
# single-particle spectral function A(q,omega) q=k*pi/L
# orbital gamma=2
# k, omega-Ef, A(q,omega)

0.0 -6.0 0.0002919806097368477
0.0 -5.98 0.0003457128032333014
0.0 -5.96 0.00032704567652800054
0.0 -5.94 0.000331227212136427
0.0 -5.92 0.00029641524986977094
0.0 -5.9 0.0003241492323145815
0.0 -5.88 0.00036279829586405884
0.0 -5.86 0.00040345432846938215
0.0 -5.84 0.000460436015018851
0.0 -5.82 0.00037413837295294987
0.0 -5.8 0.00037085577118528296
0.0 -5.78 0.0003859474890582441
0.0 -5.76 0.00037704138440388703
0.0 -5.74 0.0004214854567736927
0.0 -5.72 0.0005162037131487455
0.0 -5.7 0.0005077290188350948
0.0 -5.68 0.0005314589140244904
0.0 -5.66 0.0004487184547127168
0.0 -5.64 0.0004204224948760236
0.0 -5.62 0.0004963475242796314
0.0 -5.6 0.0006120101102632869
0.0 -5.58 0.0005083117880477831
0.0 -5.56 0.0006086312865013813
0.0 -5.54 0.0005564482298889604
0.0 -5.52 0.000493368517660131
0.0 -5.5 0.0004895774003339365
0.0 -5.48 0.0005053530281949616
0.0 -5.46 0.0006246296420898825
0.0 -5.44 0.0005883049818016152
0.0 -5.42 0.0006100369810922618
0.0 -5.4 0.0005760539065641764
0.0 -5.38 0.0005886367934713028
0.0 -5.36 0.0006147110861025297
0.0 -5.34 0.0007925232760370504
0.0 -5.32 0.0006550735272969989
0.0 -5.3 0.0007356996153021038
0.0 -5.28 0.0006544583473048199
0.0 -5.26 0.0006955427592181492
0.0 -5.24 0.0007671532332185878
0.0 -5.22 0.000699280873354093
0.0 -5.2 0.000803287862379935
0.0 -5.18 0.000871430708677944
0.0 -5.16 0.0006978616654090889
0.0 -5.14 0.0008397707944217816
0.0 -5.12 0.0008113139040308943
0.0 -5.1 0.0008593479488134061
0.0 -5.08 0.0007018960696385111
0.0 -5.06 0.0008586488703678366
0.0 -5.04 0.0008027742751592359
0.0 -5.02 0.0007786943887509514
0.0 -5.0 0.000831273912417003
0.0 -4.98 0.0008934942604052182
0.0 -4.96 0.0011049532331191012
0.0 -4.94 0.0009092247152438027
0.0 -4.92 0.0010402695794785727
0.0 -4.9 0.0011241530239395102
0.0 -4.88 0.0010928621711496448
0.0 -4.86 0.001192537149746282
0.0 -4.84 0.0012189875031364242
0.0 -4.82 0.0011779766402950933
0.0 -4.8 0.001209396551266786
0.0 -4.78 0.0013017885232791942
0.0 -4.76 0.001313032318550833
0.0 -4.74 0.0015021958389478454
0.0 -4.72 0.0016370312754546837
0.0 -4.7 0.0020079120792477517
0.0 -4.68 0.0020670107826105013
0.0 -4.66 0.0018551645223521074
0.0 -4.64 0.001911528409990792
0.0 -4.62 0.0025256957580736565
0.0 -4.6 0.0023857118067629056
0.0 -4.58 0.002502726971148165
0.0 -4.56 0.002551207149379785
0.0 -4.54 0.002888753439878663
0.0 -4.52 0.0025988046257483977
0.0 -4.5 0.00269808237288623
0.0 -4.48 0.0031321138124145195
0.0 -4.46 0.0033236173831143576
0.0 -4.44 0.003857310380943183
0.0 -4.42 0.003910269122693879
0.0 -4.4 0.0042080875878229606
0.0 -4.38 0.004603085341704879
0.0 -4.36 0.004270617958609826
0.0 -4.34 0.004438975167738134
0.0 -4.32 0.005140516699608706
0.0 -4.3 0.005475278288636987
0.0 -4.28 0.005924515388938574
0.0 -4.26 0.006094202942248348
0.0 -4.24 0.006238878879003498
0.0 -4.22 0.006570890237911155
0.0 -4.2 0.007136122666446298
0.0 -4.18 0.0067214599246944555
0.0 -4.16 0.007062349238204964
0.0 -4.14 0.006640204890756988
0.0 -4.12 0.0076000200211041235
0.0 -4.1 0.007900512448658204
0.0 -4.08 0.008636651955874973
0.0 -4.06 0.006744229687099947
0.0 -4.04 0.00751515894895124
0.0 -4.02 0.007221642516274437
0.0 -4.0 0.006851068524778278
0.0 -3.98 0.006512593714634805
0.0 -3.96 0.0072958028797692025
0.0 -3.94 0.007433084186843323
0.0 -3.92 0.007652948964346935
0.0 -3.9 0.009901443534483525
0.0 -3.88 0.009561801969513397
0.0 -3.86 0.010240323100491546
0.0 -3.84 0.009463488921649525
0.0 -3.82 0.009395500186082128
0.0 -3.8 0.011763550484355146
0.0 -3.78 0.012402154184244677
0.0 -3.76 0.012891296525034072
0.0 -3.74 0.014413656149494115
0.0 -3.72 0.01439770948763657
0.0 -3.7 0.016272638982055703
0.0 -3.68 0.02099392819137157
0.0 -3.66 0.023056968739905485
0.0 -3.64 0.022629031444207654
0.0 -3.62 0.024713597901749585
0.0 -3.6 0.023948323197576143
0.0 -3.58 0.026847717017927
0.0 -3.56 0.027151718284593025
0.0 -3.54 0.02875163186594716
0.0 -3.52 0.02549146520409938
0.0 -3.5 0.02824033360005014
0.0 -3.48 0.02809955977225285
0.0 -3.46 0.026859374775160313
0.0 -3.44 0.021717498630797426
0.0 -3.42 0.020001552458119118
0.0 -3.4 0.017556445033081843
0.0 -3.38 0.017571595915915478
0.0 -3.36 0.0175974560288632
0.0 -3.34 0.014586957511364103
0.0 -3.32 0.013724215630154303
0.0 -3.3 0.014906712125142019
0.0 -3.28 0.012836806699655512
0.0 -3.26 0.012969982904991868
0.0 -3.24 0.013407799752072038
0.0 -3.22 0.011543919794304636
0.0 -3.2 0.01079937622381254
0.0 -3.18 0.010588815839295341
0.0 -3.16 0.010854312608048299
0.0 -3.14 0.008576259659602249
0.0 -3.12 0.009205676671608582
0.0 -3.1 0.008532725621565774
0.0 -3.08 0.008986665934097353
0.0 -3.06 0.00986359245011548
0.0 -3.04 0.008701686704136648
0.0 -3.02 0.009591427535714386
0.0 -3.0 0.009633972446746263
0.0 -2.98 0.008726943814399007
0.0 -2.96 0.009100097773071443
0.0 -2.94 0.008351478281178333
0.0 -2.92 0.009955946487690114
0.0 -2.9 0.008377358893478794
0.0 -2.88 0.008376603601341232
0.0 -2.86 0.008355338573849512
0.0 -2.84 0.00866641736169428
0.0 -2.82 0.00989964380564157
0.0 -2.8 0.00887021165699573
0.0 -2.78 0.008775669818688442
0.0 -2.76 0.008323262570591185
0.0 -2.74 0.00846584407039727
0.0 -2.72 0.009504029894658251
0.0 -2.7 0.00845166399543201
0.0 -2.68 0.00943937602623161
0.0 -2.66 0.008595274889778006
