# two-orbital Hubbard model
# U/W=1.3 Jh/U=0.25 n=2.5 L=48
# single-particle spectral function A(q,omega) q=k*pi/L
# orbital gamma=1
# k, omega-Ef, A(q,omega)

0.0 -6.0 0.0007637606767515081
0.0 -5.98 0.0006690299638955764
0.0 -5.96 0.0007880564777106945
0.0 -5.94 0.0007794207331968221
0.0 -5.92 0.0009683394179392487
0.0 -5.9 0.0009457709932102894
0.0 -5.88 0.0012763735733183532
0.0 -5.86 0.0009690858961527733
0.0 -5.84 0.0012671551127678051
0.0 -5.82 0.0013385162112116082
0.0 -5.8 0.001305016420224218
0.0 -5.78 0.0011781646507335458
0.0 -5.76 0.001563389005847661
0.0 -5.74 0.001786018178232173
0.0 -5.72 0.001718855877659786
0.0 -5.7 0.002163835772887456
0.0 -5.68 0.002463300055537911
0.0 -5.66 0.002022213960516167
0.0 -5.64 0.0020610791912026053
0.0 -5.62 0.0023208357490159086
0.0 -5.6 0.003187318688983336
0.0 -5.58 0.0034489784628055067
0.0 -5.56 0.0027572381673451724
0.0 -5.54 0.004174343639175139
0.0 -5.52 0.004188276173156193
0.0 -5.5 0.004013444731355577
0.0 -5.48 0.00396680022230321
0.0 -5.46 0.004271499523835569
0.0 -5.44 0.004267487599765345
0.0 -5.42 0.004901937840980942
0.0 -5.4 0.006015937802718899
0.0 -5.38 0.0061117187152295496
0.0 -5.36 0.005930592808913169
0.0 -5.34 0.005126605662030621
0.0 -5.32 0.006966532179299958
0.0 -5.3 0.006731079937254807
0.0 -5.28 0.007430626910021401
0.0 -5.26 0.007233433619005572
0.0 -5.24 0.007634559349955768
0.0 -5.22 0.008555868121229415
0.0 -5.2 0.008225754328379315
0.0 -5.18 0.007145738770569749
0.0 -5.16 0.006797931264507327
0.0 -5.14 0.007339078555502971
0.0 -5.12 0.008901198502523328
0.0 -5.1 0.009439017227735682
0.0 -5.08 0.008905798500113471
0.0 -5.06 0.010131694005948454
0.0 -5.04 0.00993962519417898
0.0 -5.02 0.00890124542370717
0.0 -5.0 0.010623238293918973
0.0 -4.98 0.012857971696421115
0.0 -4.96 0.01618149055767871
0.0 -4.94 0.016059166193874392
0.0 -4.92 0.012228361382963114
0.0 -4.9 0.01238148638319399
0.0 -4.88 0.012355827720921824
0.0 -4.86 0.012477734240915559
0.0 -4.84 0.01572821709892925
0.0 -4.82 0.015935557090966154
0.0 -4.8 0.010883797497108775
0.0 -4.78 0.009493441227858024
0.0 -4.76 0.009392604705683937
0.0 -4.74 0.00912681778866691
0.0 -4.72 0.01113894792214953
0.0 -4.7 0.0077134430262131735
0.0 -4.68 0.009404871653961045
0.0 -4.66 0.007760304619688707
0.0 -4.64 0.009715984627334712
0.0 -4.62 0.008925111708721088
0.0 -4.6 0.008863561159136675
0.0 -4.58 0.005022828419965874
0.0 -4.56 0.00490227122134299
0.0 -4.54 0.008998936465108288
0.0 -4.52 0.008478515734656918
0.0 -4.5 0.00921176148969589
0.0 -4.48 0.0059903330210411805
0.0 -4.46 0.005640302332256946
0.0 -4.44 0.003076746915183254
0.0 -4.42 0.0037410880709011682
0.0 -4.4 0.006425831433867516
0.0 -4.38 0.009124023562043108
0.0 -4.36 0.007587186509004073
0.0 -4.34 0.007001000391882163
0.0 -4.32 0.006320522131065685
0.0 -4.3 0.00758325850332824
0.0 -4.28 0.009133508534120259
0.0 -4.26 0.00813772999472434
0.0 -4.24 0.010282542707268237
0.0 -4.22 4.221948713066452e-05
0.0 -4.2 0.006608622999004859
0.0 -4.18 0.005971076411651647
0.0 -4.16 0.006767726910647563
0.0 -4.14 0.006556410682291678
0.0 -4.12 0.0034059297755271983
0.0 -4.1 0.00400740000133453
0.0 -4.08 0.0034158035905472103
0.0 -4.06 0.0032425637599704385
0.0 -4.04 0.0017858853113184646
0.0 -4.02 0.002126350878481037
0.0 -4.0 0.002847321496137011
0.0 -3.98 0.004578901715543613
0.0 -3.96 0.004909806062874425
0.0 -3.94 0.005095420330390143
0.0 -3.92 0.004029650533215019
0.0 -3.9 0.0021869510131977943
0.0 -3.88 0.0023193671937314976
0.0 -3.86 0.002794748885352558
0.0 -3.84 0.0011919674485386137
0.0 -3.82 0.0028051983174116044
0.0 -3.8 0.0028317458233762015
0.0 -3.78 0.0032089734767041384
0.0 -3.76 0.0025911973784292297
0.0 -3.74 0.0028191102988639094
0.0 -3.72 0.0022918653976973513
0.0 -3.7 0.002021430790854163
0.0 -3.68 0.0020280365942748793
0.0 -3.66 0.002486791190432126
0.0 -3.64 0.0018935960494823095
0.0 -3.62 0.002905404703840061
0.0 -3.6 0.00217705750311223
0.0 -3.58 0.0019564626256068788
0.0 -3.56 0.0023368044523305567
0.0 -3.54 0.0015105554470768968
0.0 -3.52 0.001665160581668859
0.0 -3.5 0.0018572052781167631
0.0 -3.48 0.001649856472155812
0.0 -3.46 0.0015335945061026287
