# generalized Kondo-Heisenberg model
# U/W=1.3 Jh/U=0.25 n=1.5 L=48
# density-of-states DOS(omega)
# omega-Ef, DOS(omega)

-8.04675 9.042617570495509313e-05
-8.02675 9.119604715864107264e-05
-8.00675 9.195846094790948344e-05
-7.98675 9.296451962891712445e-05
-7.96675 9.361451607253048264e-05
-7.94675 9.455962202075697803e-05
-7.92675 9.545805787901351890e-05
-7.90675 9.657815089053975064e-05
-7.88675 9.765737108266037169e-05
-7.86675 9.848455868102163929e-05
-7.84675 9.963016532619965000e-05
-7.82675 1.005463229044703294e-04
-7.80675 1.016185271186428987e-04
-7.78675 1.030125330251487271e-04
-7.76675 1.042907725824498576e-04
-7.74675 1.051345923351857292e-04
-7.72675 1.057381704609689177e-04
-7.70675 1.069114318882118868e-04
-7.68675 1.090231490064708748e-04
-7.66675 1.099687878000450491e-04
-7.64675 1.116108185653431228e-04
-7.62675 1.127182828165628804e-04
-7.60675 1.152028549398523375e-04
-7.58675 1.170589462852358284e-04
-7.56675 1.166390229127555340e-04
-7.54675 1.190033293450658801e-04
-7.52675 1.203725747638899031e-04
-7.50675 1.211855947532624808e-04
-7.48675 1.238292543121769992e-04
-7.46675 1.270852215446882281e-04
-7.44675 1.281419786699029221e-04
-7.42675 1.281063800427367110e-04
-7.40675 1.335069684076422224e-04
-7.38675 1.373253848334923203e-04
-7.36675 1.352051085477041137e-04
-7.34675 1.384226566539482276e-04
-7.32675 1.395933037747910780e-04
-7.30675 1.460908210291345230e-04
-7.28675 1.501532003175727614e-04
-7.26675 1.488018513399460500e-04
-7.24675 1.603177115044840634e-04
-7.22675 1.655906828660175213e-04
-7.20675 1.616495633344209237e-04
-7.18675 1.700112753072858889e-04
-7.16675 1.682894523077096657e-04
-7.14675 1.728290570053819092e-04
-7.12675 1.840738410524122150e-04
-7.10675 1.813286391849682963e-04
-7.08675 2.024427380963176508e-04
-7.06675 2.084080600526409615e-04
-7.04675 2.065738370710055441e-04
-7.02675 2.248615593043133405e-04
-7.00675 2.363719379986864314e-04
-6.98675 2.159273608944834951e-04
-6.96675 2.460370417826657631e-04
-6.94675 2.365161719632867738e-04
-6.92675 2.393720048964627497e-04
-6.90675 2.780090388653435750e-04
-6.88675 2.667652619068725710e-04
-6.86675 2.957347622735800028e-04
-6.84675 3.072241060568057917e-04
-6.82675 2.916211289058673632e-04
-6.80675 3.227629203801804189e-04
-6.78675 3.164944202732975095e-04
-6.76675 3.117649283766368699e-04
-6.74675 2.971711158199138178e-04
-6.72675 3.642279100291004237e-04
-6.70675 3.171505395548972726e-04
-6.68675 3.552437326790667095e-04
-6.66675 3.695539228350559887e-04
-6.64675 3.602101703751425105e-04
-6.62675 3.751627614867857475e-04
-6.60675 3.943215100570763763e-04
-6.58675 3.411643611436071272e-04
-6.56675 3.783435682242116673e-04
-6.54675 3.747354694383166250e-04
-6.52675 3.371415046549971562e-04
-6.50675 3.370315648774250064e-04
-6.48675 3.446325082617283215e-04
-6.46675 3.852499156837370028e-04
-6.44675 3.602619909417313529e-04
-6.42675 3.687624640908298570e-04
-6.40675 4.082237186536312717e-04
-6.38675 3.928856643959210276e-04
-6.36675 4.041723858678276048e-04
-6.34675 3.845299537158716752e-04
-6.32675 4.144713162467851303e-04
-6.30675 4.035262549947403552e-04
-6.28675 4.146295789116074713e-04
-6.26675 4.237299577859668246e-04
-6.24675 4.992587000119451477e-04
-6.22675 4.786810949738133799e-04
-6.20675 5.314287267348400800e-04
-6.18675 5.610255184731378388e-04
-6.16675 5.660490585246149512e-04
-6.14675 5.688933750528437109e-04
-6.12675 5.589038172872652340e-04
-6.10675 5.350381777107617379e-04
-6.08675 5.408300210661750197e-04
-6.06675 6.338791144295773117e-04
-6.04675 5.931340379134090015e-04
-6.02675 7.109457286354744837e-04
-6.00675 7.242115853190799835e-04
-5.98675 7.621676385927781674e-04
-5.96675 7.625271192881054750e-04
-5.94675 7.135661752371872876e-04
-5.92675 7.517587738623718015e-04
-5.90675 8.726380617621473873e-04
-5.88675 7.652186676443732899e-04
-5.86675 8.742039640118919519e-04
-5.84675 8.853610141499923579e-04
-5.82675 8.668640595014704417e-04
-5.80675 8.964189442011842070e-04
-5.78675 9.699841252757166821e-04
-5.76675 1.074309145380530602e-03
-5.74675 1.094980800335582701e-03
-5.72675 1.149437601375709979e-03
-5.70675 1.519515692101380041e-03
-5.68675 1.329515552689091622e-03
-5.66675 1.673224439196783608e-03
-5.64675 1.922118100700561391e-03
-5.62675 1.969729066412701218e-03
-5.60675 1.733686667758747944e-03
-5.58675 2.003518130159089809e-03
-5.56675 2.221863961052687655e-03
-5.54675 2.303409696040563479e-03
-5.52675 2.806278029346187097e-03
-5.50675 2.562080276374245104e-03
-5.48675 3.257842504118669061e-03
-5.46675 2.988012469874085347e-03
-5.44675 3.408538488272056053e-03
-5.42675 3.370386659369926236e-03
-5.40675 3.916880102636610336e-03
-5.38675 3.985079152316975751e-03
-5.36675 3.994068791603129324e-03
-5.34675 4.157221667935604402e-03
-5.32675 5.470922555194952970e-03
-5.30675 4.543756297627443881e-03
-5.28675 5.482231098365943599e-03
-5.26675 5.782590133486233998e-03
-5.24675 6.794822600526284791e-03
-5.22675 5.888144319285579416e-03
-5.20675 7.460413120277253375e-03
-5.18675 6.636930301203581260e-03
-5.16675 6.505331912121127373e-03
-5.14675 7.120139098130112698e-03
-5.12675 8.667055765360255973e-03
-5.10675 7.563774497710046459e-03
-5.08675 7.907330983936965499e-03
-5.06675 8.255204520227424000e-03
-5.04675 1.011626388556464626e-02
-5.02675 9.512250421876731338e-03
-5.00675 1.140709416713035947e-02
-4.98675 1.224771385907144454e-02
-4.96675 1.098713581785673576e-02
-4.94675 1.269874786079756498e-02
-4.92675 1.362517834901364258e-02
-4.90675 1.445388682256493196e-02
-4.88675 1.363394394039642125e-02
-4.86675 1.500752480384332996e-02
-4.84675 1.403411663932385353e-02
-4.82675 1.752622250930423869e-02
-4.80675 1.763245963245898759e-02
-4.78675 1.601729526709379930e-02
-4.76675 1.758582368800026136e-02
-4.74675 1.761481098822317154e-02
-4.72675 1.856871261894405684e-02
