# generalized Kondo-Heisenberg model
# Jh/U=0.25 n=1.0 L=48
# density-of-states DOS(omega)
# U/W, omega-Ef, DOS(omega)

0 -10.99 0
0 -10.97 0
0 -10.9499 0
0 -10.9299 0
0 -10.9099 0
0 -10.8898 0
0 -10.8698 0
0 -10.8498 0
0 -10.8297 0
0 -10.8097 0
0 -10.7897 0
0 -10.7696 0
0 -10.7496 0
0 -10.7296 0
0 -10.7096 0
0 -10.6895 0
0 -10.6695 0
0 -10.6495 0
0 -10.6294 0
0 -10.6094 0
0 -10.5894 0
0 -10.5693 0
0 -10.5493 0
0 -10.5293 0
0 -10.5092 0
0 -10.4892 0
0 -10.4692 0
0 -10.4492 0
0 -10.4291 0
0 -10.4091 0
0 -10.3891 0
0 -10.369 0
0 -10.349 0
0 -10.329 0
0 -10.3089 0
0 -10.2889 0
0 -10.2689 0
0 -10.2488 0
0 -10.2288 0
0 -10.2088 0
0 -10.1888 0
0 -10.1687 0
0 -10.1487 0
0 -10.1287 0
0 -10.1086 0
0 -10.0886 0
0 -10.0686 0
0 -10.0485 0
0 -10.0285 0
0 -10.0085 0
0 -9.98844 0
0 -9.96841 0
0 -9.94838 0
0 -9.92835 0
0 -9.90832 0
0 -9.88829 0
0 -9.86826 0
0 -9.84823 0
0 -9.8282 0
0 -9.80817 0
0 -9.78814 0
0 -9.7681 0
0 -9.74807 0
0 -9.72804 0
0 -9.70801 0
0 -9.68798 0
0 -9.66795 0
0 -9.64792 0
0 -9.62789 0
0 -9.60786 0
0 -9.58783 0
0 -9.5678 0
0 -9.54777 0
0 -9.52773 0
0 -9.5077 0
0 -9.48767 0
0 -9.46764 0
0 -9.44761 0
0 -9.42758 0
0 -9.40755 0
0 -9.38752 0
0 -9.36749 0
0 -9.34746 0
0 -9.32743 0
0 -9.3074 0
0 -9.28737 0
0 -9.26733 0
0 -9.2473 0
0 -9.22727 0
0 -9.20724 0
0 -9.18721 0
0 -9.16718 0
0 -9.14715 0
0 -9.12712 0
0 -9.10709 0
0 -9.08706 0
0 -9.06703 0
0 -9.047 0
0 -9.02696 0
0 -9.00693 0
0 -8.9869 0
0 -8.96687 0
0 -8.94684 0
0 -8.92681 0
0 -8.90678 0
0 -8.88675 0
0 -8.86672 0
0 -8.84669 0
0 -8.82666 0
0 -8.80663 0
0 -8.78659 0
0 -8.76656 0
0 -8.74653 0
0 -8.7265 0
0 -8.70647 0
0 -8.68644 0
0 -8.66641 0
0 -8.64638 0
0 -8.62635 0
0 -8.60632 0
0 -8.58629 0
0 -8.56626 0
0 -8.54622 0
0 -8.52619 0
0 -8.50616 0
0 -8.48613 0
0 -8.4661 0
0 -8.44607 0
0 -8.42604 0
0 -8.40601 0
0 -8.38598 0
0 -8.36595 0
0 -8.34592 0
0 -8.32589 0
0 -8.30586 0
0 -8.28582 0
0 -8.26579 0
0 -8.24576 0
0 -8.22573 0
0 -8.2057 0
0 -8.18567 0
0 -8.16564 0
0 -8.14561 0
0 -8.12558 0
0 -8.10555 0
0 -8.08552 0
0 -8.06549 0
0 -8.04545 0
0 -8.02542 0
0 -8.00539 0
0 -7.98536 0
0 -7.96533 0
0 -7.9453 0
0 -7.92527 0
0 -7.90524 0
0 -7.88521 0
0 -7.86518 0
0 -7.84515 0
0 -7.82512 0
0 -7.80508 0
0 -7.78505 0
0 -7.76502 0
0 -7.74499 0
0 -7.72496 0
0 -7.70493 0
0 -7.6849 0
0 -7.66487 0
0 -7.64484 0
0 -7.62481 0
0 -7.60478 0
0 -7.58475 0
0 -7.56471 0
0 -7.54468 0
0 -7.52465 0
0 -7.50462 0
0 -7.48459 0
0 -7.46456 0
0 -7.44453 0
0 -7.4245 0
0 -7.40447 0
0 -7.38444 0
0 -7.36441 0
0 -7.34438 0
0 -7.32435 0
0 -7.30431 0
0 -7.28428 0
0 -7.26425 0
0 -7.24422 0
0 -7.22419 0
0 -7.20416 0
0 -7.18413 0
0 -7.1641 0
0 -7.14407 0
0 -7.12404 0
0 -7.10401 0
0 -7.08398 0
0 -7.06394 0
0 -7.04391 0
0 -7.02388 0
0 -7.00385 0
0 -6.98382 0
0 -6.96379 0
0 -6.94376 0
0 -6.92373 0
0 -6.9037 0
0 -6.88367 0
0 -6.86364 0
0 -6.84361 0
0 -6.82357 0
0 -6.80354 0
0 -6.78351 0
0 -6.76348 0
0 -6.74345 0
0 -6.72342 0
0 -6.70339 0
0 -6.68336 0
0 -6.66333 0
0 -6.6433 0
0 -6.62327 0
0 -6.60324 0
0 -6.5832 0
0 -6.56317 0
0 -6.54314 0
0 -6.52311 0
0 -6.50308 0
0 -6.48305 0
0 -6.46302 0
0 -6.44299 0
0 -6.42296 0
0 -6.40293 0
0 -6.3829 0
0 -6.36287 0
0 -6.34284 0
0 -6.3228 0
0 -6.30277 0
0 -6.28274 0
0 -6.26271 0
0 -6.24268 0
0 -6.22265 0
0 -6.20262 0
0 -6.18259 0
0 -6.16256 0
0 -6.14253 0
0 -6.1225 0
0 -6.10247 0
0 -6.08243 0
0 -6.0624 0
0 -6.04237 0
0 -6.02234 0
0 -6.00231 0
0 -5.98228 0
0 -5.96225 0
0 -5.94222 0
0 -5.92219 0
0 -5.90216 0
0 -5.88213 0
0 -5.8621 0
0 -5.84206 0
0 -5.82203 0
0 -5.802 0
0 -5.78197 0
0 -5.76194 0
0 -5.74191 0
0 -5.72188 0
0 -5.70185 0
0 -5.68182 0
0 -5.66179 0
0 -5.64176 0
0 -5.62173 0
0 -5.60169 0
0 -5.58166 0
0 -5.56163 0
0 -5.5416 0
0 -5.52157 0
0 -5.50154 0
0 -5.48151 0
0 -5.46148 0
0 -5.44145 0
0 -5.42142 0
0 -5.40139 0
0 -5.38136 0
0 -5.36133 0
0 -5.34129 0
0 -5.32126 0
0 -5.30123 0
0 -5.2812 0
0 -5.26117 0
0 -5.24114 0
0 -5.22111 0
0 -5.20108 0
0 -5.18105 0
0 -5.16102 0
0 -5.14099 0
0 -5.12096 0
0 -5.10092 0
0 -5.08089 0
0 -5.06086 0
0 -5.04083 0
0 -5.0208 0
0 -5.00077 0
0 -4.98074 0
0 -4.96071 0
0 -4.94068 0
0 -4.92065 0
0 -4.90062 0
0 -4.88059 0
0 -4.86055 0
0 -4.84052 0
0 -4.82049 0
0 -4.80046 0
0 -4.78043 0
0 -4.7604 0
0 -4.74037 0
0 -4.72034 0
0 -4.70031 0
0 -4.68028 0
0 -4.66025 0
0 -4.64022 0
0 -4.62018 0
0 -4.60015 0
0 -4.58012 0
0 -4.56009 0
0 -4.54006 0
0 -4.52003 0
0 -4.5 0
0 -4.47997 0
0 -4.45994 0
0 -4.43991 0
0 -4.41988 0
0 -4.39985 0
0 -4.37982 0
0 -4.35978 0
0 -4.33975 0
0 -4.31972 0
0 -4.29969 0
0 -4.27966 0
0 -4.25963 0
0 -4.2396 0
0 -4.21957 0.000351705
0 -4.19954 0.000348944
0 -4.17951 0.000578744
0 -4.15948 0.000382191
0 -4.13945 0.000409209
0 -4.11941 0.00044384
0 -4.09938 0.000572916
0 -4.07935 0.000367237
0 -4.05932 0.000702072
0 -4.03929 0.000461314
0 -4.01926 0.000468751
0 -3.99923 0.000683165
0 -3.9792 0.000512176
0 -3.95917 0.000443797
0 -3.93914 0.000720233
0 -3.91911 0.000417034
0 -3.89908 0.00041134
0 -3.87904 0.00042518
0 -3.85901 0.00054233
0 -3.83898 0.000424655
0 -3.81895 0.000484263
0 -3.79892 0.000431206
0 -3.77889 0.000948782
0 -3.75886 0.0005179
0 -3.73883 0.000700048
0 -3.7188 0.000509209
0 -3.69877 0.000496915
0 -3.67874 0.000705826
0 -3.65871 0.000531318
0 -3.63867 0.000649313
0 -3.61864 0.000620268
0 -3.59861 0.000613643
0 -3.57858 0.00053712
0 -3.55855 0.000537397
0 -3.53852 0.000582097
0 -3.51849 0.000578652
0 -3.49846 0.000575184
0 -3.47843 0.000579224
0 -3.4584 0.000595632
0 -3.43837 0.000606007
0 -3.41834 0.000608542
0 -3.39831 0.000714423
0 -3.37827 0.000704368
0 -3.35824 0.000727571
0 -3.33821 0.000644498
0 -3.31818 0.00078425
0 -3.29815 0.00104809
0 -3.27812 0.000841616
0 -3.25809 0.000729355
0 -3.23806 0.00103428
0 -3.21803 0.000961998
0 -3.198 0.000790552
0 -3.17797 0.000957947
0 -3.15794 0.000954203
0 -3.1379 0.000902932
0 -3.11787 0.000911867
0 -3.09784 0.00105902
0 -3.07781 0.000849888
0 -3.05778 0.000885587
0 -3.03775 0.000901208
0 -3.01772 0.000919991
0 -2.99769 0.000967361
0 -2.97766 0.00108222
0 -2.95763 0.00101914
0 -2.9376 0.00111605
0 -2.91757 0.00105868
0 -2.89753 0.00122708
0 -2.8775 0.001138
0 -2.85747 0.00130503
0 -2.83744 0.00115694
0 -2.81741 0.00131504
0 -2.79738 0.00126666
0 -2.77735 0.00141092
0 -2.75732 0.00142898
0 -2.73729 0.00134878
0 -2.71726 0.0016158
0 -2.69723 0.00148767
0 -2.6772 0.00149888
0 -2.65716 0.00156035
0 -2.63713 0.00156005
0 -2.6171 0.0016619
0 -2.59707 0.00172199
0 -2.57704 0.00172654
0 -2.55701 0.00179773
0 -2.53698 0.00191719
0 -2.51695 0.00202762
0 -2.49692 0.0021513
0 -2.47689 0.00228071
0 -2.45686 0.00225271
0 -2.43683 0.00225552
0 -2.4168 0.00243905
0 -2.39676 0.00251354
0 -2.37673 0.00266027
0 -2.3567 0.00275824
0 -2.33667 0.00285716
0 -2.31664 0.00305748
0 -2.29661 0.00315397
0 -2.27658 0.00330419
0 -2.25655 0.0035012
0 -2.23652 0.00367045
0 -2.21649 0.00389924
0 -2.19646 0.00415627
0 -2.17643 0.00445474
0 -2.15639 0.00476078
0 -2.13636 0.00533086
0 -2.11633 0.00577207
0 -2.0963 0.00601104
0 -2.07627 0.00669527
0 -2.05624 0.00708501
0 -2.03621 0.00785847
0 -2.01618 0.00841031
0 -1.99615 0.00933166
0 -1.97612 0.0103215
0 -1.95609 0.0118558
0 -1.93606 0.0135009
0 -1.91602 0.0178366
0 -1.89599 0.0181044
0 -1.87596 0.0219241
0 -1.85593 0.0260211
0 -1.8359 0.0358663
0 -1.81587 0.045764
0 -1.79584 0.0541225
0 -1.77581 0.0744241
0 -1.75578 0.0846534
0 -1.73575 0.183453
0 -1.71572 0.198483
0 -1.69569 0.186187
0 -1.67565 0.13907
0 -1.65562 0.129561
0 -1.63559 0.20826
0 -1.61556 0.101347
0 -1.59553 0.112614
0 -1.5755 0.103596
0 -1.55547 0.154381
0 -1.53544 0.104098
0 -1.51541 0.179755
0 -1.49538 0.158972
0 -1.47535 0.145244
0 -1.45532 0.087878
0 -1.43529 0.0948008
0 -1.41525 0.102299
0 -1.39522 0.0645627
0 -1.37519 0.0949601
0 -1.35516 0.0998445
0 -1.33513 0.0801868
0 -1.3151 0.120855
0 -1.29507 0.0832738
0 -1.27504 0.0740116
0 -1.25501 0.110246
0 -1.23498 0.117543
0 -1.21495 0.075877
0 -1.19492 0.0740424
0 -1.17488 0.0804474
0 -1.15485 0.0953959
0 -1.13482 0.0903587
0 -1.11479 0.088393
0 -1.09476 0.0819098
0 -1.07473 0.0938068
0 -1.0547 0.109657
0 -1.03467 0.115304
0 -1.01464 0.122024
0 -0.994607 0.068378
0 -0.974576 0.0865649
0 -0.954545 0.0761242
0 -0.934515 0.0629995
0 -0.914484 0.0673397
0 -0.894453 0.0893156
0 -0.874422 0.0999635
0 -0.854391 0.0859986
0 -0.834361 0.0887123
0 -0.81433 0.104247
0 -0.794299 0.0873107
0 -0.774268 0.092916
0 -0.754237 0.0711511
0 -0.734206 0.0736152
0 -0.714176 0.0913124
0 -0.694145 0.101285
0 -0.674114 0.102288
0 -0.654083 0.0853816
0 -0.634052 0.0800008
0 -0.614022 0.0806524
0 -0.593991 0.0972125
0 -0.57396 0.0816047
0 -0.553929 0.0973806
0 -0.533898 0.0892107
0 -0.513867 0.0895594
0 -0.493837 0.0939088
0 -0.473806 0.084436
0 -0.453775 0.0838025
0 -0.433744 0.0904899
0 -0.413713 0.0857918
0 -0.393683 0.0950417
0 -0.373652 0.103157
0 -0.353621 0.0995998
0 -0.33359 0.090004
0 -0.313559 0.0909567
0 -0.293529 0.0911397
0 -0.273498 0.0969473
0 -0.253467 0.109606
0 -0.233436 0.108604
0 -0.213405 0.0958673
0 -0.193374 0.0934059
0 -0.173344 0.0965146
0 -0.153313 0.107109
0 -0.133282 0.118767
0 -0.113251 0.110563
0 -0.0932203 0.100224
0 -0.0731895 0.101905
0 -0.0531587 0.114311
0 -0.0331279 0.132937
0 -0.0130971 0.130613
0 0.00693374 0.116232
0 0.0269646 0.114261
0 0.0469954 0.124765
0 0.0670262 0.135941
0 0.087057 0.133262
0 0.107088 0.135373
0 0.127119 0.15481
0 0.147149 0.174278
0 0.16718 0.171107
0 0.187211 0.174822
0 0.207242 0.19384
0 0.227273 0.204473
0 0.247304 0.223064
0 0.267334 0.24511
0 0.287365 0.260461
0 0.307396 0.232893
0 0.327427 0.168583
0 0.347458 0.108557
0 0.367488 0.0732302
0 0.387519 0.0524772
0 0.40755 0.0395952
0 0.427581 0.0310458
0 0.447612 0.0251365
0 0.467643 0.020816
0 0.487673 0.0176215
0 0.507704 0.0129793
0 0.527735 0.0111531
0 0.547766 0.00968922
0 0.567797 0.00848961
0 0.587827 0.00750431
0 0.607858 0.0066932
0 0.627889 0.00601175
0 0.64792 0.00542453
0 0.667951 0.00492036
0 0.687982 0.00448668
0 0.708012 0.0041072
0 0.728043 0.00377649
0 0.748074 0.00348187
0 0.768105 0.00321876
0 0.788136 0.0029921
0 0.808166 0.00278471
0 0.828197 0.00260128
0 0.848228 0.00243716
0 0.868259 0.00228814
0 0.88829 0.00214704
0 0.90832 0.00202293
0 0.928351 0.00190462
0 0.948382 0.00179911
0 0.968413 0.00170419
0 0.988444 0.00161526
0 1.00847 0.00153222
0 1.02851 0.00146164
0 1.04854 0.00139443
0 1.06857 0.00133268
0 1.0886 0.00128945
0 1.10863 0.00123884
0 1.12866 0.00116791
0 1.14869 0.00111926
0 1.16872 0.00109056
0 1.18875 0.00104384
0 1.20878 0
0 1.22881 0
0 1.24884 0
0 1.26888 0
0 1.28891 0
0 1.30894 0
0 1.32897 0
0 1.349 0
0 1.36903 0
0 1.38906 0
0 1.40909 0
0 1.42912 0
0 1.44915 0
0 1.46918 0
0 1.48921 0
0 1.50924 0
0 1.52928 0
0 1.54931 0
0 1.56934 0
0 1.58937 0
0 1.6094 0
0 1.62943 0
0 1.64946 0
0 1.66949 0
0 1.68952 0
0 1.70955 0
0 1.72958 0
0 1.74961 0
0 1.76965 0
0 1.78968 0
0 1.80971 0
0 1.82974 0
0 1.84977 0
0 1.8698 0
0 1.88983 0
0 1.90986 0
0 1.92989 0
0 1.94992 0
0 1.96995 0
0 1.98998 0
0.1 -10.99 0
0.1 -10.97 0
0.1 -10.9499 0
0.1 -10.9299 0
0.1 -10.9099 0
0.1 -10.8898 0
0.1 -10.8698 0
0.1 -10.8498 0
0.1 -10.8297 0
0.1 -10.8097 0
0.1 -10.7897 0
0.1 -10.7696 0
0.1 -10.7496 0
0.1 -10.7296 0
0.1 -10.7096 0
0.1 -10.6895 0
0.1 -10.6695 0
0.1 -10.6495 0
0.1 -10.6294 0
0.1 -10.6094 0
0.1 -10.5894 0
0.1 -10.5693 0
0.1 -10.5493 0
0.1 -10.5293 0
0.1 -10.5092 0
0.1 -10.4892 0
0.1 -10.4692 0
0.1 -10.4492 0
0.1 -10.4291 0
0.1 -10.4091 0
0.1 -10.3891 0
0.1 -10.369 0
0.1 -10.349 0
0.1 -10.329 0
0.1 -10.3089 0
0.1 -10.2889 0
0.1 -10.2689 0
0.1 -10.2488 0
0.1 -10.2288 0
0.1 -10.2088 0
0.1 -10.1888 0
