# generalized Kondo-Heisenberg model
# Jh/U=0.25 n=1.5 L=8
# density-of-states DOS(omega)
# projected on the parallel spin configurations
# U/W, omega-Ef, DOS(omega)

0 1.9749 0.00136741
0 1.92469 0.00133003
0 1.87448 0.00146595
0 1.82427 0.00160761
0 1.77406 0.00159122
0 1.72385 0.00164933
0 1.67364 0.00174689
0 1.62343 0.00180237
0 1.57322 0.0018879
0 1.52301 0.00193191
0 1.4728 0.00205844
0 1.42259 0.00230566
0 1.37238 0.00241637
0 1.32218 0.0025035
0 1.27197 0.00276329
0 1.22176 0.00301302
0 1.17155 0.00325318
0 1.12134 0.00360604
0 1.07113 0.00402657
0 1.02092 0.00429452
0 0.970711 0.00473403
0 0.920502 0.00532347
0 0.870293 0.00597313
0 0.820084 0.00678159
0 0.769874 0.0080533
0 0.719665 0.00946056
0 0.669456 0.0111339
0 0.619247 0.0138854
0 0.569038 0.0180962
0 0.518828 0.0247092
0 0.468619 0.0373761
0 0.41841 0.0657999
0 0.368201 0.142959
0 0.317992 0.288268
0 0.267782 0.224085
0 0.217573 0.160089
0 0.167364 0.247342
0 0.117155 0.285297
0 0.0669456 0.145242
0 0.0167364 0.0933616
0 -0.0334728 0.104688
0 -0.083682 0.197345
0 -0.133891 0.312113
0 -0.1841 0.176786
0 -0.23431 0.0885858
0 -0.284519 0.0660838
0 -0.334728 0.074021
0 -0.384937 0.12579
0 -0.435146 0.268564
0 -0.485356 0.259557
0 -0.535565 0.118812
0 -0.585774 0.0691696
0 -0.635983 0.0590025
0 -0.686192 0.0726165
0 -0.736402 0.130006
0 -0.786611 0.276249
0 -0.83682 0.251807
0 -0.887029 0.117007
0 -0.937238 0.0735618
0 -0.987448 0.0696622
0 -1.03766 0.0955899
0 -1.08787 0.192317
0 -1.13808 0.308099
0 -1.18828 0.179842
0 -1.23849 0.0997701
0 -1.2887 0.0932842
0 -1.33891 0.151744
0 -1.38912 0.288543
0 -1.43933 0.234242
0 -1.48954 0.163474
0 -1.53975 0.260771
0 -1.58996 0.251584
0 -1.64017 0.110591
0 -1.69038 0.0522509
0 -1.74059 0.0304446
0 -1.79079 0.0205492
0 -1.841 0.0147454
0 -1.89121 0.0111798
0 -1.94142 0.00862293
0 -1.99163 0.00646412
0 -2.04184 0.00561273
0 -2.09205 0.00509382
0 -2.14226 0.0042437
0 -2.19247 0.00359794
0 -2.24268 0.00311976
0 -2.29289 0.00265899
0 -2.3431 0.00211212
0 -2.39331 0.00211728
0 -2.44351 0.00213043
0 -2.49372 0.00188728
0 -2.54393 0.00172602
0 -2.59414 0.00166551
0 -2.64435 0.00137528
0 -2.69456 0.00118674
0 -2.74477 0.00135918
0 -2.79498 0.00125942
0 -2.84519 0.00100936
0 -2.8954 0.000999598
0 -2.94561 0.000892629
0 -2.99582 0.000776366
0 -3.04603 0.000778377
0 -3.09623 0.000721925
0 -3.14644 0.000731443
0 -3.19665 0.000751154
0 -3.24686 0.000662775
0 -3.29707 0.000606089
0 -3.34728 0.000711058
0 -3.39749 0.00066885
0 -3.4477 0.000585817
0 -3.49791 0.00061227
0 -3.54812 0.000649222
0 -3.59833 0.000672871
0 -3.64854 0.000651734
0 -3.69874 0.000609004
0 -3.74895 0.000554101
0 -3.79916 0.000551722
0 -3.84937 0.000536628
0 -3.89958 0.000543117
0 -3.94979 0.000524044
0 -4 0.000508032
0 -4.05021 0.000458967
0 -4.10042 0.000406235
0 -4.15063 0.000430937
0 -4.20084 0.000433772
0 -4.25105 0.000403373
0 -4.30126 0.000369669
0 -4.35146 0.000367462
0 -4.40167 0.000348052
0 -4.45188 0.00037106
0 -4.50209 0.000389791
0 -4.5523 0.000386507
0 -4.60251 0.000364749
0 -4.65272 0.000330369
0 -4.70293 0.000325031
0 -4.75314 0.000317186
0 -4.80335 0.000298033
0 -4.85356 0.000287121
0 -4.90377 0.000305855
0 -4.95397 0.000302149
0 -5.00418 0.000284072
0 -5.05439 0.000274964
0 -5.1046 0.000286597
0 -5.15481 0.000286713
0 -5.20502 0.00027391
0 -5.25523 0.00026439
0 -5.30544 0.00025405
0 -5.35565 0.000255876
0 -5.40586 0.000256195
0 -5.45607 0.000255641
0 -5.50628 0.000250135
0 -5.55649 0.000235972
0 -5.60669 0.000229406
0 -5.6569 0.000230888
0 -5.70711 0.000219764
0 -5.75732 0.00020609
0 -5.80753 0.00021411
0 -5.85774 0.000217085
0 -5.90795 0.000211966
0 -5.95816 0.000205243
0 -6.00837 0.000200035
0 -6.05858 0.000199548
0 -6.10879 0.00019819
0 -6.159 0.000191872
0 -6.20921 0.000189007
0 -6.25941 0.000187625
0 -6.30962 0.000186055
0 -6.35983 0.000182589
0 -6.41004 0.000180044
0 -6.46025 0.000176083
0 -6.51046 0.000169915
0 -6.56067 0.000168438
0 -6.61088 0.000167225
0 -6.66109 0.000162226
0 -6.7113 0.000157809
0 -6.76151 0.000158934
0 -6.81172 0.000158366
0 -6.86192 0.000156523
0 -6.91213 0.000154185
0 -6.96234 0.000151476
0 -7.01255 0.00014811
0 -7.06276 0.000145492
0 -7.11297 0.000144299
0 -7.16318 0.000142445
0 -7.21339 0.00014015
0 -7.2636 0.000137597
0 -7.31381 0.000135033
0 -7.36402 0.000133335
0 -7.41423 0.000131106
0 -7.46444 0.000127843
0 -7.51464 0.000126289
0 -7.56485 0.000125747
0 -7.61506 0.000124444
0 -7.66527 0.000122872
0 -7.71548 0.000121204
0 -7.76569 0.000119509
0 -7.8159 0.00011786
0 -7.86611 0.000116217
0 -7.91632 0.000114598
0 -7.96653 0.000113022
0 -8.01674 0.00011149
0 -8.06695 0.000109981
0 -8.11715 0.000108482
0 -8.16736 0.000107024
0 -8.21757 0.000105612
0 -8.26778 0.000104213
0 -8.31799 0.000102809
0 -8.3682 0.000101464
0 -8.41841 0.00010018
0 -8.46862 9.88954e-05
0 -8.51883 9.76202e-05
0 -8.56904 9.6374e-05
0 -8.61925 9.5142e-05
0 -8.66946 9.39366e-05
0 -8.71967 9.26667e-05
0 -8.76987 9.13886e-05
0 -8.82008 9.02588e-05
0 -8.87029 8.91507e-05
0 -8.9205 8.80691e-05
0 -8.97071 8.70082e-05
0 -9.02092 8.59547e-05
0 -9.07113 8.4914e-05
0 -9.12134 8.39091e-05
0 -9.17155 8.29199e-05
0 -9.22176 8.19434e-05
0 -9.27197 8.09861e-05
0 -9.32218 8.00461e-05
0 -9.37238 7.91237e-05
0 -9.42259 7.82134e-05
0 -9.4728 7.73188e-05
0 -9.52301 7.6443e-05
0 -9.57322 7.55838e-05
0 -9.62343 7.47354e-05
0 -9.67364 7.38999e-05
0 -9.72385 7.30774e-05
0 -9.77406 7.22679e-05
0 -9.82427 7.14737e-05
0 -9.87448 7.06944e-05
0 -9.92469 6.9926e-05
0 -9.9749 6.91716e-05
0 x y
0 IsoCurve 199,
0  
0.0125628 1.9749 0.00174362
0.0125628 1.92469 0.00171254
0.0125628 1.87448 0.00186202
0.0125628 1.82427 0.00209286
0.0125628 1.77406 0.00209973
0.0125628 1.72385 0.00217652
0.0125628 1.67364 0.00227671
0.0125628 1.62343 0.00224091
0.0125628 1.57322 0.00233126
0.0125628 1.52301 0.00241246
0.0125628 1.4728 0.00253013
0.0125628 1.42259 0.00275503
0.0125628 1.37238 0.00279434
0.0125628 1.32218 0.00282776
0.0125628 1.27197 0.00320526
0.0125628 1.22176 0.00344922
0.0125628 1.17155 0.00348533
0.0125628 1.12134 0.00393848
0.0125628 1.07113 0.00469019
0.0125628 1.02092 0.00471923
0.0125628 0.970711 0.00496876
0.0125628 0.920502 0.00578906
0.0125628 0.870293 0.00643367
0.0125628 0.820084 0.00710482
0.0125628 0.769874 0.00865238
0.0125628 0.719665 0.0103616
0.0125628 0.669456 0.0115261
0.0125628 0.619247 0.0140665
0.0125628 0.569038 0.0183641
0.0125628 0.518828 0.0241587
0.0125628 0.468619 0.035221
0.0125628 0.41841 0.0646046
0.0125628 0.368201 0.1464
0.0125628 0.317992 0.291063
0.0125628 0.267782 0.223916
0.0125628 0.217573 0.161914
0.0125628 0.167364 0.252202
0.0125628 0.117155 0.285906
0.0125628 0.0669456 0.1451
0.0125628 0.0167364 0.0946521
0.0125628 -0.0334728 0.108438
0.0125628 -0.083682 0.207577
0.0125628 -0.133891 0.311925
0.0125628 -0.1841 0.169807
0.0125628 -0.23431 0.0868584
0.0125628 -0.284519 0.0665107
0.0125628 -0.334728 0.0766037
0.0125628 -0.384937 0.133315
0.0125628 -0.435146 0.278571
0.0125628 -0.485356 0.252148
0.0125628 -0.535565 0.11624
0.0125628 -0.585774 0.0699433
0.0125628 -0.635983 0.0609759
0.0125628 -0.686192 0.0776451
0.0125628 -0.736402 0.142349
0.0125628 -0.786611 0.291382
0.0125628 -0.83682 0.240033
0.0125628 -0.887029 0.106404
0.0125628 -0.937238 0.0681477
0.0125628 -0.987448 0.067582
0.0125628 -1.03766 0.0996181
0.0125628 -1.08787 0.203071
0.0125628 -1.13808 0.306923
0.0125628 -1.18828 0.173145
0.0125628 -1.23849 0.0988681
0.0125628 -1.2887 0.0964981
0.0125628 -1.33891 0.161393
0.0125628 -1.38912 0.288709
0.0125628 -1.43933 0.222271
0.0125628 -1.48954 0.165946
0.0125628 -1.53975 0.245653
0.0125628 -1.58996 0.258218
0.0125628 -1.64017 0.124084
0.0125628 -1.69038 0.056434
0.0125628 -1.74059 0.0299616
0.0125628 -1.79079 0.0186624
0.0125628 -1.841 0.0126108
0.0125628 -1.89121 0.00957196
0.0125628 -1.94142 0.0071222
0.0125628 -1.99163 0.00479083
0.0125628 -2.04184 0.00373797
0.0125628 -2.09205 0.00302759
0.0125628 -2.14226 0.00242423
0.0125628 -2.19247 0.00202816
0.0125628 -2.24268 0.00180631
0.0125628 -2.29289 0.00156708
0.0125628 -2.3431 0.00101733
0.0125628 -2.39331 0.00115917
0.0125628 -2.44351 0.00112811
0.0125628 -2.49372 0.000646345
0.0125628 -2.54393 0.00064559
0.0125628 -2.59414 0.000865884
0.0125628 -2.64435 0.000660837
0.0125628 -2.69456 0.000449326
0.0125628 -2.74477 0.00056024
0.0125628 -2.79498 0.000528223
0.0125628 -2.84519 0.000438536
0.0125628 -2.8954 0.000402664
0.0125628 -2.94561 0.000288263
0.0125628 -2.99582 0.000211385
0.0125628 -3.04603 0.000203989
0.0125628 -3.09623 0.000173585
0.0125628 -3.14644 0.000338667
0.0125628 -3.19665 0.000357038
0.0125628 -3.24686 0.000268309
0.0125628 -3.29707 0.000347942
0.0125628 -3.34728 0.000523688
0.0125628 -3.39749 0.000526917
0.0125628 -3.4477 0.000442398
0.0125628 -3.49791 0.000525709
0.0125628 -3.54812 0.000630176
0.0125628 -3.59833 0.000647765
0.0125628 -3.64854 0.000602013
0.0125628 -3.69874 0.00058167
0.0125628 -3.74895 0.000601726
0.0125628 -3.79916 0.000606251
0.0125628 -3.84937 0.000588277
0.0125628 -3.89958 0.000569315
0.0125628 -3.94979 0.000551364
0.0125628 -4 0.00054184
0.0125628 -4.05021 0.000532143
0.0125628 -4.10042 0.000510489
0.0125628 -4.15063 0.000495433
0.0125628 -4.20084 0.000491536
0.0125628 -4.25105 0.000483102
0.0125628 -4.30126 0.000470923
0.0125628 -4.35146 0.000455195
0.0125628 -4.40167 0.000442182
0.0125628 -4.45188 0.000430291
0.0125628 -4.50209 0.000414509
0.0125628 -4.5523 0.00040364
0.0125628 -4.60251 0.000397459
0.0125628 -4.65272 0.0003893
0.0125628 -4.70293 0.000380114
0.0125628 -4.75314 0.000370846
0.0125628 -4.80335 0.000361562
0.0125628 -4.85356 0.000352692
0.0125628 -4.90377 0.000344296
0.0125628 -4.95397 0.00033595
0.0125628 -5.00418 0.000327795
0.0125628 -5.05439 0.000320145
0.0125628 -5.1046 0.000312888
0.0125628 -5.15481 0.000305507
0.0125628 -5.20502 0.000298474
0.0125628 -5.25523 0.000291723
0.0125628 -5.30544 0.000285127
0.0125628 -5.35565 0.000278871
0.0125628 -5.40586 0.000272889
0.0125628 -5.45607 0.000266991
0.0125628 -5.50628 0.000261333
0.0125628 -5.55649 0.000255889
0.0125628 -5.60669 0.000250534
0.0125628 -5.6569 0.000245368
0.0125628 -5.70711 0.00024036
