# generalized Kondo-Heisenberg model
# Jh/U=0.25 n=1.5 L=8
# density-of-states DOS(omega)
# projected on the antiparallel spin configurations
# U/W, omega-Ef, DOS(omega)

0 1.9749 0.00121809
0 1.92469 0.00126005
0 1.87448 0.0014248
0 1.82427 0.00157591
0 1.77406 0.00156575
0 1.72385 0.00162736
0 1.67364 0.00172847
0 1.62343 0.00178411
0 1.57322 0.00186741
0 1.52301 0.00191061
0 1.4728 0.00203551
0 1.42259 0.00227843
0 1.37238 0.002382
0 1.32218 0.00245869
0 1.27197 0.00269529
0 1.22176 0.00288172
0 1.17155 0.00295722
0 1.12134 0.00328411
0 1.07113 0.00382445
0 1.02092 0.00404001
0 0.970711 0.00435072
0 0.920502 0.00509723
0 0.870293 0.00586696
0 0.820084 0.00671165
0 0.769874 0.00799353
0 0.719665 0.00940233
0 0.669456 0.0110714
0 0.619247 0.0138134
0 0.569038 0.0180075
0 0.518828 0.0245911
0 0.468619 0.0372021
0 0.41841 0.0655006
0 0.368201 0.142312
0 0.317992 0.286964
0 0.267782 0.223065
0 0.217573 0.159346
0 0.167364 0.246182
0 0.117155 0.283955
0 0.0669456 0.144554
0 0.0167364 0.0929118
0 -0.0334728 0.104178
0 -0.083682 0.196383
0 -0.133891 0.310594
0 -0.1841 0.175912
0 -0.23431 0.0881268
0 -0.284519 0.0657155
0 -0.334728 0.0735779
0 -0.384937 0.125002
0 -0.435146 0.266845
0 -0.485356 0.257879
0 -0.535565 0.118018
0 -0.585774 0.0686666
0 -0.635983 0.0585142
0 -0.686192 0.0719355
0 -0.736402 0.128683
0 -0.786611 0.273339
0 -0.83682 0.248938
0 -0.887029 0.114933
0 -0.937238 0.0701291
0 -0.987448 0.0651072
0 -1.03766 0.0941161
0 -1.08787 0.193631
0 -1.13808 0.311576
0 -1.18828 0.18185
0 -1.23849 0.101039
0 -1.2887 0.0951165
0 -1.33891 0.15299
0 -1.38912 0.288344
0 -1.43933 0.233898
0 -1.48954 0.163316
0 -1.53975 0.260482
0 -1.58996 0.251519
0 -1.64017 0.111217
0 -1.69038 0.0527254
0 -1.74059 0.0306719
0 -1.79079 0.0207275
0 -1.841 0.0149618
0 -1.89121 0.0115248
0 -1.94142 0.009382
0 -1.99163 0.00764773
0 -2.04184 0.00632079
0 -2.09205 0.00544074
0 -2.14226 0.00451905
0 -2.19247 0.00397035
0 -2.24268 0.0036703
0 -2.29289 0.0032717
0 -2.3431 0.00276557
0 -2.39331 0.00265735
0 -2.44351 0.00251724
0 -2.49372 0.00209421
0 -2.54393 0.00187603
0 -2.59414 0.00183288
0 -2.64435 0.00166433
0 -2.69456 0.00151575
0 -2.74477 0.00157411
0 -2.79498 0.00151025
0 -2.84519 0.00139981
0 -2.8954 0.00132773
0 -2.94561 0.00125983
0 -2.99582 0.00120397
0 -3.04603 0.00106451
0 -3.09623 0.000934138
0 -3.14644 0.00102521
0 -3.19665 0.00110035
0 -3.24686 0.000991422
0 -3.29707 0.000904271
0 -3.34728 0.00092916
0 -3.39749 0.000939625
0 -3.4477 0.000867882
0 -3.49791 0.000872317
0 -3.54812 0.00088292
0 -3.59833 0.000840018
0 -3.64854 0.000821482
0 -3.69874 0.00081934
0 -3.74895 0.00082835
0 -3.79916 0.000784866
0 -3.84937 0.000755843
0 -3.89958 0.000702632
0 -3.94979 0.000677343
0 -4 0.00065492
0 -4.05021 0.000667644
0 -4.10042 0.000685854
0 -4.15063 0.000627282
0 -4.20084 0.000592396
0 -4.25105 0.000592456
0 -4.30126 0.000597135
0 -4.35146 0.000571317
0 -4.40167 0.00056415
0 -4.45188 0.000515198
0 -4.50209 0.000471543
0 -4.5523 0.000451218
0 -4.60251 0.00045058
0 -4.65272 0.000463587
0 -4.70293 0.000448094
0 -4.75314 0.000435976
0 -4.80335 0.000436093
0 -4.85356 0.00042859
0 -4.90377 0.000391852
0 -4.95397 0.000378447
0 -5.00418 0.000380235
0 -5.05439 0.000373425
0 -5.1046 0.000346364
0 -5.15481 0.000331488
0 -5.20502 0.000330115
0 -5.25523 0.000325891
0 -5.30544 0.000323003
0 -5.35565 0.000308273
0 -5.40586 0.000295566
0 -5.45607 0.0002841
0 -5.50628 0.000278041
0 -5.55649 0.000281051
0 -5.60669 0.000276754
0 -5.6569 0.000264711
0 -5.70711 0.000265755
0 -5.75732 0.000269625
0 -5.80753 0.000251883
0 -5.85774 0.000239606
0 -5.90795 0.000235763
0 -5.95816 0.000233769
0 -6.00837 0.000230514
0 -6.05858 0.000222781
0 -6.10879 0.000216099
0 -6.159 0.000214637
0 -6.20921 0.000209976
0 -6.25941 0.000204053
0 -6.30962 0.000197657
0 -6.35983 0.000193624
0 -6.41004 0.000189448
0 -6.46025 0.000186872
0 -6.51046 0.000186686
0 -6.56067 0.000181948
0 -6.61088 0.000177151
0 -6.66109 0.000176292
0 -6.7113 0.000175005
0 -6.76151 0.000168235
0 -6.81172 0.000163362
0 -6.86192 0.000159927
0 -6.91213 0.000157079
0 -6.96234 0.000154719
0 -7.01255 0.000153187
0 -7.06276 0.000151028
0 -7.11297 0.000147513
0 -7.16318 0.000144775
0 -7.21339 0.000142647
0 -7.2636 0.00014087
0 -7.31381 0.000139168
0 -7.36402 0.000136702
0 -7.41423 0.000134861
0 -7.46444 0.000134112
0 -7.51464 0.000131761
0 -7.56485 0.000128519
0 -7.61506 0.000126092
0 -7.66527 0.000124005
0 -7.71548 0.00012211
0 -7.76569 0.000120327
0 -7.8159 0.00011859
0 -7.86611 0.000116913
0 -7.91632 0.000115274
0 -7.96653 0.00011367
0 -8.01674 0.000112085
0 -8.06695 0.000110528
0 -8.11715 0.00010902
0 -8.16736 0.000107529
0 -8.21757 0.00010606
0 -8.26778 0.000104627
0 -8.31799 0.000103262
0 -8.3682 0.000101897
0 -8.41841 0.000100529
0 -8.46862 9.9217e-05
0 -8.51883 9.79502e-05
0 -8.56904 9.66967e-05
0 -8.61925 9.54739e-05
0 -8.66946 9.42754e-05
0 -8.71967 9.29209e-05
0 -8.76987 9.16827e-05
0 -8.82008 9.05435e-05
0 -8.87029 8.94213e-05
0 -8.9205 8.83127e-05
0 -8.97071 8.72169e-05
0 -9.02092 8.61646e-05
0 -9.07113 8.51397e-05
0 -9.12134 8.41219e-05
0 -9.17155 8.31261e-05
0 -9.22176 8.21516e-05
0 -9.27197 8.11894e-05
0 -9.32218 8.02392e-05
0 -9.37238 7.9297e-05
0 -9.42259 7.83816e-05
0 -9.4728 7.74809e-05
0 -9.52301 7.65925e-05
0 -9.57322 7.57191e-05
0 -9.62343 7.48674e-05
0 -9.67364 7.40326e-05
0 -9.72385 7.32112e-05
0 -9.77406 7.24035e-05
0 -9.82427 7.16085e-05
0 -9.87448 7.08241e-05
0 -9.92469 7.00509e-05
0 -9.9749 6.92881e-05
0 x y
0 IsoCurve 199,
0  
0.0125628 1.9749 0.00125688
0.0125628 1.92469 0.00121584
0.0125628 1.87448 0.00155457
0.0125628 1.82427 0.00175446
0.0125628 1.77406 0.00158929
0.0125628 1.72385 0.00162088
0.0125628 1.67364 0.00175596
0.0125628 1.62343 0.00184914
0.0125628 1.57322 0.0019176
0.0125628 1.52301 0.00180971
0.0125628 1.4728 0.00197693
0.0125628 1.42259 0.00246982
0.0125628 1.37238 0.00257396
0.0125628 1.32218 0.00256975
0.0125628 1.27197 0.0028338
0.0125628 1.22176 0.00302346
0.0125628 1.17155 0.00316729
0.0125628 1.12134 0.00355703
0.0125628 1.07113 0.00412152
0.0125628 1.02092 0.00432929
0.0125628 0.970711 0.00473779
0.0125628 0.920502 0.00559259
0.0125628 0.870293 0.00621057
0.0125628 0.820084 0.00677781
0.0125628 0.769874 0.00802421
0.0125628 0.719665 0.00941387
0.0125628 0.669456 0.0108561
0.0125628 0.619247 0.0133912
0.0125628 0.569038 0.0172621
0.0125628 0.518828 0.0231456
0.0125628 0.468619 0.0344919
0.0125628 0.41841 0.0636899
0.0125628 0.368201 0.144557
0.0125628 0.317992 0.287494
0.0125628 0.267782 0.221143
0.0125628 0.217573 0.159848
0.0125628 0.167364 0.248949
0.0125628 0.117155 0.282204
0.0125628 0.0669456 0.143184
0.0125628 0.0167364 0.0933572
0.0125628 -0.0334728 0.106917
0.0125628 -0.083682 0.204663
0.0125628 -0.133891 0.307545
0.0125628 -0.1841 0.167347
0.0125628 -0.23431 0.0854837
0.0125628 -0.284519 0.0653162
0.0125628 -0.334728 0.0750687
0.0125628 -0.384937 0.130492
0.0125628 -0.435146 0.272523
0.0125628 -0.485356 0.245995
0.0125628 -0.535565 0.111437
0.0125628 -0.585774 0.0661974
0.0125628 -0.635983 0.0580803
0.0125628 -0.686192 0.0735404
0.0125628 -0.736402 0.133088
0.0125628 -0.786611 0.270471
0.0125628 -0.83682 0.231088
0.0125628 -0.887029 0.119928
0.0125628 -0.937238 0.077052
0.0125628 -0.987448 0.0707407
0.0125628 -1.03766 0.101507
0.0125628 -1.08787 0.203509
0.0125628 -1.13808 0.304862
0.0125628 -1.18828 0.173218
0.0125628 -1.23849 0.101005
0.0125628 -1.2887 0.0978846
0.0125628 -1.33891 0.162377
0.0125628 -1.38912 0.289988
0.0125628 -1.43933 0.222151
0.0125628 -1.48954 0.164112
0.0125628 -1.53975 0.247722
0.0125628 -1.58996 0.261953
0.0125628 -1.64017 0.125854
0.0125628 -1.69038 0.0580599
0.0125628 -1.74059 0.032749
0.0125628 -1.79079 0.0224769
0.0125628 -1.841 0.016359
0.0125628 -1.89121 0.0118646
0.0125628 -1.94142 0.00899862
0.0125628 -1.99163 0.00684312
0.0125628 -2.04184 0.00605108
0.0125628 -2.09205 0.00578668
0.0125628 -2.14226 0.00454468
0.0125628 -2.19247 0.0038137
0.0125628 -2.24268 0.00324954
0.0125628 -2.29289 0.00267593
0.0125628 -2.3431 0.00199463
0.0125628 -2.39331 0.00207217
0.0125628 -2.44351 0.00234775
0.0125628 -2.49372 0.00203412
0.0125628 -2.54393 0.00171608
0.0125628 -2.59414 0.00155127
