# generalized Kondo-Heisenberg model
# Jh/U=0.25 n=1.5 L=8
# density-of-states DOS(omega)
# projected on the holon configurations
# U/W, omega-Ef, DOS(omega)

0 1.9749 0.00029848
0 1.92469 0.000432361
0 1.87448 0.000285461
0 1.82427 0.000158748
0 1.77406 0.000360784
0 1.72385 0.000433991
0 1.67364 0.000446724
0 1.62343 0.000565567
0 1.57322 0.000650056
0 1.52301 0.000839558
0 1.4728 0.000897151
0 1.42259 0.000754527
0 1.37238 0.000921462
0 1.32218 0.00118404
0 1.27197 0.00117602
0 1.22176 0.00129098
0 1.17155 0.00160148
0 1.12134 0.00165114
0 1.07113 0.00154229
0 1.02092 0.00204065
0 0.970711 0.00246431
0 0.920502 0.0025554
0 0.870293 0.00306542
0 0.820084 0.00385119
0 0.769874 0.00420573
0 0.719665 0.0051879
0 0.669456 0.0070068
0 0.619247 0.00892313
0 0.569038 0.0117628
0 0.518828 0.017081
0 0.468619 0.0263562
0 0.41841 0.0466583
0 0.368201 0.105617
0 0.317992 0.217044
0 0.267782 0.168277
0 0.217573 0.119068
0 0.167364 0.183977
0 0.117155 0.211676
0 0.0669456 0.104956
0 0.0167364 0.063235
0 -0.0334728 0.0652069
0 -0.083682 0.115825
0 -0.133891 0.179945
0 -0.1841 0.102404
0 -0.23431 0.0518518
0 -0.284519 0.0387136
0 -0.334728 0.0427933
0 -0.384937 0.0716385
0 -0.435146 0.153497
0 -0.485356 0.148756
0 -0.535565 0.0682627
0 -0.585774 0.0397464
0 -0.635983 0.0337041
0 -0.686192 0.0406104
0 -0.736402 0.0727391
0 -0.786611 0.157819
0 -0.83682 0.144119
0 -0.887029 0.0661153
0 -0.937238 0.0408123
0 -0.987448 0.0382077
0 -1.03766 0.052374
0 -1.08787 0.108859
0 -1.13808 0.180496
0 -1.18828 0.106707
0 -1.23849 0.0603659
0 -1.2887 0.0592625
0 -1.33891 0.0977073
0 -1.38912 0.197799
0 -1.43933 0.198954
0 -1.48954 0.125701
0 -1.53975 0.175022
0 -1.58996 0.206938
0 -1.64017 0.106525
0 -1.69038 0.0518101
0 -1.74059 0.0310951
0 -1.79079 0.0205756
0 -1.841 0.0154608
0 -1.89121 0.0121797
0 -1.94142 0.0100225
0 -1.99163 0.00910374
0 -2.04184 0.00767756
0 -2.09205 0.00630447
0 -2.14226 0.0059442
0 -2.19247 0.00541584
0 -2.24268 0.00477374
0 -2.29289 0.00445676
0 -2.3431 0.00453121
0 -2.39331 0.00377388
0 -2.44351 0.00316272
0 -2.49372 0.00320483
0 -2.54393 0.00303415
0 -2.59414 0.00264752
0 -2.64435 0.00268125
0 -2.69456 0.00263816
0 -2.74477 0.00205463
0 -2.79498 0.00190999
0 -2.84519 0.00199722
0 -2.8954 0.00182294
0 -2.94561 0.00176725
0 -2.99582 0.00172952
0 -3.04603 0.0016727
0 -3.09623 0.00168233
0 -3.14644 0.0014162
0 -3.19665 0.00116793
0 -3.24686 0.00122589
0 -3.29707 0.00124044
0 -3.34728 0.000986202
0 -3.39749 0.000904939
0 -3.4477 0.000955663
0 -3.49791 0.000824799
0 -3.54812 0.000683432
0 -3.59833 0.0006153
0 -3.64854 0.000573533
0 -3.69874 0.000542173
0 -3.74895 0.000516153
0 -3.79916 0.000493347
0 -3.84937 0.000472861
0 -3.89958 0.000452257
0 -3.94979 0.000433344
0 -4 0.000417634
0 -4.05021 0.000403003
0 -4.10042 0.000389153
0 -4.15063 0.00037595
0 -4.20084 0.000363298
0 -4.25105 0.000351593
0 -4.30126 0.000340737
0 -4.35146 0.000330315
0 -4.40167 0.000320325
0 -4.45188 0.000310666
0 -4.50209 0.000301585
0 -4.5523 0.000292849
0 -4.60251 0.00028463
0 -4.65272 0.000276629
0 -4.70293 0.000269017
0 -4.75314 0.000262031
0 -4.80335 0.000255146
0 -4.85356 0.000248469
0 -4.90377 0.000242062
0 -4.95397 0.000235874
0 -5.00418 0.000229913
0 -5.05439 0.00022419
0 -5.1046 0.00021873
0 -5.15481 0.000213387
0 -5.20502 0.000208366
0 -5.25523 0.000203434
0 -5.30544 0.000198642
0 -5.35565 0.000194228
0 -5.40586 0.000189904
0 -5.45607 0.000185664
0 -5.50628 0.000181485
0 -5.55649 0.000177542
0 -5.60669 0.000173824
0 -5.6569 0.000170152
0 -5.70711 0.000166526
0 -5.75732 0.000163105
0 -5.80753 0.000159776
0 -5.85774 0.000156507
0 -5.90795 0.000153304
0 -5.95816 0.000150262
0 -6.00837 0.000147348
0 -6.05858 0.000144413
0 -6.10879 0.000141568
0 -6.159 0.000138901
0 -6.20921 0.000136346
0 -6.25941 0.00013373
0 -6.30962 0.000131308
0 -6.35983 0.000128349
0 -6.41004 0.000125987
0 -6.46025 0.000123729
0 -6.51046 0.000121581
0 -6.56067 0.000119499
0 -6.61088 0.000117332
0 -6.66109 0.000115299
0 -6.7113 0.00011333
0 -6.76151 0.000111465
0 -6.81172 0.000109584
0 -6.86192 0.000107738
0 -6.91213 0.000105965
0 -6.96234 0.00010419
0 -7.01255 0.00010248
0 -7.06276 0.00010086
0 -7.11297 9.92525e-05
0 -7.16318 9.76972e-05
0 -7.21339 9.60616e-05
0 -7.2636 9.45523e-05
0 -7.31381 9.30446e-05
0 -7.36402 9.1613e-05
