# normalized string order
# two-orbital Hubbard model
# t=0.5 L=60 Jh=U/4
# x, U, string order

0 0.3 0.0233118
0.0166667 0.3 0.0285587
0.0333333 0.3 0.0327423
0.05 0.3 0.0387613
0.0666667 0.3 0.033867
0.0833333 0.3 0.0327583
0.1 0.3 0.0290876
0.116667 0.3 0.0346337
0.133333 0.3 0.035713
0.15 0.3 0.0392528
0.166667 0.3 0.0349463
0.183333 0.3 0.0326007
0.2 0.3 0.0282461
0.216667 0.3 0.0303433
0.233333 0.3 0.0277866
0.25 0.3 0.0291384
0.266667 0.3 0.0243323
0.283333 0.3 0.0262692
0.3 0.3 0.0258871
0.316667 0.3 0.0317138
0.333333 0.3 0.0323015
0.35 0.3 0.0337334
0.366667 0.3 0.0304849
0.383333 0.3 0.0279603
0.4 0.3 0.022692
0.416667 0.3 0.0218077
0.433333 0.3 0.0171112
0.45 0.3 0.0175627
0.466667 0.3 0.0147976
0.483333 0.3 0.0180569
0.5 0.3 0.0187622
0 0 0
0 0.365 0.0229779
0.0166667 0.365 0.0252273
0.0333333 0.365 0.0317859
0.05 0.365 0.0396856
0.0666667 0.365 0.0343773
0.0833333 0.365 0.0325526
0.1 0.365 0.0282301
0.116667 0.365 0.0341796
0.133333 0.365 0.0359027
0.15 0.365 0.0402012
0.166667 0.365 0.0353818
0.183333 0.365 0.032769
0.2 0.365 0.0279656
0.216667 0.365 0.0302257
0.233333 0.365 0.0277465
0.25 0.365 0.0292693
0.266667 0.365 0.0239583
0.283333 0.365 0.0257696
0.3 0.365 0.025246
0.316667 0.365 0.0315855
0.333333 0.365 0.0321759
0.35 0.365 0.0340407
0.366667 0.365 0.0307146
0.383333 0.365 0.0282167
0.4 0.365 0.0226252
0.416667 0.365 0.0216848
0.433333 0.365 0.0166891
0.45 0.365 0.0170497
0.466667 0.365 0.0139855
0.483333 0.365 0.017218
0.5 0.365 0.0177844
0 0 0
0 0.445 0.0358493
0.0166667 0.445 0.0210356
0.0333333 0.445 0.0302364
0.05 0.445 0.0400543
0.0666667 0.445 0.0350959
0.0833333 0.445 0.0318019
0.1 0.445 0.0272389
0.116667 0.445 0.0337655
0.133333 0.445 0.0359936
0.15 0.445 0.0412084
0.166667 0.445 0.0358466
0.183333 0.445 0.0326996
0.2 0.445 0.0276103
0.216667 0.445 0.0299906
0.233333 0.445 0.0275435
0.25 0.445 0.0293762
0.266667 0.445 0.0234694
0.283333 0.445 0.0249922
0.3 0.445 0.024367
0.316667 0.445 0.0312676
0.333333 0.445 0.0319889
0.35 0.445 0.0343078
0.366667 0.445 0.0310085
0.383333 0.445 0.0283984
0.4 0.445 0.0225531
0.416667 0.445 0.0214577
0.433333 0.445 0.0161574
0.45 0.445 0.0163872
0.466667 0.445 0.0130691
0.483333 0.445 0.0161681
0.5 0.445 0.0166356
0 0 0
0 0.54 0.0824355
0.0166667 0.54 0.0204319
0.0333333 0.54 0.0302043
0.05 0.54 0.0393437
0.0666667 0.54 0.0358653
0.0833333 0.54 0.0303513
0.1 0.54 0.0260581
0.116667 0.54 0.0315748
0.133333 0.54 0.0357878
0.15 0.54 0.0418683
0.166667 0.54 0.0366401
