# binding energy
# two-orbital Hubbard model
# t=0.5 L=60 Jh=U/4
# x, U, binding energy

0 0.3 -140.29
0.0166667 0.3 -143.138
0.0333333 0.3 -145.79
0.05 0.3 -148.228
0.0666667 0.3 -150.456
0.0833333 0.3 -152.478
0.1 0.3 -154.287
0.116667 0.3 -155.891
0.133333 0.3 -157.289
0.15 0.3 -158.479
0.166667 0.3 -159.468
0.183333 0.3 -160.252
0.2 0.3 -160.836
0.216667 0.3 -161.218
0.233333 0.3 -161.402
0.25 0.3 -161.388
0.266667 0.3 -161.178
0.283333 0.3 -160.773
0.3 0.3 -160.175
0.316667 0.3 -159.386
0.333333 0.3 -158.408
0.35 0.3 -157.243
0.366667 0.3 -155.895
0.383333 0.3 -154.367
0.4 0.3 -152.661
0.416667 0.3 -150.776
0.433333 0.3 -148.72
0.45 0.3 -146.485
0.466667 0.3 -144.083
0.483333 0.3 -141.514
0.5 0.3 -138.782
0 0 0
0 0.365 -123.218
0.0166667 0.365 -126.663
0.0333333 0.365 -129.913
0.05 0.365 -132.943
0.0666667 0.365 -135.752
0.0833333 0.365 -138.343
0.1 0.365 -140.71
0.116667 0.365 -142.862
0.133333 0.365 -144.799
0.15 0.365 -146.514
0.166667 0.365 -148.016
0.183333 0.365 -149.302
0.2 0.365 -150.376
0.216667 0.365 -151.237
0.233333 0.365 -151.888
0.25 0.365 -152.329
0.266667 0.365 -152.563
0.283333 0.365 -152.591
0.3 0.365 -152.413
0.316667 0.365 -152.033
0.333333 0.365 -151.454
0.35 0.365 -150.674
0.366667 0.365 -149.698
0.383333 0.365 -148.532
0.4 0.365 -147.177
0.416667 0.365 -145.632
0.433333 0.365 -143.905
0.45 0.365 -141.986
0.466667 0.365 -139.89
0.483333 0.365 -137.616
0.5 0.365 -135.166
0 0 0
0 0.445 -103.169
0.0166667 0.445 -107.275
0.0333333 0.445 -111.207
0.05 0.445 -114.926
0.0666667 0.445 -118.419
0.0833333 0.445 -121.683
0.1 0.445 -124.712
0.116667 0.445 -127.513
0.133333 0.445 -130.082
0.15 0.445 -132.421
0.166667 0.445 -134.534
0.183333 0.445 -136.417
0.2 0.445 -138.077
0.216667 0.445 -139.507
0.233333 0.445 -140.715
0.25 0.445 -141.698
0.266667 0.445 -142.461
0.283333 0.445 -143.002
0.3 0.445 -143.326
0.316667 0.445 -143.432
0.333333 0.445 -143.326
0.35 0.445 -143.003
0.366667 0.445 -142.47
0.383333 0.445 -141.735
0.4 0.445 -140.797
0.416667 0.445 -139.654
0.433333 0.445 -138.314
0.45 0.445 -136.771
0.466667 0.445 -135.037
0.483333 0.445 -133.109
0.5 0.445 -130.993
0 0 0
0 0.54 -80.8416
0.0166667 0.54 -85.618
0.0333333 0.54 -90.2606
0.05 0.54 -94.7158
0.0666667 0.54 -98.9503
0.0833333 0.54 -102.955
0.1 0.54 -106.717
0.116667 0.54 -110.245
0.133333 0.54 -113.533
0.15 0.54 -116.574
0.166667 0.54 -119.373
0.183333 0.54 -121.934
0.2 0.54 -124.255
0.216667 0.54 -126.332
0.233333 0.54 -128.17
0.25 0.54 -129.77
0.266667 0.54 -131.133
0.283333 0.54 -132.26
0.3 0.54 -133.154
0.316667 0.54 -133.813
0.333333 0.54 -134.243
0.35 0.54 -134.44
0.366667 0.54 -134.411
