# amplitude of the charge density oscillations
# two-orbital Hubbard model
# t=0.5 L=60 Jh=U/4 x=0.1
# x, U/W, amplitude

0 0.3 nan
0.0166667 0.3 0.0141843
0.0333333 0.3 0.0272188
0.05 0.3 0.0282128
0.0666667 0.3 0.0382889
0.0833333 0.3 0.0373488
0.1 0.3 0.0457782
0.116667 0.3 0.0451281
0.133333 0.3 0.0527188
0.15 0.3 0.052105
0.166667 0.3 0.0591041
0.183333 0.3 0.0577681
0.2 0.3 0.0644199
0.216667 0.3 0.0639081
0.233333 0.3 0.0696501
0.25 0.3 0.0693955
0.266667 0.3 0.0750938
0.283333 0.3 0.0744634
0.3 0.3 0.0800703
0.316667 0.3 0.0796552
0.333333 0.3 0.0851576
0.35 0.3 0.0856074
0.366667 0.3 0.091228
0.383333 0.3 0.0913243
0.4 0.3 0.0959482
0.416667 0.3 0.096464
0.433333 0.3 0.100384
0.45 0.3 0.100559
0.466667 0.3 0.104374
0.483333 0.3 0.104009
0.5 0.3 0.107083
0 0 0
0 0.365 0.00447158
0.0166667 0.365 0.0187255
0.0333333 0.365 0.0263195
0.05 0.365 0.0260759
0.0666667 0.365 0.0350554
0.0833333 0.365 0.0329955
0.1 0.365 0.0405949
0.116667 0.365 0.0401935
0.133333 0.365 0.0458929
0.15 0.365 0.0449377
0.166667 0.365 0.0515169
0.183333 0.365 0.0499535
0.2 0.365 0.0559523
0.216667 0.365 0.0550473
0.233333 0.365 0.0607477
0.25 0.365 0.0601396
0.266667 0.365 0.0655069
0.283333 0.365 0.0648651
0.3 0.365 0.0700021
0.316667 0.365 0.0700718
0.333333 0.365 0.0747846
0.35 0.365 0.0754505
0.366667 0.365 0.0808169
0.383333 0.365 0.0814678
0.4 0.365 0.086093
0.416667 0.365 0.0868353
0.433333 0.365 0.090913
0.45 0.365 0.0914448
0.466667 0.365 0.0952161
0.483333 0.365 0.0952568
0.5 0.365 0.0984306
0 0 0
0 0.445 0.00447205
0.0166667 0.445 0.0239797
0.0333333 0.445 0.0272167
0.05 0.445 0.0267465
0.0666667 0.445 0.0323783
0.0833333 0.445 0.031763
0.1 0.445 0.036986
0.116667 0.445 0.0350354
0.133333 0.445 0.040409
0.15 0.445 0.0388833
0.166667 0.445 0.0443642
0.183333 0.445 0.0423943
0.2 0.445 0.047868
0.216667 0.445 0.0463626
0.233333 0.445 0.0513435
0.25 0.445 0.0503765
0.266667 0.445 0.0553331
0.283333 0.445 0.05441
0.3 0.445 0.0594424
0.316667 0.445 0.0591092
0.333333 0.445 0.0633543
0.35 0.445 0.0647066
0.366667 0.445 0.0698881
0.383333 0.445 0.0709154
0.4 0.445 0.0753251
0.416667 0.445 0.076305
0.433333 0.445 0.0802744
0.45 0.445 0.0812187
0.466667 0.445 0.0849223
0.483333 0.445 0.0854122
0.5 0.445 0.0887201
0 0 0
0 0.54 nan
0.0166667 0.54 0.0214009
0.0333333 0.54 0.0302572
0.05 0.54 0.030582
0.0666667 0.54 0.0335489
0.0833333 0.54 0.0317629
0.1 0.54 0.035492
0.116667 0.54 0.0337338
0.133333 0.54 0.0363967
0.15 0.54 0.0345253
0.166667 0.54 0.0386714
0.183333 0.54 0.0360229
0.2 0.54 0.0403458
0.216667 0.54 0.0383922
0.233333 0.54 0.0424962
0.25 0.54 0.0409722
