# pair-pair correlation length (published figure presents inverse correlation length)
# two-orbital Hubbard model
# t=0.5 L=60 Jh=U/4
# x, U/W, pair-pair correlation length

0 0.3 0.229791
0.0166667 0.3 0.141366
0.0333333 0.3 0.102343
0.05 0.3 0.167175
0.0666667 0.3 0.156485
0.0833333 0.3 0.173773
0.1 0.3 0.145155
0.116667 0.3 0.172893
0.133333 0.3 0.145632
0.15 0.3 0.16599
0.166667 0.3 0.139787
0.183333 0.3 0.167326
0.2 0.3 0.152934
0.216667 0.3 0.15926
0.233333 0.3 0.153239
0.25 0.3 0.137479
0.266667 0.3 0.141544
0.283333 0.3 0.155617
0.3 0.3 0.126068
0.316667 0.3 0.155354
0.333333 0.3 0.14405
0.35 0.3 0.171834
0.366667 0.3 0.140684
0.383333 0.3 0.154618
0.4 0.3 0.130938
0.416667 0.3 0.147302
0.433333 0.3 0.122047
0.45 0.3 0.144961
0.466667 0.3 0.136753
0.483333 0.3 0.133363
0.5 0.3 0.143243
   
0 0.365 0.257133
0.0166667 0.365 0.156465
0.0333333 0.365 0.121373
0.05 0.365 0.175953
0.0666667 0.365 0.166123
0.0833333 0.365 0.17729
0.1 0.365 0.149293
0.116667 0.365 0.139517
0.133333 0.365 0.145752
0.15 0.365 0.151549
0.166667 0.365 0.144606
0.183333 0.365 0.17071
0.2 0.365 0.1674
0.216667 0.365 0.170746
0.233333 0.365 0.151378
0.25 0.365 0.146048
0.266667 0.365 0.142735
0.283333 0.365 0.149681
0.3 0.365 0.131065
0.316667 0.365 0.147172
0.333333 0.365 0.146959
0.35 0.365 0.179229
0.366667 0.365 0.143079
0.383333 0.365 0.136446
0.4 0.365 0.135845
0.416667 0.365 0.129604
0.433333 0.365 0.126766
0.45 0.365 0.150899
0.466667 0.365 0.142188
0.483333 0.365 0.137401
0.5 0.365 0.145437
   
0 0.445 0.293049
0.0166667 0.445 0.167608
0.0333333 0.445 0.153463
0.05 0.445 0.16964
0.0666667 0.445 0.172941
0.0833333 0.445 0.164507
0.1 0.445 0.156872
0.116667 0.445 0.159829
0.133333 0.445 0.153776
0.15 0.445 0.188019
0.166667 0.445 0.151085
0.183333 0.445 0.150963
0.2 0.445 0.16112
0.216667 0.445 0.164897
0.233333 0.445 0.153165
0.25 0.445 0.143507
0.266667 0.445 0.146258
0.283333 0.445 0.156358
0.3 0.445 0.136771
0.316667 0.445 0.152958
0.333333 0.445 0.150794
0.35 0.445 0.170783
0.366667 0.445 0.145966
0.383333 0.445 0.140626
0.4 0.445 0.140256
0.416667 0.445 0.148209
0.433333 0.445 0.129649
0.45 0.445 0.155798
0.466667 0.445 0.139231
0.483333 0.445 0.140898
0.5 0.445 0.149368
   
0 0.54 0.376599
0.0166667 0.54 0.19804
0.0333333 0.54 0.220215
0.05 0.54 0.197958
0.0666667 0.54 0.189429
0.0833333 0.54 0.185203
0.1 0.54 0.16439
0.116667 0.54 0.178527
0.133333 0.54 0.162034
0.15 0.54 0.162848
0.166667 0.54 0.152378
0.183333 0.54 0.165735
0.2 0.54 0.168994
0.216667 0.54 0.166739
0.233333 0.54 0.157376
0.25 0.54 0.155
0.266667 0.54 0.152523
0.283333 0.54 0.162481
0.3 0.54 0.143262
0.316667 0.54 0.155169
0.333333 0.54 0.156083
0.35 0.54 0.174583
0.366667 0.54 0.152198
0.383333 0.54 0.152949
0.4 0.54 0.145836
0.416667 0.54 0.160335
0.433333 0.54 0.131945
0.45 0.54 0.154243
0.466667 0.54 0.144075
0.483333 0.54 0.147699
0.5 0.54 0.156025
   
0 0.66 0.126781
0.0166667 0.66 0.110942
0.0333333 0.66 0.153181
0.05 0.66 0.166657
0.0666667 0.66 0.194933
0.0833333 0.66 0.193198
0.1 0.66 0.188572
0.116667 0.66 0.169879
0.133333 0.66 0.175804
0.15 0.66 0.179834
0.166667 0.66 0.166663
0.183333 0.66 0.172382
0.2 0.66 0.181158
0.216667 0.66 0.172245
0.233333 0.66 0.165118
0.25 0.66 0.157391
0.266667 0.66 0.156359
0.283333 0.66 0.165599
0.3 0.66 0.152469
0.316667 0.66 0.157793
0.333333 0.66 0.16368
0.35 0.66 0.180608
0.366667 0.66 0.158128
0.383333 0.66 0.162534
0.4 0.66 0.153153
0.416667 0.66 0.167813
0.433333 0.66 0.131619
0.45 0.66 0.159676
0.466667 0.66 0.149316
0.483333 0.66 0.153109
0.5 0.66 0.166648
   
0 0.8 0.733544
0.0166667 0.8 0.059535
0.0333333 0.8 0.111882
0.05 0.8 0.133964
0.0666667 0.8 0.150476
0.0833333 0.8 0.16147
0.1 0.8 0.178997
0.116667 0.8 0.181023
0.133333 0.8 0.206221
0.15 0.8 0.17644
0.166667 0.8 0.187266
0.183333 0.8 0.194877
0.2 0.8 0.200623
0.216667 0.8 0.186471
0.233333 0.8 0.178529
0.25 0.8 0.168821
0.266667 0.8 0.17007
0.283333 0.8 0.170486
0.3 0.8 0.159084
0.316667 0.8 0.169409
0.333333 0.8 0.172476
0.35 0.8 0.188166
0.366667 0.8 0.16751
0.383333 0.8 0.173358
0.4 0.8 0.164896
0.416667 0.8 0.180102
0.433333 0.8 0.147776
0.45 0.8 0.17815
0.466667 0.8 0.156907
0.483333 0.8 0.161825
0.5 0.8 0.181129
   
0 0.975 0.989599
0.0166667 0.975 0.0479547
0.0333333 0.975 0.0820171
0.05 0.975 0.0905847
0.0666667 0.975 0.102402
0.0833333 0.975 0.122099
0.1 0.975 0.132971
0.116667 0.975 0.144453
0.133333 0.975 0.158676
0.15 0.975 0.159461
0.166667 0.975 0.186196
0.183333 0.975 0.17334
0.2 0.975 0.190119
0.216667 0.975 0.177795
0.233333 0.975 0.19111
0.25 0.975 0.194019
0.266667 0.975 0.182255
0.283333 0.975 0.188208
0.3 0.975 0.179642
0.316667 0.975 0.184566
0.333333 0.975 0.184004
0.35 0.975 0.188832
0.366667 0.975 0.181754
0.383333 0.975 0.191839
0.4 0.975 0.179178
0.416667 0.975 0.189108
0.433333 0.975 0.164572
0.45 0.975 0.284921
0.466667 0.975 0.167751
0.483333 0.975 0.172617
0.5 0.975 0.198947
   
0 1.185 1.27574
0.0166667 1.185 0.0408582
0.0333333 1.185 0.0682335
0.05 1.185 0.0786651
0.0666667 1.185 0.0875686
0.0833333 1.185 0.0937719
0.1 1.185 0.104429
0.116667 1.185 0.110984
0.133333 1.185 0.125055
0.15 1.185 0.143962
0.166667 1.185 0.153671
0.183333 1.185 0.152912
0.2 1.185 0.161143
0.216667 1.185 0.154588
0.233333 1.185 0.162529
0.25 1.185 0.166717
0.266667 1.185 0.180228
0.283333 1.185 0.169824
0.3 1.185 0.318192
0.316667 1.185 0.205115
0.333333 1.185 0.199176
0.35 1.185 0.201102
0.366667 1.185 0.195791
0.383333 1.185 0.2238
0.4 1.185 0.197147
0.416667 1.185 0.1991
0.433333 1.185 0.176566
0.45 1.185 0.184134
0.466667 1.185 0.184131
0.483333 1.185 0.183987
0.5 1.185 0.197807
   
0 1.445 1.66226
0.0166667 1.445 0.0350379
0.0333333 1.445 0.0610139
0.05 1.445 0.0727398
0.0666667 1.445 0.0804846
0.0833333 1.445 0.0854382
0.1 1.445 0.0949577
0.116667 1.445 0.0986422
0.133333 1.445 0.108206
0.15 1.445 0.131027
0.166667 1.445 0.122373
0.183333 1.445 0.127738
0.2 1.445 0.140052
0.216667 1.445 0.144458
0.233333 1.445 0.145451
0.25 1.445 0.159917
0.266667 1.445 0.17036
0.283333 1.445 0.164915
0.3 1.445 0.181202
0.316667 1.445 0.186239
