# single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.33 S=1/2
# k, omega, A(k,omega)

0 -3 4.19124e-05
0 -2.96 5.61334e-05
0 -2.92 5.9421e-05
0 -2.88 3.50901e-05
0 -2.84 7.8092e-05
0 -2.8 7.36135e-05
0 -2.76 2.77642e-05
0 -2.72 4.04839e-05
0 -2.68 2.65448e-05
0 -2.64 9.54328e-05
0 -2.6 6.70826e-05
0 -2.56 4.72714e-05
0 -2.52 7.29389e-05
0 -2.48 4.87283e-05
0 -2.44 0.000124584
0 -2.4 8.12941e-05
0 -2.36 5.00744e-05
0 -2.32 4.45475e-05
0 -2.28 7.90802e-05
0 -2.24 9.91353e-05
0 -2.2 0.000114769
0 -2.16 8.20764e-05
0 -2.12 8.88259e-05
0 -2.08 0.000129437
0 -2.04 0.000112837
0 -2 6.18313e-05
0 -1.96 9.33012e-05
0 -1.92 9.22085e-05
0 -1.88 0.000124359
0 -1.84 0.000156311
0 -1.8 0.000125101
0 -1.76 0.000160441
0 -1.72 0.000196351
0 -1.68 0.000162819
0 -1.64 0.000179004
0 -1.6 0.000178896
0 -1.56 0.000212222
0 -1.52 0.000293532
0 -1.48 0.000295642
0 -1.44 0.000387334
0 -1.4 0.000481066
0 -1.36 0.00047324
0 -1.32 0.000551392
0 -1.28 0.00065988
0 -1.24 0.000715862
0 -1.2 0.000721506
0 -1.16 0.000867919
0 -1.12 0.000931394
0 -1.08 0.000696807
0 -1.04 0.0012637
0 -1 0.000991869
0 -0.96 0.0006686
0 -0.92 0.00140482
0 -0.88 0.00143869
0 -0.84 0.0016251
0 -0.8 0.00125182
0 -0.76 0.0013974
0 -0.72 0.00135138
0 -0.68 0.00202941
0 -0.64 0.00194709
0 -0.6 0.00225453
0 -0.56 0.00264005
0 -0.52 0.00252503
0 -0.48 0.0028271
0 -0.44 0.00292888
0 -0.4 0.00352943
0 -0.36 0.00376223
0 -0.32 0.00417349
0 -0.28 0.00462129
0 -0.24 0.00536178
0 -0.2 0.0062412
0 -0.16 0.00716539
0 -0.12 0.00738638
0 -0.08 0.00587124
0 -0.04 0.00380295
0 0 0.0024472
0 0.04 0.00169974
0 0.08 0.00120271
0 0.12 0.000923121
0 0.16 0.000760833
0 0.2 0.000580591
0 0.24 0.000507994
0 0.28 0.000469119
0 0.32 0.000343205
0 0.36 0.000369186
0 0.4 0.000360729
0 0.44 0.000329506
0 0.48 0.00022046
0 0.52 0.000295895
0 0.56 0.000157375
0 0.6 0.000208305
0 0.64 0.00019231
0 0.68 0.000155329
0 0.72 0.000212276
0 0.76 0.000345612
0 0.8 0.000108704
0 0.84 9.29497e-05
0 0.88 0.000474177
0 0.92 0.000306027
0 0.96 0.000761939
0 1 2.62788e-05
0 1.04 3.41494e-05
0 1.08 0.000728014
0 1.12 0.000122085
0 1.16 0.000692253
0 1.2 0.00107277
0 1.24 0.000757042
0 1.28 0.000388237
0 1.32 0.000124442
0 1.36 0.000655316
0 1.4 0.000153967
0 1.44 0.000167586
0 1.48 0.00065562
0 1.52 0.000425167
0 1.56 0.000293865
0 1.6 0.000377278
0 1.64 0.000468916
0 1.68 0.000155414
0 1.72 0.00162197
0 1.76 0.000575913
0 1.8 0.0014156
0 1.84 0.000393973
0 1.88 0.00125096
0 1.92 0.000155262
0 1.96 0.000569591
0 2 0.00193055
0 2.04 0.000336018
0 2.08 0.000914246
0 2.12 0.0009227
0 2.16 0.000351332
0 2.2 0.00121738
0 2.24 0.000898318
0 2.28 0.00164
0 2.32 0.00361265
0 2.36 0.000159617
0 2.4 0.000573252
0 2.44 0.00201255
0 2.48 0.0025775
0 2.52 0.00355227
0 2.56 0.00307695
0 2.6 0.00423135
0 2.64 0.00558927
0 2.68 0.00268971
0 2.72 5.90916e-05
0 2.76 0.00337164
0 2.8 0.00766168
0 2.84 0.0085027
0 2.88 0.0174665
0 2.92 0.0318398
0 2.96 0.0529993
0 3 0.0710778
0 3.04 0.068009
0 3.08 0.0480356
0 3.12 0.0299016
0 3.16 0.0200341
0 3.2 0.0134596
0 3.24 0.009696
0 3.28 0.00736643
0 3.32 0.00571445
0 3.36 0.00454351
0 3.4 0.00381187
0 3.44 0.00317211
0 3.48 0.00260444
0 3.52 0.0021255
0 3.56 0.00185656
0 3.6 0.0015241
0 3.64 0.00137062
0 3.68 0.00132352
0 3.72 0.00118944
0 3.76 0.00113278
0 3.8 0.000970503
0 3.84 0.000895486
0 3.88 0.000871764
0 3.92 0.000725968
0 3.96 0.000691331
0 4 0.000634374
0.005 -3 4.75343e-05
0.005 -2.96 4.85794e-05
0.005 -2.92 5.4736e-05
0.005 -2.88 3.71026e-05
0.005 -2.84 8.21246e-05
0.005 -2.8 7.40954e-05
0.005 -2.76 5.36101e-05
0.005 -2.72 4.07279e-05
0.005 -2.68 3.07106e-05
0.005 -2.64 0.000111919
0.005 -2.6 6.78168e-05
0.005 -2.56 5.71745e-05
0.005 -2.52 7.74126e-05
0.005 -2.48 6.29015e-05
0.005 -2.44 9.96468e-05
0.005 -2.4 6.45408e-05
0.005 -2.36 5.35331e-05
0.005 -2.32 4.81909e-05
0.005 -2.28 7.00471e-05
0.005 -2.24 9.80889e-05
0.005 -2.2 0.000105613
0.005 -2.16 9.67169e-05
0.005 -2.12 9.33706e-05
0.005 -2.08 9.87473e-05
0.005 -2.04 0.000104877
0.005 -2 8.25867e-05
0.005 -1.96 0.000101747
0.005 -1.92 0.000110552
0.005 -1.88 0.00012619
0.005 -1.84 0.000156827
0.005 -1.8 0.000138726
0.005 -1.76 0.000159541
0.005 -1.72 0.000172735
0.005 -1.68 0.000171603
0.005 -1.64 0.000178101
0.005 -1.6 0.00017547
0.005 -1.56 0.000227386
0.005 -1.52 0.000297859
0.005 -1.48 0.00031196
0.005 -1.44 0.000380942
0.005 -1.4 0.000476401
0.005 -1.36 0.000486197
0.005 -1.32 0.000539616
0.005 -1.28 0.000663506
0.005 -1.24 0.000712192
0.005 -1.2 0.00074081
0.005 -1.16 0.000867634
0.005 -1.12 0.000904407
0.005 -1.08 0.000885331
0.005 -1.04 0.00114312
0.005 -1 0.00117655
0.005 -0.96 0.000786129
0.005 -0.92 0.00137487
0.005 -0.88 0.00135536
0.005 -0.84 0.00169356
0.005 -0.8 0.00138855
0.005 -0.76 0.00153693
0.005 -0.72 0.00168691
0.005 -0.68 0.00196127
0.005 -0.64 0.00204443
0.005 -0.6 0.00225184
0.005 -0.56 0.00249644
0.005 -0.52 0.00259514
0.005 -0.48 0.00290045
0.005 -0.44 0.002919
0.005 -0.4 0.00346613
0.005 -0.36 0.00370469
0.005 -0.32 0.0041274
0.005 -0.28 0.0046424
0.005 -0.24 0.00535399
0.005 -0.2 0.0062436
0.005 -0.16 0.00715773
0.005 -0.12 0.00739578
0.005 -0.08 0.00585762
