# single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.60 S=1/2
# k, omega, A(k,omega)

0 -5 0.000100912
0 -4.96 6.48529e-05
0 -4.92 6.1844e-05
0 -4.88 0.000125075
0 -4.84 0.00011062
0 -4.8 6.24648e-05
0 -4.76 5.70139e-05
0 -4.72 4.7927e-05
0 -4.68 1.2232e-05
0 -4.64 3.34558e-05
0 -4.6 0.000116318
0 -4.56 7.69962e-05
0 -4.52 8.03756e-05
0 -4.48 4.58271e-05
0 -4.44 6.79853e-05
0 -4.4 0.000130045
0 -4.36 0.000155981
0 -4.32 0.000153334
0 -4.28 8.88512e-05
0 -4.24 6.77351e-05
0 -4.2 1.63019e-05
0 -4.16 6.40072e-05
0 -4.12 6.08558e-05
0 -4.08 0.000156336
0 -4.04 0.000222149
0 -4 0.000167219
0 -3.96 0.000119989
0 -3.92 0.00010089
0 -3.88 9.26963e-05
0 -3.84 9.49545e-05
0 -3.8 0.00011621
0 -3.76 0.000259237
0 -3.72 0.00011125
0 -3.68 0.000154521
0 -3.64 0.000207978
0 -3.6 0.000243426
0 -3.56 0.000183502
0 -3.52 0.000205071
0 -3.48 0.000199607
0 -3.44 0.000259107
0 -3.4 0.000204387
0 -3.36 0.000110946
0 -3.32 0.000175666
0 -3.28 0.000231413
0 -3.24 0.000290577
0 -3.2 0.000242619
0 -3.16 0.000342197
0 -3.12 0.000303148
0 -3.08 0.000330811
0 -3.04 0.00049453
0 -3 0.00058271
0 -2.96 0.000603908
0 -2.92 0.000493805
0 -2.88 0.000582808
0 -2.84 0.00097908
0 -2.8 0.000942615
0 -2.76 0.00118253
0 -2.72 0.00106942
0 -2.68 0.000464552
0 -2.64 0.000892278
0 -2.6 0.00103007
0 -2.56 0.00336417
0 -2.52 0.00267705
0 -2.48 0.000946856
0 -2.44 0.000857378
0 -2.4 0.00208106
0 -2.36 0.00437899
0 -2.32 0.00114357
0 -2.28 0.000458914
0 -2.24 0.00238845
0 -2.2 0.00130737
0 -2.16 0.0010339
0 -2.12 0.00282048
0 -2.08 0.000415108
0 -2.04 0.00219629
0 -2 0.00275265
0 -1.96 0.00159958
0 -1.92 0.00125466
0 -1.88 0.000547084
0 -1.84 0.00103508
0 -1.8 0.00196638
0 -1.76 0.00257949
0 -1.72 0.00220058
0 -1.68 0.00213762
0 -1.64 0.00179696
0 -1.6 0.00100302
