# dynamical spin structure factor of two-orbital Hubbard-Kanamori model
# t00=0.5 t11/t00=1.0 U=16 Jh=U/4 L=60 n=2.80
# k, omega, S(k,omega)

0 0 0.00163896
0 0.004 0.000494024
0 0.008 -0.000888474
0 0.012 -0.00212624
0 0.016 -0.00259265
0 0.02 -0.00197607
0 0.024 -0.0011536
0 0.028 0.000370362
0 0.032 0.00221067
0 0.036 0.00273627
0 0.04 -0.000244914
0 0.044 -0.00868513
0 0.048 -0.0197968
0 0.052 -0.0274583
0 0.056 -0.0255549
0 0.06 -0.0190294
0 0.064 -0.00965903
0 0.068 -0.00119241
0 0.072 0.0106082
0 0.076 0.0260613
0 0.08 0.0303732
0 0.084 0.0221211
0 0.088 0.0203776
0 0.092 0.0190991
0 0.096 0.0160154
0 0.1 0.0109359
0 0.104 0.00580398
0 0.108 0.000410562
0 0.112 -0.00487931
0 0.116 -0.00845041
0 0.12 -0.0158235
0 0.124 -0.0197778
0 0.128 -0.0191871
0 0.132 -0.00744231
0 0.136 0.00126259
0 0.14 0.0102779
0 0.144 0.0160085
0 0.148 0.0317363
0 0.152 0.0269762
0 0.156 0.0246676
0 0.16 0.0370249
0 0.164 0.027782
0 0.168 0.0155855
0 0.172 0.0111852
0 0.176 0.00702894
0 0.18 0.00450056
0 0.184 0.00053288
0 0.188 0.00342662
0 0.192 -0.0113876
0 0.196 -0.00925735
0 0.2 -0.00118238
0 0.204 0.0045342
0 0.208 -0.00757608
0 0.212 -0.00860208
0 0.216 -0.00987531
0 0.22 -0.00563036
0 0.224 -0.0159853
0 0.228 -0.0105362
0 0.232 -0.0143387
0 0.236 -0.00120208
0 0.24 0.00341138
0 0.244 0.00171992
0 0.248 0.00470861
0 0.252 0.00333706
0 0.256 0.00859091
0 0.26 0.0120794
0 0.264 0.0162566
0 0.268 0.0286684
0 0.272 0.0251213
0 0.276 0.0247636
0 0.28 0.0286631
0 0.284 0.0127963
0 0.288 0.0193779
0 0.292 0.0133627
0 0.296 0.0159551
0 0.3 0.0254115
0 0.304 0.0109329
0 0.308 0.00901577
0 0.312 0.0182063
0 0.316 0.00906766
0 0.32 -0.00343378
0 0.324 0.0118487
0 0.328 0.00369518
0 0.332 0.0165156
0 0.336 0.0101517
0 0.34 0.00143237
0 0.344 -0.00434852
0 0.348 0.0037348
0 0.352 -0.0262106
0 0.356 -0.0118401
0 0.36 -0.0232507
0 0.364 -0.0218892
0 0.368 -0.0231568
0 0.372 -0.0231062
0 0.376 -0.0319451
0 0.38 -0.0429725
0 0.384 -0.0182824
0 0.388 -0.0122677
0 0.392 -0.0114089
0 0.396 0.00281408
0 0.4 0.00741231
0 0.404 0.0122789
0 0.408 0.00212637
0 0.412 0.0110042
0 0.416 -0.00207259
0 0.42 0.0154465
0 0.424 0.000537563
0 0.428 0.00123136
0 0.432 0.000402471
0 0.436 -0.0132252
0 0.44 0.00394679
0 0.444 0.014871
0 0.448 0.0112094
0 0.452 0.00300924
0 0.456 0.0304521
0 0.46 0.00554875
0 0.464 0.00255597
0 0.468 0.0107191
0 0.472 0.0123436
0 0.476 -0.00517085
0 0.48 0.021871
0 0.484 0.00469345
0 0.488 -0.000733281
0 0.492 0.020274
0 0.496 -0.00636902
0 0.5 0.0113501
0 0.504 0.0143604
0 0.508 -0.000764
0 0.512 0.0241429
0 0.516 0.0149126
0 0.52 0.00814114
0 0.524 0.00939701
0 0.528 0.0131243
0 0.532 -0.00917407
0 0.536 0.0130565
0 0.54 0.00351835
0 0.544 -0.00887159
0 0.548 -0.00525941
0 0.552 -0.0080412
0 0.556 -0.0161359
0 0.56 0.000798266
0 0.564 -0.0107579
0 0.568 0.00996849
0 0.572 -0.00283209
0 0.576 -0.00408158
0 0.58 0.0098002
0 0.584 0.000789015
0 0.588 0.00270094
0 0.592 0.00880717
0 0.596 0.000945112
0 0.6 -0.0057012
0 0.604 -0.000801535
0 0.608 -0.00308224
0 0.612 -0.00602249
0 0.616 -0.0104688
0 0.62 -0.00442171
0 0.624 -0.00994858
0 0.628 -0.0109947
0 0.632 -0.0220298
0 0.636 -0.0283595
0 0.64 -0.00263702
0 0.644 -0.00774096
0 0.648 -0.0108947
0 0.652 -0.0101793
0 0.656 -0.0363723
0 0.66 -0.0114123
0 0.664 -0.0112618
0 0.668 -0.00428477
0 0.672 -0.0145254
0 0.676 -0.0203679
0 0.68 -0.00670592
0 0.684 0.00795365
0 0.688 -0.00909365
0 0.692 -0.00724314
0 0.696 -0.00190511
0 0.7 0.0186402
0 0.704 0.0133717
0 0.708 0.0100773
0 0.712 0.0108432
0 0.716 0.00401929
0 0.72 0.0142618
0 0.724 0.0192899
0 0.728 0.00395827
0 0.732 0.0204095
0 0.736 0.00309446
0 0.74 0.0149835
0 0.744 0.0180131
0 0.748 0.0106167
0 0.752 0.0181896
0 0.756 0.00173865
0 0.76 -0.00643796
0 0.764 0.00515105
0 0.768 -0.00878152
0 0.772 0.00426123
0 0.776 0.00454109
0 0.78 0.00426123
0 0.784 0.00926725
0 0.788 0.0101354
0 0.792 -0.00206793
0 0.796 0.013965
0 0.8 0.01025
0.0166667 0 0.0458116
0.0166667 0.004 0.0461735
0.0166667 0.008 0.0450862
0.0166667 0.012 0.0427509
0.0166667 0.016 0.0400434
0.0166667 0.02 0.0376768
0.0166667 0.024 0.0352828
0.0166667 0.028 0.033495
0.0166667 0.032 0.0318663
0.0166667 0.036 0.0288836
0.0166667 0.04 0.0226973
0.0166667 0.044 0.0121575
0.0166667 0.048 0.000318084
0.0166667 0.052 -0.00806123
0.0166667 0.056 -0.00790825
0.0166667 0.06 -0.00352174
0.0166667 0.064 0.00359722
0.0166667 0.068 0.00989723
0.0166667 0.072 0.0183537
0.0166667 0.076 0.0291276
0.0166667 0.08 0.0307858
0.0166667 0.084 0.0227688
0.0166667 0.088 0.0203762
0.0166667 0.092 0.019705
0.0166667 0.096 0.0181661
0.0166667 0.1 0.0146676
0.0166667 0.104 0.0116335
0.0166667 0.108 0.00719683
0.0166667 0.112 0.00244571
0.0166667 0.116 -0.00017428
0.0166667 0.12 -0.00663655
0.0166667 0.124 -0.0110421
0.0166667 0.128 -0.0100188
0.0166667 0.132 -0.000424949
0.0166667 0.136 0.00636513
0.0166667 0.14 0.012557
0.0166667 0.144 0.0194025
0.0166667 0.148 0.0289597
0.0166667 0.152 0.0246232
0.0166667 0.156 0.0236972
0.0166667 0.16 0.0262451
0.0166667 0.164 0.0183353
0.0166667 0.168 0.0120542
0.0166667 0.172 0.00988635
0.0166667 0.176 0.00563568
0.0166667 0.18 0.0025211
0.0166667 0.184 -0.00108777
0.0166667 0.188 0.00120237
0.0166667 0.192 -0.0101459
0.0166667 0.196 -0.00854017
0.0166667 0.2 -0.00196253
0.0166667 0.204 0.00425451
0.0166667 0.208 -0.00578411
0.0166667 0.212 -0.00686403
0.0166667 0.216 -0.00740023
0.0166667 0.22 -0.00303343
0.0166667 0.224 -0.0107432
0.0166667 0.228 -0.00800419
0.0166667 0.232 -0.00948387
0.0166667 0.236 0.0012658
0.0166667 0.24 0.00647582
0.0166667 0.244 0.00575482
0.0166667 0.248 0.00651178
0.0166667 0.252 0.00571439
0.0166667 0.256 0.00920116
0.0166667 0.26 0.0114924
0.0166667 0.264 0.0172492
0.0166667 0.268 0.0193975
0.0166667 0.272 0.0190991
0.0166667 0.276 0.0153954
0.0166667 0.28 0.0201697
0.0166667 0.284 0.0101433
0.0166667 0.288 0.0149957
0.0166667 0.292 0.0104394
0.0166667 0.296 0.0137665
0.0166667 0.3 0.0190742
0.0166667 0.304 0.00826766
0.0166667 0.308 0.00810056
0.0166667 0.312 0.0152446
0.0166667 0.316 0.00705651
0.0166667 0.32 -0.00401726
0.0166667 0.324 0.00755897
0.0166667 0.328 0.00374237
0.0166667 0.332 0.0126482
0.0166667 0.336 0.00795347
0.0166667 0.34 0.00296214
0.0166667 0.344 -0.00742159
0.0166667 0.348 0.00565742
0.0166667 0.352 -0.0215546
0.0166667 0.356 -0.01374
0.0166667 0.36 -0.0210536
0.0166667 0.364 -0.0189242
0.0166667 0.368 -0.0192612
0.0166667 0.372 -0.0193833
0.0166667 0.376 -0.0203066
0.0166667 0.38 -0.0299433
0.0166667 0.384 -0.0135907
0.0166667 0.388 -0.00530849
0.0166667 0.392 -0.00441474
0.0166667 0.396 0.00338984
0.0166667 0.4 0.00413654
0.0166667 0.404 0.0127011
0.0166667 0.408 0.00276475
0.0166667 0.412 0.0110053
0.0166667 0.416 0.0003957
0.0166667 0.42 0.0121
0.0166667 0.424 0.00644586
0.0166667 0.428 0.00287334
0.0166667 0.432 0.000146923
0.0166667 0.436 -0.00445928
0.0166667 0.44 0.00551129
0.0166667 0.444 0.0138218
0.0166667 0.448 0.00741201
0.0166667 0.452 -0.00118331
0.0166667 0.456 0.0304599
0.0166667 0.46 0.0099786
0.0166667 0.464 0.00204645
0.0166667 0.468 0.011906
0.0166667 0.472 0.00744518
0.0166667 0.476 0.00285406
0.0166667 0.48 0.0161246
0.0166667 0.484 0.00699773
0.0166667 0.488 0.00191391
0.0166667 0.492 0.0139383
0.0166667 0.496 -0.00368425
0.0166667 0.5 0.0046034
0.0166667 0.504 0.0112508
0.0166667 0.508 0.00222924
0.0166667 0.512 0.018394
0.0166667 0.516 0.00938212
0.0166667 0.52 -0.00129247
0.0166667 0.524 0.000701639
0.0166667 0.528 0.00461542
0.0166667 0.532 -0.00847775
0.0166667 0.536 0.00110525
0.0166667 0.54 -0.000602185
0.0166667 0.544 -0.00306643
0.0166667 0.548 -0.00621823
0.0166667 0.552 -0.00939358
0.0166667 0.556 -0.0149569
0.0166667 0.56 -0.00107224
0.0166667 0.564 -0.00479432
0.0166667 0.568 0.00901983
0.0166667 0.572 -0.00307965
0.0166667 0.576 -0.00329524
0.0166667 0.58 0.00130077
0.0166667 0.584 0.00109903
0.0166667 0.588 0.000121088
0.0166667 0.592 0.00264647
0.0166667 0.596 -0.00501709
0.0166667 0.6 -0.0058982
0.0166667 0.604 -0.0040411
0.0166667 0.608 -0.00369849
0.0166667 0.612 0.00237165
0.0166667 0.616 -0.00704791
0.0166667 0.62 -0.0065448
0.0166667 0.624 -0.00893543
0.0166667 0.628 -0.00627189
0.0166667 0.632 -0.0138738
0.0166667 0.636 -0.0161289
0.0166667 0.64 -0.0018904
0.0166667 0.644 -0.00738332
0.0166667 0.648 -0.0060003
0.0166667 0.652 -0.00412155
0.0166667 0.656 -0.0260885
0.0166667 0.66 -0.00982602
0.0166667 0.664 -0.0132954
0.0166667 0.668 -0.00118596
0.0166667 0.672 -0.0133302
0.0166667 0.676 -0.0125017
0.0166667 0.68 -0.00598421
0.0166667 0.684 0.00570089
0.0166667 0.688 -0.0029086
0.0166667 0.692 -0.00449072
0.0166667 0.696 0.00185553
0.0166667 0.7 0.0223403
0.0166667 0.704 0.0167336
0.0166667 0.708 0.011552
0.0166667 0.712 0.0155047
0.0166667 0.716 0.00676742
0.0166667 0.72 0.0117932
0.0166667 0.724 0.0153571
0.0166667 0.728 0.00775518
0.0166667 0.732 0.0139316
0.0166667 0.736 0.00551525
0.0166667 0.74 0.0153253
0.0166667 0.744 0.016804
0.0166667 0.748 0.0132918
0.0166667 0.752 0.0138816
0.0166667 0.756 0.00425098
0.0166667 0.76 -0.0034682
0.0166667 0.764 0.00747941
0.0166667 0.768 -0.00416058
0.0166667 0.772 0.00251586
0.0166667 0.776 0.00199739
0.0166667 0.78 0.00251586
0.0166667 0.784 0.00680604
0.0166667 0.788 0.00387313
0.0166667 0.792 -0.00272495
0.0166667 0.796 0.0117411
0.0166667 0.8 0.00914653
0.0333333 0 0.149033
0.0333333 0.004 0.153661
0.0333333 0.008 0.154045
0.0333333 0.012 0.149882
0.0333333 0.016 0.142396
0.0333333 0.02 0.132869
0.0333333 0.024 0.122247
0.0333333 0.028 0.111809
0.0333333 0.032 0.101486
0.0333333 0.036 0.0902863
0.0333333 0.04 0.0771457
0.0333333 0.044 0.0624702
0.0333333 0.048 0.0494899
0.0333333 0.052 0.0395162
0.0333333 0.056 0.0352607
