# dynamical spin structure factor of two-orbital Hubbard-Kanamori model
# t00=0.5 t11/t00=0.8 U=16 Jh=U/4 L=60 n=2.50
# k, omega, S(k,omega)

0 0 -0.00562869
0 0.004 -0.00487806
0 0.008 -0.00163135
0 0.012 0.00726412
0 0.016 0.0141133
0 0.02 0.0219829
0 0.024 0.0269894
0 0.028 0.0251267
0 0.032 0.0187855
0 0.036 0.00719464
0 0.04 -0.0136025
0 0.044 -0.0102308
0 0.048 -0.0120577
0 0.052 -0.0245659
0 0.056 -0.0201696
0 0.06 0.00323461
0 0.064 0.00668828
0 0.068 0.00124008
0 0.072 0.0664692
0 0.076 0.0469707
0 0.08 0.0529159
0 0.084 0.0846176
0 0.088 0.0648099
0 0.092 0.0410301
0 0.096 0.0530899
0 0.1 0.0297578
0 0.104 0.0861033
0 0.108 -0.00924717
0 0.112 -0.022239
0 0.116 0.00130207
0 0.12 -0.0256019
0 0.124 -0.0718726
0 0.128 -0.07581
0 0.132 -0.0748636
0 0.136 -0.0795464
0 0.14 -0.0470855
0 0.144 -0.0584608
0 0.148 -0.0746551
0 0.152 -0.138548
0 0.156 -0.15049
0 0.16 -0.0657008
0 0.164 0.0110103
0 0.168 0.00951916
0 0.172 -0.0880762
0 0.176 -0.0349539
0 0.18 0.0430386
0 0.184 -0.0553598
0 0.188 -0.06563
0 0.192 0.0405927
0 0.196 0.00438181
0 0.2 0.00654834
0 0.204 -0.0329977
0 0.208 0.0713369
0 0.212 0.0258091
0 0.216 0.0134413
0 0.22 -0.0209895
0 0.224 0.0176206
0 0.228 0.110712
0 0.232 0.0523636
0 0.236 0.119938
0 0.24 0.0600464
0 0.244 0.0292714
0 0.248 0.107038
0 0.252 0.0371497
0 0.256 0.0265067
0 0.26 0.0898185
0 0.264 0.104951
0 0.268 0.0411057
0 0.272 0.0398774
0 0.276 0.0353794
0 0.28 0.0202048
0 0.284 -0.0327456
0 0.288 0.0330136
0 0.292 0.0194477
0 0.296 0.0354904
0 0.3 -0.0618174
0 0.304 0.0779558
0 0.308 -0.000869695
0 0.312 -0.0108985
0 0.316 0.000217209
0 0.32 0.00258558
0 0.324 -0.0444337
0 0.328 0.0229037
0 0.332 -0.0516911
0 0.336 0.0507096
0 0.34 -0.0595855
0 0.344 0.0278575
0 0.348 -0.00530432
0 0.352 -0.0179445
0 0.356 0.0423101
0 0.36 0.0171524
0 0.364 0.0138599
0 0.368 0.00662492
0 0.372 0.0395499
0 0.376 0.00786764
0 0.38 -0.037733
0 0.384 -0.0439783
0 0.388 -0.0686698
0 0.392 0.0163776
0 0.396 -0.0532718
0 0.4 0.0425427
0 0.404 0.00866312
0 0.408 0.0212429
0 0.412 0.0125865
0 0.416 0.0056732
0 0.42 -0.0291443
0 0.424 -0.000374025
0 0.428 -0.0377094
0 0.432 -0.000112465
0 0.436 -0.053484
0 0.44 0.00437094
0 0.444 0.00903302
0 0.448 0.0237184
0 0.452 -0.00643585
0 0.456 0.0150748
0 0.46 0.0112766
0 0.464 -0.0250366
0 0.468 0.00905312
0 0.472 0.0122259
0 0.476 -0.00305734
0 0.48 0.0138911
0 0.484 0.0177434
0 0.488 0.00553124
0 0.492 0.00467634
0 0.496 0.00144973
0 0.5 0.0198844
0 0.504 -0.00889536
0 0.508 -0.00323509
0 0.512 0.00166856
0 0.516 -0.00573262
0 0.52 0.00187047
0 0.524 0.0133023
0 0.528 0.0127443
0 0.532 0.00771393
0 0.536 0.0179568
0 0.54 0.000579202
0 0.544 0.00158563
0 0.548 0.00433241
0 0.552 -0.00126505
0 0.556 -0.00759913
0 0.56 0.00303713
0 0.564 -0.00178527
0 0.568 0.00249013
0 0.572 -0.00843421
0 0.576 -0.00550971
0 0.58 0.00458108
0 0.584 -0.00122819
0 0.588 -0.0006973
0 0.592 -0.00306105
0 0.596 -0.00643003
0 0.6 -0.0129561
0 0.604 -0.00800876
0 0.608 -0.0030068
0 0.612 -0.00116051
0 0.616 -0.0110071
0 0.62 -0.000221892
0 0.624 -0.00767394
0 0.628 -0.0147004
0 0.632 -0.00847075
0 0.636 -0.00536492
0 0.64 0.00454772
0 0.644 -0.00551453
0 0.648 0.00138806
0 0.652 0.00312421
0 0.656 -0.00449947
0 0.66 5.36242e-05
0 0.664 0.000911843
0 0.668 -0.00538433
0 0.672 -0.00352165
0 0.676 -0.00303903
0 0.68 -0.00481683
0 0.684 -0.000408174
0 0.688 -0.00611365
0 0.692 0.000920236
0 0.696 -0.00214455
0 0.7 -0.000423406
0 0.704 0.000486675
0 0.708 -0.00191753
0 0.712 0.000716589
0 0.716 0.000336629
0 0.72 -0.00528628
0 0.724 -0.00605427
0 0.728 -0.00428581
0 0.732 -0.000479905
0 0.736 -0.00341442
0 0.74 -0.000460709
0 0.744 -0.00410695
0 0.748 -0.00315335
0 0.752 -0.000488669
0 0.756 0.00169033
0 0.76 -0.00012153
0 0.764 -0.000364079
0 0.768 0.00188638
0 0.772 0.00211708
0 0.776 -0.00317431
0 0.78 0.00256647
0 0.784 0.00189403
0 0.788 0.00102449
0 0.792 0.0014089
0 0.796 0.00293442
0 0.8 0.00274017
0.0166667 0 0.101784
0.0166667 0.004 0.101462
0.0166667 0.008 0.0997519
0.0166667 0.012 0.0994149
0.0166667 0.016 0.0966287
0.0166667 0.02 0.0935456
0.0166667 0.024 0.0879568
0.0166667 0.028 0.0764692
0.0166667 0.032 0.0633629
0.0166667 0.036 0.0447196
0.0166667 0.04 0.0192435
0.0166667 0.044 0.0186138
0.0166667 0.048 0.012023
0.0166667 0.052 0.00594122
0.0166667 0.056 0.00858304
0.0166667 0.06 0.0263753
0.0166667 0.064 0.0319041
0.0166667 0.068 0.0199946
0.0166667 0.072 0.0622732
0.0166667 0.076 0.053794
0.0166667 0.08 0.0675314
0.0166667 0.084 0.0855663
0.0166667 0.088 0.0669158
0.0166667 0.092 0.0552456
0.0166667 0.096 0.0564099
0.0166667 0.1 0.0387666
0.0166667 0.104 0.0879529
0.0166667 0.108 0.00307644
0.0166667 0.112 -0.00181841
0.0166667 0.116 0.0112392
0.0166667 0.12 -0.00812891
0.0166667 0.124 -0.0365029
0.0166667 0.128 -0.0408798
0.0166667 0.132 -0.0386942
0.0166667 0.136 -0.0359058
0.0166667 0.14 -0.0211195
0.0166667 0.144 -0.0165379
0.0166667 0.148 -0.0436718
0.0166667 0.152 -0.0562786
0.0166667 0.156 -0.0469798
0.0166667 0.16 -0.00566833
0.0166667 0.164 0.0206124
0.0166667 0.168 0.033081
0.0166667 0.172 -0.0342477
0.0166667 0.176 -0.0136338
0.0166667 0.18 0.0379602
0.0166667 0.184 -0.0109
0.0166667 0.188 -0.0166091
0.0166667 0.192 0.0334407
0.0166667 0.196 0.000100785
0.0166667 0.2 0.0150265
0.0166667 0.204 -0.0301514
0.0166667 0.208 0.0453184
0.0166667 0.212 0.00909496
0.0166667 0.216 -0.00812248
0.0166667 0.22 -0.022337
0.0166667 0.224 -0.00778747
0.0166667 0.228 0.0677332
0.0166667 0.232 0.00919986
0.0166667 0.236 0.0428411
0.0166667 0.24 0.00802586
0.0166667 0.244 -0.00194529
0.0166667 0.248 0.040266
0.0166667 0.252 0.00342624
0.0166667 0.256 0.00263274
0.0166667 0.26 0.0291838
0.0166667 0.264 0.0703743
0.0166667 0.268 -0.0128676
0.0166667 0.272 0.0131762
0.0166667 0.276 0.00612989
0.0166667 0.28 0.0140187
0.0166667 0.284 -0.0169647
0.0166667 0.288 0.0331206
0.0166667 0.292 -0.0187645
0.0166667 0.296 0.0183559
0.0166667 0.3 -0.0310107
0.0166667 0.304 0.0324749
0.0166667 0.308 -0.00455603
0.0166667 0.312 -0.00733105
0.0166667 0.316 -0.00507807
0.0166667 0.32 -0.0022431
0.0166667 0.324 -0.0188568
0.0166667 0.328 0.0326269
0.0166667 0.332 -0.037102
0.0166667 0.336 -0.00179381
0.0166667 0.34 -0.0287712
0.0166667 0.344 0.00117526
0.0166667 0.348 0.00685688
0.0166667 0.352 -0.00587219
0.0166667 0.356 0.0476386
0.0166667 0.36 0.038161
0.0166667 0.364 0.0258068
0.0166667 0.368 0.0108986
0.0166667 0.372 0.0391622
0.0166667 0.376 0.0223362
0.0166667 0.38 -0.0034827
0.0166667 0.384 -0.0318296
0.0166667 0.388 -0.0298266
0.0166667 0.392 -0.00163095
0.0166667 0.396 -0.0399768
0.0166667 0.4 0.0352195
0.0166667 0.404 0.00765246
0.0166667 0.408 0.0297047
0.0166667 0.412 -0.0058165
0.0166667 0.416 0.00617807
0.0166667 0.42 -0.0315621
0.0166667 0.424 0.00490921
0.0166667 0.428 -0.0282107
0.0166667 0.432 0.00219052
0.0166667 0.436 -0.0197182
0.0166667 0.44 -0.00313721
0.0166667 0.444 0.0113547
