# dynamical spin structure factor of two-orbital Hubbard-Kanamori model
# t00=0.5 t11/t00=0.5 U=16 Jh=U/4 L=60 n=2.33
# k, omega, S(k,omega)

0 0 -0.00890955
0 0.004 -0.009062
0 0.008 -0.0085214
0 0.012 -0.00450587
0 0.016 -0.0125415
0 0.02 0.0123355
0 0.024 0.0145774
0 0.028 0.00403533
0 0.032 0.0178409
0 0.036 0.0391455
0 0.04 0.0256395
0 0.044 0.0200247
0 0.048 0.0184398
0 0.052 0.00585885
0 0.056 0.00693278
0 0.06 -0.00540937
0 0.064 -0.00442238
0 0.068 0.0275767
0 0.072 -0.0286422
0 0.076 -0.0224762
0 0.08 0.0226154
0 0.084 -0.00264421
0 0.088 -0.000811759
0 0.092 0.00197454
0 0.096 -0.0329472
0 0.1 -0.0450191
0 0.104 -0.0284339
0 0.108 0.0276942
0 0.112 -0.0256192
0 0.116 -0.0539178
0 0.12 -0.00674937
0 0.124 -0.0436005
0 0.128 -0.099226
0 0.132 -0.0573016
0 0.136 -0.0586773
0 0.14 -0.0858713
0 0.144 -0.0574037
0 0.148 -0.0859322
0 0.152 -0.0116646
0 0.156 -0.011053
0 0.16 -0.0467937
0 0.164 -0.0629272
0 0.168 -0.0126759
0 0.172 -0.0749435
0 0.176 -0.0413676
0 0.18 -0.10758
0 0.184 -0.00906722
0 0.188 -0.114034
0 0.192 -0.00713387
0 0.196 -0.0191907
0 0.2 -0.00046006
0 0.204 0.0730567
0 0.208 0.0283241
0 0.212 0.079237
0 0.216 0.0868785
0 0.22 0.0261395
0 0.224 -0.0199812
0 0.228 0.037938
0 0.232 0.190824
0 0.236 0.0688073
0 0.24 0.0438253
0 0.244 0.0327713
0 0.248 0.00389312
0 0.252 0.0380767
0 0.256 0.0354292
0 0.26 0.0251419
0 0.264 0.0804636
0 0.268 0.0404025
0 0.272 -5.96056e-05
0 0.276 0.0485511
0 0.28 0.00181448
0 0.284 -0.0231461
0 0.288 0.0194926
0 0.292 -0.00483884
0 0.296 0.031124
0 0.3 0.0235161
0 0.304 0.0376347
0 0.308 -0.0813158
0 0.312 0.0602235
0 0.316 -0.0174784
0 0.32 0.00321138
0 0.324 -0.0169433
0 0.328 -0.0739209
0 0.332 -0.0791436
0 0.336 -0.00166003
0 0.34 -0.112587
0 0.344 -0.0999902
0 0.348 -0.0274897
0 0.352 0.0116841
0 0.356 -0.0215792
0 0.36 -0.0186913
0 0.364 0.0159632
0 0.368 0.044104
0 0.372 -0.114107
0 0.376 0.0146825
0 0.38 -0.12971
0 0.384 -0.0372191
0 0.388 0.000169404
0 0.392 0.0347789
0 0.396 -0.0466411
0 0.4 0.0363862
0 0.404 -0.0220034
0 0.408 0.0287135
0 0.412 0.0229394
0 0.416 0.0382472
0 0.42 -0.00567983
0 0.424 -0.0145358
0 0.428 0.0238803
0 0.432 -0.119285
0 0.436 -0.0296903
0 0.44 0.0289352
0 0.444 0.0430025
0 0.448 -0.0169532
0 0.452 -0.0345455
0 0.456 0.00933789
0 0.46 -0.0280386
0 0.464 0.0407502
0 0.468 -0.0221004
0 0.472 -0.0051185
0 0.476 -0.0362778
0 0.48 -5.16768e-05
0 0.484 0.00532468
0 0.488 -0.00981443
0 0.492 -0.00550373
0 0.496 -0.0200822
0 0.5 0.0290216
0 0.504 0.00158758
0 0.508 -0.0229818
0 0.512 -0.013003
0 0.516 -0.0404216
0 0.52 -0.0184902
0 0.524 -0.0612833
0 0.528 -0.0195079
0 0.532 0.00975049
0 0.536 -0.0494913
0 0.54 0.0313024
0 0.544 0.0295746
0 0.548 0.00307153
0 0.552 -0.0267816
0 0.556 0.0644331
0 0.56 -0.0156723
0 0.564 0.00263408
0 0.568 -0.00219843
0 0.572 0.00587028
0 0.576 -0.00417661
0 0.58 -0.00151441
0 0.584 0.00875727
0 0.588 0.0160786
0 0.592 -0.00850503
0 0.596 -0.0170888
0 0.6 0.0262732
0 0.604 0.015161
0 0.608 -0.00961902
0 0.612 -0.00363112
0 0.616 -0.0239441
0 0.62 0.0132081
0 0.624 0.009153
0 0.628 0.00727492
0 0.632 -0.0160544
0 0.636 0.00282687
0 0.64 -0.00864353
0 0.644 0.0114291
0 0.648 -0.00209802
0 0.652 0.0242347
0 0.656 0.00702166
0 0.66 0.0102896
0 0.664 0.00472109
0 0.668 0.000158438
0 0.672 0.00552063
0 0.676 0.000157233
0 0.68 -0.00288272
0 0.684 0.0205919
0 0.688 0.000828961
0 0.692 -0.0022381
0 0.696 0.00651595
0 0.7 0.00451308
0 0.704 -0.00130446
0 0.708 -0.00926319
0 0.712 0.0178319
0 0.716 0.00439382
0 0.72 -0.00276374
0 0.724 0.00350788
0 0.728 -0.000661017
0 0.732 -0.0135138
0 0.736 -0.00159679
0 0.74 0.00392778
0 0.744 -0.0162664
0 0.748 -0.00416532
0 0.752 -0.0111238
0 0.756 -0.00580361
0 0.76 0.00555387
0 0.764 0.00213722
0 0.768 -0.0136767
0 0.772 0.0109365
0 0.776 0.0124116
0 0.78 -0.00523468
0 0.784 -0.0189618
0 0.788 -0.00665663
0 0.792 -0.00876017
0 0.796 -0.00329347
0 0.8 -0.00600299
0.0166667 0 0.0785068
0.0166667 0.004 0.076649
0.0166667 0.008 0.0717499
0.0166667 0.012 0.0683325
0.0166667 0.016 0.0526172
0.0166667 0.02 0.0660275
0.0166667 0.024 0.0603759
0.0166667 0.028 0.0413208
0.0166667 0.032 0.0471254
0.0166667 0.036 0.0587671
0.0166667 0.04 0.0379119
0.0166667 0.044 0.0347553
0.0166667 0.048 0.026974
0.0166667 0.052 0.0136882
0.0166667 0.056 0.0182324
0.0166667 0.06 0.00704361
0.0166667 0.064 0.0131624
0.0166667 0.068 0.0395203
0.0166667 0.072 -0.0036133
0.0166667 0.076 -0.00256103
0.0166667 0.08 0.05234
0.0166667 0.084 0.0276546
0.0166667 0.088 0.0221584
0.0166667 0.092 0.0303528
0.0166667 0.096 0.0137546
0.0166667 0.1 -0.0171242
0.0166667 0.104 0.013407
0.0166667 0.108 0.0370494
0.0166667 0.112 -0.000878939
0.0166667 0.116 -0.0128136
0.0166667 0.12 0.0069792
0.0166667 0.124 -0.0119629
0.0166667 0.128 -0.068295
0.0166667 0.132 -0.0258722
0.0166667 0.136 -0.0303119
0.0166667 0.14 -0.0451459
0.0166667 0.144 -0.0392725
0.0166667 0.148 -0.0545552
0.0166667 0.152 -0.00586489
0.0166667 0.156 -0.00900066
0.0166667 0.16 -0.0185958
0.0166667 0.164 -0.0559303
0.0166667 0.168 0.00187213
0.0166667 0.172 -0.0522751
0.0166667 0.176 -0.00941176
0.0166667 0.18 -0.0567411
0.0166667 0.184 0.00827103
0.0166667 0.188 -0.0640963
0.0166667 0.192 0.0182209
0.0166667 0.196 -0.0127558
0.0166667 0.2 0.00669038
0.0166667 0.204 0.0545648
0.0166667 0.208 0.0209201
0.0166667 0.212 0.0548288
0.0166667 0.216 0.0561624
0.0166667 0.22 0.0142332
0.0166667 0.224 0.00240953
0.0166667 0.228 0.0352854
0.0166667 0.232 0.129688
0.0166667 0.236 0.0413543
0.0166667 0.24 0.0213664
0.0166667 0.244 0.0314434
0.0166667 0.248 -0.0100091
0.0166667 0.252 0.0529334
0.0166667 0.256 0.0138162
0.0166667 0.26 0.0054276
0.0166667 0.264 0.0365512
0.0166667 0.268 0.0177285
0.0166667 0.272 0.00861371
0.0166667 0.276 0.0145345
0.0166667 0.28 -0.00404099
0.0166667 0.284 -0.0162507
0.0166667 0.288 -0.00267286
0.0166667 0.292 -0.0107023
0.0166667 0.296 0.0181455
0.0166667 0.3 -0.00450102
0.0166667 0.304 0.0159118
0.0166667 0.308 -0.0270931
0.0166667 0.312 0.0314589
0.0166667 0.316 -0.0253267
0.0166667 0.32 -0.00972348
0.0166667 0.324 -0.0122357
0.0166667 0.328 -0.0276342
0.0166667 0.332 -0.0664279
0.0166667 0.336 -0.0133092
0.0166667 0.34 -0.110558
0.0166667 0.344 -0.0808581
0.0166667 0.348 -0.0268092
0.0166667 0.352 -0.00064615
0.0166667 0.356 -0.0244798
0.0166667 0.36 -0.0294371
0.0166667 0.364 0.0010891
0.0166667 0.368 0.0010595
0.0166667 0.372 -0.0459661
0.0166667 0.376 -0.0123124
0.0166667 0.38 -0.0756094
0.0166667 0.384 -0.00676849
0.0166667 0.388 0.0128083
0.0166667 0.392 0.0101043
0.0166667 0.396 -0.0242096
0.0166667 0.4 0.0389486
0.0166667 0.404 -0.000585889
0.0166667 0.408 0.0483506
0.0166667 0.412 0.00517574
0.0166667 0.416 0.0306602
0.0166667 0.42 0.0135957
0.0166667 0.424 -0.00769241
0.0166667 0.428 0.0278705
0.0166667 0.432 -0.0652083
0.0166667 0.436 -0.0110083
0.0166667 0.44 0.0384568
0.0166667 0.444 0.0209605
0.0166667 0.448 0.00402671
0.0166667 0.452 -0.0118852
0.0166667 0.456 0.00627452
0.0166667 0.46 -0.00272746
0.0166667 0.464 0.0303365
0.0166667 0.468 4.10281e-05
0.0166667 0.472 0.000705475
0.0166667 0.476 -0.0227374
0.0166667 0.48 0.0111805
0.0166667 0.484 0.0134047
0.0166667 0.488 -0.0150759
0.0166667 0.492 0.00373561
0.0166667 0.496 -0.00867827
0.0166667 0.5 0.0284623
0.0166667 0.504 0.000579924
0.0166667 0.508 -0.00469862
0.0166667 0.512 -0.0122196
0.0166667 0.516 -0.0264129
0.0166667 0.52 -0.0142044
0.0166667 0.524 -0.0345994
0.0166667 0.528 -0.0151669
0.0166667 0.532 0.00521368
0.0166667 0.536 -0.0357635
0.0166667 0.54 0.00943815
0.0166667 0.544 0.00663178
0.0166667 0.548 -0.00997964
0.0166667 0.552 -0.0263557
0.0166667 0.556 0.0309879
0.0166667 0.56 -0.0165906
0.0166667 0.564 -0.00854519
0.0166667 0.568 -0.00529279
0.0166667 0.572 -0.00253124
0.0166667 0.576 -0.00423139
0.0166667 0.58 -0.00494181
0.0166667 0.584 0.00409871
0.0166667 0.588 0.00364103
0.0166667 0.592 -0.00426632
0.0166667 0.596 -0.0144644
0.0166667 0.6 0.00597168
0.0166667 0.604 0.00794451
0.0166667 0.608 -0.00918825
0.0166667 0.612 -0.00693445
0.0166667 0.616 -0.013233
0.0166667 0.62 0.00666843
0.0166667 0.624 0.014934
0.0166667 0.628 0.00446451
0.0166667 0.632 -0.0014142
0.0166667 0.636 0.00722757
0.0166667 0.64 -0.00180427
0.0166667 0.644 -0.00442457
0.0166667 0.648 -0.00153013
0.0166667 0.652 0.0189078
0.0166667 0.656 0.00545674
0.0166667 0.66 0.00880151
0.0166667 0.664 0.00498185
0.0166667 0.668 -0.00292171
0.0166667 0.672 0.00602807
