# dynamical spin structure factor of two-orbital Hubbard-Kanamori model
# t00=0.5 t11/t00=0.2 U=16 Jh=U/4 L=60 n=2.80
# k, omega, S(k,omega)

0 0 -0.00343575
0 0.004 -0.00363112
0 0.008 -0.00203869
0 0.012 0.00171834
0 0.016 0.00221779
0 0.02 0.0105594
0 0.024 0.0143082
0 0.028 0.0122606
0 0.032 0.0109214
0 0.036 -0.030594
0 0.04 0.00635425
0 0.044 -0.0163186
0 0.048 -0.0269443
0 0.052 -0.0252502
0 0.056 -0.0132333
0 0.06 0.0298925
0 0.064 0.0361605
0 0.068 0.00388835
0 0.072 0.0152338
0 0.076 0.0834248
0 0.08 0.0830532
0 0.084 0.0928695
0 0.088 0.0641008
0 0.092 0.0286809
0 0.096 0.043647
0 0.1 0.00110362
0 0.104 0.0651199
0 0.108 0.00394338
0 0.112 0.0298318
0 0.116 -0.0363991
0 0.12 -0.0421859
0 0.124 -0.0732937
0 0.128 -0.0302787
0 0.132 -0.123237
0 0.136 -0.12309
0 0.14 -0.140234
0 0.144 -0.139848
0 0.148 -0.0445356
0 0.152 -0.129602
0 0.156 -0.191707
0 0.16 -0.129424
0 0.164 -0.103449
0 0.168 0.00622919
0 0.172 -0.0488433
0 0.176 0.00990524
0 0.18 -0.0114379
0 0.184 -0.0481077
0 0.188 -0.00481271
0 0.192 -0.0607692
0 0.196 -0.0128599
0 0.2 -0.00595036
0 0.204 0.0223745
0 0.208 0.0161699
0 0.212 0.0172039
0 0.216 0.0207268
0 0.22 0.0364174
0 0.224 0.0285028
0 0.228 0.0510049
0 0.232 0.0396699
0 0.236 0.0140558
0 0.24 0.0673969
0 0.244 0.0845328
0 0.248 0.0921439
0 0.252 0.056886
0 0.256 0.0244552
0 0.26 0.0625276
0 0.264 0.0423722
0 0.268 0.044254
0 0.272 0.0278992
0 0.276 0.0167798
0 0.28 0.0211028
0 0.284 0.0496943
0 0.288 0.00690662
0 0.292 0.00553936
0 0.296 0.0113034
0 0.3 0.00767758
0 0.304 -0.0241508
0 0.308 -0.0390757
0 0.312 0.00736476
0 0.316 -0.0262672
0 0.32 -0.0219504
0 0.324 -0.0133348
0 0.328 -0.0372337
0 0.332 -0.0178463
0 0.336 -0.0206358
0 0.34 -0.0408293
0 0.344 -0.0416301
0 0.348 -0.0275268
0 0.352 -0.0132765
0 0.356 -0.0402636
