# linewidth of dynamical spin structure factor of Hubbard-Kanamori model
# t00=0.5 U=16 Jh=U/4 L=60 n=2.33
# k, t11/t00=1.0, 0.9, 0.8, 0.6, 0.5, 0.4, 0.2

0.0166667 0.0105454 0.0224506 0.0326072 0.032668 0.0280496 0.0327942 0.0243868
0.0333333 0.0355776 0.0301074 0.037278 0.0408808 0.037839 0.0389174 0.0387068
0.05 0.0377398 0.0310134 0.0342468 0.0384686 0.038682 0.0386028 0.0395674
0.0666667 0.0359606 0.0320886 0.0302452 0.0323032 0.0335554 0.034711 0.0307355
0.0833333 0.0335128 0.0333184 0.0280432 0.0370804 0.0268996 0.0292106 0.0294518
0.1 0.0311456 0.033781 0.0277456 0.0280904 0.0277826 0.0282728 0.0284706
0.116667 0.032221 0.032718 0.0286846 0.02989 0.0302056 0.0301632 0.0301652
0.133333 0.0324954 0.0311164 0.0306662 0.0323172 0.0335698 0.033281 0.0323714
0.15 0.0325298 0.0306096 0.0329222 0.0247706 0.0335438 0.033756 0.0322682
0.166667 0.0326186 0.031592 0.0336358 0.0329114 0.0315032 0.0319856 0.0317888
0.183333 0.033268 0.0334214 0.033003 0.0323778 0.030757 0.037577 0.0291348
0.2 0.0323612 0.0348246 0.0327032 0.0323022 0.0318034 0.0322306 0.0314704
0.216667 0.0345314 0.0348432 0.033605 0.0320384 0.033577 0.0338002 0.0321182
0.233333 0.0341348 0.03421 0.0351344 0.0320242 0.0343228 0.034169 0.032117
0.25 0.0338272 0.0341016 0.0358186 0.0326812 0.0335304 0.0334596 0.0320862
0.266667 0.0340872 0.0348014 0.035283 0.0339096 0.0333194 0.0330326 0.0324424
0.283333 0.0347124 0.0358324 0.0346712 0.0349952 0.0333296 0.0333964 0.0331556
0.3 0.0352938 0.036288 0.0347928 0.0353752 0.0340002 0.0341888 0.0343246
0.316667 0.035705 0.0358712 0.0350894 0.0352756 0.035044 0.0351018 0.0359714
0.333333 0.0360014 0.0354516 0.034941 0.0352972 0.035924 0.0362032 0.0372966
0.35 0.0362428 0.0358456 0.0349162 0.0357232 0.0363734 0.0372054 0.0372398
0.366667 0.036653 0.0369188 0.0357454 0.0363736 0.0369182 0.0375654 0.036727
0.383333 0.037517 0.0377482 0.0367626 0.0371934 0.0382604 0.0377248 0.037231
0.4 0.038715 0.0378288 0.0365656 0.0382902 0.0400988 0.0383788 0.0385448
0.416667 0.0397116 0.0380216 0.0356974 0.0394394 0.041016 0.0390346 0.0393274
0.433333 0.0403868 0.0393028 0.036175 0.0403506 0.0404924 0.0387842 0.0389218
0.45 0.041434 0.0415614 0.0383302 0.0413026 0.0397226 0.038298 0.0383732
0.466667 0.0433868 0.0438126 0.0404058 0.0425006 0.0397412 0.0384734 0.0383966
0.483333 0.0458886 0.0457192 0.0414988 0.0432386 0.0407328 0.0389526 0.0389618
0.5 0.0484822 0.0488708 0.0434446 0.0431406 0.0422882 0.0395386 0.0400714
0.516667 0.0519174 0.0554032 0.047752 0.0433454 0.0436738 0.0414866 0.0415644
0.533333 0.057721 0.0652754 0.0522578 0.045285 0.0446964 0.0453752 0.0443232
0.55 0.06653 0.0746028 0.0552762 0.0491512 0.0468146 0.0499298 0.0504608
0.566667 0.0778424 0.0823812 0.0605994 0.0548772 0.052882 0.0560936 0.0584204
0.583333 0.09199 0.0936864 0.0721938 0.0630408 0.0638948 0.0654114 0.0657888
0.6 0.107894 0.110813 0.0863434 0.0739898 0.0769444 0.076424 0.0784844
0.616667 0.121684 0.128741 0.100124 0.0902488 0.0904222 0.090583 0.100801
0.633333 0.134188 0.142361 0.115691 0.112702 0.103847 0.107149 0.112637
0.65 0.148638 0.153997 0.134343 0.137707 0.124442 0.122705 0.121913
0.666667 0.161253 0.16471 0.150835 0.157185 0.149468 0.143239 0.141366
0.683333 0.167963 0.171966 0.160224 0.162416 0.159357 0.163064 0.153297
0.7 0.172305 0.175992 0.165 0.160702 0.159215 0.170608 0.156135
0.716667 0.172655 0.174986 0.164163 0.160662 0.157848 0.1686 0.16523
0.733333 0.162371 0.167252 0.153835 0.159276 0.155976 0.165181 0.165936
0.75 0.148959 0.158402 0.140166 0.152393 0.153925 0.164571 0.152568
0.766667 0.144523 0.15548 0.134109 0.146392 0.158455 0.163906 0.151071
0.783333 0.148322 0.155792 0.135202 0.144349 0.161521 0.155582 0.162395
0.8 0.15076 0.151836 0.134498 0.14208 0.152662 0.142224 0.159576
0.816667 0.146613 0.141535 0.131279 0.137361 0.140633 0.135003 0.14717
0.833333 0.140596 0.130496 0.126742 0.133712 0.134034 0.133694 0.142703
0.85 0.135862 0.125409 0.119377 0.129749 0.129984 0.129683 0.133885
0.866667 0.127301 0.127437 0.11144 0.122199 0.124347 0.118452 0.129959
0.883333 0.116348 0.129194 0.106172 0.113017 0.11582 0.113054 0.121847
0.9 0.112306 0.124634 0.102532 0.10237 0.108489 0.109634 0.118662
0.916667 0.115585 0.115786 0.0988022 0.097512 0.103936 0.106007 0.10364
0.933333 0.118277 0.10961 0.0952548 0.09917 0.104767 0.108334 0.102651
0.95 0.113544 0.110009 0.0904498 0.09321 0.0970034 0.108836 0.101074
0.966667 0.104386 0.112912 0.0854788 0.087158 0.0863992 0.0980178 0.099713
0.983333 0.100138 0.112511 0.0852916 0.08601 0.083996 0.0935324 0.0984772
1 0.102614 0.109145 0.0880552 0.085042 0.09065 0.0985274 0.0957516
0 0 0 0 0 0 0 0
