# dynamical charge structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.33 S=1/2
# k, omega, N(k,omega)

0 0 2.3922e-07
0 0.05 3.79938e-07
0 0.1 8.58378e-07
0 0.15 1.31571e-06
0 0.2 1.52679e-06
0 0.25 2.18816e-06
0 0.3 3.72902e-07
0 0.35 5.62871e-08
0 0.4 2.30777e-06
0 0.45 1.70972e-06
0 0.5 7.92945e-06
0 0.55 1.73786e-06
0 0.6 1.17429e-05
0 0.65 9.75174e-06
0 0.7 8.823e-06
0 0.75 6.83888e-06
0 0.8 1.33963e-05
0 0.85 8.11238e-06
0 0.9 3.51794e-08
0 0.95 1.14685e-05
0 1 9.9206e-06
0 1.05 5.04051e-05
0 1.1 1.91024e-05
0 1.15 3.32375e-05
0 1.2 4.19198e-05
0 1.25 3.7438e-05
0 1.3 8.3129e-05
0 1.35 5.82994e-05
0 1.4 0.00012856
0 1.45 4.87376e-05
0 1.5 7.91889e-05
0 1.55 1.5099e-05
0 1.6 2.77847e-05
0 1.65 0.000122263
0 1.7 4.44105e-05
0 1.75 3.08102e-05
0 1.8 6.45754e-05
0 1.85 0.000184024
0 1.9 0.000160552
0 1.95 2.37321e-05
0 2 0.000164914
0 2.05 0.000112828
0 2.1 0.00014788
0 2.15 0.000297266
0 2.2 0.000431603
0 2.25 0.000236905
0 2.3 0.00015479
0 2.35 0.000269573
0 2.4 6.8811e-06
0 2.45 9.6265e-05
0 2.5 7.55584e-05
0 2.55 0.000224705
0 2.6 0.000118766
0 2.65 0.000158434
0 2.7 0.000112715
0 2.75 0.00035126
0 2.8 0.000334894
0 2.85 0.00015168
0 2.9 2.81998e-05
0 2.95 0.000617336
0 3 0.000217986
0 3.05 1.22424e-05
0 3.1 7.8809e-05
0 3.15 4.43261e-05
0 3.2 0.00018624
0 3.25 0.000296141
0 3.3 6.12122e-06
0 3.35 0.000139036
0 3.4 0.000383695
0 3.45 0.000411916
0 3.5 0.000271557
0 3.55 0.000645064
0 3.6 0.000812673
