# dynamical charge structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.40 S=1/2
# k, omega, N(k,omega)

0 0 1.82933e-07
0 0.05 8.09127e-07
0 0.1 1.92783e-06
0 0.15 1.4705e-06
0 0.2 1.569e-06
0 0.25 2.28666e-06
0 0.3 3.40537e-06
0 0.35 7.80984e-07
0 0.4 3.80642e-06
0 0.45 1.91376e-06
0 0.5 1.04131e-06
0 0.55 2.98322e-06
0 0.6 9.61806e-06
0 0.65 8.04202e-06
0 0.7 5.30506e-06
0 0.75 5.34728e-06
0 0.8 5.88904e-06
0 0.85 6.19862e-06
0 0.9 3.03317e-05
0 0.95 2.10232e-05
0 1 2.84672e-05
0 1.05 6.10715e-06
0 1.1 2.28174e-05
0 1.15 1.71605e-05
0 1.2 3.84652e-05
0 1.25 7.94352e-06
0 1.3 7.03589e-09
0 1.35 8.46769e-05
0 1.4 2.74892e-05
0 1.45 4.55363e-05
0 1.5 7.7627e-05
0 1.55 8.09127e-07
0 1.6 5.09961e-05
0 1.65 9.88542e-06
0 1.7 2.96422e-05
0 1.75 1.23409e-05
0 1.8 0.000148112
0 1.85 0.000135012
0 1.9 7.30114e-05
0 1.95 9.979e-05
0 2 0.000110625
0 2.05 2.91919e-05
0 2.1 0.000227984
0 2.15 0.000172224
0 2.2 2.58147e-05
0 2.25 5.29521e-05
0 2.3 0.000319816
0 2.35 0.000102492
0 2.4 1.17288e-05
0 2.45 0.000257492
0 2.5 0.000160355
0 2.55 0.000580855
0 2.6 0.000207875
0 2.65 0.000243681
0 2.7 0.000332115
0 2.75 0.000276349
0 2.8 0.000373113
0 2.85 0.000110161
0 2.9 3.46588e-05
0 2.95 0.000134062
0 3 0.000245313
0 3.05 0.000395009
0 3.1 0.000405591
0 3.15 0.000593583
0 3.2 0.000473199
0 3.25 3.83948e-05
0 3.3 0.000109668
0 3.35 0.000146065
0 3.4 6.36748e-05
0 3.45 0.000205061
0 3.5 0.00027732
0 3.55 0.000887029
0 3.6 0.000458121
0 3.65 0.000247691
0 3.7 3.75435e-05
0 3.75 0.000571005
0 3.8 0.000689538
0 3.85 0.000256676
0 3.9 0.000118576
0 3.95 1.84622e-05
0 4 1.28405e-05
0 4.05 5.54428e-06
0 4.1 4.85476e-06
0 4.15 1.13419e-05
0 4.2 1.63795e-05
0 4.25 3.62348e-06
0 4.3 2.3922e-06
0 4.35 8.54157e-06
0 4.4 3.85567e-06
0 4.45 6.76149e-06
0 4.5 4.22153e-08
0 4.55 8.00684e-06
0 4.6 7.9013e-06
0 4.65 2.25641e-05
0 4.7 2.60328e-07
0 4.75 6.99367e-06
0 4.8 3.34908e-06
0 4.85 1.30868e-06
0 4.9 6.06494e-06
0 4.95 1.06946e-06
0 5 4.53815e-06
0.005 0 0.000172421
0.005 0.05 0.000224836
0.005 0.1 0.000169526
0.005 0.15 9.90816e-05
0.005 0.2 6.24533e-05
0.005 0.25 3.45444e-05
0.005 0.3 2.53803e-05
0.005 0.35 1.75361e-05
0.005 0.4 9.53258e-06
0.005 0.45 1.18456e-05
0.005 0.5 6.49215e-06
0.005 0.55 1.08963e-05
0.005 0.6 4.88536e-06
0.005 0.65 4.77269e-06
0.005 0.7 6.51634e-06
0.005 0.75 4.77155e-06
0.005 0.8 4.47839e-06
0.005 0.85 6.06765e-06
0.005 0.9 2.72713e-05
0.005 0.95 1.57414e-05
0.005 1 2.2611e-05
0.005 1.05 1.88768e-06
0.005 1.1 2.33752e-05
0.005 1.15 1.72855e-05
0.005 1.2 2.61902e-05
0.005 1.25 1.69467e-05
0.005 1.3 5.82208e-07
0.005 1.35 7.9454e-05
0.005 1.4 2.53197e-05
0.005 1.45 4.50416e-05
0.005 1.5 8.41794e-05
0.005 1.55 6.46244e-06
0.005 1.6 5.43702e-05
0.005 1.65 9.56274e-06
0.005 1.7 2.52605e-05
0.005 1.75 2.62743e-06
0.005 1.8 0.000149406
0.005 1.85 0.000118042
0.005 1.9 6.5656e-05
0.005 1.95 8.69525e-05
0.005 2 0.000106556
0.005 2.05 2.4965e-05
0.005 2.1 0.000231265
0.005 2.15 0.000160655
0.005 2.2 2.31206e-05
0.005 2.25 4.57122e-05
0.005 2.3 0.000325977
0.005 2.35 0.000100248
0.005 2.4 1.11276e-05
0.005 2.45 0.000237914
0.005 2.5 0.000152451
0.005 2.55 0.000565062
0.005 2.6 0.000187939
0.005 2.65 0.000251582
0.005 2.7 0.000333464
0.005 2.75 0.000259062
0.005 2.8 0.000378649
0.005 2.85 9.97514e-05
0.005 2.9 4.01245e-05
0.005 2.95 0.00013417
0.005 3 0.000227283
0.005 3.05 0.000389069
0.005 3.1 0.000397043
0.005 3.15 0.000571333
0.005 3.2 0.00046265
0.005 3.25 5.90464e-05
0.005 3.3 0.000121954
0.005 3.35 0.000141205
0.005 3.4 5.08912e-05
0.005 3.45 0.000219639
0.005 3.5 0.000285416
0.005 3.55 0.000866966
0.005 3.6 0.00045159
0.005 3.65 0.000262301
0.005 3.7 3.87028e-05
0.005 3.75 0.000550815
0.005 3.8 0.000694454
0.005 3.85 0.000290463
0.005 3.9 0.000113048
0.005 3.95 4.90887e-05
0.005 4 1.13078e-06
0.005 4.05 1.5277e-06
0.005 4.1 4.10167e-06
0.005 4.15 9.43642e-06
0.005 4.2 1.42761e-05
0.005 4.25 4.0796e-06
0.005 4.3 4.83473e-07
0.005 4.35 9.84715e-06
0.005 4.4 1.25715e-06
0.005 4.45 6.61967e-06
0.005 4.5 1.03459e-06
0.005 4.55 5.17579e-06
0.005 4.6 1.05513e-05
0.005 4.65 1.52258e-05
0.005 4.7 2.01985e-06
0.005 4.75 8.46186e-06
0.005 4.8 6.76287e-06
0.005 4.85 2.15907e-06
0.005 4.9 5.25345e-06
0.005 4.95 2.06122e-06
0.005 5 4.20901e-06
0.01 0 0.000496565
0.01 0.05 0.000675221
0.01 0.1 0.000589475
0.01 0.15 0.000374402
0.01 0.2 0.000224351
0.01 0.25 0.000139733
0.01 0.3 9.18921e-05
0.01 0.35 6.55117e-05
0.01 0.4 4.2337e-05
0.01 0.45 3.62691e-05
0.01 0.5 2.73051e-05
0.01 0.55 2.58288e-05
0.01 0.6 9.14054e-06
0.01 0.65 2.71389e-06
0.01 0.7 1.18804e-05
0.01 0.75 7.33217e-07
0.01 0.8 4.76795e-06
0.01 0.85 3.26287e-06
0.01 0.9 2.31712e-05
0.01 0.95 7.17573e-06
0.01 1 1.42311e-05
0.01 1.05 4.15843e-06
0.01 1.1 2.21519e-05
0.01 1.15 1.66906e-05
0.01 1.2 7.50938e-06
0.01 1.25 2.87919e-05
0.01 1.3 1.29279e-06
0.01 1.35 6.60389e-05
0.01 1.4 2.00598e-05
0.01 1.45 3.94709e-05
0.01 1.5 8.38258e-05
0.01 1.55 1.44442e-05
