# dynamical charge structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.50 S=1/2
# k, omega, N(k,omega)

0 0 7.03589e-08
0 0.05 9.99096e-07
0 0.1 2.70882e-06
0 0.15 1.89969e-06
0 0.2 2.60328e-06
0 0.25 2.34999e-06
0 0.3 3.51091e-06
0 0.35 2.4907e-06
0 0.4 3.04654e-06
0 0.45 1.18203e-06
0 0.5 3.46869e-06
0 0.55 3.5883e-06
0 0.6 3.17319e-06
0 0.65 5.03066e-06
0 0.7 4.05267e-06
0 0.75 2.60539e-05
0 0.8 3.46166e-06
0 0.85 6.17751e-06
0 0.9 9.81506e-06
0 0.95 7.73244e-06
0 1 8.1757e-06
0 1.05 2.65183e-05
0 1.1 4.34114e-06
0 1.15 4.63876e-05
0 1.2 1.95598e-06
0 1.25 3.96121e-06
0 1.3 2.27541e-05
0 1.35 2.65605e-05
0 1.4 2.02915e-05
0 1.45 2.29511e-05
0 1.5 0.000121636
0 1.55 1.57322e-05
0 1.6 5.04966e-05
0 1.65 1.92924e-05
0 1.7 7.61213e-05
0 1.75 0.00016471
0 1.8 0.000117408
0 1.85 0.000401981
0 1.9 0.000102077
0 1.95 1.00824e-05
0 2 3.73957e-05
0 2.05 9.77074e-05
0 2.1 7.56428e-05
0 2.15 0.000136053
0 2.2 1.83074e-05
0 2.25 7.19701e-05
0 2.3 0.000293579
0 2.35 1.99116e-06
0 2.4 0.000342978
0 2.45 9.50478e-05
0 2.5 7.21812e-05
0 2.55 0.000114636
0 2.6 0.000312872
0 2.65 0.000128862
0 2.7 0.000183686
0 2.75 0.000576443
0 2.8 0.000719279
0 2.85 6.58981e-05
0 2.9 0.000227548
0 2.95 0.000175559
0 3 0.000230024
0 3.05 0.000573179
0 3.1 0.000626074
0 3.15 0.000376343
0 3.2 0.000151764
0 3.25 0.00032389
0 3.3 0.000583585
0 3.35 0.000575043
0 3.4 7.0176e-05
0 3.45 0.000489177
0 3.5 0.000199503
0 3.55 0.00050752
