# dynamical charge structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.60 S=1/2
# k, omega, N(k,omega)

0 0 2.3922e-07
0 0.05 7.73948e-07
0 0.1 2.2937e-06
0 0.15 1.77304e-06
0 0.2 2.18816e-06
0 0.25 2.33591e-06
0 0.3 2.8425e-06
0 0.35 4.50297e-07
0 0.4 3.87677e-06
0 0.45 2.57514e-06
0 0.5 3.33501e-06
0 0.55 2.44145e-06
0 0.6 7.92241e-06
0 0.65 1.08071e-05
0 0.7 1.28757e-06
0 0.75 6.52227e-06
0 0.8 4.4889e-06
0 0.85 1.34385e-06
0 0.9 1.89265e-06
0 0.95 5.79757e-06
0 1 8.1757e-06
0 1.05 1.14966e-05
0 1.1 2.16072e-05
0 1.15 8.37974e-06
0 1.2 2.95929e-05
0 1.25 8.64007e-06
0 1.3 3.59675e-05
0 1.35 7.6269e-06
0 1.4 1.78219e-05
0 1.45 8.19259e-05
0 1.5 1.63655e-05
0 1.55 1.85536e-05
0 1.6 1.38959e-05
0 1.65 9.13892e-05
0 1.7 0.000103209
0 1.75 1.14966e-05
0 1.8 1.61263e-05
0 1.85 0.000116768
0 1.9 2.34365e-05
0 1.95 3.38778e-05
0 2 4.16525e-06
0 2.05 2.44145e-05
0 2.1 2.98673e-05
0 2.15 0.000115262
0 2.2 0.000212069
0 2.25 5.46407e-05
0 2.3 0.000192312
0 2.35 8.32064e-05
0 2.4 5.0187e-05
0 2.45 0.000195675
0 2.5 0.000255241
0 2.55 0.000316946
0 2.6 0.000394594
0 2.65 0.000231249
0 2.7 0.000236694
0 2.75 2.2156e-05
0 2.8 0.000329716
0 2.85 7.5087e-05
0 2.9 0.000457699
0 2.95 0.000230826
0 3 0.000589474
0 3.05 8.15319e-05
0 3.1 0.000102731
0 3.15 0.000466761
0 3.2 0.000392736
0 3.25 0.000300812
0 3.3 0.000347066
0 3.35 0.000261805
0 3.4 0.000162782
0 3.45 3.87818e-05
0 3.5 1.80119e-05
0 3.55 0.000173217
0 3.6 0.000165379
0 3.65 0.000135652
0 3.7 8.74913e-05
0 3.75 0.000560627
0 3.8 0.000782968
0 3.85 0.000239452
0 3.9 0.000289942
0 3.95 0.000182483
0 4 5.0975e-05
0 4.05 8.69143e-05
0 4.1 6.43784e-06
0 4.15 3.82752e-06
0 4.2 1.57815e-05
0 4.25 1.62529e-06
0 4.3 2.86361e-06
0 4.35 5.22063e-06
0 4.4 5.54428e-06
0 4.45 5.38949e-06
0 4.5 1.27631e-05
0 4.55 1.30868e-05
0 4.6 1.79415e-06
0 4.65 5.98754e-06
0 4.7 5.83275e-06
0 4.75 3.34908e-06
0 4.8 3.34908e-06
0 4.85 1.20454e-05
0 4.9 8.93558e-07
0 4.95 2.57514e-06
0 5 2.57514e-06
0.005 0 0.000172399
0.005 0.05 0.000224579
0.005 0.1 0.000169167
0.005 0.15 9.88905e-05
0.005 0.2 6.16541e-05
0.005 0.25 3.46442e-05
0.005 0.3 2.61182e-05
0.005 0.35 1.73426e-05
0.005 0.4 1.02669e-05
0.005 0.45 1.22234e-05
0.005 0.5 1.00359e-05
0.005 0.55 4.53953e-06
0.005 0.6 4.5477e-06
0.005 0.65 6.50854e-06
0.005 0.7 2.8839e-06
0.005 0.75 5.29405e-06
0.005 0.8 5.75169e-07
0.005 0.85 1.30444e-06
0.005 0.9 1.55867e-07
0.005 0.95 3.49505e-06
0.005 1 9.86227e-06
0.005 1.05 1.30983e-05
0.005 1.1 2.35695e-05
0.005 1.15 6.17704e-06
0.005 1.2 2.21723e-05
0.005 1.25 5.78775e-06
0.005 1.3 4.76358e-05
0.005 1.35 1.43722e-05
0.005 1.4 1.99815e-05
0.005 1.45 7.32431e-05
0.005 1.5 1.77702e-05
0.005 1.55 1.36013e-05
0.005 1.6 6.03067e-06
0.005 1.65 8.13494e-05
0.005 1.7 9.62004e-05
0.005 1.75 2.74702e-06
0.005 1.8 9.62382e-06
0.005 1.85 0.000108123
0.005 1.9 2.79439e-05
0.005 1.95 4.20697e-05
0.005 2 3.82036e-06
0.005 2.05 1.99881e-05
0.005 2.1 2.72952e-05
0.005 2.15 0.000117472
0.005 2.2 0.000216742
0.005 2.25 4.51942e-05
0.005 2.3 0.000177925
0.005 2.35 7.3558e-05
0.005 2.4 4.86766e-05
0.005 2.45 0.000197185
0.005 2.5 0.000227154
0.005 2.55 0.000324212
0.005 2.6 0.000391919
0.005 2.65 0.000238139
0.005 2.7 0.0002281
0.005 2.75 5.25216e-05
0.005 2.8 0.0003243
0.005 2.85 7.63134e-05
0.005 2.9 0.000453582
0.005 2.95 0.000222352
0.005 3 0.000580687
0.005 3.05 5.1338e-05
0.005 3.1 7.52712e-05
0.005 3.15 0.000478115
0.005 3.2 0.000398682
0.005 3.25 0.000295169
0.005 3.3 0.000335438
0.005 3.35 0.000258671
