# dynamical charge structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.80 S=1/2
# k, omega, N(k,omega)

0 0 6.3323e-08
0 0.05 7.03589e-09
0 0.1 6.05086e-07
0 0.15 5.76943e-07
0 0.2 6.68409e-07
0 0.25 6.89517e-07
0 0.3 1.5479e-06
0 0.35 1.51975e-06
0 0.4 9.99096e-07
0 0.45 9.21701e-07
0 0.5 2.13891e-06
0 0.55 6.06494e-06
0 0.6 2.77918e-06
0 0.65 6.12122e-06
0 0.7 1.78008e-06
0 0.75 1.43321e-05
0 0.8 6.28305e-06
0 0.85 3.64248e-05
0 0.9 1.34174e-05
0 0.95 2.69615e-05
0 1 3.62137e-05
0 1.05 4.25601e-05
0 1.1 1.59011e-06
0 1.15 2.33451e-05
0 1.2 3.12745e-05
0 1.25 9.2142e-05
0 1.3 6.45895e-06
0 1.35 3.13097e-05
0 1.4 9.61806e-06
0 1.45 8.29742e-05
0 1.5 3.4103e-05
0 1.55 7.20123e-05
0 1.6 2.40487e-05
0 1.65 1.18766e-05
0 1.7 0.000105362
0 1.75 3.87607e-05
0 1.8 7.00986e-05
0 1.85 8.90955e-05
0 1.9 4.49241e-05
0 1.95 4.21942e-05
0 2 3.94713e-05
0 2.05 1.96935e-05
0 2.1 1.52679e-05
0 2.15 6.30064e-05
0 2.2 8.02373e-05
0 2.25 4.32074e-05
0 2.3 0.00010316
0 2.35 7.9787e-05
0 2.4 1.33682e-05
0 2.45 2.71163e-05
0 2.5 9.38799e-05
0 2.55 2.8418e-05
0 2.6 6.80793e-05
0 2.65 4.70982e-05
0 2.7 7.03378e-05
0 2.75 9.37602e-05
0 2.8 6.04524e-05
0 2.85 4.66198e-05
0 2.9 0.000122966
0 2.95 0.0001278
0 3 3.00221e-05
0 3.05 0.000116718
0 3.1 6.01217e-05
0 3.15 4.07378e-05
0 3.2 0.000315968
0 3.25 8.85044e-05
0 3.3 1.12222e-05
0 3.35 0.0002377
0 3.4 0.000128081
0 3.45 0.000185318
0 3.5 0.000183067
0 3.55 9.02704e-06
0 3.6 4.42698e-05
0 3.65 0.000225754
0 3.7 0.000145439
0 3.75 0.00029429
0 3.8 0.000835139
0 3.85 0.000310691
0 3.9 0.000376828
0 3.95 0.000135209
0 4 6.75023e-05
0 4.05 6.43432e-05
0 4.1 1.6464e-05
0 4.15 1.04694e-05
0 4.2 4.29189e-07
0 4.25 7.7043e-06
0 4.3 1.13278e-06
0 4.35 3.89788e-06
0 4.4 1.1567e-05
0 4.45 5.55835e-06
0 4.5 6.8037e-06
0 4.55 3.71495e-06
0 4.6 5.62871e-06
0 4.65 1.68861e-06
0 4.7 2.05448e-06
0 4.75 8.02795e-06
0 4.8 1.53382e-06
0 4.85 2.57514e-06
0 4.9 3.86974e-07
0 4.95 1.10463e-06
0 5 1.67454e-06
0.005 0 0.000191985
0.005 0.05 0.000204725
0.005 0.1 0.000138535
0.005 0.15 8.29064e-05
0.005 0.2 5.20492e-05
0.005 0.25 3.52404e-05
0.005 0.3 2.44016e-05
0.005 0.35 1.72571e-05
0.005 0.4 1.50283e-05
0.005 0.45 1.25748e-05
0.005 0.5 9.66e-06
0.005 0.55 5.73668e-07
0.005 0.6 3.24218e-06
0.005 0.65 1.47457e-06
0.005 0.7 5.31473e-06
0.005 0.75 9.91146e-06
0.005 0.8 3.02608e-06
0.005 0.85 3.07449e-05
0.005 0.9 8.26366e-06
0.005 0.95 2.92223e-05
0.005 1 3.35807e-05
0.005 1.05 4.2357e-05
0.005 1.1 3.60751e-06
0.005 1.15 2.44056e-05
0.005 1.2 2.91914e-05
0.005 1.25 8.71665e-05
0.005 1.3 8.12967e-06
0.005 1.35 2.98818e-05
0.005 1.4 9.78005e-06
0.005 1.45 8.243e-05
0.005 1.5 3.3281e-05
0.005 1.55 7.17941e-05
0.005 1.6 2.42393e-05
0.005 1.65 1.45749e-05
0.005 1.7 0.000104327
0.005 1.75 3.70457e-05
0.005 1.8 7.21015e-05
0.005 1.85 8.22691e-05
0.005 1.9 4.60563e-05
0.005 1.95 4.20688e-05
0.005 2 3.79014e-05
0.005 2.05 2.24987e-05
0.005 2.1 8.03283e-06
0.005 2.15 5.77454e-05
