# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.60 S=1/2
# k, omega, S(k,omega)

0 0 0.00856433
0 0.006 0.00762457
0 0.012 0.00608283
0 0.018 0.00740626
0 0.024 0.0114719
0 0.03 0.0117479
0 0.036 0.0127311
0 0.042 0.0120429
0 0.048 0.0109974
0 0.054 0.00205874
0 0.06 0.0113739
0 0.066 0.0184039
0 0.072 0.0210177
0 0.078 0.0133189
0 0.084 0.00933067
0 0.09 0.00821897
0 0.096 0.00699568
0 0.102 0.00264565
0 0.108 0.00282532
0 0.114 0.00324293
0 0.12 0.000520266
0 0.126 0.00643393
0 0.132 0.0116532
0 0.138 0.0122309
0 0.144 0.0124257
0 0.15 0.0188155
0 0.156 0.0108187
0 0.162 0.00715041
0 0.168 0.00696824
0 0.174 0.0105605
0 0.18 0.00486994
0 0.186 0.00431998
0 0.192 0.00413223
0 0.198 0.00199566
0 0.204 0.00191569
0 0.21 0.00470404
0 0.216 0.00347971
0 0.222 0.000610538
0 0.228 0.00143382
0 0.234 0.0024034
0 0.24 0.00171993
0 0.246 0.00132287
0 0.252 0.000538051
0 0.258 0.00309124
0 0.264 0.00108084
0 0.27 0.00105624
0 0.276 0.00984896
0 0.282 0.0031049
0 0.288 0.00771765
0 0.294 0.00607209
0 0.3 0.00211504
0 0.306 0.00281222
0 0.312 0.00589719
0 0.318 0.0019463
0 0.324 0.00592617
0 0.33 0.00339937
0 0.336 0.00678936
0 0.342 0.00822884
0 0.348 0.00173116
0 0.354 0.00393168
0 0.36 0.013853
0 0.366 0.0147517
0 0.372 0.00251465
0 0.378 0.00511222
0 0.384 0.00607931
0 0.39 0.0147278
0 0.396 0.0152769
0 0.402 0.011751
0 0.408 0.00601719
0 0.414 0.00212153
0 0.42 0.0143458
0 0.426 0.0141425
0 0.432 0.0124994
0 0.438 0.00901118
0 0.444 0.00835102
0 0.45 0.00814557
0 0.456 0.00885842
0 0.462 0.0029938
0 0.468 0.00811388
0 0.474 0.0132111
0 0.48 0.0055533
0 0.486 0.00636326
0 0.492 0.00319894
0 0.498 0.00703053
0 0.504 0.00612408
0 0.51 0.00384431
0 0.516 0.0030535
0 0.522 0.00336831
0 0.528 0.000567621
0 0.534 0.000330829
0 0.54 0.000495829
0 0.546 0.000387245
0 0.552 0.00174516
0 0.558 0.000565079
0 0.564 0.000941107
0 0.57 0.000128846
0 0.576 0.000178171
0 0.582 0.000118088
0 0.588 0.000280736
0 0.594 0.000459199
0 0.6 0.000426009
0.005 0 0.0269641
0.005 0.006 0.0242162
0.005 0.012 0.0187749
0.005 0.018 0.0181023
0.005 0.024 0.0221533
0.005 0.03 0.0215126
0.005 0.036 0.0228707
0.005 0.042 0.0214225
