# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.66 S=1/2
# k, omega, S(k,omega)

0 0 0.0128647
0 0.006 0.0116452
0 0.012 0.00911536
0 0.018 0.0104035
0 0.024 0.0132162
0 0.03 0.0130891
0 0.036 0.0106544
0 0.042 0.00485038
0 0.048 0.00275349
0 0.054 0.00470296
0 0.06 0.00363167
0 0.066 0.00960843
0 0.072 0.00454454
0 0.078 0.00093158
0 0.084 0.00235373
0 0.09 0.00247112
0 0.096 0.00440982
0 0.102 0.00426746
0 0.108 0.00104247
0 0.114 0.0046964
0 0.12 0.00906078
0 0.126 0.00843358
0 0.132 0.00495649
0 0.138 0.00223045
0 0.144 0.00138728
0 0.15 0.000988973
0 0.156 0.000267526
0 0.162 0.000744664
0 0.168 0.00286617
0 0.174 0.00214375
0 0.18 0.0144968
0 0.186 0.00986721
0 0.192 0.00168794
0 0.198 0.00176481
0 0.204 0.00269331
0 0.21 0.000516652
0 0.216 0.0025432
0 0.222 0.00279086
0 0.228 0.00156235
0 0.234 0.00836504
0 0.24 0.0114799
0 0.246 0.00856656
0 0.252 0.00634521
0 0.258 0.00583238
0 0.264 0.000909388
0 0.27 0.00761351
0 0.276 0.00381272
0 0.282 1.58467e-05
0 0.288 0.00563933
0 0.294 0.00689847
0 0.3 0.000910974
0 0.306 0.00229944
0 0.312 0.00203352
0 0.318 0.0131179
0 0.324 0.0116634
0 0.33 0.00960889
0 0.336 0.0175708
0 0.342 0.00872763
0 0.348 0.00275985
0 0.354 0.00900075
0 0.36 0.00352433
0 0.366 0.0152306
0 0.372 0.0184349
0 0.378 0.00990112
0 0.384 0.0090652
0 0.39 0.0128849
0 0.396 0.00933203
0 0.402 0.00794572
0 0.408 0.00681613
0 0.414 0.00211268
0 0.42 0.00396223
0 0.426 0.00282246
0 0.432 0.000626269
0 0.438 0.00102738
0 0.444 0.000377449
0 0.45 0.000779689
0 0.456 0.00201528
0 0.462 0.00361616
0 0.468 0.00293866
0 0.474 0.00426915
0 0.48 0.00348626
0 0.486 0.00300458
0 0.492 0.00213743
0 0.498 0.00231775
0 0.504 0.00128431
0 0.51 0.000425881
0 0.516 0.000645156
0 0.522 0.000147336
0 0.528 0.000364228
0 0.534 0.000812369
0 0.54 0.000134885
0 0.546 0.0010731
0 0.552 0.000388792
0 0.558 6.75512e-05
0 0.564 0.000864404
0 0.57 0.000224249
0 0.576 0.001429
0 0.582 0.00161214
0 0.588 0.000265806
0 0.594 0.00104171
0 0.6 0.000448456
0.005 0 0.0351809
0.005 0.006 0.0318065
0.005 0.012 0.0246162
0.005 0.018 0.0233844
0.005 0.024 0.0251037
0.005 0.03 0.0232724
0.005 0.036 0.0193061
0.005 0.042 0.0105257
0.005 0.048 0.00690096
0.005 0.054 0.00950551
0.005 0.06 0.00423474
0.005 0.066 0.0133869
0.005 0.072 0.00620015
0.005 0.078 0.000236833
0.005 0.084 0.00246065
0.005 0.09 0.00508134
0.005 0.096 0.00780527
0.005 0.102 0.00645205
0.005 0.108 0.00127303
0.005 0.114 0.00777516
0.005 0.12 0.0147588
0.005 0.126 0.0143277
0.005 0.132 0.00798572
0.005 0.138 0.00240725
0.005 0.144 0.00312369
0.005 0.15 0.00203003
0.005 0.156 0.000584309
0.005 0.162 4.24157e-05
0.005 0.168 0.00431435
0.005 0.174 0.00318049
0.005 0.18 0.023224
0.005 0.186 0.0165962
0.005 0.192 0.00106722
0.005 0.198 0.00221662
0.005 0.204 0.0032907
0.005 0.21 5.7359e-06
0.005 0.216 0.00487589
0.005 0.222 0.00432306
0.005 0.228 0.00300676
0.005 0.234 0.015973
0.005 0.24 0.0214605
0.005 0.246 0.0158254
0.005 0.252 0.0103059
0.005 0.258 0.00883252
0.005 0.264 0.0011958
0.005 0.27 0.0126058
0.005 0.276 0.00622026
0.005 0.282 0.00175476
0.005 0.288 0.010931
0.005 0.294 0.0128629
0.005 0.3 0.00259247
0.005 0.306 0.0052738
0.005 0.312 0.00539637
0.005 0.318 0.0181295
0.005 0.324 0.0166204
0.005 0.33 0.0125534
0.005 0.336 0.0259448
0.005 0.342 0.013656
0.005 0.348 0.00418201
0.005 0.354 0.0132888
0.005 0.36 0.00435039
0.005 0.366 0.0225966
0.005 0.372 0.0276621
0.005 0.378 0.013925
0.005 0.384 0.0121136
0.005 0.39 0.0183751
0.005 0.396 0.0130907
0.005 0.402 0.0113983
0.005 0.408 0.00995273
0.005 0.414 0.0025801
0.005 0.42 0.00560936
0.005 0.426 0.00413132
0.005 0.432 0.000864757
0.005 0.438 0.00189142
0.005 0.444 6.17864e-05
0.005 0.45 0.0016422
0.005 0.456 0.00357663
0.005 0.462 0.00548266
0.005 0.468 0.00407738
0.005 0.474 0.00610196
0.005 0.48 0.00485494
0.005 0.486 0.0039231
0.005 0.492 0.00245191
0.005 0.498 0.00270699
0.005 0.504 0.00090897
0.005 0.51 0.00119581
0.005 0.516 0.000637888
0.005 0.522 0.000292996
0.005 0.528 0.00119862
0.005 0.534 0.00182065
0.005 0.54 0.000506049
0.005 0.546 0.00143881
0.005 0.552 0.000437444
0.005 0.558 0.000161692
0.005 0.564 0.00167313
0.005 0.57 0.000466425
0.005 0.576 0.00243514
0.005 0.582 0.0028895
0.005 0.588 0.000179939
0.005 0.594 0.00137154
0.005 0.6 0.000519661
0.01 0 0.0702025
0.01 0.006 0.0634648
0.01 0.012 0.0487821
