# incoherent part of single-particle spectral function of generlized S=1/2 Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.33
# k, omega, A(k,omega)

0 -5 8.1367e-05
0 -4.96 8.1367e-05
0 -4.92 8.1367e-05
0 -4.88 8.1367e-05
0 -4.84 8.1367e-05
0 -4.8 8.1367e-05
0 -4.76 8.1367e-05
0 -4.72 8.1367e-05
0 -4.68 8.1367e-05
0 -4.64 8.1367e-05
0 -4.6 8.1367e-05
0 -4.56 8.1367e-05
0 -4.52 8.1367e-05
0 -4.48 8.1367e-05
0 -4.44 8.1367e-05
0 -4.4 8.1367e-05
0 -4.36 8.1367e-05
0 -4.32 8.1367e-05
0 -4.28 8.1367e-05
0 -4.24 8.1367e-05
0 -4.2 8.1367e-05
0 -4.16 8.1367e-05
0 -4.12 8.1367e-05
0 -4.08 8.1367e-05
0 -4.04 8.1367e-05
0 -4 8.1367e-05
0 -3.96 8.1367e-05
0 -3.92 8.1367e-05
0 -3.88 8.1367e-05
0 -3.84 8.1367e-05
0 -3.8 8.1367e-05
0 -3.76 8.1367e-05
0 -3.72 8.1367e-05
0 -3.68 8.1367e-05
0 -3.64 8.1367e-05
0 -3.6 8.1367e-05
0 -3.56 8.1367e-05
0 -3.52 8.1367e-05
0 -3.48 8.1367e-05
0 -3.44 8.1367e-05
0 -3.4 8.1367e-05
0 -3.36 8.1367e-05
0 -3.32 8.1367e-05
0 -3.28 8.1367e-05
0 -3.24 8.1367e-05
0 -3.2 8.1367e-05
0 -3.16 8.1367e-05
0 -3.12 8.1367e-05
0 -3.08 8.1367e-05
0 -3.04 8.1367e-05
0 -3 8.1367e-05
0 -2.96 8.1367e-05
0 -2.92 8.1367e-05
0 -2.88 8.1367e-05
0 -2.84 8.1367e-05
0 -2.8 8.1367e-05
0 -2.76 8.1367e-05
0 -2.72 8.1367e-05
0 -2.68 8.1367e-05
0 -2.64 8.1367e-05
0 -2.6 8.1367e-05
0 -2.56 8.1367e-05
0 -2.52 8.1367e-05
0 -2.48 8.1367e-05
0 -2.44 8.1367e-05
0 -2.4 8.1367e-05
0 -2.36 8.1367e-05
0 -2.32 8.1367e-05
0 -2.28 8.1367e-05
0 -2.24 8.1367e-05
0 -2.2 8.1367e-05
0 -2.16 8.1367e-05
0 -2.12 8.1367e-05
0 -2.08 8.1367e-05
0 -2.04 8.1367e-05
0 -2 8.1367e-05
0 -1.96 7.91499e-05
0 -1.92 6.90653e-05
0 -1.88 9.39157e-05
0 -1.84 0.000106201
0 -1.8 9.84829e-05
0 -1.76 0.000132566
0 -1.72 0.000130159
0 -1.68 0.000149533
0 -1.64 0.000167748
0 -1.6 0.000198369
0 -1.56 0.000224705
0 -1.52 0.000249482
0 -1.48 0.000302246
0 -1.44 0.000317832
0 -1.4 0.000402714
0 -1.36 0.000480319
0 -1.32 0.00055531
0 -1.28 0.00063484
0 -1.24 0.000682656
0 -1.2 0.000794077
0 -1.16 0.00083935
0 -1.12 0.000969106
0 -1.08 0.00105323
0 -1.04 0.00109009
0 -1 0.00121797
0 -0.96 0.00130313
0 -0.92 0.00129958
0 -0.88 0.00144016
0 -0.84 0.00156919
0 -0.8 0.00161542
0 -0.76 0.00179738
0 -0.72 0.00184171
0 -0.68 0.00197613
0 -0.64 0.0021814
0 -0.6 0.00224032
0 -0.56 0.00236961
0 -0.52 0.00251694
0 -0.48 0.00285004
0 -0.44 0.0028551
0 -0.4 0.00332415
0 -0.36 0.00357075
0 -0.32 0.00410135
0 -0.28 0.00457777
0 -0.24 0.00529451
0 -0.2 0.00619182
0 -0.16 0.00713508
0 -0.12 0.00740881
0 -0.08 0.00584916
0 -0.04 0.00378018
0 0 0.00241452
0 0.04 0.00162937
0 0.08 0.001165
0 0.12 0.000873617
0 0.16 0.000680132
0 0.2 0.000545403
0 0.24 0.000447835
0 0.28 0.000374858
0 0.32 0.000318788
0 0.36 0.000274738
0 0.4 0.000239461
0 0.44 0.000210756
0 0.48 0.000187046
0 0.52 0.000167241
0 0.56 0.000150505
0 0.6 0.00013623
0 0.64 0.000123951
0 0.68 0.000113309
0 0.72 0.000104013
0 0.76 9.58414e-05
0 0.8 8.86327e-05
0 0.84 8.2219e-05
0 0.88 7.65021e-05
0 0.92 7.13743e-05
0 0.96 6.67691e-05
0 1 0
0 1.04 0
0 1.08 0
0 1.12 0
0 1.16 0
0 1.2 0
0 1.24 0
0 1.28 0
0 1.32 0
0 1.36 0
0 1.4 0
0 1.44 0
0 1.48 0
0 1.52 0
0 1.56 0
0 1.6 0
0 1.64 0
0 1.68 0
0 1.72 0
0 1.76 0
0 1.8 0
0 1.84 0
0 1.88 0
0 1.92 0
0 1.96 0
0 2 0
0 2.04 0
0 2.08 0
0 2.12 0
0 2.16 0
0 2.2 0
0 2.24 0
0 2.28 0
0 2.32 0
0 2.36 0
0 2.4 0
0 2.44 0
0 2.48 0
0 2.52 0
0 2.56 0
0 2.6 0
0 2.64 0
0 2.68 0
0 2.72 0
0 2.76 0
0 2.8 0
0 2.84 0
0 2.88 0
0 2.92 0
0 2.96 0
0 3 0
0.005 -5 8.07837e-05
0.005 -4.96 8.07837e-05
0.005 -4.92 8.07837e-05
0.005 -4.88 8.07837e-05
0.005 -4.84 8.07837e-05
0.005 -4.8 8.07837e-05
0.005 -4.76 8.07837e-05
0.005 -4.72 8.07837e-05
0.005 -4.68 8.07837e-05
0.005 -4.64 8.07837e-05
0.005 -4.6 8.07837e-05
0.005 -4.56 8.07837e-05
0.005 -4.52 8.07837e-05
0.005 -4.48 8.07837e-05
0.005 -4.44 8.07837e-05
0.005 -4.4 8.07837e-05
0.005 -4.36 8.07837e-05
0.005 -4.32 8.07837e-05
0.005 -4.28 8.07837e-05
0.005 -4.24 8.07837e-05
0.005 -4.2 8.07837e-05
0.005 -4.16 8.07837e-05
0.005 -4.12 8.07837e-05
0.005 -4.08 8.07837e-05
0.005 -4.04 8.07837e-05
0.005 -4 8.07837e-05
0.005 -3.96 8.07837e-05
0.005 -3.92 8.07837e-05
0.005 -3.88 8.07837e-05
0.005 -3.84 8.07837e-05
0.005 -3.8 8.07837e-05
0.005 -3.76 8.07837e-05
0.005 -3.72 8.07837e-05
0.005 -3.68 8.07837e-05
0.005 -3.64 8.07837e-05
0.005 -3.6 8.07837e-05
0.005 -3.56 8.07837e-05
0.005 -3.52 8.07837e-05
0.005 -3.48 8.07837e-05
0.005 -3.44 8.07837e-05
0.005 -3.4 8.07837e-05
0.005 -3.36 8.07837e-05
0.005 -3.32 8.07837e-05
0.005 -3.28 8.07837e-05
0.005 -3.24 8.07837e-05
0.005 -3.2 8.07837e-05
0.005 -3.16 8.07837e-05
0.005 -3.12 8.07837e-05
0.005 -3.08 8.07837e-05
0.005 -3.04 8.07837e-05
0.005 -3 8.07837e-05
0.005 -2.96 8.07837e-05
0.005 -2.92 8.07837e-05
0.005 -2.88 8.07837e-05
0.005 -2.84 8.07837e-05
0.005 -2.8 8.07837e-05
0.005 -2.76 8.07837e-05
0.005 -2.72 8.07837e-05
0.005 -2.68 8.07837e-05
0.005 -2.64 8.07837e-05
0.005 -2.6 8.07837e-05
0.005 -2.56 8.07837e-05
0.005 -2.52 8.07837e-05
0.005 -2.48 8.07837e-05
0.005 -2.44 8.07837e-05
0.005 -2.4 8.07837e-05
0.005 -2.36 8.07837e-05
0.005 -2.32 8.07837e-05
0.005 -2.28 8.07837e-05
0.005 -2.24 8.07837e-05
0.005 -2.2 8.07837e-05
0.005 -2.16 8.07837e-05
0.005 -2.12 8.07837e-05
0.005 -2.08 8.07837e-05
0.005 -2.04 8.07837e-05
0.005 -2 8.07837e-05
0.005 -1.96 7.89085e-05
0.005 -1.92 7.33572e-05
0.005 -1.88 9.50793e-05
0.005 -1.84 0.000103583
0.005 -1.8 0.000102379
0.005 -1.76 0.000131887
0.005 -1.72 0.000135586
0.005 -1.68 0.000150977
0.005 -1.64 0.000167555
0.005 -1.6 0.000192707
0.005 -1.56 0.000225523
0.005 -1.52 0.000245081
0.005 -1.48 0.000297427
0.005 -1.44 0.00032511
0.005 -1.4 0.000405256
0.005 -1.36 0.000476296
0.005 -1.32 0.000554983
0.005 -1.28 0.000629884
0.005 -1.24 0.00068186
0.005 -1.2 0.000798959
0.005 -1.16 0.000850942
0.005 -1.12 0.000956036
0.005 -1.08 0.00103761
0.005 -1.04 0.0010798
0.005 -1 0.00119087
0.005 -0.96 0.00128934
0.005 -0.92 0.00130572
0.005 -0.88 0.0014393
0.005 -0.84 0.00154464
0.005 -0.8 0.00160652
0.005 -0.76 0.00176405
0.005 -0.72 0.00182911
