# incoherent part of single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.80 S=1/2
# k, omega, A(k,omega)

0 -5 8.35175e-05
0 -4.96 9.01498e-05
0 -4.92 5.57692e-05
0 -4.88 6.49827e-05
0 -4.84 5.8493e-05
0 -4.8 7.39968e-05
0 -4.76 9.82231e-05
0 -4.72 9.44826e-05
0 -4.68 8.53292e-05
0 -4.64 0.000108552
0 -4.6 0.000112907
0 -4.56 0.00011399
0 -4.52 9.02195e-05
0 -4.48 0.000101815
0 -4.44 0.000149675
0 -4.4 0.00012873
0 -4.36 0.000157983
0 -4.32 0.000141691
0 -4.28 0.000152038
0 -4.24 0.000144063
0 -4.2 0.000171957
0 -4.16 0.000128204
0 -4.12 0.00018767
0 -4.08 0.000184965
0 -4.04 0.000178076
0 -4 0.000223688
0 -3.96 0.00016687
0 -3.92 0.000252776
0 -3.88 0.000267985
0 -3.84 0.000284639
0 -3.8 0.000317388
0 -3.76 0.00042282
0 -3.72 0.000499743
0 -3.68 0.000436189
0 -3.64 0.000827454
0 -3.6 0.000560561
0 -3.56 0.000674193
0 -3.52 0.000889462
0 -3.48 0.000740234
0 -3.44 0.00049694
0 -3.4 0.000606309
0 -3.36 0.000833918
0 -3.32 0.00105005
0 -3.28 0.00053489
0 -3.24 0.0011154
0 -3.2 0.00116061
0 -3.16 0.00123299
0 -3.12 0.000881775
0 -3.08 0.000935872
0 -3.04 0.00105679
0 -3 0.00146886
0 -2.96 0.000915456
0 -2.92 0.00148459
0 -2.88 0.00132164
0 -2.84 0.00122397
0 -2.8 0.00132982
0 -2.76 0.00138899
0 -2.72 0.0013516
0 -2.68 0.00144897
0 -2.64 0.00130319
0 -2.6 0.00142813
0 -2.56 0.00137289
0 -2.52 0.00183383
0 -2.48 0.00137586
0 -2.44 0.00174836
0 -2.4 0.0015438
0 -2.36 0.00206583
0 -2.32 0.00166612
0 -2.28 0.00163337
0 -2.24 0.00157918
0 -2.2 0.00218267
0 -2.16 0.00185397
0 -2.12 0.00207675
0 -2.08 0.00189271
0 -2.04 0.00177254
0 -2 0.00201575
0 -1.96 0.00205666
0 -1.92 0.00190195
0 -1.88 0.00213013
0 -1.84 0.00220118
0 -1.8 0.00227949
0 -1.76 0.00218226
0 -1.72 0.00209065
0 -1.68 0.00221583
0 -1.64 0.00222199
0 -1.6 0.00250838
0 -1.56 0.00248167
0 -1.52 0.00256028
0 -1.48 0.00252489
0 -1.44 0.00245336
0 -1.4 0.00237291
0 -1.36 0.00272858
0 -1.32 0.00269881
0 -1.28 0.00266307
0 -1.24 0.00273921
0 -1.2 0.00292358
0 -1.16 0.00287727
0 -1.12 0.00294497
0 -1.08 0.00259167
0 -1.04 0.00315209
0 -1 0.00304707
0 -0.96 0.00313205
0 -0.92 0.00324051
0 -0.88 0.00316599
0 -0.84 0.00314743
0 -0.8 0.00309399
0 -0.76 0.00337438
0 -0.72 0.00337754
0 -0.68 0.00342235
0 -0.64 0.00352292
0 -0.6 0.00377306
0 -0.56 0.00359904
0 -0.52 0.00383892
0 -0.48 0.00401052
0 -0.44 0.00400311
0 -0.4 0.0041213
0 -0.36 0.00422221
0 -0.32 0.00428208
0 -0.28 0.00445927
0 -0.24 0.00455123
0 -0.2 0.00458753
0 -0.16 0.00462691
0 -0.12 0.00457572
0 -0.08 0.00427297
0 -0.04 0.00351385
0 0 0.00246184
0 0.04 0.00164579
0 0.08 0.00114944
0 0.12 0.000849932
0 0.16 0.000658965
0 0.2 0.00052987
0 0.24 0.000438175
0 0.28 0.000370354
0 0.32 0.000318532
0 0.36 0.000277734
0 0.4 0.000245133
0 0.44 0.00021857
0 0.48 0.00019644
0 0.52 0.000177813
0 0.56 0.000161974
0 0.6 0.000148355
0 0.64 0.000136528
0 0.68 0.000126196
0 0.72 0.000117106
0 0.76 0.000109039
0 0.8 0.000101853
0 0.84 9.54106e-05
0 0.88 8.96209e-05
0 0.92 8.43854e-05
0 0.96 7.96155e-05
0 1 0
0 1.04 0
0 1.08 0
0 1.12 0
0 1.16 0
0 1.2 0
0 1.24 0
0 1.28 0
0 1.32 0
0 1.36 0
0 1.4 0
0 1.44 0
0 1.48 0
0 1.52 0
0 1.56 0
0 1.6 0
0 1.64 0
0 1.68 0
0 1.72 0
0 1.76 0
0 1.8 0
0 1.84 0
0 1.88 0
0 1.92 0
0 1.96 0
0 2 0
0 2.04 0
0 2.08 0
0 2.12 0
