# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.50 S=1
# k, omega, S(k,omega)

0 0 0.00714718
0 0.006 0.00637241
0 0.012 0.00355003
0 0.018 0.00498245
0 0.024 0.0139278
0 0.03 0.0210833
0 0.036 0.0303474
0 0.042 0.029172
0 0.048 0.0256845
0 0.054 0.00654956
0 0.06 0.013324
0 0.066 0.0108237
0 0.072 0.007054
0 0.078 0.0289565
0 0.084 0.0320514
0 0.09 0.0319538
0 0.096 0.0340878
0 0.102 0.0137924
0 0.108 0.0224316
0 0.114 0.0303245
0 0.12 0.0136662
0 0.126 0.00313733
0 0.132 0.00325451
0 0.138 0.00521049
0 0.144 0.0142277
0 0.15 0.00156892
0 0.156 0.00206376
0 0.162 0.0186659
0 0.168 0.0266025
0 0.174 0.0269481
0 0.18 0.0155153
0 0.186 0.037285
0 0.192 0.0030463
0 0.198 0.00566057
0 0.204 0.00232339
0 0.21 0.0130577
0 0.216 0.0119757
0 0.222 0.00595268
0 0.228 0.0161526
0 0.234 0.00185731
0 0.24 0.0107397
0 0.246 0.00076215
0 0.252 0.00307625
0 0.258 0.00887304
0 0.264 0.01157
0 0.27 0.00609449
0 0.276 0.0179217
0 0.282 0.0106811
0 0.288 0.00533627
0 0.294 0.00198603
0 0.3 0.00580785
0 0.306 0.000257769
0 0.312 0.0107228
0 0.318 0.0122613
0 0.324 0.00140356
0 0.33 0.00345019
0 0.336 0.0232081
0 0.342 0.00961764
0 0.348 0.0112851
0 0.354 0.0135636
0 0.36 0.0325492
0 0.366 0.0307369
0 0.372 0.0232454
0 0.378 0.0188876
0 0.384 0.0359052
0 0.39 0.0186397
0 0.396 0.0263976
0 0.402 0.0178645
0 0.408 0.00765587
0 0.414 0.00177295
0 0.42 0.000833631
0 0.426 0.000844144
0 0.432 0.00351959
0 0.438 0.000312036
0 0.444 0.00110313
0 0.45 0.000651007
0 0.456 0.004738
0 0.462 0.00394449
0 0.468 0.00512262
0 0.474 0.00696019
0 0.48 0.00346177
0 0.486 0.00117411
0 0.492 0.002993
0 0.498 0.0021692
0 0.504 0.000612714
0 0.51 0.000191733
0 0.516 0.000122228
0 0.522 0.000111708
0 0.528 0.000522186
0 0.534 0.00131622
0 0.54 0.00149763
0 0.546 0.000993418
0 0.552 0.000678371
0 0.558 0.00166131
0 0.564 0.00150338
0 0.57 0.00161981
0 0.576 0.000923939
0 0.582 0.000485629
0 0.588 0.000961159
0 0.594 0.000503086
0 0.6 0.000189145
0.005 0 0.0196641
0.005 0.006 0.0178255
0.005 0.012 0.0115938
0.005 0.018 0.0124237
0.005 0.024 0.0254163
0.005 0.03 0.0361249
0.005 0.036 0.051124
0.005 0.042 0.0485762
0.005 0.048 0.0425113
0.005 0.054 0.0112795
0.005 0.06 0.0202672
0.005 0.066 0.0158102
0.005 0.072 0.00871838
0.005 0.078 0.0445996
0.005 0.084 0.0504027
0.005 0.09 0.0512936
0.005 0.096 0.0563916
0.005 0.102 0.0226207
0.005 0.108 0.0370844
0.005 0.114 0.0501057
0.005 0.12 0.0223615
0.005 0.126 0.00558823
0.005 0.132 0.00568937
0.005 0.138 0.0092355
0.005 0.144 0.021978
0.005 0.15 0.00105454
0.005 0.156 0.00152655
0.005 0.162 0.0323777
0.005 0.168 0.0434984
0.005 0.174 0.0436318
0.005 0.18 0.0256709
0.005 0.186 0.0629635
0.005 0.192 0.00610106
0.005 0.198 0.0103236
0.005 0.204 0.00480254
0.005 0.21 0.0193764
0.005 0.216 0.0185835
0.005 0.222 0.00973156
0.005 0.228 0.0255892
0.005 0.234 0.00290777
0.005 0.24 0.0167679
