# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.50 S=3/2
# k, omega, S(k,omega)

0 0 0.00469873
0 0.006 0.00386892
0 0.012 0.00161797
0 0.018 0.00148058
0 0.024 0.0142324
0 0.03 0.0202378
0 0.036 0.0246063
0 0.042 0.0309561
0 0.048 0.0405384
0 0.054 0.0405304
0 0.06 0.0313587
0 0.066 0.00753466
0 0.072 0.00564647
0 0.078 0.0298109
0 0.084 0.0394372
0 0.09 0.0338682
0 0.096 0.00902365
0 0.102 0.013806
0 0.108 0.00563778
0 0.114 0.0154012
0 0.12 0.0137469
0 0.126 0.00418665
0 0.132 0.00371422
0 0.138 0.00108262
0 0.144 0.0219537
0 0.15 0.0428727
0 0.156 0.0576045
0 0.162 0.0356648
0 0.168 0.0324464
0 0.174 0.0536847
0 0.18 0.0748272
0 0.186 0.0551423
0 0.192 0.0130445
0 0.198 0.0069879
0 0.204 0.0176039
0 0.21 0.0201772
0 0.216 0.0131252
0 0.222 0.0387183
0 0.228 0.0148353
0 0.234 0.0162129
0 0.24 0.0185574
0 0.246 0.00976569
0 0.252 0.0265776
0 0.258 0.00900392
0 0.264 0.0331105
0 0.27 0.0221096
0 0.276 0.000767683
0 0.282 0.00144447
0 0.288 0.0374407
0 0.294 0.0409194
0 0.3 0.0132915
0 0.306 0.0101207
0 0.312 0.0169058
0 0.318 0.00143934
0 0.324 0.00531991
0 0.33 0.0122728
0 0.336 0.0141456
0 0.342 0.0107328
0 0.348 0.00444308
0 0.354 0.00628032
0 0.36 0.00672945
0 0.366 0.00711253
0 0.372 0.0134332
0 0.378 0.00931938
0 0.384 0.00858238
0 0.39 0.00417117
0 0.396 0.00205975
0 0.402 0.000378628
0 0.408 0.000496378
0 0.414 0.00140282
0 0.42 0.0014741
0 0.426 0.000857997
0 0.432 0.000886354
0 0.438 0.000252134
0 0.444 0.000604408
0 0.45 0.000181135
0 0.456 0.000181135
0 0.462 0.000181135
0 0.468 0.000181135
0 0.474 0.000181135
0 0.48 0.000181135
0 0.486 0.000181135
0 0.492 0.000181135
0 0.498 0.000181135
0 0.504 0.000181135
0 0.51 0.000181135
0 0.516 0.000181135
0 0.522 0.000181135
0 0.528 0.000181135
0 0.534 0.000181135
0 0.54 0.000181135
0 0.546 0.000181135
0 0.552 0.000181135
0 0.558 0.000181135
0 0.564 0.000181135
0 0.57 0.000181135
0 0.576 0.000181135
0 0.582 0.000181135
0 0.588 0.000181135
0 0.594 0.000181135
0 0.6 0.000181135
0.005 0 0.0168595
0.005 0.006 0.0149404
0.005 0.012 0.00932756
0.005 0.018 0.00731177
0.005 0.024 0.0263578
0.005 0.03 0.03511
0.005 0.036 0.0428687
0.005 0.042 0.0545043
0.005 0.048 0.0696862
0.005 0.054 0.0681941
0.005 0.06 0.0523159
0.005 0.066 0.0131438
0.005 0.072 0.00743748
0.005 0.078 0.044554
0.005 0.084 0.0617482
0.005 0.09 0.0526493
0.005 0.096 0.0126546
0.005 0.102 0.0206542
0.005 0.108 0.00590556
0.005 0.114 0.024132
0.005 0.12 0.0213716
0.005 0.126 0.00214932
0.005 0.132 0.00741947
0.005 0.138 0.00297055
0.005 0.144 0.0322164
0.005 0.15 0.0695203
0.005 0.156 0.0927736
0.005 0.162 0.05731
0.005 0.168 0.0490962
0.005 0.174 0.0815248
0.005 0.18 0.117661
0.005 0.186 0.086634
0.005 0.192 0.0182864
0.005 0.198 0.0113874
0.005 0.204 0.0288961
0.005 0.21 0.0333269
0.005 0.216 0.0234614
0.005 0.222 0.0648217
0.005 0.228 0.0244384
0.005 0.234 0.0275381
0.005 0.24 0.0332971
0.005 0.246 0.0179566
0.005 0.252 0.0411585
0.005 0.258 0.0176822
0.005 0.264 0.048237
0.005 0.27 0.0332868
0.005 0.276 0.0104827
0.005 0.282 0.00834804
0.005 0.288 0.0672167
0.005 0.294 0.0673813
0.005 0.3 0.0195077
0.005 0.306 0.0158333
0.005 0.312 0.030634
0.005 0.318 0.00453012
0.005 0.324 0.005466
0.005 0.33 0.0173786
0.005 0.336 0.0202014
0.005 0.342 0.0140948
0.005 0.348 0.00540358
0.005 0.354 0.00842226
0.005 0.36 0.0106784
0.005 0.366 0.0116066
0.005 0.372 0.0209558
0.005 0.378 0.0135212
0.005 0.384 0.0121736
0.005 0.39 0.00646777
0.005 0.396 0.00339592
0.005 0.402 0.00124434
0.005 0.408 0.00177773
0.005 0.414 0.00242054
0.005 0.42 0.00191001
0.005 0.426 0.000512758
0.005 0.432 0.0014276
0.005 0.438 0.0004205
0.005 0.444 0.000389515
0.005 0.45 0.000251874
0.005 0.456 0.000251874
0.005 0.462 0.000251874
0.005 0.468 0.000251874
0.005 0.474 0.000251874
0.005 0.48 0.000251874
0.005 0.486 0.000251874
0.005 0.492 0.000251874
0.005 0.498 0.000251874
0.005 0.504 0.000251874
0.005 0.51 0.000251874
0.005 0.516 0.000251874
0.005 0.522 0.000251874
0.005 0.528 0.000251874
0.005 0.534 0.000251874
0.005 0.54 0.000251874
0.005 0.546 0.000251874
0.005 0.552 0.000251874
0.005 0.558 0.000251874
0.005 0.564 0.000251874
0.005 0.57 0.000251874
0.005 0.576 0.000251874
0.005 0.582 0.000251874
0.005 0.588 0.000251874
0.005 0.594 0.000251874
0.005 0.6 0.000251874
0.01 0 0.0424044
0.01 0.006 0.0388114
0.01 0.012 0.0277095
0.01 0.018 0.020765
0.01 0.024 0.0362315
0.01 0.03 0.0427194
0.01 0.036 0.0521676
0.01 0.042 0.0669321
0.01 0.048 0.0818957
0.01 0.054 0.0771637
