# single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.40 S=1/2
# k, omega, A(k,omega)

0 -3 6.58537e-05
0 -2.96 7.84879e-05
0 -2.92 6.09286e-05
0 -2.88 9.35641e-05
0 -2.84 9.95439e-05
0 -2.8 8.83508e-05
0 -2.76 6.93567e-05
0 -2.72 6.74849e-05
0 -2.68 7.80002e-05
0 -2.64 9.74187e-05
0 -2.6 0.000136249
0 -2.56 8.93421e-05
0 -2.52 7.95996e-05
0 -2.48 8.05023e-05
0 -2.44 0.000134149
0 -2.4 0.00010267
0 -2.36 8.99439e-05
0 -2.32 9.87077e-05
0 -2.28 0.000102499
0 -2.24 0.000103734
0 -2.2 0.000145111
0 -2.16 0.000139632
0 -2.12 0.000160713
0 -2.08 0.000179324
0 -2.04 0.000208944
0 -2 0.000249485
0 -1.96 0.000267992
0 -1.92 0.000361771
0 -1.88 0.000355842
0 -1.84 0.000458705
0 -1.8 0.000486545
0 -1.76 0.000631432
0 -1.72 0.000677557
0 -1.68 0.000753333
0 -1.64 0.000855018
0 -1.6 0.00102635
0 -1.56 0.000773784
0 -1.52 0.000769002
0 -1.48 0.00104434
0 -1.44 0.00145644
0 -1.4 0.00130236
0 -1.36 0.00108461
0 -1.32 0.000996842
0 -1.28 0.00177027
0 -1.24 0.00110159
0 -1.2 0.00114052
0 -1.16 0.00198212
0 -1.12 0.00134844
0 -1.08 0.00203488
0 -1.04 0.00159109
0 -1 0.000649615
0 -0.96 0.00178756
0 -0.92 0.00141828
0 -0.88 0.00189044
0 -0.84 0.00197572
0 -0.8 0.00257434
0 -0.76 0.00264989
0 -0.72 0.00245246
0 -0.68 0.00247883
0 -0.64 0.00296054
0 -0.6 0.00283299
0 -0.56 0.00329918
0 -0.52 0.00307129
0 -0.48 0.00340499
0 -0.44 0.00381145
0 -0.4 0.00402093
0 -0.36 0.00441608
0 -0.32 0.00472427
0 -0.28 0.00542513
0 -0.24 0.00610772
0 -0.2 0.00680758
0 -0.16 0.00697921
0 -0.12 0.00554159
0 -0.08 0.00358205
0 -0.04 0.00243464
0 0 0.00183535
0 0.04 0.00137564
0 0.08 0.000933728
0 0.12 0.000778969
0 0.16 0.000571596
0 0.2 0.00053502
0 0.24 0.000510651
0 0.28 0.000362005
0 0.32 0.000368565
0 0.36 0.000405166
0 0.4 0.000272388
0 0.44 0.000289212
0 0.48 0.000302344
0 0.52 0.00024564
0 0.56 0.000181069
0 0.6 0.000285659
0 0.64 0.000213236
0 0.68 0.000170994
0 0.72 0.000560317
0 0.76 0.000371571
0 0.8 0.000418152
0 0.84 0.000112498
0 0.88 0.0010655
0 0.92 0.000391223
0 0.96 0.000113714
0 1 0.000207437
0 1.04 0.000423013
0 1.08 0.000895034
0 1.12 0.000160406
0 1.16 0.000517315
0 1.2 7.6426e-05
0 1.24 0.00033
0 1.28 0.00016287
0 1.32 0.000194242
0 1.36 0.000539527
0 1.4 0.000195173
0 1.44 0.000955009
0 1.48 0.000299214
0 1.52 0.00159314
0 1.56 0.00115067
0 1.6 2.05555e-06
0 1.64 0.000251683
0 1.68 0.00138223
0 1.72 0.000875596
0 1.76 0.000633053
0 1.8 0.000515485
0 1.84 0.000617936
0 1.88 0.00172279
0 1.92 0.00205822
0 1.96 0.0006635
0 2 0.000434862
0 2.04 0.00125768
0 2.08 0.000964653
0 2.12 0.0036797
0 2.16 0.00262468
0 2.2 0.00246517
0 2.24 0.0028734
0 2.28 0.00196213
0 2.32 0.0025564
0 2.36 0.00914021
0 2.4 0.0099524
0 2.44 0.00760379
0 2.48 0.0201023
0 2.52 0.0245737
0 2.56 0.0515832
0 2.6 0.0710284
0 2.64 0.0694408
0 2.68 0.0473532
0 2.72 0.0301345
0 2.76 0.0197285
0 2.8 0.0135774
0 2.84 0.00979503
0 2.88 0.00743478
0 2.92 0.00574883
0 2.96 0.00463714
0 3 0.00377016
0 3.04 0.00307407
0 3.08 0.00255211
0 3.12 0.00210428
0 3.16 0.00174879
0 3.2 0.00153247
0 3.24 0.00140269
0 3.28 0.00125284
0 3.32 0.00109946
0 3.36 0.00104109
0 3.4 0.000885095
0 3.44 0.000775777
0 3.48 0.000730396
0 3.52 0.000637212
0 3.56 0.000641725
0 3.6 0.000554882
0 3.64 0.00054113
0 3.68 0.00050693
0 3.72 0.000476676
0 3.76 0.00047113
0 3.8 0.000410461
0 3.84 0.000391752
0 3.88 0.000369905
0 3.92 0.000309514
0 3.96 0.000304906
0 4 0.000304922
0.005 -3 6.37944e-05
0.005 -2.96 7.49555e-05
0.005 -2.92 6.05242e-05
0.005 -2.88 8.56336e-05
0.005 -2.84 0.000110038
0.005 -2.8 7.83868e-05
0.005 -2.76 5.74486e-05
0.005 -2.72 7.98552e-05
0.005 -2.68 9.05872e-05
0.005 -2.64 0.00011152
0.005 -2.6 0.000118079
0.005 -2.56 8.83365e-05
0.005 -2.52 8.32274e-05
0.005 -2.48 9.22311e-05
0.005 -2.44 0.00012681
0.005 -2.4 0.00010116
0.005 -2.36 8.99927e-05
0.005 -2.32 0.000112118
0.005 -2.28 0.00012755
0.005 -2.24 0.000141325
0.005 -2.2 0.000137803
0.005 -2.16 0.000149474
0.005 -2.12 0.000151296
0.005 -2.08 0.000170172
0.005 -2.04 0.000208133
0.005 -2 0.000236679
0.005 -1.96 0.000276506
0.005 -1.92 0.000353831
0.005 -1.88 0.000381839
0.005 -1.84 0.000456509
0.005 -1.8 0.0004933
0.005 -1.76 0.000629985
0.005 -1.72 0.000659752
0.005 -1.68 0.000730505
0.005 -1.64 0.000842984
0.005 -1.6 0.000952589
0.005 -1.56 0.00082693
0.005 -1.52 0.000887853
0.005 -1.48 0.00101253
0.005 -1.44 0.00132563
0.005 -1.4 0.00131414
0.005 -1.36 0.00104827
0.005 -1.32 0.000960037
0.005 -1.28 0.00172241
0.005 -1.24 0.00128574
0.005 -1.2 0.00128323
0.005 -1.16 0.00194259
0.005 -1.12 0.00138913
0.005 -1.08 0.00201026
0.005 -1.04 0.00160217
0.005 -1 0.00103208
0.005 -0.96 0.00173692
0.005 -0.92 0.00172962
0.005 -0.88 0.00198527
0.005 -0.84 0.00194067
0.005 -0.8 0.00242713
0.005 -0.76 0.00258373
0.005 -0.72 0.00242804
0.005 -0.68 0.00258075
0.005 -0.64 0.00287763
0.005 -0.6 0.00287083
0.005 -0.56 0.00315847
0.005 -0.52 0.00312925
0.005 -0.48 0.00339664
0.005 -0.44 0.00380443
