# single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.50 S=1/2
# k, omega, A(k,omega)

0 -3 6.59139e-05
0 -2.96 0.000158822
0 -2.92 0.000111244
0 -2.88 0.000142837
0 -2.84 0.000156393
0 -2.8 0.00017044
0 -2.76 0.000236671
0 -2.72 0.000232971
0 -2.68 0.000151471
0 -2.64 0.000254208
0 -2.6 0.000254904
0 -2.56 0.000322823
0 -2.52 0.000365005
0 -2.48 0.000488237
0 -2.44 0.000515877
0 -2.4 0.000618022
0 -2.36 0.00067451
0 -2.32 0.000703896
0 -2.28 0.00070585
0 -2.24 0.000793966
0 -2.2 0.00108769
0 -2.16 0.00117914
0 -2.12 0.000853726
0 -2.08 0.000281386
0 -2.04 0.00065466
0 -2 0.00172179
0 -1.96 0.00174757
0 -1.92 0.000905105
0 -1.88 0.000682979
0 -1.84 0.00188322
0 -1.8 0.00247181
0 -1.76 0.00107908
0 -1.72 8.48826e-06
0 -1.68 0.00105112
0 -1.64 0.00229641
0 -1.6 0.00102054
0 -1.56 0.00110372
0 -1.52 0.00202201
0 -1.48 0.000382377
0 -1.44 0.000665657
0 -1.4 0.00176714
0 -1.36 0.00250926
0 -1.32 0.000869483
0 -1.28 0.00195702
0 -1.24 0.00195966
0 -1.2 0.00178862
0 -1.16 0.00182178
0 -1.12 0.00224354
0 -1.08 0.0019999
0 -1.04 0.00222029
0 -1 0.00278406
0 -0.96 0.00242514
0 -0.92 0.00229745
0 -0.88 0.00301891
0 -0.84 0.0027269
0 -0.8 0.00261562
0 -0.76 0.00323483
0 -0.72 0.00277466
0 -0.68 0.00310852
0 -0.64 0.00315725
0 -0.6 0.00329038
0 -0.56 0.00353678
0 -0.52 0.00370782
0 -0.48 0.00387311
0 -0.44 0.00403762
0 -0.4 0.00429885
0 -0.36 0.00458797
0 -0.32 0.004911
0 -0.28 0.00538002
0 -0.24 0.00580348
0 -0.2 0.00607974
0 -0.16 0.00559431
0 -0.12 0.00393384
0 -0.08 0.00249386
0 -0.04 0.00189372
0 0 0.00162929
0 0.04 0.00130014
0 0.08 0.000823944
0 0.12 0.000760358
0 0.16 0.000527653
0 0.2 0.00050997
0 0.24 0.000578086
0 0.28 0.000398974
0 0.32 0.000376977
0 0.36 0.000493187
0 0.4 0.000369772
0 0.44 0.000288227
0 0.48 0.000444791
0 0.52 0.000289953
0 0.56 0.000288794
0 0.6 0.000519266
0 0.64 0.000373585
0 0.68 0.000396453
0 0.72 0.000615576
0 0.76 0.000208938
0 0.8 0.000188012
0 0.84 0.000479128
0 0.88 0.000691489
0 0.92 0.000432727
0 0.96 0.000767833
0 1 0.000596842
0 1.04 0.000232683
0 1.08 0.000636031
0 1.12 0.000845041
0 1.16 0.000771434
0 1.2 0.00110657
0 1.24 0.000611351
0 1.28 0.00170088
0 1.32 0.00152543
0 1.36 0.00221155
0 1.4 0.000376097
0 1.44 0.00266588
0 1.48 0.000825715
0 1.52 7.70563e-05
0 1.56 0.00292292
0 1.6 0.00183867
0 1.64 0.00385461
0 1.68 0.00523288
0 1.72 0.00575305
0 1.76 0.00717392
0 1.8 0.00968171
0 1.84 0.0131477
0 1.88 0.0223911
0 1.92 0.0364357
0 1.96 0.0643639
0 2 0.0768735
0 2.04 0.0620034
0 2.08 0.0402875
0 2.12 0.024832
0 2.16 0.0163543
0 2.2 0.0115433
0 2.24 0.00854651
0 2.28 0.00663367
0 2.32 0.00524582
0 2.36 0.00426783
0 2.4 0.00345541
0 2.44 0.00287458
