# single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.66 S=1/2
# k, omega, A(k,omega)

0 -5 7.51116e-05
0 -4.96 4.75723e-06
0 -4.92 8.417e-05
0 -4.88 8.38248e-05
0 -4.84 0.000147696
0 -4.8 0.000200874
0 -4.76 8.01666e-05
0 -4.72 0.000145159
0 -4.68 0.000119076
0 -4.64 0.000150607
0 -4.6 4.14341e-05
0 -4.56 0.000135714
0 -4.52 0.000110047
0 -4.48 8.01634e-05
0 -4.44 0.000117268
0 -4.4 9.11602e-05
0 -4.36 0.00015085
0 -4.32 0.00015232
0 -4.28 8.77743e-05
0 -4.24 0.00020662
0 -4.2 1.68847e-05
0 -4.16 0.000146118
0 -4.12 0.000110211
0 -4.08 0.000150904
0 -4.04 0.000189177
0 -4 0.000211304
0 -3.96 0.000255525
0 -3.92 0.000204336
0 -3.88 0.000204675
0 -3.84 0.000188582
0 -3.8 0.000238108
0 -3.76 9.62499e-05
0 -3.72 0.000143981
0 -3.68 0.000197625
0 -3.64 0.000219441
0 -3.6 0.000229142
0 -3.56 0.000281022
0 -3.52 0.000307997
0 -3.48 0.000316644
0 -3.44 0.000260726
0 -3.4 0.000339603
0 -3.36 0.000539607
0 -3.32 0.000510594
0 -3.28 0.00030146
0 -3.24 0.000528366
0 -3.2 0.000885681
0 -3.16 0.00114624
0 -3.12 0.00118119
0 -3.08 0.00183223
0 -3.04 0.000810642
0 -3 0.00160992
0 -2.96 0.0020397
0 -2.92 0.00291286
0 -2.88 0.00311042
0 -2.84 6.60026e-05
0 -2.8 0.000772372
0 -2.76 0.00184349
0 -2.72 0.000866693
0 -2.68 0.000385326
0 -2.64 0.000592937
0 -2.6 0.00162352
0 -2.56 0.00102991
0 -2.52 0.00229716
0 -2.48 0.000250736
0 -2.44 0.00127862
0 -2.4 0.00204457
0 -2.36 0.00127434
0 -2.32 0.00195035
0 -2.28 0.00108026
0 -2.24 0.00284461
0 -2.2 0.00205328
0 -2.16 0.000279875
0 -2.12 0.00177041
0 -2.08 0.00272194
0 -2.04 0.00131206
0 -2 0.00254369
0 -1.96 0.00162145
0 -1.92 0.00159396
0 -1.88 0.00292468
0 -1.84 0.00201696
0 -1.8 0.00229601
0 -1.76 0.00198273
0 -1.72 0.00185962
0 -1.68 0.00171788
0 -1.64 0.00210819
0 -1.6 0.00169285
0 -1.56 0.00210997
0 -1.52 0.00177899
0 -1.48 0.00248767
0 -1.44 0.00276375
0 -1.4 0.00171348
0 -1.36 0.00339296
0 -1.32 0.000963887
0 -1.28 0.00190999
0 -1.24 0.00187065
0 -1.2 0.00322382
0 -1.16 0.00270041
0 -1.12 0.00218431
0 -1.08 0.00309118
0 -1.04 0.00262962
0 -1 0.00239659
0 -0.96 0.00313142
0 -0.92 0.00304182
0 -0.88 0.00326068
0 -0.84 0.00365343
0 -0.8 0.00323214
0 -0.76 0.00321769
0 -0.72 0.00328771
0 -0.68 0.0031817
0 -0.64 0.00345428
0 -0.6 0.00374449
0 -0.56 0.00399656
0 -0.52 0.00388989
0 -0.48 0.00393078
0 -0.44 0.00414085
0 -0.4 0.0043976
0 -0.36 0.0042839
0 -0.32 0.00459167
0 -0.28 0.00468246
0 -0.24 0.00472428
0 -0.2 0.00505292
0 -0.16 0.00490315
0 -0.12 0.00432893
0 -0.08 0.00343964
0 -0.04 0.00233443
0 0 0.0017927
0 0.04 0.00160384
0 0.08 0.00123511
0 0.12 0.00126979
0 0.16 0.00122037
0 0.2 0.00112075
0 0.24 0.00130438
0 0.28 0.00120111
0 0.32 0.00143923
0 0.36 0.00152977
0 0.4 0.00155889
0 0.44 0.00189353
0 0.48 0.00199974
0 0.52 0.00260727
0 0.56 0.00297086
0 0.6 0.00349582
0 0.64 0.00402034
0 0.68 0.00518472
0 0.72 0.00655023
0 0.76 0.00954226
0 0.8 0.0129902
0 0.84 0.018398
0 0.88 0.0290704
0 0.92 0.0491662
0 0.96 0.0745665
0 1 0.0736902
0 1.04 0.050096
0 1.08 0.0307799
0 1.12 0.0195532
0 1.16 0.0132104
0 1.2 0.00945138
0 1.24 0.00708132
0 1.28 0.00554242
0 1.32 0.00446396
0 1.36 0.00365642
0 1.4 0.0030504
0 1.44 0.00255919
0 1.48 0.00217154
0 1.52 0.00186516
0 1.56 0.00163622
0 1.6 0.0014234
0 1.64 0.00125488
0 1.68 0.00111706
0 1.72 0.00100305
0 1.76 0.000918297
0 1.8 0.000832141
0 1.84 0.000750432
0 1.88 0.000682247
0 1.92 0.000612333
0 1.96 0.00057183
0 2 0.000529902
0 2.04 0.000512096
0 2.08 0.000469154
0 2.12 0.00045041
0 2.16 0.000429779
0 2.2 0.000406699
0 2.24 0.00036644
0 2.28 0.000352317
0 2.32 0.000340905
0 2.36 0.0003204
0 2.4 0.000309239
0 2.44 0.000316866
0 2.48 0.000303186
0 2.52 0.000290894
0 2.56 0.000302597
0 2.6 0.000283388
0 2.64 0.000271368
0 2.68 0.000276895
0 2.72 0.000262645
0 2.76 0.000239977
0 2.8 0.000234973
0 2.84 0.000217904
0 2.88 0.000216505
0 2.92 0.000225813
0 2.96 0.000223485
0 3 0.000211944
0 3.04 0.000204982
0 3.08 0.000210363
0 3.12 0.000212384
0 3.16 0.000203566
0 3.2 0.000196969
0 3.24 0.000183239
0 3.28 0.00018963
0 3.32 0.000170893
0 3.36 0.000168673
0 3.4 0.000144817
0 3.44 0.000157457
0 3.48 0.000146017
0 3.52 0.000157872
0 3.56 0.000129839
0 3.6 0.000139261
0 3.64 0.00013662
0 3.68 0.000127663
0 3.72 0.000132819
0 3.76 0.000119149
0 3.8 0.000138827
0 3.84 0.000126067
0 3.88 0.000132018
0 3.92 0.000126193
0 3.96 0.00014005
0 4 0.000125576
0.005 -5 5.574e-05
0.005 -4.96 1.58737e-05
0.005 -4.92 7.26039e-05
0.005 -4.88 7.02622e-05
0.005 -4.84 8.57488e-05
0.005 -4.8 0.000206912
0.005 -4.76 8.81197e-05
0.005 -4.72 0.000169726
0.005 -4.68 0.00010853
0.005 -4.64 0.000143999
0.005 -4.6 2.25512e-05
0.005 -4.56 0.00010376
0.005 -4.52 0.000104673
0.005 -4.48 0.000103118
0.005 -4.44 9.78073e-05
0.005 -4.4 7.92413e-05
0.005 -4.36 0.00014215
0.005 -4.32 0.00013473
0.005 -4.28 7.88136e-05
0.005 -4.24 0.000192408
0.005 -4.2 3.36954e-05
0.005 -4.16 0.000168357
0.005 -4.12 0.000129195
0.005 -4.08 0.000147699
0.005 -4.04 0.000129104
0.005 -4 0.000196559
0.005 -3.96 0.000222143
0.005 -3.92 0.000200194
0.005 -3.88 0.000173334
0.005 -3.84 0.000205915
0.005 -3.8 0.000197756
0.005 -3.76 0.00015266
0.005 -3.72 0.000120447
0.005 -3.68 0.000222204
0.005 -3.64 0.000199949
0.005 -3.6 0.000209601
0.005 -3.56 0.000273308
0.005 -3.52 0.000300614
0.005 -3.48 0.000326179
0.005 -3.44 0.000277751
0.005 -3.4 0.00041036
0.005 -3.36 0.000549025
0.005 -3.32 0.00048716
0.005 -3.28 0.000308646
0.005 -3.24 0.000470646
0.005 -3.2 0.000935549
0.005 -3.16 0.00111275
0.005 -3.12 0.00124374
0.005 -3.08 0.00162509
0.005 -3.04 0.000643524
0.005 -3 0.00164695
0.005 -2.96 0.00209452
0.005 -2.92 0.00271367
0.005 -2.88 0.00256584
0.005 -2.84 0.000279949
0.005 -2.8 0.000797131
0.005 -2.76 0.00183553
0.005 -2.72 0.000679757
0.005 -2.68 0.00095967
0.005 -2.64 0.00058097
0.005 -2.6 0.00156339
0.005 -2.56 0.00100719
0.005 -2.52 0.00214348
0.005 -2.48 0.00035808
0.005 -2.44 0.000819095
0.005 -2.4 0.00216754
0.005 -2.36 0.00156506
0.005 -2.32 0.00191586
0.005 -2.28 0.0013531
0.005 -2.24 0.00273346
0.005 -2.2 0.00209865
0.005 -2.16 0.000493314
0.005 -2.12 0.00174094
0.005 -2.08 0.00251615
0.005 -2.04 0.00134419
0.005 -2 0.00222909
0.005 -1.96 0.00178772
0.005 -1.92 0.00154077
0.005 -1.88 0.00266281
0.005 -1.84 0.00204312
0.005 -1.8 0.00235893
0.005 -1.76 0.0024418
0.005 -1.72 0.0020088
0.005 -1.68 0.00191891
0.005 -1.64 0.00206363
0.005 -1.6 0.00189529
0.005 -1.56 0.00200634
0.005 -1.52 0.00176974
0.005 -1.48 0.00239252
0.005 -1.44 0.00269988
0.005 -1.4 0.00175156
0.005 -1.36 0.00323053
0.005 -1.32 0.00123078
0.005 -1.28 0.00188195
0.005 -1.24 0.00212374
0.005 -1.2 0.0031946
0.005 -1.16 0.00294413
0.005 -1.12 0.00208684
0.005 -1.08 0.0030882
0.005 -1.04 0.00260029
0.005 -1 0.00249387
0.005 -0.96 0.00307167
0.005 -0.92 0.00302097
0.005 -0.88 0.00320588
0.005 -0.84 0.00339645
0.005 -0.8 0.00330852
0.005 -0.76 0.00340717
0.005 -0.72 0.0033907
0.005 -0.68 0.00327938
0.005 -0.64 0.00357803
0.005 -0.6 0.00366374
0.005 -0.56 0.00391046
0.005 -0.52 0.00385046
0.005 -0.48 0.00407731
0.005 -0.44 0.00410965
0.005 -0.4 0.00441339
0.005 -0.36 0.00433714
0.005 -0.32 0.0044983
0.005 -0.28 0.00465866
0.005 -0.24 0.00480386
0.005 -0.2 0.00495603
0.005 -0.16 0.00492932
0.005 -0.12 0.00440185
0.005 -0.08 0.0033291
0.005 -0.04 0.00238159
0.005 0 0.00181757
0.005 0.04 0.00150067
0.005 0.08 0.00132873
0.005 0.12 0.00123835
0.005 0.16 0.00120129
0.005 0.2 0.00120689
0.005 0.24 0.00122906
0.005 0.28 0.0012818
0.005 0.32 0.00140715
0.005 0.36 0.00153133
0.005 0.4 0.0016217
0.005 0.44 0.00186879
0.005 0.48 0.00203948
0.005 0.52 0.00245686
0.005 0.56 0.00291138
0.005 0.6 0.00347409
0.005 0.64 0.00432909
0.005 0.68 0.00536456
0.005 0.72 0.00681337
0.005 0.76 0.00955698
0.005 0.8 0.0127646
0.005 0.84 0.0184173
0.005 0.88 0.0292832
0.005 0.92 0.0492664
0.005 0.96 0.0746086
0.005 1 0.0736126
0.005 1.04 0.0499716
0.005 1.08 0.0306896
0.005 1.12 0.019497
0.005 1.16 0.0131796
0.005 1.2 0.00942975
0.005 1.24 0.00707751
0.005 1.28 0.00554098
0.005 1.32 0.0044509
0.005 1.36 0.00364538
0.005 1.4 0.00303351
0.005 1.44 0.00254381
0.005 1.48 0.00215713
0.005 1.52 0.00186391
0.005 1.56 0.00163973
0.005 1.6 0.00142425
0.005 1.64 0.00125998
0.005 1.68 0.00111754
0.005 1.72 0.000998287
0.005 1.76 0.000911841
0.005 1.8 0.000827232
0.005 1.84 0.000743466
0.005 1.88 0.000677624
0.005 1.92 0.000617839
0.005 1.96 0.000572221
0.005 2 0.00052537
0.005 2.04 0.000509239
0.005 2.08 0.000472899
0.005 2.12 0.000448076
0.005 2.16 0.000426918
0.005 2.2 0.000397897
0.005 2.24 0.000366475
0.005 2.28 0.000351359
0.005 2.32 0.000345485
0.005 2.36 0.000324298
0.005 2.4 0.000308913
0.005 2.44 0.000314879
0.005 2.48 0.000303079
0.005 2.52 0.000296969
0.005 2.56 0.000300207
0.005 2.6 0.000279118
0.005 2.64 0.000271733
0.005 2.68 0.000278185
0.005 2.72 0.00026496
0.005 2.76 0.000237547
0.005 2.8 0.000235549
0.005 2.84 0.00022198
0.005 2.88 0.000213925
0.005 2.92 0.000225179
0.005 2.96 0.000227594
0.005 3 0.000212304
0.005 3.04 0.000204924
0.005 3.08 0.000213037
0.005 3.12 0.000208995
0.005 3.16 0.000200051
0.005 3.2 0.000195558
0.005 3.24 0.000182273
0.005 3.28 0.000189608
0.005 3.32 0.000170461
0.005 3.36 0.000167365
0.005 3.4 0.000146809
0.005 3.44 0.000158482
0.005 3.48 0.000149349
0.005 3.52 0.000156406
0.005 3.56 0.000130098
0.005 3.6 0.000139868
0.005 3.64 0.000136853
0.005 3.68 0.000127236
0.005 3.72 0.000130989
0.005 3.76 0.000119075
0.005 3.8 0.000137529
0.005 3.84 0.000124563
0.005 3.88 0.000133366
0.005 3.92 0.000125524
0.005 3.96 0.000140097
0.005 4 0.000126698
0.01 -5 3.49831e-05
0.01 -4.96 3.45734e-05
0.01 -4.92 6.32503e-05
0.01 -4.88 4.27496e-05
0.01 -4.84 1.87525e-05
0.01 -4.8 0.000202605
0.01 -4.76 9.13395e-05
0.01 -4.72 0.000197909
0.01 -4.68 9.53612e-05
0.01 -4.64 0.000131264
0.01 -4.6 5.09461e-06
0.01 -4.56 5.85305e-05
0.01 -4.52 9.92028e-05
0.01 -4.48 0.000132821
0.01 -4.44 7.75327e-05
0.01 -4.4 7.3221e-05
0.01 -4.36 0.000137882
0.01 -4.32 0.000102525
0.01 -4.28 6.36715e-05
0.01 -4.24 0.00018491
0.01 -4.2 5.40585e-05
0.01 -4.16 0.000181583
0.01 -4.12 0.00015787
0.01 -4.08 0.00012316
0.01 -4.04 3.5643e-05
0.01 -4 0.00018678
0.01 -3.96 0.000177859
0.01 -3.92 0.000203703
0.01 -3.88 0.000141471
0.01 -3.84 0.000219421
0.01 -3.8 0.000160275
0.01 -3.76 0.000212598
0.01 -3.72 9.62962e-05
0.01 -3.68 0.000256395
0.01 -3.64 0.000173415
0.01 -3.6 0.000170535
0.01 -3.56 0.000246653
0.01 -3.52 0.000288644
0.01 -3.48 0.000330869
0.01 -3.44 0.00030484
0.01 -3.4 0.000513574
0.01 -3.36 0.000560985
0.01 -3.32 0.000462947
0.01 -3.28 0.000308227
0.01 -3.24 0.000416209
0.01 -3.2 0.001002
0.01 -3.16 0.0010611
0.01 -3.12 0.00132231
0.01 -3.08 0.0013825
0.01 -3.04 0.000456723
0.01 -3 0.00178024
0.01 -2.96 0.00221398
0.01 -2.92 0.00236687
0.01 -2.88 0.00195812
0.01 -2.84 0.000544919
0.01 -2.8 0.000697317
0.01 -2.76 0.00177451
0.01 -2.72 0.000498233
0.01 -2.68 0.00185195
0.01 -2.64 0.00060452
0.01 -2.6 0.00148221
0.01 -2.56 0.00110991
0.01 -2.52 0.00194294
0.01 -2.48 0.000633815
0.01 -2.44 0.000171255
0.01 -2.4 0.00229018
0.01 -2.36 0.00179534
0.01 -2.32 0.00179364
0.01 -2.28 0.00161497
0.01 -2.24 0.00252082
0.01 -2.2 0.00214899
0.01 -2.16 0.000874007
0.01 -2.12 0.00169789
0.01 -2.08 0.00219944
0.01 -2.04 0.00141012
0.01 -2 0.00181649
0.01 -1.96 0.00195318
0.01 -1.92 0.0015401
0.01 -1.88 0.00227154
0.01 -1.84 0.00198541
0.01 -1.8 0.00248407
0.01 -1.76 0.00305019
0.01 -1.72 0.00223226
0.01 -1.68 0.00217279
0.01 -1.64 0.00195452
0.01 -1.6 0.00214628
0.01 -1.56 0.00178434
0.01 -1.52 0.0018254
0.01 -1.48 0.00232883
0.01 -1.44 0.00259986
0.01 -1.4 0.00175333
0.01 -1.36 0.00295271
0.01 -1.32 0.00167118
0.01 -1.28 0.00178375
0.01 -1.24 0.00248213
0.01 -1.2 0.00310394
0.01 -1.16 0.00320155
0.01 -1.12 0.00193157
0.01 -1.08 0.00305288
0.01 -1.04 0.00254357
0.01 -1 0.00265304
0.01 -0.96 0.00305948
