# single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.80 S=1/2
# k, omega, A(k,omega)

0 -5 9.06977e-05
0 -4.96 5.77899e-05
0 -4.92 2.84642e-05
0 -4.88 6.29874e-05
0 -4.84 8.22411e-05
0 -4.8 0.000107696
0 -4.76 7.37497e-05
0 -4.72 8.03154e-05
0 -4.68 1.54087e-05
0 -4.64 8.45247e-05
0 -4.6 0.000144345
0 -4.56 0.000174032
0 -4.52 0.000164178
0 -4.48 0.000155966
0 -4.44 0.000217382
0 -4.4 8.25167e-05
0 -4.36 1.3046e-05
0 -4.32 8.62287e-05
0 -4.28 0.00022943
0 -4.24 0.000101796
0 -4.2 0.000223476
0 -4.16 0.000205384
0 -4.12 1.09302e-05
0 -4.08 0.000263329
0 -4.04 0.000272198
0 -4 0.000265743
0 -3.96 0.00021227
0 -3.92 0.00022931
0 -3.88 0.000331055
0 -3.84 0.000289995
0 -3.8 0.000383869
0 -3.76 0.000430412
0 -3.72 0.000962997
0 -3.68 0.000661483
0 -3.64 0.00148922
0 -3.6 0.00175255
0 -3.56 0.00238004
0 -3.52 0.0014855
0 -3.48 0.00164998
0 -3.44 0.00160905
0 -3.4 0.00232626
0 -3.36 0.00136857
0 -3.32 0.000576537
0 -3.28 0.00114831
0 -3.24 0.00016116
0 -3.2 0.000827419
0 -3.16 0.000708916
0 -3.12 0.0013093
0 -3.08 0.000486384
0 -3.04 0.000189323
0 -3 0.00103709
0 -2.96 0.0017447
0 -2.92 0.00170532
0 -2.88 0.000646796
0 -2.84 0.000734764
0 -2.8 0.000210731
0 -2.76 0.000224416
0 -2.72 0.00102939
0 -2.68 0.00257586
0 -2.64 0.00144287
0 -2.6 0.00155839
0 -2.56 0.00145808
0 -2.52 0.00131983
0 -2.48 0.00332401
0 -2.44 0.00202938
0 -2.4 0.00056605
0 -2.36 0.000939192
0 -2.32 0.00235611
0 -2.28 0.00242024
0 -2.24 0.000817018
0 -2.2 0.000966848
0 -2.16 0.000705698
0 -2.12 0.00276724
0 -2.08 0.00194471
0 -2.04 0.000671387
0 -2 0.00153594
0 -1.96 0.00284978
0 -1.92 0.00234473
0 -1.88 0.0012295
0 -1.84 0.00104727
0 -1.8 0.00192636
0 -1.76 0.00274027
0 -1.72 0.00139399
0 -1.68 0.00229453
0 -1.64 0.00216648
0 -1.6 0.00348799
0 -1.56 0.00391286
0 -1.52 0.00242655
0 -1.48 0.00230696
0 -1.44 0.00186426
0 -1.4 0.00267973
0 -1.36 0.00205825
0 -1.32 0.00271781
0 -1.28 0.00283149
0 -1.24 0.00255515
0 -1.2 0.00204851
0 -1.16 0.00249748
0 -1.12 0.0024784
0 -1.08 0.00252329
0 -1.04 0.00338238
0 -1 0.00317151
0 -0.96 0.00280229
0 -0.92 0.00344608
0 -0.88 0.00370721
0 -0.84 0.00320397
0 -0.8 0.00367256
0 -0.76 0.00393413
0 -0.72 0.00392445
0 -0.68 0.00415768
0 -0.64 0.00382109
0 -0.6 0.00418186
0 -0.56 0.00440088
0 -0.52 0.00449591
0 -0.48 0.00433264
0 -0.44 0.00492777
0 -0.4 0.00472121
0 -0.36 0.0053512
0 -0.32 0.00510912
0 -0.28 0.00549359
0 -0.24 0.0057449
0 -0.2 0.00601355
0 -0.16 0.00629369
0 -0.12 0.00646106
0 -0.08 0.00651822
0 -0.04 0.00608925
0 0 0.00565932
0 0.04 0.00553986
0 0.08 0.00608804
0 0.12 0.0072332
0 0.16 0.00918126
0 0.2 0.0124248
0 0.24 0.0178813
0 0.28 0.0276895
0 0.32 0.0449247
0 0.36 0.0693562
0 0.4 0.0777098
0 0.44 0.0567648
0 0.48 0.0349983
0 0.52 0.0218927
0 0.56 0.0145407
0 0.6 0.0102532
0 0.64 0.00761122
0 0.68 0.00588603
0 0.72 0.00470874
0 0.76 0.00385442
0 0.8 0.00319183
0 0.84 0.00267858
0 0.88 0.00227494
0 0.92 0.00194218
0 0.96 0.00168718
0 1 0.00139032
0 1.04 0.00122684
0 1.08 0.00108827
0 1.12 0.000996202
0 1.16 0.000911158
0 1.2 0.000839727
0 1.24 0.000766737
0 1.28 0.000713869
0 1.32 0.000678352
0 1.36 0.000629725
0 1.4 0.000592281
0 1.44 0.000549327
0 1.48 0.00051112
0 1.52 0.000481414
0 1.56 0.000445932
0 1.6 0.000416324
0 1.64 0.000391337
0 1.68 0.000366294
0 1.72 0.000343027
0 1.76 0.000322659
0 1.8 0.000299208
0 1.84 0.000283815
0 1.88 0.00027456
0 1.92 0.000262572
0 1.96 0.000243205
0 2 0.000230912
0 2.04 0.000220977
0 2.08 0.000214012
0 2.12 0.000201856
0 2.16 0.000191062
0 2.2 0.00018627
0 2.24 0.000177655
0 2.28 0.00016688
0 2.32 0.0001728
0 2.36 0.000155712
0 2.4 0.00015123
0 2.44 0.000149511
0 2.48 0.000149511
0 2.52 0.00013561
0 2.56 0.00013561
0 2.6 0.000122719
0 2.64 0.000122719
0 2.68 0.000122719
0 2.72 0.00012129
0 2.76 0.00011482
0 2.8 0.000110249
0 2.84 0.000109394
0 2.88 0.000107551
0 2.92 0.000110097
0 2.96 0.000111
0 3 0.000110281
0 3.04 0.000101957
0 3.08 9.86951e-05
0 3.12 9.52871e-05
0 3.16 8.9377e-05
0 3.2 9.16954e-05
0 3.24 9.81503e-05
0 3.28 9.593e-05
0 3.32 8.79485e-05
0 3.36 8.39673e-05
0 3.4 8.25325e-05
0 3.44 8.65359e-05
0 3.48 8.99344e-05
0 3.52 8.90856e-05
0 3.56 8.90856e-05
0 3.6 8.75083e-05
0 3.64 7.62613e-05
0 3.68 7.62613e-05
0 3.72 7.92259e-05
0 3.76 7.92259e-05
0 3.8 8.44899e-05
0 3.84 8.80847e-05
0 3.88 9.43147e-05
0 3.92 8.26465e-05
0 3.96 8.26465e-05
0 4 8.26465e-05
0.005 -5 6.22655e-05
0.005 -4.96 5.44731e-05
0.005 -4.92 2.24636e-05
0.005 -4.88 7.19723e-05
0.005 -4.84 8.37752e-05
0.005 -4.8 0.000122442
0.005 -4.76 0.000124406
0.005 -4.72 0.000101912
0.005 -4.68 3.39768e-05
0.005 -4.64 9.11771e-05
0.005 -4.6 0.00013723
0.005 -4.56 0.000166937
0.005 -4.52 0.00019722
0.005 -4.48 0.000187656
0.005 -4.44 0.00021429
0.005 -4.4 9.75872e-05
0.005 -4.36 0.000133726
0.005 -4.32 6.72497e-05
0.005 -4.28 0.000195851
0.005 -4.24 0.000153838
0.005 -4.2 0.000203274
0.005 -4.16 0.00012503
0.005 -4.12 1.06339e-05
0.005 -4.08 0.000239702
0.005 -4.04 0.000257869
0.005 -4 0.00022198
0.005 -3.96 0.000232379
0.005 -3.92 0.000248788
0.005 -3.88 0.000332576
0.005 -3.84 0.000378407
0.005 -3.8 0.000353758
0.005 -3.76 0.00040792
0.005 -3.72 0.000801677
0.005 -3.68 0.000873441
0.005 -3.64 0.00166306
0.005 -3.6 0.00168512
0.005 -3.56 0.00214758
0.005 -3.52 0.00187127
0.005 -3.48 0.00176243
0.005 -3.44 0.00178147
0.005 -3.4 0.00196168
