# effective spin exchange 
# r, n=1.25, 1.33, 1.40, 1.50, 1.60, 1.66, 1.75, 1.80

1   -0.110156   -0.188479   -0.262415   -0.284231   -0.242143   -0.186305   -0.114941   -0.0771052
2   0.0377768   0.0518184   0.0565888   0.0246568   0.00132047  -0.0221607  -0.0382584  -0.0313993
3   -0.0112874  -0.00947941 -0.0035643  0.00914081  0.00703794  0.00442167  -0.00297709 -0.00545697
4   0.00609858  0.00513572  0.00323006  0.00136675  0.00242947  0.00286706  0.00415755  0.00280035
5   -0.0038862  -0.00357127 -0.00309628 -0.00266488 -0.00267184 -0.00218829 -0.000439651    0.000250991
6   0.00312042  0.00342482  0.00370677  0.00344141  0.00283727  0.00185596  0.00102865  0.000871061
7   -0.0025753  -0.00301532 -0.00337446 -0.00294622 -0.0024784  -0.00185517 -0.0012307  -0.00088871
8   0.00229334  0.00286369  0.00334339  0.00306043  0.00257078  0.00185262  0.00114664  0.00076966
9   -0.00206204 -0.00265655 -0.00314291 -0.00287602 -0.00243819 -0.00184093 -0.00114495 -0.000799103
10  0.00192134  0.00256096  0.00309856  0.00292811  0.00247836  0.00183194  0.00115195  0.0008034
