# dynamical spin structure factor of two-orbital Hubbard-Kanamori model
# t00=0.5 t11/t00=1.0 U=16 Jh=U/4 L=60 n=2.50
# k, omega, S(k,omega)

0 0 0.00321592
0 0.004 0.00185869
0 0.008 -9.80676e-06
0 0.012 -0.00136374
0 0.016 -0.00125918
0 0.02 -0.00159034
0 0.024 -0.00338319
0 0.028 -0.00527731
0 0.032 -0.00585324
0 0.036 -0.00543781
0 0.04 -0.00761466
0 0.044 -0.0156602
0 0.048 -0.0224827
0 0.052 -0.0256611
0 0.056 -0.0197025
0 0.06 -0.00800876
0 0.064 0.00829441
0 0.068 0.0156458
0 0.072 0.024245
0 0.076 0.0275931
0 0.08 0.0479163
0 0.084 0.0464807
0 0.088 0.0270785
0 0.092 0.0408396
0 0.096 0.0246529
0 0.1 0.00641953
0 0.104 -0.0145855
0 0.108 -0.0343406
0 0.112 -0.02588
0 0.116 -0.016403
0 0.12 -0.0111607
0 0.124 0.00505734
0 0.128 0.014899
0 0.132 -0.000440423
0 0.136 0.00354986
0 0.14 0.0222815
0 0.144 0.013969
0 0.148 0.0103189
0 0.152 0.0125055
0 0.156 0.0145534
0 0.16 0.011935
0 0.164 0.0109638
0 0.168 0.00842452
0 0.172 0.00384898
0 0.176 0.00778416
0 0.18 -0.00179612
0 0.184 0.00116065
0 0.188 -0.0154703
0 0.192 -0.0118729
0 0.196 -0.0112312
0 0.2 -0.0371412
0 0.204 -0.0121732
0 0.208 -0.0150442
0 0.212 -0.000822562
0 0.216 -0.00636343
0 0.22 0.0123534
0 0.224 0.0117555
0 0.228 0.0139286
0 0.232 0.0112335
0 0.236 0.00916151
0 0.24 0.00843931
0 0.244 0.007834
0 0.248 0.0108671
0 0.252 -0.00238332
0 0.256 0.00688766
0 0.26 -0.00545757
0 0.264 -0.00976837
0 0.268 -0.0085996
0 0.272 -0.0113711
0 0.276 -0.0336111
0 0.28 -0.0369996
0 0.284 -0.0318656
0 0.288 -0.00998692
0 0.292 -0.00190972
0 0.296 -0.0162269
0 0.3 -0.0113794
0 0.304 -0.00418679
0 0.308 -0.00611865
0 0.312 -0.00924133
0 0.316 0.00239651
0 0.32 0.000915877
0 0.324 0.00769884
0 0.328 0.0116435
0 0.332 -0.0167974
0 0.336 0.00536096
0 0.34 0.013509
0 0.344 0.0177414
0 0.348 0.0147245
0 0.352 0.0138357
0 0.356 0.00626089
0 0.36 -0.0114416
0 0.364 0.00883883
0 0.368 -0.00361186
0 0.372 -0.0281673
0 0.376 -0.0203871
0 0.38 -0.000568143
0 0.384 0.0220023
0 0.388 0.0363445
0 0.392 -4.66459e-05
0 0.396 0.0128714
0 0.4 0.0320602
0 0.404 0.0212596
0 0.408 0.00554815
0 0.412 0.00257127
0 0.416 0.0238454
0 0.42 -0.00136233
0 0.424 0.00730121
0 0.428 0.0152949
0 0.432 0.00465654
0 0.436 -0.0243283
0 0.44 -0.0139934
0 0.444 0.0126324
0 0.448 -0.0240568
0 0.452 -0.0066252
0 0.456 0.0178691
0 0.46 -0.00580525
0 0.464 -0.0200185
0 0.468 -0.00503298
0 0.472 -0.0173179
0 0.476 -0.0190962
0 0.48 0.00110014
0 0.484 0.00291998
0 0.488 0.007101
0 0.492 -0.00441965
0 0.496 0.00248533
0 0.5 -0.0026631
0 0.504 0.0206416
0 0.508 -0.00743427
0 0.512 -0.0115921
0 0.516 0.0087416
0 0.52 -0.0157592
0 0.524 -0.0275096
0 0.528 -0.0168946
0 0.532 -0.0105304
0 0.536 -0.0145357
0 0.54 -0.00406352
0 0.544 0.00153287
0 0.548 0.00272072
0 0.552 0.0219506
0 0.556 -0.00109796
0 0.56 -0.0161234
0 0.564 -0.0173276
0 0.568 -0.0189915
0 0.572 -0.0228051
0 0.576 0.000810228
0 0.58 0.00356574
0 0.584 0.0158682
0 0.588 0.000940382
0 0.592 -0.000854185
0 0.596 0.0133329
0 0.6 0.0139988
0 0.604 0.0172049
0 0.608 -0.0383664
0 0.612 0.00919691
0 0.616 0.0185487
0 0.62 0.00287143
0 0.624 -0.0079786
0 0.628 -0.00956113
0 0.632 -0.0151928
0 0.636 -0.0203432
0 0.64 -0.00530293
0 0.644 -0.0132662
0 0.648 -0.000258824
0 0.652 -0.0224943
0 0.656 -0.0104418
0 0.66 -0.0100283
0 0.664 0.00482745
0 0.668 -0.00196277
0 0.672 -0.0079492
0 0.676 0.00215688
0 0.68 -0.00868037
0 0.684 -0.00231899
0 0.688 0.00710176
0 0.692 0.00380952
0 0.696 0.0109553
0 0.7 0.0117097
0 0.704 0.0263751
0 0.708 0.00680362
0 0.712 0.00109724
0 0.716 -0.00844921
0 0.72 0.0057626
0 0.724 0.00571697
0 0.728 -0.0023456
0 0.732 -0.011826
0 0.736 -0.0106581
0 0.74 0.00394846
0 0.744 0.000107921
0 0.748 0.00303395
0 0.752 0.00425741
0 0.756 -0.0158838
0 0.76 -0.00318024
0 0.764 -0.00288233
0 0.768 0.0110153
0 0.772 0.00368208
0 0.776 0.00269436
0 0.78 0.0178617
0 0.784 -0.0040849
0 0.788 0.00142859
0 0.792 -0.00377539
0 0.796 0.00879729
0 0.8 -0.00610725
0.0166667 0 0.0569285
0.0166667 0.004 0.0565559
0.0166667 0.008 0.0545036
0.0166667 0.012 0.0515873
0.0166667 0.016 0.0489221
0.0166667 0.02 0.0451155
0.0166667 0.024 0.0395352
0.0166667 0.028 0.0337505
0.0166667 0.032 0.0288403
0.0166667 0.036 0.0250193
0.0166667 0.04 0.0198347
0.0166667 0.044 0.0102912
0.0166667 0.048 0.00236338
0.0166667 0.052 -0.00218663
0.0166667 0.056 0.0010424
0.0166667 0.06 0.00932642
0.0166667 0.064 0.0204
0.0166667 0.068 0.024409
0.0166667 0.072 0.0283605
0.0166667 0.076 0.0277889
0.0166667 0.08 0.0436759
0.0166667 0.084 0.0414927
0.0166667 0.088 0.0279637
0.0166667 0.092 0.0387349
0.0166667 0.096 0.0273303
0.0166667 0.1 0.0137541
0.0166667 0.104 -0.00398948
0.0166667 0.108 -0.0228266
0.0166667 0.112 -0.0153939
0.0166667 0.116 -0.00571475
0.0166667 0.12 -0.00126412
0.0166667 0.124 0.0131149
0.0166667 0.128 0.0223644
0.0166667 0.132 0.0105686
0.0166667 0.136 0.00846305
0.0166667 0.14 0.0231933
0.0166667 0.144 0.0126203
0.0166667 0.148 0.00803832
0.0166667 0.152 0.0112618
0.0166667 0.156 0.0116497
0.0166667 0.16 0.0114945
0.0166667 0.164 0.0115559
0.0166667 0.168 0.0092329
0.0166667 0.172 0.00613492
0.0166667 0.176 0.00668867
0.0166667 0.18 -0.00206149
0.0166667 0.184 0.00321124
0.0166667 0.188 -0.00960582
0.0166667 0.192 -0.0065966
0.0166667 0.196 -0.00553049
