# dynamical spin structure factor of two-orbital Hubbard-Kanamori model
# t00=0.5 t11/t00=0.8 U=16 Jh=U/4 L=60 n=2.33
# k, omega, S(k,omega)

0 0 -0.00451257
0 0.004 -0.00921815
0 0.008 -0.0135059
0 0.012 -0.0172299
0 0.016 -0.0172299
0 0.02 -0.0070474
0 0.024 0.0024544
0 0.028 0.00423339
0 0.032 0.0286799
0 0.036 0.0368893
0 0.04 0.0540866
0 0.044 0.0569595
0 0.048 0.0593352
0 0.052 0.0570481
0 0.056 -0.00198502
0 0.06 0.0224466
0 0.064 0.0379237
0 0.068 0.0204563
0 0.072 -0.0102403
0 0.076 0.00182786
0 0.08 0.0145848
0 0.084 0.0178263
0 0.088 0.000140772
0 0.092 0.00866857
0 0.096 -0.0496733
0 0.1 0.00376206
0 0.104 -0.00136984
0 0.108 -0.0995834
0 0.112 -0.0147505
0 0.116 -0.0888648
0 0.12 0.00105238
0 0.124 0.028453
0 0.128 -0.100315
0 0.132 -0.136259
0 0.136 -0.0736634
0 0.14 -0.0507167
0 0.144 -0.112263
0 0.148 0.0145568
0 0.152 -0.135988
0 0.156 -0.0777439
0 0.16 0.00814854
0 0.164 -0.102769
0 0.168 -0.0971356
0 0.172 -0.0242154
0 0.176 -0.017958
0 0.18 0.000823397
0 0.184 -0.0388619
0 0.188 0.11689
0 0.192 0.0797189
0 0.196 0.0598686
0 0.2 0.0805748
0 0.204 0.101728
0 0.208 0.128906
0 0.212 0.0308303
0 0.216 0.12474
0 0.22 0.119739
0 0.224 0.0779185
0 0.228 0.126395
0 0.232 0.0850542
0 0.236 0.0385264
0 0.24 -0.0240685
0 0.244 0.0873686
0 0.248 0.0808294
0 0.252 0.028699
0 0.256 0.0736686
0 0.26 -0.0491003
0 0.264 -0.0436289
0 0.268 0.00812315
0 0.272 0.0225353
0 0.276 0.0127391
0 0.28 0.0358161
0 0.284 -0.00564635
0 0.288 -0.0661562
0 0.292 0.0462572
0 0.296 0.011783
0 0.3 -0.0453409
0 0.304 -0.0870348
0 0.308 -0.106312
0 0.312 -0.0502873
0 0.316 -0.0848985
0 0.32 -0.0488654
0 0.324 -0.00224072
0 0.328 -0.033696
0 0.332 -0.0362116
0 0.336 -0.0723931
0 0.34 -0.0187314
0 0.344 0.00400721
0 0.348 -0.020589
0 0.352 -0.0740495
0 0.356 0.0294514
0 0.36 -0.06212
0 0.364 0.00943765
0 0.368 0.0830582
0 0.372 -0.00768697
0 0.376 0.0133638
0 0.38 -0.00533956
0 0.384 -0.0650667
0 0.388 -0.0265064
0 0.392 0.0187672
0 0.396 0.0348458
0 0.4 0.0126535
0 0.404 0.00138521
0 0.408 0.0186285
0 0.412 0.0016869
0 0.416 -0.0119406
0 0.42 -0.00955454
0 0.424 -0.0238921
0 0.428 0.0197627
0 0.432 -0.00296301
0 0.436 -0.0181949
0 0.44 0.0164518
0 0.444 -0.0028562
0 0.448 -0.023661
0 0.452 -0.0120773
0 0.456 0.0217863
0 0.46 0.0234765
0 0.464 -0.0139001
0 0.468 -0.0326885
0 0.472 0.0206023
0 0.476 -0.0425638
0 0.48 0.00343976
0 0.484 -0.0441234
0 0.488 0.00813572
0 0.492 -0.0461188
0 0.496 -0.0468312
0 0.5 -0.033529
0 0.504 -0.00222706
0 0.508 -0.0157759
0 0.512 -0.0305726
0 0.516 -0.0131398
0 0.52 -0.0338365
0 0.524 -0.0132608
0 0.528 0.00159233
0 0.532 -0.00883098
0 0.536 0.018145
0 0.54 0.00192382
0 0.544 -0.0177694
0 0.548 -0.0329731
0 0.552 -0.0455823
0 0.556 4.755e-05
0 0.56 -0.0226406
0 0.564 -0.00501411
0 0.568 -0.00629357
0 0.572 -0.0213749
0 0.576 0.000250455
0 0.58 0.0127231
0 0.584 -0.00119974
0 0.588 -0.00876323
0 0.592 0.00304132
0 0.596 -0.00349482
0 0.6 0.0181866
0 0.604 0.024876
0 0.608 0.0183766
0 0.612 0.0251747
0 0.616 0.00232086
0 0.62 0.0195025
0 0.624 0.000376784
0 0.628 0.0227024
0 0.632 -0.00749262
0 0.636 0.0127269
0 0.64 -0.00860593
0 0.644 0.0310407
0 0.648 0.0051176
0 0.652 0.0104985
0 0.656 0.00666199
0 0.66 0.00535266
0 0.664 0.0145863
0 0.668 0.0216569
0 0.672 -0.00451885
0 0.676 -0.00695132
0 0.68 0.00941217
0 0.684 0.00556011
0 0.688 0.00916505
0 0.692 0.0112888
0 0.696 -0.000472626
0 0.7 -0.0015737
0 0.704 0.0121872
0 0.708 0.00802993
0 0.712 -0.0045247
0 0.716 0.00840901
0 0.72 0.0145737
0 0.724 0.0110375
0 0.728 0.00358042
0 0.732 0.00924295
0 0.736 0.0120763
0 0.74 -0.00450434
0 0.744 -0.000251127
0 0.748 -0.0118145
0 0.752 -0.0083095
0 0.756 0.000537332
0 0.76 -0.00707158
0 0.764 -0.0102837
0 0.768 -0.00812229
0 0.772 -0.00652421
0 0.776 0.000201838
0 0.78 -0.00535864
0 0.784 -0.00310914
0 0.788 -0.00829077
0 0.792 -0.0123429
0 0.796 -0.00769571
0 0.8 -0.0028412
0.0166667 0 0.0774293
0.0166667 0.004 0.0716892
0.0166667 0.008 0.0625961
0.0166667 0.012 0.052572
0.0166667 0.016 0.052572
0.0166667 0.02 0.0467482
0.0166667 0.024 0.0470972
0.0166667 0.028 0.0420576
0.0166667 0.032 0.059576
0.0166667 0.036 0.0627547
0.0166667 0.04 0.0735578
0.0166667 0.044 0.0684631
0.0166667 0.048 0.0714338
0.0166667 0.052 0.0670796
0.0166667 0.056 0.0114778
0.0166667 0.06 0.0354948
0.0166667 0.064 0.0486597
0.0166667 0.068 0.0219934
0.0166667 0.072 -0.002197
0.0166667 0.076 0.0199237
0.0166667 0.08 0.014925
0.0166667 0.084 0.0198518
0.0166667 0.088 0.00993106
0.0166667 0.092 0.0230241
0.0166667 0.096 -0.024123
0.0166667 0.1 0.0129972
0.0166667 0.104 0.00995745
0.0166667 0.108 -0.0534169
0.0166667 0.112 0.017215
0.0166667 0.116 -0.05255
0.0166667 0.12 0.0166655
0.0166667 0.124 0.0225573
0.0166667 0.128 -0.0454328
0.0166667 0.132 -0.0887511
0.0166667 0.136 -0.043943
0.0166667 0.14 -0.0301348
0.0166667 0.144 -0.0617197
0.0166667 0.148 0.0195449
0.0166667 0.152 -0.0787343
0.0166667 0.156 -0.0480991
0.0166667 0.16 0.0104865
0.0166667 0.164 -0.0566808
0.0166667 0.168 -0.0571228
0.0166667 0.172 -0.0133234
0.0166667 0.176 0.00150529
0.0166667 0.18 0.0127701
0.0166667 0.184 -0.0217358
0.0166667 0.188 0.0697994
0.0166667 0.192 0.0350324
0.0166667 0.196 0.0582371
0.0166667 0.2 0.0625511
0.0166667 0.204 0.0759905
0.0166667 0.208 0.0645677
0.0166667 0.212 0.0093404
0.0166667 0.216 0.0555518
0.0166667 0.22 0.0830161
0.0166667 0.224 0.0507655
0.0166667 0.228 0.0770797
0.0166667 0.232 0.0536098
0.0166667 0.236 0.0299763
0.0166667 0.24 -0.0290936
0.0166667 0.244 0.0630652
0.0166667 0.248 0.0331024
0.0166667 0.252 -0.00661895
0.0166667 0.256 0.0572178
0.0166667 0.26 -0.021009
0.0166667 0.264 -0.0408104
0.0166667 0.268 -0.0133325
0.0166667 0.272 0.014273
0.0166667 0.276 -1.80896e-05
0.0166667 0.28 0.0178936
0.0166667 0.284 -0.0138757
0.0166667 0.288 -0.0575833
0.0166667 0.292 0.0154702
0.0166667 0.296 -0.0122981
0.0166667 0.3 -0.0299855
0.0166667 0.304 -0.0799911
0.0166667 0.308 -0.0855783
0.0166667 0.312 -0.0480785
0.0166667 0.316 -0.058005
0.0166667 0.32 -0.0303546
0.0166667 0.324 -0.012493
0.0166667 0.328 -0.0215167
0.0166667 0.332 -0.0309144
0.0166667 0.336 -0.0616899
0.0166667 0.34 -0.00373833
0.0166667 0.344 -0.0171835
0.0166667 0.348 -0.0133663
0.0166667 0.352 -0.0399853
0.0166667 0.356 0.0206957
0.0166667 0.36 -0.0148241
0.0166667 0.364 0.00483088
0.0166667 0.368 0.0484376
0.0166667 0.372 0.00597402
0.0166667 0.376 0.0142433
0.0166667 0.38 0.0195422
0.0166667 0.384 -0.0126573
0.0166667 0.388 -0.00392493
0.0166667 0.392 0.0328307
0.0166667 0.396 0.0402547
0.0166667 0.4 0.0214677
0.0166667 0.404 0.0285901
0.0166667 0.408 0.0210904
0.0166667 0.412 0.015318
0.0166667 0.416 0.0140127
0.0166667 0.42 0.0186827
0.0166667 0.424 0.0122846
0.0166667 0.428 0.0265218
0.0166667 0.432 0.00715954
0.0166667 0.436 0.00425996
0.0166667 0.44 0.0221631
0.0166667 0.444 0.00605355
0.0166667 0.448 0.00637468
0.0166667 0.452 0.00618078
0.0166667 0.456 0.0230414
0.0166667 0.46 0.0260152
0.0166667 0.464 -0.00799988
0.0166667 0.468 -0.00911533
0.0166667 0.472 0.0053995
0.0166667 0.476 -0.011361
0.0166667 0.48 -0.00609685
0.0166667 0.484 -0.0130508
0.0166667 0.488 0.00936477
0.0166667 0.492 -0.0131397
0.0166667 0.496 -0.0249855
0.0166667 0.5 -0.0154104
0.0166667 0.504 0.00355195
0.0166667 0.508 -0.00828919
0.0166667 0.512 -0.0171805
0.0166667 0.516 -0.00876155
0.0166667 0.52 -0.0180546
0.0166667 0.524 -0.00310253
0.0166667 0.528 -0.000454304
0.0166667 0.532 -0.0100143
0.0166667 0.536 0.0049578
0.0166667 0.54 -0.00638485
0.0166667 0.544 -0.0175403
0.0166667 0.548 -0.0180171
0.0166667 0.552 -0.0250424
0.0166667 0.556 -0.0111289
0.0166667 0.56 -0.0223871
0.0166667 0.564 -0.00696565
0.0166667 0.568 -0.0084024
0.0166667 0.572 -0.0161511
0.0166667 0.576 -0.00496173
0.0166667 0.58 0.00560053
0.0166667 0.584 -0.00384228
0.0166667 0.588 -0.00378403
0.0166667 0.592 0.00856714
0.0166667 0.596 -0.00492787
0.0166667 0.6 0.00776182
0.0166667 0.604 0.018613
0.0166667 0.608 0.0125571
0.0166667 0.612 0.0168531
0.0166667 0.616 0.0062641
0.0166667 0.62 0.0092419
0.0166667 0.624 -0.00111043
0.0166667 0.628 0.0135913
0.0166667 0.632 -0.00715487
0.0166667 0.636 0.00660724
0.0166667 0.64 -0.00475345
0.0166667 0.644 0.0150329
0.0166667 0.648 0.00198913
0.0166667 0.652 0.0054158
0.0166667 0.656 0.00403369
0.0166667 0.66 0.00092992
0.0166667 0.664 0.00796294
0.0166667 0.668 0.0138654
0.0166667 0.672 -0.00174516
0.0166667 0.676 -0.00418889
0.0166667 0.68 0.00494947
0.0166667 0.684 0.00345952
0.0166667 0.688 0.00620051
0.0166667 0.692 0.0098657
0.0166667 0.696 -0.00317703
0.0166667 0.7 0.00215171
0.0166667 0.704 0.0107604
0.0166667 0.708 0.00342529
0.0166667 0.712 -0.000466148
0.0166667 0.716 0.00426898
0.0166667 0.72 0.00927282
0.0166667 0.724 0.00768356
0.0166667 0.728 0.00385065
0.0166667 0.732 0.00752398
0.0166667 0.736 0.0104279
0.0166667 0.74 0.00115839
0.0166667 0.744 0.00153111
0.0166667 0.748 -0.00967527
0.0166667 0.752 -0.00885855
0.0166667 0.756 0.00107139
0.0166667 0.76 -0.0102561
0.0166667 0.764 -0.00943955
0.0166667 0.768 -0.00745101
0.0166667 0.772 -0.00537478
0.0166667 0.776 -9.67484e-05
0.0166667 0.78 -0.00242356
0.0166667 0.784 -0.000934114
0.0166667 0.788 -0.00270689
0.0166667 0.792 -0.00980294
0.0166667 0.796 -0.0043078
0.0166667 0.8 -0.00516799
0.0333333 0 0.255288
0.0333333 0.004 0.248192
0.0333333 0.008 0.229868
0.0333333 0.012 0.207051
0.0333333 0.016 0.207051
0.0333333 0.02 0.167781
0.0333333 0.024 0.148205
