# dynamical spin structure factor of two-orbital Hubbard-Kanamori model
# t00=0.5 t11/t00=0.5 U=16 Jh=U/4 L=60 n=2.80
# k, omega, S(k,omega)

0 0 0.00180581
0 0.004 0.00085808
0 0.008 -0.000380539
0 0.012 -0.00153329
0 0.016 -0.00255465
0 0.02 -0.00285152
0 0.024 -0.00227375
0 0.028 -0.00201115
0 0.032 -0.00299004
0 0.036 -0.00777885
0 0.04 -0.0180667
0 0.044 -0.0241703
0 0.048 -0.0246302
0 0.052 -0.0207219
0 0.056 -0.015086
0 0.06 -0.00591605
0 0.064 0.00701969
0 0.068 0.0222861
0 0.072 0.0400768
0 0.076 0.0476616
0 0.08 0.0307155
0 0.084 0.00765683
0 0.088 -0.0106778
0 0.092 -0.0137892
0 0.096 -0.0165919
0 0.1 -0.0152185
0 0.104 -0.0163676
0 0.108 -0.0181908
0 0.112 -0.0194167
0 0.116 -0.0265021
0 0.12 -0.0367836
0 0.124 -0.0297808
0 0.128 -0.0332439
0 0.132 -0.0306572
0 0.136 0.00992391
0 0.14 0.0453312
0 0.144 0.0580896
0 0.148 0.0635454
0 0.152 0.0584212
0 0.156 0.0610877
0 0.16 0.0338394
0 0.164 0.0328582
0 0.168 0.0182471
0 0.172 -0.0282685
0 0.176 -0.0344248
0 0.18 -0.0436171
0 0.184 -0.0494639
0 0.188 -0.0578892
0 0.192 -0.0262867
0 0.196 -0.0661269
0 0.2 -0.034507
0 0.204 -0.0649729
0 0.208 -0.0104409
0 0.212 -0.00493748
0 0.216 -0.0105764
0 0.22 0.0112628
0 0.224 0.00248178
0 0.228 0.0113594
0 0.232 0.0131504
0 0.236 0.0211021
0 0.24 0.0281495
0 0.244 0.0243995
0 0.248 0.017413
0 0.252 0.0115065
0 0.256 0.0236952
0 0.26 0.00858205
0 0.264 0.0147323
0 0.268 -0.00522306
0 0.272 0.0296316
0 0.276 0.0262973
0 0.28 0.0214708
0 0.284 -0.00261261
0 0.288 -0.00903138
0 0.292 -0.0313073
0 0.296 -0.0295526
0 0.3 -0.00222096
0 0.304 -0.0139832
0 0.308 -0.0220113
0 0.312 -0.0200275
0 0.316 -0.017077
0 0.32 -0.0177391
0 0.324 -0.00636387
0 0.328 -0.0235369
0 0.332 -0.00496537
0 0.336 -0.00277972
0 0.34 0.00573529
0 0.344 0.00889116
0 0.348 0.00321147
0 0.352 0.00588837
0 0.356 0.00158091
0 0.36 -0.00614777
0 0.364 -0.0116672
0 0.368 -0.00693899
0 0.372 -0.00813752
0 0.376 -0.0134619
0 0.38 -0.00726702
0 0.384 -0.0161779
0 0.388 0.00475637
0 0.392 0.0200776
0 0.396 -0.00479947
0 0.4 -0.00141853
0 0.404 -0.0252477
0 0.408 0.00327033
0 0.412 0.000514426
0 0.416 0.00684843
0 0.42 0.0130028
0 0.424 0.000456837
0 0.428 0.00424869
0 0.432 0.0129551
0 0.436 0.0237481
0 0.44 0.00653397
0 0.444 0.010845
