# dynamical spin structure factor of two-orbital Hubbard-Kanamori model
# t00=0.5 t11/t00=0.2 U=16 Jh=U/4 L=60 n=2.50
# k, omega, S(k,omega)

0 0 -0.00416815
0 0.004 -0.000776658
0 0.008 0.00222428
0 0.012 0.00581277
0 0.016 0.00946999
0 0.02 0.00864342
0 0.024 0.00918182
0 0.028 0.00377558
0 0.032 -0.00473717
0 0.036 -0.00866417
0 0.04 -0.0144109
0 0.044 -0.0263088
0 0.048 -0.0185423
0 0.052 -0.00337761
0 0.056 0.00704897
0 0.06 0.0207087
0 0.064 0.0241659
0 0.068 0.0273304
0 0.072 0.0332923
0 0.076 -0.00494064
0 0.08 0.0723816
0 0.084 0.0570411
0 0.088 0.0241001
0 0.092 0.0606053
0 0.096 0.048276
0 0.1 0.0144463
0 0.104 0.00324917
0 0.108 -0.0171581
0 0.112 -0.0191929
0 0.116 -0.0418168
0 0.12 -0.0451392
0 0.124 -0.0553969
0 0.128 -0.0869645
0 0.132 -0.0968363
0 0.136 -0.0917793
0 0.14 -0.0586122
0 0.144 -0.151821
0 0.148 -0.107705
0 0.152 -0.0427365
0 0.156 -0.0764262
0 0.16 -0.0881461
0 0.164 -0.0832676
0 0.168 -0.125325
0 0.172 -0.116618
0 0.176 -0.0815609
0 0.18 -0.10569
0 0.184 -0.187601
0 0.188 -0.0727277
0 0.192 -0.111
0 0.196 -0.0852122
0 0.2 -0.0329991
0 0.204 -0.000798799
0 0.208 -0.0112274
0 0.212 -0.0221786
0 0.216 0.044909
0 0.22 0.0359239
0 0.224 -0.0413515
0 0.228 0.00266818
0 0.232 0.0350823
0 0.236 0.00988607
0 0.24 0.000246583
0 0.244 -0.00639793
0 0.248 -0.0319676
0 0.252 0.0534468
0 0.256 0.0124362
0 0.26 0.0583311
0 0.264 0.0497914
0 0.268 0.0395063
0 0.272 0.0602611
0 0.276 0.0614202
0 0.28 0.0302937
0 0.284 0.0411878
0 0.288 0.0379658
0 0.292 0.0214842
0 0.296 0.0320261
0 0.3 0.0110164
0 0.304 0.0216091
0 0.308 0.014356
0 0.312 -0.00636621
0 0.316 0.0533408
0 0.32 -0.00442918
0 0.324 -0.0246599
0 0.328 -0.00885657
0 0.332 0.0363466
