# linewidth of dynamical spin structure factor of Hubbard-Kanamori model
# t00=0.5 U=16 Jh=U/4 L=60 n=2.50
# k, t11/t00=1.0, 0.9, 0.8, 0.6, 0.5, 0.4, 0.2

0.0166667 0.0454834 0.040997 0.0408242 0.0236812 0.0259134 0.0317482 0.024758
0.0333333 0.0355476 0.035079 0.0381162 0.0347842 0.0359044 0.0347902 0.0384342
0.05 0.0329988 0.032734 0.036397 0.0365866 0.0351316 0.0271842 0.0369656
0.0666667 0.0318958 0.0316172 0.033374 0.0343476 0.0325996 0.030091 0.0322258
0.0833333 0.0312224 0.0315902 0.0309168 0.0322028 0.0318918 0.031272 0.0307358
0.1 0.0308764 0.0320258 0.0305132 0.0312728 0.032317 0.0310172 0.0312416
0.116667 0.0307582 0.0319054 0.0315976 0.0311846 0.032156 0.0307726 0.0316368
0.133333 0.0307662 0.0313636 0.032862 0.0406788 0.0312994 0.0301506 0.0309848
0.15 0.0308538 0.0313232 0.032521 0.0320796 0.0309078 0.0296596 0.0304122
0.166667 0.0309862 0.0318338 0.0314136 0.0320138 0.0312898 0.030038 0.0307066
0.183333 0.0311658 0.0320142 0.0314066 0.03182 0.031696 0.0310718 0.0314958
0.2 0.0314636 0.0316408 0.0323362 0.0318844 0.0315936 0.0320434 0.032131
0.216667 0.0319144 0.0314886 0.0326356 0.0322868 0.0316872 0.0329484 0.0328278
0.233333 0.0324314 0.0319068 0.031777 0.0332142 0.0332238 0.034451 0.0344628
0.25 0.0329004 0.0323572 0.0316648 0.0348156 0.0357248 0.0363746 0.0362148
0.266667 0.0333644 0.0326394 0.0335186 0.0360536 0.0361176 0.0370456 0.0350954
0.283333 0.0340728 0.033534 0.0362758 0.0360576 0.0347068 0.0359288 0.0324232
0.3 0.0352572 0.0354126 0.0382938 0.0358276 0.0346712 0.0348878 0.0323518
0.316667 0.0367896 0.0370124 0.0390294 0.0354066 0.0351378 0.0346508 0.0346386
0.333333 0.0379516 0.0373074 0.0379472 0.033873 0.0341264 0.034883 0.036533
0.35 0.0380914 0.037429 0.0357932 0.0336088 0.034965 0.036944 0.0387772
0.366667 0.038034 0.0386102 0.0350548 0.0375148 0.040452 0.0413744 0.0418732
0.383333 0.0395122 0.0406924 0.0368644 0.0429098 0.044941 0.0444374 0.0419458
0.4 0.0425868 0.043394 0.040352 0.0455384 0.044735 0.0455782 0.0402
0.416667 0.0454948 0.0471526 0.0450276 0.0476206 0.0445404 0.0461468 0.0412326
0.433333 0.0487506 0.0516844 0.0500052 0.0502072 0.0467388 0.0464368 0.0482246
0.45 0.0542212 0.0561846 0.054256 0.0504156 0.0516284 0.0503294 0.055259
0.466667 0.0608928 0.0620658 0.0595894 0.0535264 0.0615552 0.0612504 0.0615222
0.483333 0.0656056 0.0681622 0.066028 0.0631014 0.068925 0.069661 0.0697976
0.5 0.0671868 0.0709604 0.0689448 0.0681074 0.0671756 0.0715034 0.0727748
0.516667 0.0693594 0.0729296 0.069408 0.0693864 0.0649728 0.0716376 0.0733078
0.533333 0.0751744 0.0774862 0.0713738 0.0727272 0.067645 0.0751482 0.0783144
0.55 0.0792896 0.0825948 0.0714008 0.0751268 0.072415 0.081033 0.0809296
0.566667 0.0800458 0.085439 0.068515 0.0763018 0.0767868 0.083244 0.082083
0.583333 0.0819228 0.0887978 0.068042 0.0771902 0.079629 0.081414 0.0872644
0.6 0.0863634 0.0939034 0.0674632 0.0757206 0.0747824 0.077933 0.0883996
0.616667 0.0929902 0.0950704 0.0639918 0.0757704 0.0691408 0.0789706 0.0881668
0.633333 0.0986092 0.0939102 0.0645156 0.0794722 0.074698 0.08347 0.0888064
0.65 0.098981 0.0959818 0.0688948 0.0816132 0.0823438 0.081723 0.0828404
0.666667 0.0982382 0.096139 0.0692124 0.0803806 0.0811186 0.0749794 0.082814
0.683333 0.0999642 0.0902816 0.0665674 0.0770554 0.0728918 0.0695328 0.081484
0.7 0.101908 0.0823914 0.063201 0.0715348 0.0621374 0.0713606 0.0781832
0.716667 0.103817 0.0854354 0.0604818 0.0643628 0.0578938 0.069172 0.0729402
0.733333 0.104435 0.0875288 0.058737 0.067605 0.05987 0.0680792 0.0703878
0.75 0.107117 0.088869 0.0546782 0.05986 0.0617664 0.068464 0.0671424
0.766667 0.109125 0.087483 0.0488454 0.051552 0.0628798 0.067612 0.065576
0.783333 0.110862 0.0917392 0.0452952 0.056567 0.066872 0.064871 0.0636156
0.8 0.118833 0.0873168 0.044597 0.0573124 0.065802 0.0583604 0.0636794
0.816667 0.124455 0.084249 0.0462288 0.054436 0.0634262 0.0505412 0.0627984
0.833333 0.126213 0.0886976 0.0516122 0.04701 0.0499646 0.047178 0.0594608
0.85 0.125737 0.0921864 0.0561822 0.0408564 0.0449112 0.0483486 0.0552922
0.866667 0.124897 0.0960506 0.05613 0.0448488 0.0440406 0.048551 0.0507786
0.883333 0.12455 0.101086 0.059154 0.0420148 0.045828 0.0461242 0.046289
0.9 0.122958 0.103692 0.0605718 0.0413114 0.0463042 0.0446406 0.0432466
0.916667 0.121671 0.101114 0.06578 0.0410392 0.0455756 0.044471 0.0419196
0.933333 0.121468 0.0968186 0.062846 0.04 0.0457956 0.0441536 0.0414732
0.95 0.120031 0.0958196 0.0645034 0.0389034 0.0477746 0.0431688 0.0406612
0.966667 0.120921 0.0974726 0.0665802 0.0387926 0.0492878 0.042229 0.0392592
