# linewidth of dynamical spin structure factor of Hubbard-Kanamori model
# t00=0.5 U=16 Jh=U/4 L=60 n=2.80
# k, t11/t00=1.0, 0.9, 0.8, 0.6, 0.5, 0.4, 0.2

0.0166667 0.0326246 0.0397756 0.0343558 0.0263806 0.0282458 0.030198 0.0286168
0.0333333 0.0341212 0.0341142 0.0328046 0.0319886 0.0332586 0.0355446 0.0327962
0.05 0.032396 0.033103 0.0325372 0.0326028 0.0340612 0.0342116 0.0312936
0.0666667 0.0316308 0.0320722 0.0319088 0.0324142 0.0340102 0.0326522 0.0299672
0.0833333 0.030894 0.03105 0.0308922 0.0318084 0.0332874 0.032335 0.0306598
0.1 0.0305454 0.030556 0.0302132 0.031297 0.0323702 0.0327492 0.0329092
0.116667 0.0309552 0.030849 0.030503 0.0313 0.0320232 0.0328002 0.0351622
0.133333 0.0318872 0.0315846 0.0315264 0.0317042 0.0324322 0.0327466 0.0352634
0.15 0.0327026 0.0321898 0.0324316 0.0320784 0.0330274 0.0333836 0.0332934
0.166667 0.0330588 0.0324858 0.0327124 0.0322802 0.0332488 0.0341942 0.0317028
0.183333 0.0330838 0.0326378 0.0326398 0.032442 0.033172 0.0342764 0.0319878
0.2 0.032842 0.0326478 0.0325328 0.0324996 0.033114 0.0341138 0.0332378
0.216667 0.0324298 0.0324784 0.0324794 0.032524 0.033338 0.0345546 0.0336404
0.233333 0.0322178 0.032375 0.0327146 0.0329144 0.034219 0.0351954 0.0335666
0.25 0.0322362 0.0325016 0.0332524 0.033521 0.0355138 0.0357646 0.0335204
0.266667 0.0321926 0.0327326 0.0334872 0.0336882 0.035845 0.036051 0.0323496
0.283333 0.0325214 0.0332056 0.033471 0.0337942 0.0348914 0.0352254 0.0305684
0.3 0.0342392 0.0345756 0.0344624 0.0352456 0.0350516 0.034366 0.030478
0.316667 0.0374102 0.0371658 0.0368404 0.0382648 0.0381154 0.0358182 0.031779
0.333333 0.0401108 0.039926 0.0391312 0.0406898 0.0409646 0.038305 0.0328102
0.35 0.0402512 0.0407046 0.040034 0.0409246 0.0410562 0.0388492 0.0345542
0.366667 0.0383816 0.0389864 0.0392186 0.0400382 0.0403922 0.0381314 0.0373464
0.383333 0.037111 0.0369828 0.0372168 0.039679 0.0399994 0.0371466 0.0382312
0.4 0.038418 0.0371566 0.0364518 0.0407824 0.0399852 0.036126 0.0376602
0.416667 0.0427506 0.0405512 0.0388518 0.0442168 0.0415984 0.0359458 0.0372234
0.433333 0.0483896 0.0459174 0.0436432 0.04936 0.0446658 0.0368324 0.0363504
0.45 0.0523312 0.0492858 0.0476902 0.0521704 0.046974 0.038692 0.0349906
0.466667 0.0535336 0.0486624 0.049057 0.0506802 0.047831 0.0420252 0.0349776
0.483333 0.053657 0.046613 0.0485012 0.0479736 0.0480444 0.0452338 0.0364998
0.5 0.0563374 0.0466778 0.0485384 0.0473204 0.047357 0.0454388 0.036841
0.516667 0.0654168 0.0503678 0.0515004 0.0493316 0.0458126 0.0445806 0.0360056
0.533333 0.081576 0.0576382 0.0574182 0.0537044 0.0454414 0.0448376 0.0364718
0.55 0.102774 0.0699354 0.0655332 0.0605368 0.047756 0.0446924 0.0379866
0.566667 0.125515 0.089202 0.0776318 0.0690176 0.0523942 0.0434994 0.0384872
0.583333 0.146736 0.113499 0.0969508 0.079693 0.057369 0.0436816 0.0383504
0.6 0.168178 0.146553 0.125945 0.0936732 0.0614356 0.0461224 0.0396628
0.616667 0.196236 0.184303 0.154209 0.104758 0.0656996 0.0485176 0.04142
0.633333 0.204326 0.210244 0.176526 0.108321 0.0709394 0.0492386 0.040957
0.65 0.224892 0.230548 0.204884 0.11253 0.0763406 0.0497962 0.0397932
0.666667 0.249402 0.25715 0.233484 0.124088 0.0811016 0.0522658 0.041156
0.683333 0.259594 0.275744 0.249462 0.136024 0.0850314 0.0555214 0.0442698
0.7 0.262418 0.282522 0.263808 0.140635 0.0883828 0.057632 0.0452926
0.716667 0.274914 0.28451 0.282042 0.14914 0.092504 0.0590506 0.0438196
0.733333 0.288818 0.288466 0.293014 0.16 0.0983254 0.0609278 0.0432854
0.75 0.289068 0.290804 0.2927 0.184992 0.104118 0.0627324 0.044087
0.766667 0.28111 0.285492 0.288004 0.198593 0.107272 0.0629378 0.0435914
0.783333 0.278772 0.275486 0.285494 0.205572 0.108859 0.0630286 0.0419736
0.8 0.27695 0.269116 0.28642 0.209618 0.112689 0.06522 0.0420572
0.816667 0.273168 0.268246 0.289224 0.21729 0.120013 0.0684022 0.043845
0.833333 0.27045 0.266998 0.291096 0.225644 0.128308 0.0694916 0.044853
0.85 0.262274 0.263922 0.289712 0.232618 0.133684 0.0675402 0.0437742
0.866667 0.245672 0.265254 0.287778 0.23742 0.136016 0.0659038 0.0426774
0.883333 0.255708 0.271262 0.288366 0.240156 0.138776 0.0668106 0.0428754
0.9 0.2454 0.271998 0.290206 0.242384 0.14398 0.0683498 0.043369
0.916667 0.256122 0.264242 0.290408 0.245114 0.150265 0.0679202 0.04347
0.933333 0.251438 0.257852 0.288952 0.246956 0.154725 0.0658996 0.0435982
0.95 0.237774 0.261108 0.287196 0.24629 0.156102 0.0648188 0.0440024
0.966667 0.232906 0.26984 0.28472 0.244688 0.155705 0.0655384 0.0441772
0.983333 0.23893 0.272518 0.280928 0.245162 0.15521 0.066733 0.0439844
1 0.24254 0.26754 0.277452 0.247934 0.154832 0.0672558 0.0438386
