# dynamical charge structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.66 S=1/2
# k, omega, N(k,omega)

0 0 1.82933e-07
0 0.05 6.3323e-07
0 0.1 1.71676e-06
0 0.15 1.81526e-06
0 0.2 2.00523e-06
0 0.25 2.28666e-06
0 0.3 8.58378e-07
0 0.35 2.05448e-06
0 0.4 1.04131e-06
0 0.45 5.48799e-07
0 0.5 4.99548e-07
0 0.55 5.90311e-06
0 0.6 7.29622e-06
0 0.65 4.71405e-06
0 0.7 4.55926e-06
0 0.75 1.08916e-05
0 0.8 7.02182e-06
0 0.85 4.40447e-06
0 0.9 3.46869e-06
0 0.95 6.02272e-06
0 1 4.36929e-06
0 1.05 2.23882e-05
0 1.1 1.44095e-05
0 1.15 1.70972e-06
0 1.2 5.61745e-05
0 1.25 3.51443e-05
0 1.3 3.58549e-05
0 1.35 6.57082e-05
0 1.4 2.44849e-06
0 1.45 2.52588e-06
0 1.5 0.00010696
0 1.55 9.01368e-05
0 1.6 2.32888e-05
0 1.65 1.89336e-05
0 1.7 0.000123677
0 1.75 1.24324e-05
0 1.8 4.95397e-05
0 1.85 9.90442e-05
0 1.9 0.000171085
0 1.95 0.000180414
0 2 1.53805e-05
0 2.05 6.30064e-05
0 2.1 1.11167e-06
0 2.15 0.000134681
0 2.2 0.000173892
0 2.25 2.52166e-05
0 2.3 0.000134463
0 2.35 0.000144672
0 2.4 0.000142294
0 2.45 1.49794e-05
0 2.5 0.000173414
0 2.55 2.41331e-05
0 2.6 0.00013117
0 2.65 6.12404e-05
0 2.7 0.000142723
0 2.75 0.000150477
0 2.8 0.000170458
0 2.85 3.33923e-05
0 2.9 0.000154515
0 2.95 4.21942e-05
0 3 0.000237947
0 3.05 0.000206039
0 3.1 0.000430294
0 3.15 0.000414231
0 3.2 4.60147e-06
0 3.25 0.000286614
0 3.3 0.000247832
0 3.35 5.86723e-05
0 3.4 0.000185368
0 3.45 0.000209078
0 3.5 0.000906954
0 3.55 0.000109753
0 3.6 0.000125745
0 3.65 2.03267e-05
0 3.7 4.49593e-06
0 3.75 3.41944e-05
0 3.8 0.000496192
0 3.85 0.000258689
0 3.9 1.10393e-05
0 3.95 0.000384905
0 4 6.53634e-05
0 4.05 4.01046e-05
0 4.1 9.70249e-06
0 4.15 2.04041e-06
0 4.2 4.50297e-06
0 4.25 2.26556e-06
0 4.3 6.50116e-06
0 4.35 1.13559e-05
0 4.4 3.54609e-06
0 4.45 1.14615e-05
0 4.5 1.70339e-05
0 4.55 3.12393e-06
0 4.6 2.04744e-06
0 4.65 1.75897e-06
0 4.7 5.92422e-06
0 4.75 8.7245e-06
0 4.8 3.2154e-06
0 4.85 7.49322e-06
0 4.9 2.0193e-06
0 4.95 5.685e-06
0 5 4.29893e-06
0.005 0 0.000176984
0.005 0.05 0.000221141
0.005 0.1 0.000159811
0.005 0.15 9.55985e-05
0.005 0.2 5.60667e-05
0.005 0.25 3.53642e-05
0.005 0.3 2.47684e-05
0.005 0.35 1.563e-05
0.005 0.4 1.24933e-05
0.005 0.45 9.07314e-06
0.005 0.5 7.94693e-06
0.005 0.55 1.21893e-06
0.005 0.6 1.41394e-06
0.005 0.65 7.69862e-06
0.005 0.7 2.46003e-06
0.005 0.75 3.53639e-06
0.005 0.8 9.30885e-06
0.005 0.85 2.53811e-06
0.005 0.9 5.9223e-06
0.005 0.95 2.98053e-07
0.005 1 6.87457e-06
0.005 1.05 2.54935e-05
0.005 1.1 1.7554e-05
0.005 1.15 3.61779e-06
0.005 1.2 4.69786e-05
0.005 1.25 4.06918e-05
0.005 1.3 2.9582e-05
0.005 1.35 5.12538e-05
0.005 1.4 4.68997e-06
0.005 1.45 4.97426e-06
0.005 1.5 9.55699e-05
0.005 1.55 9.27863e-05
0.005 1.6 2.90579e-05
0.005 1.65 1.61832e-05
0.005 1.7 0.000115345
0.005 1.75 1.35575e-05
0.005 1.8 4.39483e-05
0.005 1.85 0.000103064
0.005 1.9 0.000166518
0.005 1.95 0.000178106
0.005 2 8.94845e-06
0.005 2.05 5.87744e-05
0.005 2.1 6.03384e-06
0.005 2.15 0.000128537
0.005 2.2 0.000170669
0.005 2.25 2.75981e-05
0.005 2.3 0.000116453
0.005 2.35 0.000144775
0.005 2.4 0.000144951
0.005 2.45 4.64996e-06
0.005 2.5 0.000169291
0.005 2.55 1.82804e-05
0.005 2.6 0.000130298
0.005 2.65 4.99585e-05
0.005 2.7 0.000147676
0.005 2.75 0.000152951
0.005 2.8 0.000165647
0.005 2.85 3.96728e-05
0.005 2.9 0.000162987
0.005 2.95 3.98733e-05
0.005 3 0.000245356
0.005 3.05 0.000197891
0.005 3.1 0.000416146
0.005 3.15 0.000418048
0.005 3.2 8.69266e-06
0.005 3.25 0.000276088
0.005 3.3 0.000250169
0.005 3.35 5.96732e-05
0.005 3.4 0.000177653
0.005 3.45 0.000209404
0.005 3.5 0.000902876
0.005 3.55 0.00010275
0.005 3.6 0.000120303
0.005 3.65 2.50873e-05
0.005 3.7 2.52465e-06
0.005 3.75 3.17607e-05
0.005 3.8 0.000490838
0.005 3.85 0.000261687
0.005 3.9 7.41088e-06
0.005 3.95 0.000382616
0.005 4 6.1259e-05
0.005 4.05 3.51999e-05
0.005 4.1 1.69539e-05
0.005 4.15 5.39663e-07
0.005 4.2 5.33918e-06
0.005 4.25 2.53243e-06
0.005 4.3 2.92003e-06
0.005 4.35 7.29384e-06
0.005 4.4 3.1892e-07
0.005 4.45 8.30121e-06
0.005 4.5 1.09854e-05
0.005 4.55 8.8455e-07
0.005 4.6 9.68676e-06
0.005 4.65 2.67704e-06
0.005 4.7 5.92225e-06
0.005 4.75 7.58638e-06
0.005 4.8 4.55819e-06
0.005 4.85 4.76069e-06
0.005 4.9 2.71019e-08
0.005 4.95 4.9753e-06
0.005 5 3.63863e-06
0.01 0 0.00051898
0.01 0.05 0.000679563
0.01 0.1 0.000564139
0.01 0.15 0.000351227
0.01 0.2 0.000210818
0.01 0.25 0.000132719
0.01 0.3 8.93603e-05
0.01 0.35 6.17643e-05
0.01 0.4 4.48538e-05
0.01 0.45 3.37054e-05
0.01 0.5 2.60737e-05
0.01 0.55 1.7001e-05
0.01 0.6 1.22879e-05
0.01 0.65 1.54857e-05
0.01 0.7 1.38754e-05
0.01 0.75 8.60302e-06
0.01 0.8 1.42347e-05
0.01 0.85 4.07695e-06
0.01 0.9 1.18339e-05
0.01 0.95 1.15661e-05
0.01 1 2.56592e-05
0.01 1.05 3.08148e-05
0.01 1.1 2.43664e-05
0.01 1.15 4.19048e-06
0.01 1.2 3.02e-05
0.01 1.25 4.94189e-05
0.01 1.3 1.58856e-05
0.01 1.35 2.37309e-05
0.01 1.4 1.98759e-05
0.01 1.45 9.74237e-06
0.01 1.5 7.27792e-05
0.01 1.55 9.46193e-05
0.01 1.6 3.82908e-05
0.01 1.65 5.8432e-06
0.01 1.7 9.71706e-05
0.01 1.75 1.55168e-05
0.01 1.8 3.72432e-05
0.01 1.85 0.000104565
0.01 1.9 0.000156064
0.01 1.95 0.000169313
0.01 2 2.30151e-06
0.01 2.05 5.60104e-05
0.01 2.1 1.15592e-05
0.01 2.15 0.000108282
0.01 2.2 0.00015885
0.01 2.25 3.36339e-05
0.01 2.3 9.41745e-05
0.01 2.35 0.000141775
0.01 2.4 0.000148841
0.01 2.45 1.5292e-05
0.01 2.5 0.000162897
0.01 2.55 1.07638e-05
0.01 2.6 0.000123686
0.01 2.65 2.38261e-05
0.01 2.7 0.000159857
0.01 2.75 0.000151823
0.01 2.8 0.000154432
0.01 2.85 4.81892e-05
0.01 2.9 0.000182252
0.01 2.95 3.94435e-05
0.01 3 0.000265457
0.01 3.05 0.000180255
0.01 3.1 0.000368677
0.01 3.15 0.00042635
0.01 3.2 1.6527e-05
0.01 3.25 0.000252774
0.01 3.3 0.000255369
0.01 3.35 6.50221e-05
0.01 3.4 0.00015802
0.01 3.45 0.000201075
0.01 3.5 0.000885049
0.01 3.55 9.02069e-05
0.01 3.6 0.00010053
0.01 3.65 3.73773e-05
0.01 3.7 6.65107e-06
0.01 3.75 2.34935e-05
0.01 3.8 0.000485474
0.01 3.85 0.000259324
0.01 3.9 5.85054e-07
0.01 3.95 0.000378683
0.01 4 5.79155e-05
0.01 4.05 2.76474e-05
0.01 4.1 2.46681e-05
0.01 4.15 2.96698e-07
0.01 4.2 8.88311e-06
0.01 4.25 2.55506e-06
0.01 4.3 1.6931e-06
0.01 4.35 1.58659e-06
0.01 4.4 5.01562e-06
0.01 4.45 2.38834e-06
0.01 4.5 2.97152e-06
0.01 4.55 3.42221e-06
0.01 4.6 1.61505e-05
0.01 4.65 5.00117e-06
0.01 4.7 6.80173e-06
0.01 4.75 4.82015e-06
0.01 4.8 4.76424e-06
0.01 4.85 2.74452e-07
0.01 4.9 3.38763e-06
0.01 4.95 1.70054e-06
0.01 5 2.40467e-06
0.015 0 0.000705707
0.015 0.05 0.00100312
0.015 0.1 0.00102655
0.015 0.15 0.000713506
0.015 0.2 0.000433719
0.015 0.25 0.000267429
0.015 0.3 0.000175128
0.015 0.35 0.00012235
0.015 0.4 8.54216e-05
0.015 0.45 6.804e-05
0.015 0.5 4.96722e-05
0.015 0.55 3.28404e-05
0.015 0.6 2.78636e-05
0.015 0.65 2.54431e-05
0.015 0.7 1.83632e-05
0.015 0.75 1.5139e-05
0.015 0.8 1.92276e-05
0.015 0.85 1.51344e-05
0.015 0.9 1.77608e-05
0.015 0.95 1.55714e-05
0.015 1 2.99706e-05
0.015 1.05 3.1326e-05
0.015 1.1 2.8652e-05
0.015 1.15 3.52495e-06
0.015 1.2 2.16114e-05
0.015 1.25 4.72981e-05
0.015 1.3 3.97459e-06
0.015 1.35 9.06549e-06
0.015 1.4 3.13836e-05
0.015 1.45 1.16693e-05
0.015 1.5 5.78889e-05
0.015 1.55 8.70337e-05
0.015 1.6 3.93249e-05
0.015 1.65 1.22154e-05
0.015 1.7 8.22e-05
0.015 1.75 1.63327e-05
0.015 1.8 4.00747e-05
0.015 1.85 9.04194e-05
0.015 1.9 0.000144926
0.015 1.95 0.000154358
0.015 2 9.35934e-06
0.015 2.05 6.44913e-05
0.015 2.1 1.67897e-06
0.015 2.15 7.61054e-05
0.015 2.2 0.000135629
0.015 2.25 3.82041e-05
0.015 2.3 0.000108819
0.015 2.35 0.000132426
0.015 2.4 0.00015015
0.015 2.45 2.68707e-05
0.015 2.5 0.000163587
0.015 2.55 6.92091e-05
0.015 2.6 0.000108683
0.015 2.65 5.33185e-06
0.015 2.7 0.000172011
0.015 2.75 0.000138714
0.015 2.8 0.000140826
0.015 2.85 4.83644e-05
0.015 2.9 0.000201103
0.015 2.95 5.08948e-05
0.015 3 0.000293595
0.015 3.05 0.000164291
0.015 3.1 0.000283021
0.015 3.15 0.00043296
0.015 3.2 2.10253e-05
0.015 3.25 0.000225771
0.015 3.3 0.000256372
0.015 3.35 7.6416e-05
0.015 3.4 0.000132135
0.015 3.45 0.000173356
0.015 3.5 0.000848019
0.015 3.55 8.50497e-05
0.015 3.6 6.30001e-05
0.015 3.65 5.6681e-05
0.015 3.7 2.78355e-05
0.015 3.75 8.82964e-06
0.015 3.8 0.000492118
0.015 3.85 0.000240077
0.015 3.9 2.4618e-06
0.015 3.95 0.000375392
0.015 4 6.4102e-05
0.015 4.05 2.68532e-05
0.015 4.1 1.76721e-05
0.015 4.15 5.1688e-06
0.015 4.2 1.45566e-05
0.015 4.25 1.1529e-06
0.015 4.3 5.32348e-07
0.015 4.35 2.70822e-06
0.015 4.4 7.12385e-06
0.015 4.45 4.39829e-07
0.015 4.5 5.25659e-06
0.015 4.55 3.86961e-06
0.015 4.6 4.53202e-06
0.015 4.65 7.6362e-06
0.015 4.7 7.66552e-06
0.015 4.75 1.68238e-06
0.015 4.8 7.97649e-07
0.015 4.85 2.24886e-06
0.015 4.9 4.43157e-06
0.015 4.95 3.47437e-06
0.015 5 2.06206e-06
0.02 0 0.000666746
0.02 0.05 0.00105894
0.02 0.1 0.00137641
0.02 0.15 0.00116986
0.02 0.2 0.000742478
0.02 0.25 0.00044896
0.02 0.3 0.000287558
0.02 0.35 0.000193471
0.02 0.4 0.000137142
0.02 0.45 0.000104202
0.02 0.5 7.94802e-05
0.02 0.55 4.95914e-05
0.02 0.6 4.48287e-05
0.02 0.65 3.60486e-05
0.02 0.7 2.33503e-05
0.02 0.75 2.39127e-05
0.02 0.8 2.53431e-05
0.02 0.85 2.58359e-05
0.02 0.9 2.16119e-05
0.02 0.95 1.27659e-05
0.02 1 2.21994e-05
0.02 1.05 2.5938e-05
0.02 1.1 2.54147e-05
0.02 1.15 1.60339e-05
0.02 1.2 1.87173e-05
0.02 1.25 3.2197e-05
0.02 1.3 3.8644e-06
0.02 1.35 1.03226e-05
0.02 1.4 3.44466e-05
0.02 1.45 7.2773e-06
0.02 1.5 5.50217e-05
0.02 1.55 7.28796e-05
0.02 1.6 3.47074e-05
0.02 1.65 2.97125e-05
0.02 1.7 7.6219e-05
0.02 1.75 1.65976e-05
0.02 1.8 4.28846e-05
0.02 1.85 6.85789e-05
0.02 1.9 0.000133961
0.02 1.95 0.000141579
0.02 2 1.71411e-05
0.02 2.05 7.13356e-05
0.02 2.1 1.68289e-05
0.02 2.15 4.49571e-05
0.02 2.2 0.000103232
0.02 2.25 3.36743e-05
0.02 2.3 0.000142237
0.02 2.35 0.000120721
0.02 2.4 0.000153778
0.02 2.45 2.79034e-05
0.02 2.5 0.000170246
0.02 2.55 0.00012896
0.02 2.6 9.31131e-05
0.02 2.65 3.66784e-05
0.02 2.7 0.000176349
0.02 2.75 0.000125312
0.02 2.8 0.000124875
0.02 2.85 5.22544e-05
0.02 2.9 0.000213222
0.02 2.95 7.36851e-05
0.02 3 0.00032243
0.02 3.05 0.000151327
0.02 3.1 0.000168095
0.02 3.15 0.000435496
0.02 3.2 2.24496e-05
0.02 3.25 0.000190536
0.02 3.3 0.000244403
0.02 3.35 8.99692e-05
0.02 3.4 0.000101275
0.02 3.45 0.000136053
0.02 3.5 0.000799365
0.02 3.55 8.60355e-05
0.02 3.6 1.36945e-05
0.02 3.65 8.71194e-05
0.02 3.7 5.54993e-05
0.02 3.75 9.04279e-06
0.02 3.8 0.000501825
0.02 3.85 0.000218127
0.02 3.9 1.48545e-06
0.02 3.95 0.000366646
0.02 4 6.92221e-05
