# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=5 L=200 n=1.50 S=1/2
# k, omega, S(k,omega)

0 0 0.00493331
0 0.006 0.00522097
0 0.012 0.00151163
0 0.018 0.000840998
0 0.024 0.01782
0 0.03 0.00863645
0 0.036 0.000635181
0 0.042 0.0113497
0 0.048 0.00936874
0 0.054 0.0141842
0 0.06 0.00518185
0 0.066 0.016253
0 0.072 0.00050741
0 0.078 0.0103603
0 0.084 0.00995812
0 0.09 0.000605513
0 0.096 0.0116896
0 0.102 0.012877
0 0.108 0.00435259
0 0.114 0.00389703
0 0.12 0.000462971
0 0.126 0.0182558
0 0.132 0.00681371
0 0.138 0.0230432
0 0.144 0.00586541
0 0.15 0.0163685
0 0.156 0.00320125
0 0.162 0.0226731
0 0.168 0.00718587
0 0.174 0.00585229
0 0.18 0.0031282
0 0.186 0.016918
0 0.192 0.00252991
0 0.198 0.00298245
0 0.204 0.00509955
0 0.21 0.0111212
0 0.216 0.00236221
0 0.222 0.00685308
0 0.228 0.00364188
0 0.234 0.0206081
0 0.24 0.00941719
0 0.246 0.0121627
0 0.252 0.0163984
0 0.258 0.00210344
0 0.264 0.0121055
0 0.27 0.00355806
0 0.276 0.00250571
0 0.282 0.0135566
0 0.288 0.0123052
0 0.294 0.00546756
0 0.3 0.0106257
0 0.306 0.00455206
0 0.312 0.00599508
0 0.318 0.0105173
0 0.324 0.0190466
0 0.33 0.000807239
0 0.336 0.00416747
0 0.342 0.0129987
0 0.348 0.00710345
0 0.354 0.00114545
0 0.36 0.00987851
0 0.366 0.000938882
0 0.372 0.00250544
0 0.378 0.00881743
0 0.384 0.0142542
0 0.39 0.0132707
0 0.396 0.0144105
0 0.402 0.0180683
0 0.408 0.00126994
0 0.414 5.26792e-05
0 0.42 0.00982831
0 0.426 0.00568842
0 0.432 0.0178101
0 0.438 0.00848576
0 0.444 0.00520136
0 0.45 0.00370278
0 0.456 0.00692705
0 0.462 0.0021876
0 0.468 0.00837212
0 0.474 0.00697129
0 0.48 0.0117259
0 0.486 0.0412395
0 0.492 0.00530062
0 0.498 0.00314393
0 0.504 0.00731411
0 0.51 0.00774219
0 0.516 0.00233355
0 0.522 0.00480356
0 0.528 0.000666644
0 0.534 0.00151574
0 0.54 0.00244152
0 0.546 0.00156104
0 0.552 0.00274648
0 0.558 0.00696566
0 0.564 0.00329647
0 0.57 0.00244715
0 0.576 0.00387707
0 0.582 9.44559e-05
0 0.588 0.000641079
0 0.594 0.00159171
0 0.6 0.00181876
0.005 0 0.0148605
0.005 0.006 0.0146375
0.005 0.012 0.00157491
0.005 0.018 0.00414607
0.005 0.024 0.0296383
0.005 0.03 0.014582
0.005 0.036 1.18587e-05
0.005 0.042 0.0178745
0.005 0.048 0.0166394
0.005 0.054 0.0220881
