# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.50 S=1/2
# k, omega, S(k,omega)

0 0 0.0109078
0 0.006 0.00972472
0 0.012 0.000591222
0 0.018 0.0105786
0 0.024 0.018586
0 0.03 0.0090569
0 0.036 0.0114008
0 0.042 0.00798662
0 0.048 0.00573815
0 0.054 0.0219857
0 0.06 0.000801602
0 0.066 0.0500699
0 0.072 0.0216182
0 0.078 0.0101333
0 0.084 0.0110868
0 0.09 0.0112112
0 0.096 0.018608
0 0.102 0.00376942
0 0.108 0.0100903
0 0.114 0.0093313
0 0.12 0.0122232
0 0.126 0.000519636
0 0.132 0.0225517
0 0.138 0.00692362
0 0.144 0.00480693
0 0.15 0.00215775
0 0.156 0.00746222
0 0.162 0.011034
0 0.168 0.0170291
0 0.174 0.0150686
0 0.18 0.00266458
0 0.186 0.00868619
0 0.192 0.0134111
0 0.198 0.0184925
0 0.204 0.00433295
0 0.21 0.00517875
0 0.216 0.0111868
0 0.222 0.0135693
0 0.228 0.00856118
0 0.234 0.000597416
0 0.24 0.00368419
0 0.246 0.00265457
0 0.252 0.000245804
0 0.258 0.0028581
0 0.264 0.0202596
0 0.27 0.0114067
0 0.276 0.00436897
0 0.282 0.0134088
0 0.288 0.0118458
0 0.294 0.00805004
0 0.3 0.0105058
0 0.306 0.00254416
0 0.312 0.00936365
0 0.318 0.00626961
0 0.324 0.000196473
0 0.33 0.00784251
0 0.336 0.000826386
0 0.342 0.00811168
0 0.348 0.000976513
0 0.354 0.0208982
0 0.36 0.00578353
0 0.366 0.00224076
0 0.372 0.0122564
0 0.378 0.0127362
0 0.384 0.00341684
0 0.39 0.00594221
0 0.396 0.00927039
0 0.402 0.00992407
0 0.408 0.00491131
0 0.414 0.000441614
0 0.42 0.00687563
0 0.426 0.0243573
0 0.432 0.0100599
0 0.438 0.00364716
0 0.444 0.0112704
0 0.45 0.0195349
0 0.456 0.0183074
0 0.462 0.00768967
0 0.468 0.000325987
0 0.474 0.00704474
0 0.48 0.00101119
0 0.486 0.00670888
0 0.492 0.00602863
0 0.498 0.0253422
0 0.504 0.000339815
0 0.51 0.00744814
0 0.516 0.0178297
0 0.522 0.00574116
0 0.528 0.0355989
0 0.534 0.0347664
0 0.54 0.0229027
0 0.546 0.0152275
0 0.552 3.24595e-05
0 0.558 0.0127164
0 0.564 0.00656803
0 0.57 0.000989788
0 0.576 0.0120176
0 0.582 0.00120839
0 0.588 0.00164953
0 0.594 0.00379364
0 0.6 0.00330623
0.005 0 0.0341523
0.005 0.006 0.0300726
0.005 0.012 0.00841651
0.005 0.018 0.0228458
0.005 0.024 0.0319517
0.005 0.03 0.0166869
0.005 0.036 0.0213522
0.005 0.042 0.0165544
0.005 0.048 0.00695912
0.005 0.054 0.0339147
0.005 0.06 8.47718e-05
0.005 0.066 0.0793366
0.005 0.072 0.0306048
0.005 0.078 0.0151704
0.005 0.084 0.0165059
0.005 0.09 0.0176935
0.005 0.096 0.0292364
0.005 0.102 0.00582757
0.005 0.108 0.0176346
0.005 0.114 0.0142289
0.005 0.12 0.0178676
0.005 0.126 0.00116795
0.005 0.132 0.0356147
0.005 0.138 0.01081
0.005 0.144 0.0105808
0.005 0.15 0.00290723
0.005 0.156 0.0129414
0.005 0.162 0.0197362
0.005 0.168 0.0269704
0.005 0.174 0.0241053
0.005 0.18 0.00397758
