# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=20 L=200 n=1.50 S=1/2
# k, omega, S(k,omega)

0 0 0.00749962
0 0.006 0.00659767
0 0.012 0.000305475
0 0.018 0.00468816
0 0.024 0.00394407
0 0.03 0.00866858
0 0.036 0.0029537
0 0.042 0.0140651
0 0.048 0.00978648
0 0.054 0.0144843
0 0.06 0.00937902
0 0.066 0.0103356
0 0.072 0.00459664
0 0.078 0.0245343
0 0.084 0.0326065
0 0.09 0.0471375
0 0.096 0.0231491
0 0.102 0.0398535
0 0.108 0.0277116
0 0.114 0.046789
0 0.12 0.00177832
0 0.126 0.0275121
0 0.132 0.0217589
0 0.138 0.0218849
0 0.144 0.00543758
0 0.15 0.028145
0 0.156 0.0208727
0 0.162 0.0228704
0 0.168 0.00900141
0 0.174 0.00660376
0 0.18 0.00239954
0 0.186 0.0179415
0 0.192 0.0118597
0 0.198 0.00986941
0 0.204 0.0121641
0 0.21 0.00644733
0 0.216 0.000352311
0 0.222 0.000802419
0 0.228 0.0117048
0 0.234 0.00878639
0 0.24 0.00482209
0 0.246 0.0118659
0 0.252 0.0179709
0 0.258 0.00892561
0 0.264 0.0135808
0 0.27 0.00934171
0 0.276 0.00297586
0 0.282 0.0121128
0 0.288 0.00294778
0 0.294 0.0158201
0 0.3 0.00896671
0 0.306 0.0102523
0 0.312 0.0223021
0 0.318 0.0158406
0 0.324 0.0139163
0 0.33 0.00838429
0 0.336 0.00136034
0 0.342 0.0064321
0 0.348 0.00514191
0 0.354 0.012384
0 0.36 0.00437359
0 0.366 0.0212909
0 0.372 0.00587844
0 0.378 0.0334508
0 0.384 0.00387621
0 0.39 0.00279248
0 0.396 0.0256865
0 0.402 0.00581347
0 0.408 0.0183733
0 0.414 0.00189607
0 0.42 0.0151259
0 0.426 0.00310835
0 0.432 0.00669851
0 0.438 0.00728331
0 0.444 0.0130257
0 0.45 0.0318571
0 0.456 0.00291762
0 0.462 2.65543e-05
0 0.468 0.00920355
0 0.474 0.0239758
0 0.48 0.0213859
0 0.486 0.00351131
0 0.492 0.0104161
0 0.498 0.0120881
0 0.504 0.00633117
0 0.51 0.0105539
0 0.516 0.0122684
0 0.522 0.0271583
0 0.528 0.0249894
0 0.534 0.0274318
0 0.54 0.0270956
0 0.546 0.0205042
0 0.552 0.0365076
0 0.558 0.0219191
0 0.564 0.0246187
0 0.57 0.00065995
0 0.576 0.0254135
0 0.582 0.0299404
0 0.588 0.00151043
0 0.594 0.0079291
0 0.6 0.00187109
0.005 0 0.0217562
0.005 0.006 0.0192967
0.005 0.012 0.0063201
0.005 0.018 0.0107126
0.005 0.024 0.00785156
0.005 0.03 0.0122051
0.005 0.036 0.00673218
0.005 0.042 0.0224802
0.005 0.048 0.0157487
0.005 0.054 0.0240134
0.005 0.06 0.0164304
0.005 0.066 0.0153846
0.005 0.072 0.00566106
0.005 0.078 0.0391306
0.005 0.084 0.051898
0.005 0.09 0.0741105
0.005 0.096 0.0376961
0.005 0.102 0.0614104
0.005 0.108 0.0441183
0.005 0.114 0.0762294
0.005 0.12 0.00292998
0.005 0.126 0.044533
0.005 0.132 0.0361254
0.005 0.138 0.0356263
0.005 0.144 0.010499
0.005 0.15 0.0408238
0.005 0.156 0.0334471
0.005 0.162 0.0389837
0.005 0.168 0.0171251
0.005 0.174 0.0125186
0.005 0.18 0.00789386
0.005 0.186 0.0304071
0.005 0.192 0.0190445
0.005 0.198 0.0153026
0.005 0.204 0.0225703
0.005 0.21 0.00781843
0.005 0.216 0.00244393
0.005 0.222 0.000657863
0.005 0.228 0.0197704
0.005 0.234 0.0183558
0.005 0.24 0.00707529
0.005 0.246 0.017183
0.005 0.252 0.0320537
0.005 0.258 0.0155224
0.005 0.264 0.0211821
0.005 0.27 0.015116
0.005 0.276 0.00188837
0.005 0.282 0.0178109
0.005 0.288 0.00722902
0.005 0.294 0.0265223
0.005 0.3 0.0166543
0.005 0.306 0.0153738
0.005 0.312 0.031775
0.005 0.318 0.0204311
0.005 0.324 0.0257517
0.005 0.33 0.0144945
0.005 0.336 0.00579355
0.005 0.342 0.00965061
0.005 0.348 0.00490889
0.005 0.354 0.0213131
0.005 0.36 0.00471912
0.005 0.366 0.0333596
0.005 0.372 0.00805761
0.005 0.378 0.0522971
0.005 0.384 0.0044432
0.005 0.39 0.00557444
0.005 0.396 0.0397603
0.005 0.402 0.00824961
0.005 0.408 0.0267071
0.005 0.414 0.00841586
0.005 0.42 0.0227846
0.005 0.426 0.00584885
0.005 0.432 0.012057
0.005 0.438 0.0132185
0.005 0.444 0.0216783
0.005 0.45 0.0528174
0.005 0.456 0.00596098
0.005 0.462 0.000361746
0.005 0.468 0.012295
0.005 0.474 0.0411063
0.005 0.48 0.0344901
0.005 0.486 0.00385536
0.005 0.492 0.0149748
0.005 0.498 0.0189399
0.005 0.504 0.00949352
0.005 0.51 0.01605
0.005 0.516 0.0274505
0.005 0.522 0.0427444
0.005 0.528 0.0376013
0.005 0.534 0.0451209
0.005 0.54 0.0436071
0.005 0.546 0.0351292
0.005 0.552 0.0618049
0.005 0.558 0.0406558
0.005 0.564 0.0422157
0.005 0.57 0.000252559
0.005 0.576 0.042244
0.005 0.582 0.0481808
0.005 0.588 0.00090043
0.005 0.594 0.0114575
0.005 0.6 0.00278275
0.01 0 0.0464391
0.01 0.006 0.0414998
0.01 0.012 0.0210917
0.01 0.018 0.0189088
0.01 0.024 0.0120262
0.01 0.03 0.00821444
0.01 0.036 0.0117312
0.01 0.042 0.0229886
0.01 0.048 0.0162399
0.01 0.054 0.0263684
0.01 0.06 0.0200252
0.01 0.066 0.012842
0.01 0.072 0.00180499
0.01 0.078 0.0391397
0.01 0.084 0.0520182
0.01 0.09 0.0719286
0.01 0.096 0.0390358
0.01 0.102 0.0565127
0.01 0.108 0.0438414
0.01 0.114 0.0806229
0.01 0.12 0.00306972
0.01 0.126 0.0451023
0.01 0.132 0.0401488
0.01 0.138 0.0386044
0.01 0.144 0.0142976
0.01 0.15 0.0321765
0.01 0.156 0.0346849
0.01 0.162 0.0431107
0.01 0.168 0.0216318
0.01 0.174 0.0150652
0.01 0.18 0.0154517
0.01 0.186 0.0338436
0.01 0.192 0.0203699
0.01 0.198 0.0157392
0.01 0.204 0.0297783
0.01 0.21 0.00427781
0.01 0.216 0.0074981
0.01 0.222 0.00309857
0.01 0.228 0.0230915
0.01 0.234 0.0261746
0.01 0.24 0.00582517
0.01 0.246 0.0138946
0.01 0.252 0.0391736
0.01 0.258 0.0171045
0.01 0.264 0.020663
0.01 0.27 0.0158238
0.01 0.276 0.00372602
0.01 0.282 0.0158611
0.01 0.288 0.0122901
0.01 0.294 0.0296862
0.01 0.3 0.0215948
0.01 0.306 0.0131148
0.01 0.312 0.0247431
0.01 0.318 0.0119459
0.01 0.324 0.0344272
0.01 0.33 0.0154975
0.01 0.336 0.01168
0.01 0.342 0.00960029
0.01 0.348 0.00284116
0.01 0.354 0.0234273
0.01 0.36 0.000518383
0.01 0.366 0.0338904
0.01 0.372 0.00638633
0.01 0.378 0.0522351
0.01 0.384 0.00137096
0.01 0.39 0.0079892
0.01 0.396 0.0388523
0.01 0.402 0.00708627
0.01 0.408 0.0217187
0.01 0.414 0.0185272
0.01 0.42 0.0216674
0.01 0.426 0.00797272
0.01 0.432 0.0143104
0.01 0.438 0.0163755
0.01 0.444 0.0245962
0.01 0.45 0.0589994
0.01 0.456 0.00849768
0.01 0.462 0.0025813
0.01 0.468 0.00690549
0.01 0.474 0.0462708
0.01 0.48 0.0351504
0.01 0.486 0.000651111
0.01 0.492 0.0131522
0.01 0.498 0.0200296
0.01 0.504 0.00770504
