# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.33 S=1/2
# k, omega, S(k,omega)

0 0 0.00657518
0 0.006 0.0082878
0 0.012 0.0240481
0 0.018 0.00740895
0 0.024 0.0105247
0 0.03 0.00435632
0 0.036 0.00724156
0 0.042 0.0220861
0 0.048 0.023427
0 0.054 0.00260236
0 0.06 0.0216151
0 0.066 0.0272249
0 0.072 0.0295519
0 0.078 0.00732359
0 0.084 0.00704349
0 0.09 0.0156823
0 0.096 0.0176275
0 0.102 0.00100242
0 0.108 0.0151998
0 0.114 0.0176511
0 0.12 0.0410655
0 0.126 0.0269316
0 0.132 0.0413547
0 0.138 0.0353824
0 0.144 0.00541911
0 0.15 0.0124214
0 0.156 0.00615286
0 0.162 0.00980137
0 0.168 0.000891981
0 0.174 0.021494
0 0.18 0.0131431
0 0.186 0.0241119
0 0.192 0.0224731
0 0.198 0.0111847
0 0.204 2.882e-05
0 0.21 0.00128453
0 0.216 0.00856071
0 0.222 0.000642946
0 0.228 0.0151525
0 0.234 0.00921875
0 0.24 0.00155886
0 0.246 0.00280452
0 0.252 0.00751383
0 0.258 0.0199964
0 0.264 0.00253688
0 0.27 0.0254019
0 0.276 0.00538209
0 0.282 0.018519
0 0.288 0.00733323
0 0.294 0.00341502
0 0.3 0.00368164
0 0.306 0.0130668
0 0.312 0.0204874
0 0.318 0.00978654
0 0.324 0.010994
0 0.33 0.00326162
0 0.336 0.00380885
0 0.342 0.0162135
0 0.348 0.00636903
0 0.354 0.0186826
0 0.36 0.015894
0 0.366 0.0141887
0 0.372 0.00260406
0 0.378 0.00609615
0 0.384 0.0129764
0 0.39 0.00934351
0 0.396 0.000931986
0 0.402 0.00229176
0 0.408 0.0179014
0 0.414 0.000641997
0 0.42 0.00089282
0 0.426 0.00362408
0 0.432 0.00812497
0 0.438 0.00703663
0 0.444 0.00651219
0 0.45 0.00136785
0 0.456 0.00815437
0 0.462 0.00418074
0 0.468 0.00490398
0 0.474 0.00323073
0 0.48 0.00489864
0 0.486 0.00443428
0 0.492 0.001848
0 0.498 0.0127022
0 0.504 0.00923535
0 0.51 0.0037967
