# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.40 S=1/2
# k, omega, S(k,omega)

0 0 0.0087953
0 0.006 0.008455
0 0.012 0.00522758
0 0.018 0.000629766
0 0.024 0.00900243
0 0.03 0.0154731
0 0.036 0.0157394
0 0.042 0.0114639
0 0.048 0.00297999
0 0.054 0.00828333
0 0.06 0.0194996
0 0.066 0.0256929
0 0.072 0.0173661
0 0.078 0.0102412
0 0.084 0.00200941
0 0.09 0.00592478
0 0.096 0.00846645
0 0.102 0.00788122
0 0.108 0.00563127
0 0.114 0.00650904
0 0.12 0.0102749
0 0.126 0.00222421
0 0.132 0.00347341
0 0.138 0.00259516
0 0.144 0.000188703
0 0.15 0.00528077
0 0.156 0.00506926
0 0.162 0.00357578
0 0.168 0.00810206
0 0.174 0.000806416
0 0.18 0.000524258
0 0.186 0.000189678
0 0.192 0.000516578
0 0.198 0.00194975
0 0.204 0.00300442
0 0.21 0.000627297
0 0.216 0.00576493
0 0.222 0.00678497
0 0.228 0.00345155
0 0.234 0.00580256
0 0.24 0.00305506
0 0.246 0.000269156
0 0.252 0.00456397
0 0.258 0.00398642
0 0.264 0.00386131
0 0.27 0.00375469
0 0.276 0.0055319
0 0.282 0.00245666
0 0.288 0.000351031
0 0.294 0.00061663
0 0.3 0.00059464
0 0.306 0.00188405
0 0.312 0.00794887
0 0.318 0.00734674
0 0.324 0.000471786
0 0.33 0.00134461
0 0.336 0.00308063
0 0.342 0.00061813
0 0.348 0.000884287
0 0.354 0.00347978
0 0.36 0.00379819
0 0.366 0.00251986
0 0.372 0.00350634
0 0.378 0.00107717
0 0.384 0.00215767
0 0.39 0.000787353
0 0.396 0.00226297
0 0.402 0.00309609
0 0.408 0.00876746
0 0.414 0.0105025
0 0.42 0.00684027
0 0.426 0.00296195
0 0.432 0.000694751
0 0.438 0.0035302
0 0.444 0.00655364
0 0.45 0.00309569
0 0.456 0.0090876
0 0.462 0.00922191
0 0.468 0.000352969
0 0.474 0.000557347
0 0.48 0.00224007
0 0.486 0.00332394
0 0.492 0.00764131
0 0.498 0.0027871
0 0.504 0.00468745
0 0.51 0.0035142
0 0.516 0.000279599
0 0.522 0.00220294
0 0.528 0.00194495
0 0.534 0.00350954
0 0.54 0.00636972
0 0.546 0.00151164
0 0.552 0.000190163
0 0.558 0.00612826
0 0.564 0.00593405
0 0.57 0.00304278
0 0.576 0.00458001
0 0.582 0.00572025
0 0.588 0.00590141
0 0.594 0.00588604
0 0.6 0.005535
0.005 0 0.0248119
0.005 0.006 0.0232461
0.005 0.012 0.0156242
0.005 0.018 0.0058679
0.005 0.024 0.0177947
0.005 0.03 0.0277615
0.005 0.036 0.0276976
0.005 0.042 0.020036
0.005 0.048 0.00581817
0.005 0.054 0.0123451
0.005 0.06 0.0302136
0.005 0.066 0.0393228
0.005 0.072 0.0260714
0.005 0.078 0.0142534
0.005 0.084 0.00188421
0.005 0.09 0.00862362
0.005 0.096 0.0132929
0.005 0.102 0.0133569
0.005 0.108 0.00962943
0.005 0.114 0.00924882
0.005 0.12 0.0138655
0.005 0.126 0.00240568
0.005 0.132 0.00571174
0.005 0.138 0.00483427
0.005 0.144 0.000524391
0.005 0.15 0.00809401
0.005 0.156 0.00803278
0.005 0.162 0.00521231
0.005 0.168 0.0140967
0.005 0.174 0.00300314
0.005 0.18 0.000693642
0.005 0.186 0.00202348
0.005 0.192 0.00227662
0.005 0.198 0.00280617
0.005 0.204 0.00499379
0.005 0.21 0.00203523
0.005 0.216 0.00937365
0.005 0.222 0.0104005
0.005 0.228 0.00544517
0.005 0.234 0.00949189
0.005 0.24 0.0052611
0.005 0.246 0.000406355
0.005 0.252 0.00661894
0.005 0.258 0.00619549
0.005 0.264 0.00575398
0.005 0.27 0.00550618
0.005 0.276 0.00910753
0.005 0.282 0.00502261
0.005 0.288 0.00112368
0.005 0.294 0.00187143
0.005 0.3 0.00149703
0.005 0.306 0.00242261
0.005 0.312 0.0117373
0.005 0.318 0.010655
0.005 0.324 9.61228e-05
0.005 0.33 0.001591
0.005 0.336 0.00683344
0.005 0.342 0.00288583
0.005 0.348 0.00320991
0.005 0.354 0.00460165
0.005 0.36 0.00504311
0.005 0.366 0.00286248
0.005 0.372 0.00746148
0.005 0.378 0.000378276
0.005 0.384 0.00302556
0.005 0.39 0.00268203
0.005 0.396 0.00393735
0.005 0.402 0.00582008
0.005 0.408 0.0146422
0.005 0.414 0.0178008
0.005 0.42 0.0115767
0.005 0.426 0.00485514
0.005 0.432 0.0017207
0.005 0.438 0.00568894
0.005 0.444 0.0113444
0.005 0.45 0.00712641
0.005 0.456 0.017375
0.005 0.462 0.0171806
0.005 0.468 0.00175991
0.005 0.474 0.00115211
0.005 0.48 0.00400047
