# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.80 S=1/2
# k, omega, S(k,omega)

0 0 0.00816444
0 0.006 0.00706768
0 0.012 0.0035639
0 0.018 0.000851132
0 0.024 0.00436325
0 0.03 0.00796178
0 0.036 0.0108181
0 0.042 0.00408939
0 0.048 0.00244413
0 0.054 0.00603924
0 0.06 0.00415763
0 0.066 0.0110566
0 0.072 0.00403876
0 0.078 0.00240593
0 0.084 0.003163
0 0.09 0.0070196
0 0.096 0.0116616
0 0.102 0.0143182
0 0.108 0.0121505
0 0.114 0.0219074
0 0.12 0.013615
0 0.126 0.00105795
0 0.132 0.010761
0 0.138 0.00300873
0 0.144 0.0041977
0 0.15 0.00250992
0 0.156 0.00856312
0 0.162 0.0133749
0 0.168 0.00360903
0 0.174 0.00109414
0 0.18 0.00575777
0 0.186 0.0177282
0 0.192 0.00869956
0 0.198 0.00532062
0 0.204 0.00166905
0 0.21 0.00376675
0 0.216 0.00608224
0 0.222 0.00641984
0 0.228 0.0105415
0 0.234 0.0113019
0 0.24 0.0121748
0 0.246 0.0119933
0 0.252 0.00856957
0 0.258 0.00295698
0 0.264 0.00152944
0 0.27 0.000348044
0 0.276 0.00276426
0 0.282 0.00348794
0 0.288 0.00564364
0 0.294 0.0088587
0 0.3 0.0101598
0 0.306 0.00804686
0 0.312 0.00595066
0 0.318 0.00658314
0 0.324 0.00518441
0 0.33 0.00341912
0 0.336 0.00305193
0 0.342 0.00183824
0 0.348 0.00100858
0 0.354 0.000477993
0 0.36 0.00101781
0 0.366 0.00201845
0 0.372 0.00415383
0 0.378 0.00772238
0 0.384 0.00755223
0 0.39 0.00852612
0 0.396 0.00688877
0 0.402 0.00487571
0 0.408 0.00363041
0 0.414 0.00204088
0 0.42 0.00336485
0 0.426 0.00251435
0 0.432 0.00151826
0 0.438 0.000232587
0 0.444 0.000436683
0 0.45 0.00161246
0 0.456 0.00398456
0 0.462 0.00521567
0 0.468 0.00527806
0 0.474 0.00549116
0 0.48 0.00671098
0 0.486 0.0062724
0 0.492 0.00639333
0 0.498 0.0057285
0 0.504 0.00667287
0 0.51 0.00563568
0 0.516 0.00594646
0 0.522 0.00598493
0 0.528 0.0041426
0 0.534 0.00338579
0 0.54 0.00255295
0 0.546 0.00113853
0 0.552 3.16515e-05
0 0.558 0.000597653
0 0.564 4.07516e-05
0 0.57 0.000359293
0 0.576 0.000299855
0 0.582 0.00209733
0 0.588 0.0028293
0 0.594 0.00236459
0 0.6 0.00197789
0.005 0 0.0243522
