# linewidth of dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 S=1/2
# k, n=1.25, 1.33, 1.40, 1.50, 1.60, 1.66, 1.75, 1.80

0.005 0.00994062 0.00222834 0.011262 0.00668156 0.0154523 0.00904414 0.0010096 0.00552002
0.01 0.0168166 0.01073 0.0113028 0.00990776 0.0169272 0.0192254 0.0147861 0.0107767
0.015 0.0135486 0.0149017 0.0133356 0.0067703 0.0144567 0.0152995 0.0129551 0.00987278
0.02 0.0101633 0.0031249 0.0128268 0.00452596 0.0131851 0.0135241 0.0127629 0.0104018
0.025 0.0120769 0.0148037 0.0124472 0.0130578 0.0125142 0.0129264 0.012798 0.0111241
0.03 0.019278 0.0137706 0.0122158 0.013086 0.0121277 0.0127711 0.0129879 0.0157832
0.035 0.0162153 0.0132086 0.0120952 0.0129685 0.0118823 0.00218452 0.0133316 0.012471
0.04 0.0138648 0.012716 0.01203 0.00193231 0.0117403 0.0178085 0.0135909 0.0128568
0.045 0.00894858 0.0164801 0.0120094 0.0125207 0.0021923 0.00216006 0.0184137 0.0129764
0.05 0.0102178 0.0119872 0.012057 0.0122929 0.0117654 0.0126531 0.00163506 0.0129304
0.055 0.0091017 0.0115342 0.0121552 0.0121168 0.0119222 0.0127586 0.013062 0.0128292
0.06 0.00883108 0.00335472 0.0013706 0.0120026 0.0121162 0.0127286 0.00203744 0.0127278
0.065 0.0147611 0.0114971 0.0018612 0.0119204 0.00258046 0.0125524 0.0127535 0.0126746
0.07 0.0113578 0.0115972 0.0121298 0.0118472 0.0037554 0.0120918 0.012635 0.0126957
0.075 0.0111861 0.0117143 0.0027082 0.0117928 0.012253 0.0121217 0.00165802 0.023505
0.08 0.0094921 0.0039832 0.0013996 0.00145316 0.0121134 0.0119448 0.0126897 0.0126677
0.085 0.0185013 0.0119022 0.001587 0.0117021 0.0119385 0.0118564 0.0127483 0.0124758
0.09 0.0114731 0.0119274 0.003761 0.0116163 0.0117681 0.0118976 0.0128163 0.0122385
0.095 0.0106005 0.0118724 0.011862 0.0115786 0.0116983 0.0120014 0.012904 0.0120389
0.1 0.0107638 0.0119386 0.0022496 0.0116537 0.0117818 0.0120854 0.0129459 0.0119185
0.105 0.0110058 0.00390602 0.0157352 0.0117789 0.0119247 0.0121734 0.0128972 0.0119068
0.11 0.0113184 0.00327934 0.0012746 0.0118764 0.0120297 0.0123235 0.0128071 0.011982
0.115 0.0133912 0.0119696 0.0116644 0.0119845 0.0121605 0.012498 0.0127209 0.0120446
0.12 0.0118926 0.00247402 0.0116664 0.0121565 0.0124195 0.0126388 0.0126464 0.012043
0.125 0.0121516 0.00377454 0.0116492 0.0123194 0.0127274 0.0127652 0.0126242 0.0120751
0.13 0.00911312 0.0119968 0.011613 0.0124007 0.012934 0.0128931 0.0126798 0.0122631
0.135 0.0121729 0.012078 0.0115838 0.0124983 0.013041 0.0130005 0.0127652 0.0126062
0.14 0.0119308 0.0121581 0.0115866 0.0127246 0.01313 0.01315 0.012887 0.0130194
0.145 0.00895306 0.0122352 0.0116316 0.0129808 0.0131775 0.0134652 0.0132067 0.0134351
0.15 0.0119086 0.0123421 0.011708 0.0131162 0.0131479 0.0138977 0.0138231 0.0137945
0.155 0.0119611 0.0124805 0.0117886 0.0131723 0.0131375 0.0142412 0.0145097 0.0140274
0.16 0.01129 0.0126213 0.0118566 0.0132719 0.0132218 0.0144036 0.0148991 0.0141437
0.165 0.0117038 0.012757 0.011916 0.0133804 0.0133139 0.0144207 0.0149412 0.0142519
0.17 0.0154811 0.012891 0.011968 0.0134012 0.013297 0.0142355 0.0148171 0.0143667
0.175 0.0119445 0.012981 0.0120046 0.0133589 0.0132281 0.0137871 0.0145379 0.0143211
0.18 0.012041 0.0129801 0.0120434 0.0132962 0.0132871 0.0133047 0.0140984 0.0140293
0.185 0.0120304 0.0129247 0.0121294 0.01315 0.0135107 0.0131478 0.0137853 0.0136646
0.19 0.0105539 0.0128839 0.0122924 0.0128688 0.0136863 0.0134061 0.0138293 0.0133885
0.195 0.0152663 0.0128286 0.012539 0.0125242 0.0135891 0.0137219 0.0140481 0.0131895
0.2 0.0125601 0.0126842 0.0128866 0.0122061 0.0132569 0.0136602 0.0142702 0.0131059
0.205 0.0126254 0.0124909 0.0133384 0.0119407 0.0129518 0.013531 0.0148693 0.0133465
0.21 0.0126486 0.0123516 0.0138038 0.0117447 0.01299 0.0142211 0.0161715 0.0140314
0.215 0.012806 0.0122556 0.0141296 0.0116517 0.0136032 0.015996 0.017255 0.0149707
0.22 0.0130679 0.0121293 0.0142482 0.0117098 0.0146602 0.0172806 0.017282 0.0157017
0.225 0.0132436 0.0120031 0.0142354 0.0120042 0.0155356 0.0167025 0.0170743 0.0158226
0.23 0.0132612 0.0119677 0.0141832 0.0125828 0.0157999 0.0157089 0.0172726 0.0156043
0.235 0.0132691 0.012029 0.0141022 0.0133868 0.0158548 0.015484 0.0174907 0.0157449
0.24 0.0133714 0.0121624 0.0139896 0.0142489 0.0161808 0.0155952 0.0168003 0.0165005
0.245 0.0134615 0.0124224 0.0138856 0.0150846 0.016492 0.0153494 0.0151946 0.0169275
0.25 0.0133794 0.0128488 0.013788 0.0159419 0.0162029 0.0148694 0.0137092 0.0159102
0.255 0.0131773 0.0133461 0.0136136 0.0167408 0.0154453 0.0146992 0.0132302 0.0144761
0.26 0.0130471 0.0138033 0.0133444 0.0172682 0.0147179 0.0151322 0.0135916 0.0137998
0.265 0.0027541 0.0142416 0.013114 0.0173864 0.0144003 0.0161018 0.013822 0.0137439
0.27 0.0131217 0.0147135 0.0130392 0.0170457 0.0147145 0.017362 0.013922 0.0137606
0.275 0.0131177 0.0151469 0.0131034 0.016256 0.0152597 0.018565 0.0144297 0.0135269
0.28 0.0130499 0.0154148 0.0132956 0.0151046 0.0154628 0.019553 0.015751 0.0134362
0.285 0.0130045 0.0155039 0.0137456 0.0138537 0.0155562 0.0207748 0.0179543 0.0140473
0.29 0.0130062 0.0154942 0.0145888 0.0130383 0.0159775 0.0220932 0.020217 0.0152218
0.295 0.0129846 0.0154167 0.0157012 0.0131396 0.0168597 0.0221174 0.021701 0.0162349
0.3 0.0128858 0.0152663 0.0166264 0.0140662 0.0182281 0.0209858 0.0223742 0.0170225
0.305 0.012766 0.0150952 0.0170086 0.0149748 0.0189966 0.020069 0.0220966 0.0181355
0.31 0.0127172 0.0149606 0.0169224 0.0152532 0.0183653 0.0198421 0.0210372 0.0194531
0.315 0.012759 0.0148463 0.0166264 0.0155626 0.0169053 0.0201754 0.0203296 0.0201536
0.32 0.0128428 0.0147363 0.016337 0.0166317 0.0156704 0.0207018 0.0213912 0.020148
0.325 0.0129367 0.0146965 0.016211 0.018216 0.0154968 0.0205856 0.0235524 0.019955
0.33 0.0130052 0.0147904 0.0162764 0.0191595 0.0159925 0.0197033 0.0239734 0.0199324
0.335 0.0129413 0.0149686 0.0162874 0.0190818 0.0163122 0.0196765 0.0229692 0.0199506
0.34 0.0127186 0.0151319 0.015933 0.0188558 0.0171581 0.0214926 0.0220802 0.0197333
0.345 0.0125233 0.0152499 0.015338 0.0188218 0.0196405 0.0234828 0.0226488 0.0191899
0.35 0.0125406 0.0153444 0.015005 0.0186118 0.0227212 0.024612 0.02396 0.0180811
0.355 0.0127195 0.0154453 0.0151826 0.0177819 0.025042 0.0250638 0.024815 0.0163877
0.36 0.0128307 0.0156365 0.0154488 0.0168302 0.0270972 0.026174 0.0252088 0.0148381
0.365 0.0128535 0.0160675 0.0152318 0.016714 0.0289508 0.0271094 0.0251116 0.0143083
0.37 0.0130223 0.0167906 0.0147416 0.0172674 0.0300626 0.0263284 0.025773 0.0150839
0.375 0.0134125 0.0175763 0.0144398 0.0178427 0.0295414 0.0273554 0.0273848 0.0164807
0.38 0.0137631 0.0180431 0.014299 0.0184537 0.0273108 0.0296632 0.0270462 0.0171361
0.385 0.0138973 0.0180217 0.014207 0.0195953 0.0251104 0.0294626 0.0250972 0.0168642
0.39 0.0140521 0.0176339 0.0146626 0.0207738 0.0244268 0.0278464 0.0250734 0.0170259
0.395 0.014425 0.0170765 0.0163758 0.021371 0.0254774 0.029415 0.0253924 0.0185947
0.4 0.0148432 0.0165133 0.0184206 0.0221962 0.0264422 0.0324778 0.023284 0.02106
0.405 0.0150982 0.0161199 0.0190844 0.02355 0.0268776 0.0315826 0.021404 0.0229684
0.41 0.0153396 0.0160619 0.0190332 0.0241336 0.02984 0.0291718 0.0215794 0.023556
0.415 0.0157328 0.0164001 0.0191308 0.0235664 0.0364038 0.028646 0.0219504 0.0235524
0.42 0.0160641 0.0170425 0.0194476 0.0226032 0.0426108 0.0288762 0.0214174 0.023481
0.425 0.0160845 0.0177699 0.02039 0.0214914 0.044813 0.0290508 0.0203096 0.0229322
0.43 0.0160071 0.0182959 0.0220534 0.0209086 0.0447974 0.0299436 0.0195895 0.0224928
0.435 0.0161539 0.0183265 0.0232792 0.022173 0.0457402 0.030058 0.0182609 0.0234212
0.44 0.0164785 0.0177248 0.0230464 0.024877 0.0457586 0.0279214 0.0178653 0.025341
0.445 0.0167558 0.0168414 0.0218312 0.027515 0.0398626 0.027388 0.0196159 0.0261246
0.45 0.0170155 0.0163986 0.0206284 0.030301 0.036186 0.0301216 0.0209762 0.02507
0.455 0.017395 0.0167848 0.0201616 0.0325648 0.0371258 0.0321674 0.0203126 0.0231572
0.46 0.0177419 0.0177653 0.020366 0.033856 0.0369442 0.0297568 0.0196466 0.0215618
0.465 0.0177693 0.0187886 0.0203894 0.0366502 0.03415 0.026373 0.0214426 0.0196317
0.47 0.0175194 0.0195894 0.0200154 0.040266 0.0327928 0.025769 0.024731 0.0175608
0.475 0.0172903 0.0204522 0.0203952 0.0414342 0.036331 0.0273418 0.0268914 0.0168545
0.48 0.017197 0.0217216 0.0222384 0.0418894 0.038572 0.0288932 0.0269594 0.0170958
0.485 0.01716 0.023298 0.0243768 0.0456784 0.0383198 0.028168 0.026366 0.0176189
0.49 0.0171428 0.024805 0.0258202 0.0508822 0.0378198 0.02581 0.0272874 0.017825
