# incoherent part of single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.50 S=1
# k, omega, A(k,omega)

0 -3 5.46796e-05
0 -2.96 5.34982e-05
0 -2.92 5.49393e-05
0 -2.88 6.70034e-05
0 -2.84 7.07661e-05
0 -2.8 6.73677e-05
0 -2.76 6.5594e-05
0 -2.72 7.77721e-05
0 -2.68 8.32072e-05
0 -2.64 0.000103113
0 -2.6 0.000100725
0 -2.56 0.000120907
0 -2.52 0.00013909
0 -2.48 0.000162902
0 -2.44 0.000200377
0 -2.4 0.000249026
0 -2.36 0.000363795
0 -2.32 0.00050851
0 -2.28 0.000599598
0 -2.24 0.000663009
0 -2.2 0.000758575
0 -2.16 0.000867269
0 -2.12 0.00092828
0 -2.08 0.000915592
0 -2.04 0.0010498
0 -2 0.00108269
0 -1.96 0.00109921
0 -1.92 0.0011644
0 -1.88 0.00117607
0 -1.84 0.00119066
0 -1.8 0.00119814
0 -1.76 0.0013416
0 -1.72 0.00126727
0 -1.68 0.00130467
0 -1.64 0.00141631
0 -1.6 0.00142781
0 -1.56 0.0014153
0 -1.52 0.00148595
0 -1.48 0.00154928
0 -1.44 0.00137125
0 -1.4 0.00149913
0 -1.36 0.0014988
0 -1.32 0.00156543
0 -1.28 0.00167317
0 -1.24 0.00155881
0 -1.2 0.00163403
0 -1.16 0.001701
0 -1.12 0.00161959
0 -1.08 0.00169191
0 -1.04 0.00176868
0 -1 0.00173849
0 -0.96 0.00174055
0 -0.92 0.00174488
0 -0.88 0.00174041
0 -0.84 0.00181419
0 -0.8 0.00181517
0 -0.76 0.00185763
0 -0.72 0.00189133
0 -0.68 0.00191557
0 -0.64 0.00194675
0 -0.6 0.00198362
0 -0.56 0.00203797
0 -0.52 0.00208344
0 -0.48 0.0021087
0 -0.44 0.00216785
0 -0.4 0.00220797
0 -0.36 0.00228005
0 -0.32 0.00232656
0 -0.28 0.00239233
0 -0.24 0.00244248
0 -0.2 0.0023765
0 -0.16 0.00199658
0 -0.12 0.00139359
0 -0.08 0.000919928
0 -0.04 0.000635533
0 0 0.000465673
0 0.04 0.000358271
0 0.08 0.000286188
0 0.12 0.000235318
0 0.16 0.000197919
0 0.2 0.00016949
0 0.24 0.000147271
0 0.28 0.000129525
0 0.32 0.000115079
0 0.36 0.000103126
0 0.4 9.31017e-05
0 0.44 8.45976e-05
0 0.48 7.73002e-05
0 0.52 7.09847e-05
0 0.56 6.54737e-05
0 0.6 6.06372e-05
0 0.64 5.63488e-05
0 0.68 5.25417e-05
0 0.72 4.91401e-05
0 0.76 4.60742e-05
0 0.8 4.33123e-05
0 0.84 4.08007e-05
0 0.88 3.85297e-05
0 0.92 3.64425e-05
0 0.96 3.45453e-05
0 1 0
0 1.04 0
0 1.08 0
0 1.12 0
0 1.16 0
0 1.2 0
0 1.24 0
0 1.28 0
0 1.32 0
0 1.36 0
0 1.4 0
0 1.44 0
0 1.48 0
0 1.52 0
0 1.56 0
0 1.6 0
0 1.64 0
0 1.68 0
0 1.72 0
0 1.76 0
0 1.8 0
0 1.84 0
0 1.88 0
0 1.92 0
0 1.96 0
0 2 0
0 2.04 0
0 2.08 0
0 2.12 0
0 2.16 0
0 2.2 0
0 2.24 0
0 2.28 0
0 2.32 0
0 2.36 0
0 2.4 0
0 2.44 0
0 2.48 0
0 2.52 0
0 2.56 0
0 2.6 0
0 2.64 0
0 2.68 0
0 2.72 0
0 2.76 0
0 2.8 0
0 2.84 0
0 2.88 0
0 2.92 0
0 2.96 0
0 3 0
