# incoherent part of single-particle spectral function of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.50 S=3/2
# k, omega, A(k,omega)

0 -3 3.58661e-05
0 -2.96 4.03034e-05
0 -2.92 3.8989e-05
0 -2.88 4.75976e-05
0 -2.84 4.253e-05
0 -2.8 5.07839e-05
0 -2.76 5.46384e-05
0 -2.72 5.92563e-05
0 -2.68 6.43018e-05
0 -2.64 6.72758e-05
0 -2.6 7.1577e-05
0 -2.56 8.525e-05
0 -2.52 9.05679e-05
0 -2.48 0.000115304
0 -2.44 0.000137009
0 -2.4 0.000163228
0 -2.36 0.000208685
0 -2.32 0.000272961
0 -2.28 0.000380904
0 -2.24 0.000483872
0 -2.2 0.00070158
0 -2.16 0.000830995
0 -2.12 0.000907456
0 -2.08 0.000830963
0 -2.04 0.0010026
0 -2 0.000971118
0 -1.96 0.000997013
0 -1.92 0.00112925
0 -1.88 0.00103762
0 -1.84 0.00101468
0 -1.8 0.00105551
0 -1.76 0.00115959
0 -1.72 0.00106988
0 -1.68 0.00116185
0 -1.64 0.00123403
0 -1.6 0.00117105
0 -1.56 0.00108899
0 -1.52 0.00122432
0 -1.48 0.00121803
0 -1.44 0.00114143
0 -1.4 0.00121093
0 -1.36 0.00128455
0 -1.32 0.00119764
0 -1.28 0.00129192
0 -1.24 0.00130695
0 -1.2 0.00121484
0 -1.16 0.00133789
0 -1.12 0.00128803
0 -1.08 0.00129225
0 -1.04 0.00131845
0 -1 0.00130078
0 -0.96 0.00120537
0 -0.92 0.00123504
0 -0.88 0.00128101
0 -0.84 0.00125989
0 -0.8 0.00129376
0 -0.76 0.00129432
0 -0.72 0.00130093
0 -0.68 0.00131438
0 -0.64 0.00133419
0 -0.6 0.00132474
0 -0.56 0.00130743
0 -0.52 0.00134409
0 -0.48 0.00135514
0 -0.44 0.00135417
0 -0.4 0.00134403
0 -0.36 0.00137769
0 -0.32 0.00140381
0 -0.28 0.00142402
0 -0.24 0.00141099
0 -0.2 0.00134414
0 -0.16 0.00121919
0 -0.12 0.000933228
0 -0.08 0.00063044
0 -0.04 0.000429756
0 0 0.000310335
0 0.04 0.000236313
0 0.08 0.000187629
0 0.12 0.000153793
0 0.16 0.000129189
0 0.2 0.000110629
0 0.24 9.62056e-05
0 0.28 8.47179e-05
0 0.32 7.53935e-05
0 0.36 6.76876e-05
0 0.4 6.12232e-05
0 0.44 5.57375e-05
0 0.48 5.10309e-05
0 0.52 4.69515e-05
0 0.56 4.33852e-05
0 0.6 4.02559e-05
0 0.64 3.74814e-05
0 0.68 3.50109e-05
0 0.72 3.28033e-05
0 0.76 3.0808e-05
0 0.8 2.90058e-05
0 0.84 2.73715e-05
0 0.88 2.58829e-05
0 0.92 2.45178e-05
0 0.96 2.32762e-05
0 1 0
0 1.04 0
0 1.08 0
0 1.12 0
0 1.16 0
0 1.2 0
0 1.24 0
0 1.28 0
0 1.32 0
0 1.36 0
0 1.4 0
0 1.44 0
0 1.48 0
0 1.52 0
0 1.56 0
0 1.6 0
0 1.64 0
0 1.68 0
0 1.72 0
0 1.76 0
0 1.8 0
0 1.84 0
0 1.88 0
0 1.92 0
0 1.96 0
0 2 0
0 2.04 0
0 2.08 0
0 2.12 0
0 2.16 0
0 2.2 0
0 2.24 0
0 2.28 0
0 2.32 0
0 2.36 0
0 2.4 0
0 2.44 0
0 2.48 0
0 2.52 0
0 2.56 0
0 2.6 0
0 2.64 0
0 2.68 0
0 2.72 0
0 2.76 0
0 2.8 0
0 2.84 0
0 2.88 0
0 2.92 0
0 2.96 0
0 3 0
0.005 -3 3.44293e-05
0.005 -2.96 4.03886e-05
0.005 -2.92 3.97695e-05
0.005 -2.88 4.74301e-05
0.005 -2.84 4.23979e-05
0.005 -2.8 4.99322e-05
0.005 -2.76 5.49019e-05
0.005 -2.72 5.87525e-05
0.005 -2.68 6.50063e-05
0.005 -2.64 6.80494e-05
0.005 -2.6 7.23021e-05
0.005 -2.56 8.55771e-05
0.005 -2.52 9.0757e-05
0.005 -2.48 0.000113981
0.005 -2.44 0.000136849
0.005 -2.4 0.000163462
0.005 -2.36 0.000210074
0.005 -2.32 0.000272914
0.005 -2.28 0.000381003
0.005 -2.24 0.000485057
0.005 -2.2 0.000700656
0.005 -2.16 0.000831181
0.005 -2.12 0.000906326
0.005 -2.08 0.000830472
0.005 -2.04 0.0010027
0.005 -2 0.00097368
0.005 -1.96 0.000995646
0.005 -1.92 0.00112507
0.005 -1.88 0.00103489
0.005 -1.84 0.00101929
0.005 -1.8 0.00104974
0.005 -1.76 0.00116125
0.005 -1.72 0.00106599
0.005 -1.68 0.00115847
0.005 -1.64 0.00123415
0.005 -1.6 0.00117015
0.005 -1.56 0.00108456
0.005 -1.52 0.00123079
0.005 -1.48 0.00121475
0.005 -1.44 0.00113998
0.005 -1.4 0.00121641
0.005 -1.36 0.00128147
0.005 -1.32 0.0011957
0.005 -1.28 0.00129671
0.005 -1.24 0.00130699
0.005 -1.2 0.00120859
0.005 -1.16 0.00134177
0.005 -1.12 0.00128232
0.005 -1.08 0.00128417
0.005 -1.04 0.00131858
0.005 -1 0.00129935
0.005 -0.96 0.00120783
0.005 -0.92 0.00123641
0.005 -0.88 0.00128464
0.005 -0.84 0.0012595
0.005 -0.8 0.00129043
0.005 -0.76 0.00129098
0.005 -0.72 0.00130038
0.005 -0.68 0.00131092
0.005 -0.64 0.00132908
0.005 -0.6 0.00132234
0.005 -0.56 0.00130573
0.005 -0.52 0.00133702
0.005 -0.48 0.00135273
0.005 -0.44 0.00135475
0.005 -0.4 0.00134749
0.005 -0.36 0.00137506
0.005 -0.32 0.00140657
0.005 -0.28 0.00142025
0.005 -0.24 0.00140993
0.005 -0.2 0.00135375
0.005 -0.16 0.00122049
0.005 -0.12 0.000932647
0.005 -0.08 0.000630343
0.005 -0.04 0.000429886
0.005 0 0.000310355
0.005 0.04 0.000236319
0.005 0.08 0.000187629
0.005 0.12 0.000153791
0.005 0.16 0.000129187
0.005 0.2 0.000110626
0.005 0.24 9.62024e-05
0.005 0.28 8.47149e-05
0.005 0.32 7.53907e-05
0.005 0.36 6.76849e-05
0.005 0.4 6.12208e-05
0.005 0.44 5.57353e-05
0.005 0.48 5.10289e-05
0.005 0.52 4.69496e-05
0.005 0.56 4.33835e-05
0.005 0.6 4.02543e-05
0.005 0.64 3.748e-05
0.005 0.68 3.50096e-05
0.005 0.72 3.28021e-05
0.005 0.76 3.08068e-05
0.005 0.8 2.90047e-05
0.005 0.84 2.73705e-05
0.005 0.88 2.5882e-05
0.005 0.92 2.45169e-05
0.005 0.96 2.32754e-05
0.005 1 0
0.005 1.04 0
0.005 1.08 0
0.005 1.12 0
0.005 1.16 0
0.005 1.2 0
0.005 1.24 0
0.005 1.28 0
0.005 1.32 0
0.005 1.36 0
0.005 1.4 0
0.005 1.44 0
0.005 1.48 0
0.005 1.52 0
0.005 1.56 0
0.005 1.6 0
0.005 1.64 0
0.005 1.68 0
0.005 1.72 0
0.005 1.76 0
0.005 1.8 0
0.005 1.84 0
0.005 1.88 0
0.005 1.92 0
0.005 1.96 0
0.005 2 0
0.005 2.04 0
0.005 2.08 0
0.005 2.12 0
0.005 2.16 0
0.005 2.2 0
0.005 2.24 0
0.005 2.28 0
0.005 2.32 0
0.005 2.36 0
0.005 2.4 0
0.005 2.44 0
0.005 2.48 0
0.005 2.52 0
0.005 2.56 0
0.005 2.6 0
0.005 2.64 0
0.005 2.68 0
0.005 2.72 0
0.005 2.76 0
0.005 2.8 0
0.005 2.84 0
0.005 2.88 0
0.005 2.92 0
0.005 2.96 0
0.005 3 0
0.01 -3 3.19571e-05
0.01 -2.96 4.03729e-05
0.01 -2.92 4.06816e-05
0.01 -2.88 4.70192e-05
0.01 -2.84 4.2745e-05
0.01 -2.8 4.83784e-05
0.01 -2.76 5.48285e-05
0.01 -2.72 5.76096e-05
0.01 -2.68 6.64831e-05
0.01 -2.64 6.92818e-05
0.01 -2.6 7.34069e-05
0.01 -2.56 8.59375e-05
0.01 -2.52 9.11302e-05
0.01 -2.48 0.00011126
0.01 -2.44 0.000136613
0.01 -2.4 0.00016386
0.01 -2.36 0.000212676
0.01 -2.32 0.00027267
0.01 -2.28 0.000381858
0.01 -2.24 0.000487561
0.01 -2.2 0.00069916
0.01 -2.16 0.000832232
0.01 -2.12 0.00090426
0.01 -2.08 0.000829394
0.01 -2.04 0.00100282
0.01 -2 0.000975113
0.01 -1.96 0.000993982
0.01 -1.92 0.00111412
0.01 -1.88 0.00103153
0.01 -1.84 0.00102626
0.01 -1.8 0.00104247
0.01 -1.76 0.00116393
0.01 -1.72 0.00105961
0.01 -1.68 0.00115151
0.01 -1.64 0.00123417
0.01 -1.6 0.00116884
0.01 -1.56 0.00107898
0.01 -1.52 0.00124404
0.01 -1.48 0.00120966
0.01 -1.44 0.00113793
0.01 -1.4 0.00122314
0.01 -1.36 0.00127585
0.01 -1.32 0.00119136
0.01 -1.28 0.00130363
0.01 -1.24 0.00130737
0.01 -1.2 0.00119644
0.01 -1.16 0.00134731
0.01 -1.12 0.00127214
0.01 -1.08 0.00127078
0.01 -1.04 0.00131429
0.01 -1 0.00129617
0.01 -0.96 0.00121258
0.01 -0.92 0.00123695
0.01 -0.88 0.00128951
0.01 -0.84 0.00125748
0.01 -0.8 0.00128405
0.01 -0.76 0.00128433
0.01 -0.72 0.001299
0.01 -0.68 0.00130536
0.01 -0.64 0.00131645
0.01 -0.6 0.00132051
0.01 -0.56 0.00130231
0.01 -0.52 0.00132437
0.01 -0.48 0.00134877
0.01 -0.44 0.0013567
0.01 -0.4 0.00135447
0.01 -0.36 0.00137198
0.01 -0.32 0.00141025
0.01 -0.28 0.00141246
0.01 -0.24 0.00140618
0.01 -0.2 0.00137105
0.01 -0.16 0.00122261
0.01 -0.12 0.0009317
0.01 -0.08 0.000630193
0.01 -0.04 0.000430177
0.01 0 0.000310415
0.01 0.04 0.000236339
0.01 0.08 0.000187631
0.01 0.12 0.000153785
0.01 0.16 0.000129178
0.01 0.2 0.000110616
0.01 0.24 9.61928e-05
0.01 0.28 8.47057e-05
0.01 0.32 7.53822e-05
0.01 0.36 6.76771e-05
0.01 0.4 6.12135e-05
0.01 0.44 5.57287e-05
0.01 0.48 5.10229e-05
0.01 0.52 4.69441e-05
0.01 0.56 4.33784e-05
0.01 0.6 4.02497e-05
0.01 0.64 3.74756e-05
0.01 0.68 3.50056e-05
0.01 0.72 3.27984e-05
0.01 0.76 3.08034e-05
0.01 0.8 2.90016e-05
0.01 0.84 2.73675e-05
0.01 0.88 2.58792e-05
0.01 0.92 2.45144e-05
0.01 0.96 2.3273e-05
0.01 1 0
0.01 1.04 0
0.01 1.08 0
0.01 1.12 0
0.01 1.16 0
0.01 1.2 0
0.01 1.24 0
0.01 1.28 0
0.01 1.32 0
0.01 1.36 0
0.01 1.4 0
0.01 1.44 0
0.01 1.48 0
0.01 1.52 0
0.01 1.56 0
0.01 1.6 0
0.01 1.64 0
0.01 1.68 0
0.01 1.72 0
0.01 1.76 0
0.01 1.8 0
0.01 1.84 0
0.01 1.88 0
0.01 1.92 0
0.01 1.96 0
0.01 2 0
0.01 2.04 0
0.01 2.08 0
0.01 2.12 0
0.01 2.16 0
0.01 2.2 0
0.01 2.24 0
0.01 2.28 0
0.01 2.32 0
0.01 2.36 0
0.01 2.4 0
0.01 2.44 0
0.01 2.48 0
0.01 2.52 0
0.01 2.56 0
0.01 2.6 0
0.01 2.64 0
0.01 2.68 0
0.01 2.72 0
0.01 2.76 0
0.01 2.8 0
0.01 2.84 0
0.01 2.88 0
0.01 2.92 0
0.01 2.96 0
0.01 3 0
0.015 -3 3.13588e-05
0.015 -2.96 3.98352e-05
0.015 -2.92 3.99649e-05
