# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.33 S=1
# k, omega, S(k,omega)

0 0 0.00703807
0 0.006 0.0083095
0 0.012 0.0124477
0 0.018 0.00174869
0 0.024 0.0118328
0 0.03 0.0106808
0 0.036 0.0139091
0 0.042 0.0269335
0 0.048 0.0358245
0 0.054 0.0215567
0 0.06 0.00743817
0 0.066 0.00221535
0 0.072 0.0397174
0 0.078 0.0275905
0 0.084 0.0291614
0 0.09 0.0226486
0 0.096 0.0255299
0 0.102 0.00607181
0 0.108 0.00912101
0 0.114 0.00924348
0 0.12 0.0106087
0 0.126 0.0123581
0 0.132 0.0117177
0 0.138 0.00301017
0 0.144 0.0018326
0 0.15 0.00318483
0 0.156 0.00946698
0 0.162 0.00964246
0 0.168 0.0010604
0 0.174 0.00112541
0 0.18 0.00445748
0 0.186 0.00297312
0 0.192 0.00642308
0 0.198 0.025977
0 0.204 0.0187072
0 0.21 0.0046063
0 0.216 0.0033198
0 0.222 0.00786967
0 0.228 0.00674854
0 0.234 0.00094245
0 0.24 0.00183884
0 0.246 0.0030232
0 0.252 0.00977581
0 0.258 0.0212474
0 0.264 0.0215696
0 0.27 0.0237364
0 0.276 0.00629331
0 0.282 0.00223991
0 0.288 0.000145983
0 0.294 0.00104648
0 0.3 0.00183834
0 0.306 0.000249507
0 0.312 0.000867337
0 0.318 0.00200229
0 0.324 0.0071395
0 0.33 0.00567355
0 0.336 0.0225087
0 0.342 0.0231426
0 0.348 0.0116566
0 0.354 0.012664
0 0.36 0.0161564
0 0.366 0.0138593
0 0.372 0.005731
0 0.378 0.00775323
0 0.384 0.000832877
0 0.39 0.000492468
0 0.396 0.000104281
0 0.402 0.000913309
0 0.408 0.000710028
0 0.414 0.00108088
0 0.42 0.00379525
0 0.426 0.00482551
0 0.432 0.00610272
0 0.438 0.00749885
0 0.444 0.00424839
0 0.45 0.00661902
0 0.456 0.00513367
0 0.462 0.00296655
0 0.468 0.00381225
0 0.474 0.0051124
0 0.48 0.00483973
0 0.486 0.00538625
0 0.492 0.00426908
0 0.498 0.00287379
0 0.504 0.000552827
0 0.51 0.000495865
0 0.516 0.00196176
0 0.522 0.00301554
0 0.528 0.00156413
0 0.534 0.000400609
0 0.54 0.00203211
0 0.546 0.00051923
0 0.552 0.000344434
0 0.558 0.000204968
0 0.564 0.00128979
0 0.57 0.00102713
0 0.576 3.26475e-05
0 0.582 0.00104583
0 0.588 0.00173585
0 0.594 0.000109278
0 0.6 0.000699533
0.005 0 0.0196641
0.005 0.006 0.021076
0.005 0.012 0.0260988
0.005 0.018 0.0012301
0.005 0.024 0.0171313
0.005 0.03 0.0191889
0.005 0.036 0.0249863
0.005 0.042 0.0458831
0.005 0.048 0.0592857
0.005 0.054 0.0359411
0.005 0.06 0.0135028
0.005 0.066 0.00171022
0.005 0.072 0.0626335
0.005 0.078 0.0421122
0.005 0.084 0.0449096
0.005 0.09 0.0349063
0.005 0.096 0.0397011
0.005 0.102 0.0108176
0.005 0.108 0.0153976
0.005 0.114 0.0157404
0.005 0.12 0.0177582
0.005 0.126 0.0219304
0.005 0.132 0.0197789
0.005 0.138 0.0047448
0.005 0.144 0.000912153
0.005 0.15 0.00802068
0.005 0.156 0.0157038
0.005 0.162 0.0161243
0.005 0.168 0.00179513
0.005 0.174 0.00120435
0.005 0.18 0.00770167
0.005 0.186 0.00197541
0.005 0.192 0.00899553
0.005 0.198 0.0414274
0.005 0.204 0.0308378
0.005 0.21 0.0053898
0.005 0.216 0.00367104
0.005 0.222 0.0143775
0.005 0.228 0.0125418
0.005 0.234 0.00146762
0.005 0.24 0.00401134
0.005 0.246 0.00239103
0.005 0.252 0.0145981
0.005 0.258 0.0337716
0.005 0.264 0.0338737
0.005 0.27 0.0370489
0.005 0.276 0.0110756
0.005 0.282 0.00186246
0.005 0.288 0.000389657
0.005 0.294 0.00130048
0.005 0.3 0.000958292
0.005 0.306 0.000455662
0.005 0.312 0.00785485
0.005 0.318 0.00670515
0.005 0.324 0.00790594
0.005 0.33 0.00669829
0.005 0.336 0.0325169
0.005 0.342 0.032574
0.005 0.348 0.0154472
0.005 0.354 0.0173874
0.005 0.36 0.023052
0.005 0.366 0.0189109
0.005 0.372 0.00655292
0.005 0.378 0.010481
0.005 0.384 0.000661949
0.005 0.39 0.000578479
0.005 0.396 0.000365864
0.005 0.402 0.0020992
0.005 0.408 0.00144105
0.005 0.414 0.000645431
0.005 0.42 0.0052728
0.005 0.426 0.00702577
0.005 0.432 0.00772812
0.005 0.438 0.0102933
0.005 0.444 0.00599836
0.005 0.45 0.0101541
0.005 0.456 0.00752826
0.005 0.462 0.00414864
0.005 0.468 0.00595044
0.005 0.474 0.00736169
0.005 0.48 0.007538
0.005 0.486 0.00813299
0.005 0.492 0.00685148
0.005 0.498 0.00445736
0.005 0.504 0.000745369
0.005 0.51 0.00079657
0.005 0.516 0.00240286
0.005 0.522 0.00424423
0.005 0.528 0.0022793
0.005 0.534 0.000502873
0.005 0.54 0.00356176
0.005 0.546 0.00128255
0.005 0.552 0.000364919
0.005 0.558 0.000469304
0.005 0.564 0.00185181
0.005 0.57 0.00136097
0.005 0.576 0.000183317
0.005 0.582 0.00193366
0.005 0.588 0.00270943
0.005 0.594 0.0003841
0.005 0.6 0.00110637
0.01 0 0.0419145
0.01 0.006 0.0417025
0.01 0.012 0.0425538
0.01 0.018 0.0117909
0.01 0.024 0.0124754
0.01 0.03 0.024923
0.01 0.036 0.0321727
0.01 0.042 0.0531111
0.01 0.048 0.0647449
0.01 0.054 0.0400236
0.01 0.06 0.0176091
0.01 0.066 0.00274025
0.01 0.072 0.0611701
0.01 0.078 0.0378486
0.01 0.084 0.0414336
0.01 0.09 0.0319415
0.01 0.096 0.0372236
0.01 0.102 0.0140103
0.01 0.108 0.0178443
0.01 0.114 0.017447
0.01 0.12 0.0192901
0.01 0.126 0.0262844
0.01 0.132 0.0211763
0.01 0.138 0.00677735
0.01 0.144 0.000722627
0.01 0.15 0.012807
0.01 0.156 0.0175246
0.01 0.162 0.0178778
0.01 0.168 0.0021286
0.01 0.174 0.000354756
0.01 0.18 0.00835677
0.01 0.186 0.00244069
0.01 0.192 0.00765318
0.01 0.198 0.0433704
0.01 0.204 0.0352766
0.01 0.21 0.000686871
0.01 0.216 0.000405622
0.01 0.222 0.017894
0.01 0.228 0.0161423
0.01 0.234 0.00149977
0.01 0.24 0.0070065
0.01 0.246 0.00342224
0.01 0.252 0.0115071
0.01 0.258 0.032842
0.01 0.264 0.0334728
0.01 0.27 0.0370736
0.01 0.276 0.0149326
0.01 0.282 0.00260815
0.01 0.288 0.000697653
0.01 0.294 0.00141739
0.01 0.3 0.000934585
0.01 0.306 0.00112059
0.01 0.312 0.0194537
0.01 0.318 0.0131936
0.01 0.324 0.00266422
0.01 0.33 0.00236074
0.01 0.336 0.0263457
0.01 0.342 0.0253952
0.01 0.348 0.0102198
0.01 0.354 0.0120798
0.01 0.36 0.0176872
0.01 0.366 0.012646
0.01 0.372 0.00162719
0.01 0.378 0.00659525
0.01 0.384 0.00445682
0.01 0.39 0.000739667
0.01 0.396 0.0006417
0.01 0.402 0.00342464
0.01 0.408 0.00218847
0.01 0.414 0.0014773
0.01 0.42 0.00357987
0.01 0.426 0.00529805
0.01 0.432 0.0035255
0.01 0.438 0.00736839
0.01 0.444 0.00484434
0.01 0.45 0.00944765
0.01 0.456 0.00623528
0.01 0.462 0.00274846
0.01 0.468 0.00525587
0.01 0.474 0.00543881
0.01 0.48 0.00700378
0.01 0.486 0.00714053
0.01 0.492 0.00644324
0.01 0.498 0.00390886
0.01 0.504 0.000703578
0.01 0.51 0.000706162
0.01 0.516 0.00108165
0.01 0.522 0.00319145
0.01 0.528 0.0016189
0.01 0.534 0.000157533
0.01 0.54 0.00438406
0.01 0.546 0.0024406
0.01 0.552 0.000199833
0.01 0.558 0.000807733
0.01 0.564 0.00147141
