# dynamical spin structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.33 S=3/2
# k, omega, S(k,omega)

0 0 0.00731207
0 0.006 0.00718041
0 0.012 0.000961678
0 0.018 0.0079975
0 0.024 0.00231861
0 0.03 0.0221385
0 0.036 0.0153241
0 0.042 0.0102188
0 0.048 0.0308015
0 0.054 0.0505168
0 0.06 0.0261111
0 0.066 0.0283021
0 0.072 0.000970199
0 0.078 0.039382
0 0.084 0.112355
0 0.09 0.0659824
0 0.096 0.0442215
0 0.102 0.0634823
0 0.108 0.0122496
0 0.114 0.0361815
0 0.12 0.0231476
0 0.126 0.0122755
0 0.132 0.0382378
0 0.138 0.00702502
0 0.144 0.0235865
0 0.15 0.0210101
0 0.156 0.0123255
0 0.162 0.0539726
0 0.168 0.0399921
0 0.174 0.0466716
0 0.18 0.000999488
0 0.186 0.0472835
0 0.192 0.0396143
0 0.198 0.0485922
0 0.204 0.0542155
0 0.21 0.0520041
0 0.216 0.0315241
0 0.222 0.0587748
0 0.228 0.100609
0 0.234 0.117565
0 0.24 0.12517
0 0.246 0.0808695
0 0.252 0.0662238
0 0.258 0.0374156
0 0.264 0.0193021
0 0.27 0.00361034
0 0.276 0.0100379
0 0.282 0.0041443
0 0.288 0.0172646
0 0.294 0.00464501
0 0.3 0.00130753
0 0.306 0.00563694
0 0.312 0.00521354
0 0.318 0.00233407
0 0.324 0.00555993
0 0.33 0.00956779
0 0.336 0.010367
0 0.342 0.010335
0 0.348 0.00586687
0 0.354 0.00868227
0 0.36 0.00342089
0 0.366 0.00164384
0 0.372 9.3835e-05
0 0.378 0.00196664
0 0.384 0.00521533
0 0.39 0.00118575
0 0.396 0.00155598
0 0.402 0.0012544
0 0.408 0.00202765
0 0.414 0.00332681
0 0.42 0.00105052
0 0.426 0.0011428
0 0.432 0.00127804
0 0.438 0.00106799
0 0.444 0.00153175
0 0.45 0.00196133
0 0.456 0.00167552
0 0.462 0.00317527
0 0.468 0.00303914
0 0.474 0.00293051
0 0.48 0.00192436
0 0.486 0.00192436
0 0.492 0.00192436
0 0.498 0.00192436
0 0.504 0.00192436
0 0.51 0.00192436
0 0.516 0.00192436
0 0.522 0.00192436
0 0.528 0.00192436
0 0.534 0.00192436
0 0.54 0.00192436
0 0.546 0.00192436
0 0.552 0.00192436
0 0.558 0.00192436
0 0.564 0.00192436
0 0.57 0.00192436
0 0.576 0.00192436
0 0.582 0.00192436
0 0.588 0.00192436
0 0.594 0.00192436
0 0.6 0.00192436
0.005 0 0.0205313
0.005 0.006 0.0196466
0.005 0.012 0.00766367
0.005 0.018 0.00856309
0.005 0.024 0.00651485
0.005 0.03 0.037219
0.005 0.036 0.0265508
0.005 0.042 0.0191376
0.005 0.048 0.0523668
0.005 0.054 0.0848544
0.005 0.06 0.045322
0.005 0.066 0.0478495
0.005 0.072 0.00097738
0.005 0.078 0.0620553
0.005 0.084 0.180004
0.005 0.09 0.104202
0.005 0.096 0.0702078
0.005 0.102 0.101011
0.005 0.108 0.0177194
0.005 0.114 0.055834
0.005 0.12 0.0352182
0.005 0.126 0.0219772
0.005 0.132 0.0632378
0.005 0.138 0.0135299
0.005 0.144 0.0352189
0.005 0.15 0.0309794
0.005 0.156 0.0287407
0.005 0.162 0.0924727
0.005 0.168 0.062741
0.005 0.174 0.0735587
0.005 0.18 0.000135243
0.005 0.186 0.079912
0.005 0.192 0.069771
0.005 0.198 0.0771571
0.005 0.204 0.0854878
0.005 0.21 0.0761784
0.005 0.216 0.0481153
0.005 0.222 0.0896176
0.005 0.228 0.1541
0.005 0.234 0.181376
0.005 0.24 0.190858
0.005 0.246 0.118301
0.005 0.252 0.0907529
0.005 0.258 0.0500646
0.005 0.264 0.0226367
0.005 0.27 0.00950197
0.005 0.276 0.0174713
0.005 0.282 0.00565614
0.005 0.288 0.0252251
0.005 0.294 0.00760313
0.005 0.3 0.000342411
0.005 0.306 0.00730751
0.005 0.312 0.00428614
0.005 0.318 0.00527516
0.005 0.324 0.0102123
0.005 0.33 0.0144655
0.005 0.336 0.0157812
0.005 0.342 0.0170978
0.005 0.348 0.00980688
0.005 0.354 0.0140146
0.005 0.36 0.00555663
0.005 0.366 0.00258792
0.005 0.372 0.000643777
0.005 0.378 0.00316573
0.005 0.384 0.00795507
0.005 0.39 0.00194792
0.005 0.396 0.002172
0.005 0.402 0.00250428
0.005 0.408 0.0034778
0.005 0.414 0.00512298
0.005 0.42 0.000647946
0.005 0.426 0.000946342
0.005 0.432 0.00251868
0.005 0.438 0.00219582
0.005 0.444 0.00224261
0.005 0.45 0.00267481
0.005 0.456 0.0020536
0.005 0.462 0.00419968
0.005 0.468 0.00458978
0.005 0.474 0.00483916
0.005 0.48 0.00330181
0.005 0.486 0.00330181
0.005 0.492 0.00330181
0.005 0.498 0.00330181
0.005 0.504 0.00330181
0.005 0.51 0.00330181
0.005 0.516 0.00330181
0.005 0.522 0.00330181
0.005 0.528 0.00330181
0.005 0.534 0.00330181
0.005 0.54 0.00330181
0.005 0.546 0.00330181
0.005 0.552 0.00330181
0.005 0.558 0.00330181
0.005 0.564 0.00330181
0.005 0.57 0.00330181
0.005 0.576 0.00330181
0.005 0.582 0.00330181
0.005 0.588 0.00330181
0.005 0.594 0.00330181
0.005 0.6 0.00330181
0.01 0 0.0428224
0.01 0.006 0.0402798
0.01 0.012 0.0231037
0.01 0.018 0.00186533
0.01 0.024 0.0135762
0.01 0.03 0.0426525
0.01 0.036 0.0319699
0.01 0.042 0.0259825
0.01 0.048 0.0601852
0.01 0.054 0.0949173
0.01 0.06 0.0543653
0.01 0.066 0.054575
0.01 0.072 0.00687539
0.01 0.078 0.05991
0.01 0.084 0.182296
0.01 0.09 0.101921
0.01 0.096 0.0692578
0.01 0.102 0.100099
0.01 0.108 0.0129627
0.01 0.114 0.0510981
0.01 0.12 0.0308576
0.01 0.126 0.0272656
0.01 0.132 0.0682265
0.01 0.138 0.0183528
0.01 0.144 0.0322265
0.01 0.15 0.0274709
0.01 0.156 0.0454294
0.01 0.162 0.102907
0.01 0.168 0.0593463
0.01 0.174 0.0715654
0.01 0.18 0.00289416
0.01 0.186 0.0906566
0.01 0.192 0.0846723
0.01 0.198 0.0780691
0.01 0.204 0.0851898
0.01 0.21 0.0664432
0.01 0.216 0.0458652
0.01 0.222 0.0848562
0.01 0.228 0.144826
0.01 0.234 0.170927
0.01 0.24 0.176677
0.01 0.246 0.0997552
0.01 0.252 0.0619771
0.01 0.258 0.0310339
0.01 0.264 0.00884742
0.01 0.27 0.0142299
0.01 0.276 0.018437
0.01 0.282 0.00254133
0.01 0.288 0.0205667
0.01 0.294 0.0069289
0.01 0.3 0.00411341
0.01 0.306 0.00489111
0.01 0.312 0.00230143
0.01 0.318 0.00777582
0.01 0.324 0.0124814
0.01 0.33 0.0129626
0.01 0.336 0.0137914
0.01 0.342 0.0174089
0.01 0.348 0.0102193
0.01 0.354 0.0140769
0.01 0.36 0.00584656
0.01 0.366 0.00253221
0.01 0.372 0.00121087
0.01 0.378 0.00281658
0.01 0.384 0.0069384
0.01 0.39 0.00164546
0.01 0.396 0.00110584
0.01 0.402 0.00340136
0.01 0.408 0.00386007
0.01 0.414 0.00476491
0.01 0.42 0.00129295
0.01 0.426 0.000875927
0.01 0.432 0.00354548
0.01 0.438 0.00313366
0.01 0.444 0.00182465
